node,gpu_number,GPU,gpu_utilization,pod_name,pod_type,project,namespace,user_team,start,finish,pod_type_color,project_color
gpu-server01,0,gpu-server01:0,68.49939107692305,violet-run-pipeline-gpu-kb27t-3379495359,task,PROJECT_17,ns-16904374776309414,,2023-11-09 16:30:00+09:00,2023-11-13 01:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,0.0,violet-run-pipeline-gpu-ff44j-3079852243,task,PROJECT_1,ns-16904458533318198,,2023-11-13 14:45:00+09:00,2023-11-13 15:30:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,0,gpu-server01:0,34.49949019274378,violet-run-pipeline-gpu-xnpsz-830121636,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-14 14:45:00+09:00,2023-12-21 08:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,93.1611245322245,violet-run-pipeline-gpu-fftp4-1617571953,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-22 14:00:00+09:00,2023-12-27 14:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,71.15001734219283,violet-run-pipeline-gpu-9tnd8-1865815998,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-27 14:30:00+09:00,2024-01-12 06:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,50.34007413793104,violet-run-pipeline-gpu-xxzhb-877654433,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-13 02:45:00+09:00,2024-01-16 17:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,19.12223999999999,violet-run-pipeline-gpu-7w4v6-2132514135,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 18:15:00+09:00,2024-01-17 09:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,0.0,violet-run-pipeline-gpu-67q9p-1369228348,task,PROJECT_1,ns-16904458533318198,TEAM_2,2024-01-17 15:15:00+09:00,2024-01-18 15:15:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,0,gpu-server01:0,19.70717333333333,violet-run-pipeline-gpu-94zlb-89947544,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-18 17:00:00+09:00,2024-01-18 20:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,0,gpu-server01:0,98.66431171458996,violet-run-pipeline-gpu-gcfvp-3319408383,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-01-19 10:30:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,75.40088736702134,violet-run-pipeline-gpu-m46vh-3517775556,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-08 21:15:00+09:00,2023-11-16 17:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,65.75052597402602,violet-run-pipeline-gpu-6pclb-2524450674,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-16 18:15:00+09:00,2023-11-17 13:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,80.98754064303374,violet-run-pipeline-gpu-tz82p-1112139773,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-17 17:00:00+09:00,2023-11-30 08:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,82.563354674221,violet-run-pipeline-gpu-kzhj4-3456783790,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-30 14:45:00+09:00,2023-12-04 07:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,83.40010436590444,violet-run-pipeline-gpu-twzkn-2040448825,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-04 09:15:00+09:00,2023-12-09 09:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,80.08150241228078,violet-run-pipeline-gpu-q6k47-2102910114,task,PROJECT_13,ns-16904409679649498,,2023-12-11 13:30:00+09:00,2023-12-16 07:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,70.93055227272733,violet-run-pipeline-gpu-k279x-435367196,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-17 00:30:00+09:00,2023-12-17 11:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
