pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-hofbl-12219,task,PROJECT_7,ns-13582,TEAM_1,2024-09-06 10:45:41+00:00,2024-09-06 15:57:41+00:00,1,312,5,97.445,A30,n
run-pipeline-gpu-8bjuq-24418,task,PROJECT_11,ns-3741,TEAM_9,2024-09-06 05:24:41+00:00,2024-09-07 16:17:41+00:00,3,2093,3,49.112,A100,n
run-pipeline-gpu-41iea-21907,task,PROJECT_10,ns-29257,TEAM_1,2024-09-02 20:07:41+00:00,2024-09-03 09:56:41+00:00,4,829,5,83.9456,A100,y
run-pipeline-gpu-e8s49-23956,task,PROJECT_17,ns-12419,TEAM_5,2024-08-28 08:37:41+00:00,2024-08-28 18:32:41+00:00,7,595,4,62.7968,A100,n
run-pipeline-gpu-3wzf2-9711,task,PROJECT_2,ns-1142,TEAM_7,2024-09-02 11:22:41+00:00,2024-09-04 03:59:41+00:00,5,2437,3,45.6388,A100,n
run-pipeline-gpu-l1bo9-9950,instance,PROJECT_12,ns-11751,TEAM_4,2024-09-13 09:48:41+00:00,2024-09-13 19:26:41+00:00,2,578,2,33.251,A100,y
run-pipeline-gpu-3263b-18461,task,PROJECT_6,ns-26262,TEAM_3,2024-09-02 17:19:41+00:00,2024-09-03 01:11:41+00:00,4,472,3,41.8859,A100,n
run-pipeline-gpu-4rka3-18017,task,PROJECT_14,ns-26735,TEAM_2,2024-08-28 16:27:41+00:00,2024-08-29 13:17:41+00:00,6,1250,5,84.8731,A100,y
run-pipeline-gpu-z8u52-30733,task,PROJECT_4,ns-8463,TEAM_10,2024-08-29 04:06:41+00:00,2024-08-29 15:09:41+00:00,5,663,2,37.3168,A100,n
run-pipeline-gpu-5a2cc-12766,task,PROJECT_15,ns-22632,TEAM_9,2024-09-08 22:17:41+00:00,2024-09-10 09:47:41+00:00,5,2130,4,69.6803,A100,n
run-pipeline-gpu-d5r1t-32672,task,PROJECT_7,ns-19333,TEAM_5,2024-08-29 18:57:41+00:00,2024-08-30 19:17:41+00:00,2,1460,3,47.2578,A30,y
run-pipeline-gpu-eanj6-31277,task,PROJECT_11,ns-22975,TEAM_10,2024-08-28 08:26:41+00:00,2024-08-30 15:40:41+00:00,3,3314,3,59.6923,A30,y
run-pipeline-gpu-yw2p7-2880,task,PROJECT_20,ns-12777,TEAM_2,2024-08-29 17:37:41+00:00,2024-08-30 11:55:41+00:00,2,1098,5,81.9477,A100,y
run-pipeline-gpu-xuve7-14573,task,PROJECT_7,ns-15921,TEAM_2,2024-08-27 14:00:41+00:00,2024-08-28 09:21:41+00:00,4,1161,5,86.3624,A100,n
run-pipeline-gpu-ei312-28082,task,PROJECT_13,ns-12497,TEAM_6,2024-09-16 13:24:41+00:00,2024-09-19 02:44:41+00:00,3,3680,2,31.5346,A100,y
run-pipeline-gpu-uickd-28542,task,PROJECT_5,ns-22720,TEAM_9,2024-09-02 19:01:41+00:00,2024-09-04 12:01:41+00:00,6,2460,3,40.9501,A100,n
run-pipeline-gpu-cjq3p-10025,task,PROJECT_6,ns-7432,TEAM_6,2024-08-29 21:35:41+00:00,2024-08-31 09:02:41+00:00,3,2127,3,42.361,A100,y
run-pipeline-gpu-w1p8i-19245,task,PROJECT_19,ns-30311,TEAM_4,2024-09-17 16:27:41+00:00,2024-09-19 05:01:41+00:00,6,2194,2,38.3469,A100,y
run-pipeline-gpu-i60kf-17309,task,PROJECT_9,ns-19046,TEAM_2,2024-09-12 03:10:41+00:00,2024-09-13 11:41:41+00:00,1,1951,4,63.9746,A30,n
run-pipeline-gpu-iw3yu-688,task,PROJECT_5,ns-30735,TEAM_5,2024-09-18 12:09:41+00:00,2024-09-18 20:32:41+00:00,3,503,2,35.4832,A30,n
run-pipeline-gpu-cwali-25691,task,PROJECT_4,ns-1506,TEAM_10,2024-08-31 17:37:41+00:00,2024-09-02 19:35:41+00:00,1,2998,2,29.6612,A30,n
run-pipeline-gpu-c14o2-16594,instance,PROJECT_18,ns-450,TEAM_5,2024-09-15 00:17:41+00:00,2024-09-17 02:31:41+00:00,2,3014,3,58.114,A100,n
run-pipeline-gpu-azvh0-2270,task,PROJECT_4,ns-5862,TEAM_5,2024-09-09 19:58:41+00:00,2024-09-11 10:19:41+00:00,1,2301,2,27.7063,A30,n
run-pipeline-gpu-egluq-20592,task,PROJECT_5,ns-29471,TEAM_4,2024-08-28 12:27:41+00:00,2024-08-29 12:08:41+00:00,5,1421,3,43.3089,A100,n
run-pipeline-gpu-lyzob-27358,task,PROJECT_12,ns-7140,TEAM_9,2024-08-30 23:59:41+00:00,2024-09-01 10:28:41+00:00,2,2069,4,72.8674,A100,y
run-pipeline-gpu-zk36m-32165,task,PROJECT_20,ns-7438,TEAM_6,2024-08-30 00:42:41+00:00,2024-08-31 04:37:41+00:00,3,1675,2,32.3215,A100,n
run-pipeline-gpu-a3o0k-423,task,PROJECT_19,ns-22056,TEAM_2,2024-08-28 13:27:41+00:00,2024-08-29 06:20:41+00:00,2,1013,4,72.233,A30,n
run-pipeline-gpu-1hhjt-24642,task,PROJECT_9,ns-26806,TEAM_9,2024-09-07 00:00:41+00:00,2024-09-07 15:07:41+00:00,2,907,3,46.2751,A30,n
run-pipeline-gpu-y3wzq-173,instance,PROJECT_6,ns-14574,TEAM_6,2024-09-11 11:47:41+00:00,2024-09-13 10:11:41+00:00,2,2784,4,63.9112,A100,n
run-pipeline-gpu-77kjm-898,instance,PROJECT_11,ns-25517,TEAM_9,2024-09-03 15:54:41+00:00,2024-09-04 02:41:41+00:00,3,647,2,33.4203,A100,n
run-pipeline-gpu-6lvdr-25950,task,PROJECT_13,ns-20405,TEAM_4,2024-08-28 07:43:41+00:00,2024-08-28 14:17:41+00:00,2,394,2,34.2451,A30,n
run-pipeline-gpu-8aqbr-7932,task,PROJECT_10,ns-25968,TEAM_3,2024-09-10 23:57:41+00:00,2024-09-11 19:52:41+00:00,2,1195,3,59.0722,A30,y
run-pipeline-gpu-si2ne-26680,task,PROJECT_12,ns-20435,TEAM_10,2024-09-10 08:09:41+00:00,2024-09-10 21:01:41+00:00,2,772,4,66.8178,A100,y
run-pipeline-gpu-rlr7b-21721,task,PROJECT_15,ns-16915,TEAM_2,2024-09-12 23:08:41+00:00,2024-09-15 01:24:41+00:00,3,3016,3,52.7582,A30,n
run-pipeline-gpu-w7sf2-25884,task,PROJECT_10,ns-26953,TEAM_4,2024-09-11 12:25:41+00:00,2024-09-12 19:41:41+00:00,3,1876,2,36.5214,A30,n
run-pipeline-gpu-qwp6k-10568,task,PROJECT_15,ns-15930,TEAM_10,2024-09-03 10:24:41+00:00,2024-09-06 10:28:41+00:00,3,4324,5,91.8587,A100,n
run-pipeline-gpu-ystpm-3810,task,PROJECT_5,ns-10970,TEAM_10,2024-08-27 04:37:41+00:00,2024-08-27 06:08:41+00:00,4,91,4,75.0001,A100,n
run-pipeline-gpu-4ajop-10032,task,PROJECT_6,ns-14409,TEAM_4,2024-09-05 20:41:41+00:00,2024-09-07 18:15:41+00:00,3,2734,2,26.2117,A100,y
run-pipeline-gpu-gdo7m-558,task,PROJECT_16,ns-3416,TEAM_7,2024-09-12 03:11:41+00:00,2024-09-12 09:47:41+00:00,3,396,3,58.731,A100,n
run-pipeline-gpu-lq5ah-26150,task,PROJECT_15,ns-15064,TEAM_3,2024-09-07 02:22:41+00:00,2024-09-09 13:07:41+00:00,4,3525,4,78.6001,A100,n
run-pipeline-gpu-0zsw6-2947,instance,PROJECT_13,ns-31295,TEAM_5,2024-09-11 18:13:41+00:00,2024-09-11 20:23:41+00:00,2,130,5,92.644,A30,n
run-pipeline-gpu-kt7ps-26016,task,PROJECT_5,ns-27755,TEAM_1,2024-09-04 12:25:41+00:00,2024-09-06 05:45:41+00:00,2,2480,4,72.6775,A30,y
run-pipeline-gpu-w8229-13463,task,PROJECT_13,ns-24966,TEAM_2,2024-09-14 18:27:41+00:00,2024-09-16 03:45:41+00:00,6,1998,4,65.2319,A100,n
run-pipeline-gpu-ovn94-29032,instance,PROJECT_9,ns-4192,TEAM_2,2024-09-11 21:35:41+00:00,2024-09-14 08:56:41+00:00,3,3561,5,91.7138,A30,n
run-pipeline-gpu-xid0p-27880,task,PROJECT_5,ns-12979,TEAM_6,2024-09-04 01:28:41+00:00,2024-09-04 15:15:41+00:00,1,827,3,57.9658,A100,n
run-pipeline-gpu-jm7wv-852,task,PROJECT_10,ns-3369,TEAM_7,2024-08-31 09:45:41+00:00,2024-09-02 08:53:41+00:00,3,2828,3,57.2581,A100,n
run-pipeline-gpu-psbac-24972,instance,PROJECT_18,ns-19757,TEAM_10,2024-09-17 18:47:41+00:00,2024-09-19 19:29:41+00:00,5,2922,4,77.9943,A100,y
run-pipeline-gpu-v0ui8-22069,task,PROJECT_15,ns-11197,TEAM_2,2024-09-05 05:27:41+00:00,2024-09-05 20:00:41+00:00,5,873,4,74.3793,A100,n
run-pipeline-gpu-82bsx-22606,task,PROJECT_8,ns-15319,TEAM_6,2024-08-28 00:30:41+00:00,2024-08-30 13:57:41+00:00,5,3687,4,64.3472,A100,n
run-pipeline-gpu-50wwo-7693,task,PROJECT_8,ns-1098,TEAM_3,2024-09-07 17:50:41+00:00,2024-09-08 14:51:41+00:00,6,1261,3,53.0515,A100,n
run-pipeline-gpu-czytc-8695,instance,PROJECT_19,ns-20444,TEAM_5,2024-09-07 18:50:41+00:00,2024-09-09 22:56:41+00:00,2,3126,3,54.4625,A30,y
run-pipeline-gpu-r0pt3-6534,task,PROJECT_14,ns-19501,TEAM_3,2024-09-08 10:15:41+00:00,2024-09-09 13:28:41+00:00,2,1633,2,37.6916,A100,y
run-pipeline-gpu-04z16-30698,task,PROJECT_7,ns-28357,TEAM_6,2024-09-08 14:58:41+00:00,2024-09-11 17:14:41+00:00,6,4456,4,76.1632,A100,y
run-pipeline-gpu-x8cja-28833,instance,PROJECT_9,ns-31012,TEAM_5,2024-09-04 14:02:41+00:00,2024-09-06 11:54:41+00:00,1,2752,4,70.3433,A100,n
run-pipeline-gpu-u4tw9-22773,instance,PROJECT_17,ns-10194,TEAM_3,2024-09-16 13:26:41+00:00,2024-09-18 02:36:41+00:00,6,2230,3,58.4369,A100,n
run-pipeline-gpu-f2k2e-5292,task,PROJECT_9,ns-28099,TEAM_9,2024-08-30 04:04:41+00:00,2024-08-31 13:47:41+00:00,1,2023,3,55.4527,A30,n
run-pipeline-gpu-3lnhf-14692,instance,PROJECT_13,ns-25736,TEAM_3,2024-08-30 05:40:41+00:00,2024-09-01 04:45:41+00:00,2,2825,5,88.465,A100,n
run-pipeline-gpu-xw3pu-5495,instance,PROJECT_19,ns-8997,TEAM_8,2024-09-11 05:32:41+00:00,2024-09-12 03:18:41+00:00,3,1306,2,28.6859,A30,n
run-pipeline-gpu-ope6l-6744,task,PROJECT_6,ns-18567,TEAM_1,2024-08-29 07:03:41+00:00,2024-08-30 05:12:41+00:00,3,1329,4,66.1473,A100,n
run-pipeline-gpu-fedaw-8136,task,PROJECT_18,ns-997,TEAM_10,2024-08-28 18:46:41+00:00,2024-08-30 06:56:41+00:00,1,2170,3,40.4167,A30,y
run-pipeline-gpu-j12kf-23640,task,PROJECT_8,ns-5279,TEAM_4,2024-09-12 12:11:41+00:00,2024-09-15 01:50:41+00:00,4,3699,2,35.0287,A100,n
run-pipeline-gpu-nevw6-6413,instance,PROJECT_19,ns-27726,TEAM_10,2024-08-28 23:57:41+00:00,2024-08-31 05:07:41+00:00,2,3190,3,42.6674,A100,n
run-pipeline-gpu-v1byi-24870,task,PROJECT_5,ns-8483,TEAM_1,2024-09-12 19:26:41+00:00,2024-09-12 22:27:41+00:00,4,181,3,50.7163,A100,n
run-pipeline-gpu-10hi0-3153,task,PROJECT_8,ns-975,TEAM_4,2024-09-15 07:32:41+00:00,2024-09-16 05:19:41+00:00,8,1307,2,21.9698,A100,n
run-pipeline-gpu-ctt2m-20692,task,PROJECT_6,ns-17278,TEAM_6,2024-08-29 23:22:41+00:00,2024-09-01 10:02:41+00:00,5,3520,2,38.3752,A100,n
run-pipeline-gpu-my1ql-23666,task,PROJECT_9,ns-25522,TEAM_5,2024-09-08 12:09:41+00:00,2024-09-09 15:28:41+00:00,3,1639,4,79.1625,A100,n
run-pipeline-gpu-mergk-5655,task,PROJECT_7,ns-13061,TEAM_6,2024-09-05 19:34:41+00:00,2024-09-06 00:23:41+00:00,8,289,2,27.5797,A100,n
run-pipeline-gpu-nntua-28562,instance,PROJECT_11,ns-16143,TEAM_3,2024-09-04 20:14:41+00:00,2024-09-05 12:54:41+00:00,1,1000,2,24.7941,A30,n
run-pipeline-gpu-8xbzx-26077,task,PROJECT_1,ns-16653,TEAM_8,2024-09-07 04:17:41+00:00,2024-09-08 11:09:41+00:00,4,1852,3,42.1328,A100,n
run-pipeline-gpu-zbqa5-18380,instance,PROJECT_15,ns-32764,TEAM_10,2024-09-08 12:27:41+00:00,2024-09-10 22:35:41+00:00,4,3488,5,81.0385,A100,n
run-pipeline-gpu-rsq5s-26139,task,PROJECT_19,ns-30781,TEAM_4,2024-09-13 04:54:41+00:00,2024-09-14 14:48:41+00:00,3,2034,4,68.9825,A30,n
run-pipeline-gpu-e09f6-15657,instance,PROJECT_6,ns-3591,TEAM_2,2024-09-14 10:20:41+00:00,2024-09-16 07:24:41+00:00,7,2704,4,63.498,A100,n
run-pipeline-gpu-jmimh-18409,instance,PROJECT_11,ns-30502,TEAM_2,2024-09-04 21:11:41+00:00,2024-09-06 17:16:41+00:00,4,2645,3,45.4006,A100,y
run-pipeline-gpu-863jz-19667,task,PROJECT_6,ns-12774,TEAM_7,2024-09-05 18:20:41+00:00,2024-09-06 04:30:41+00:00,3,610,5,90.8037,A30,n
run-pipeline-gpu-e9lrc-26834,task,PROJECT_2,ns-6674,TEAM_6,2024-09-12 03:35:41+00:00,2024-09-13 11:07:41+00:00,5,1892,4,66.7369,A100,n
run-pipeline-gpu-f889a-12681,instance,PROJECT_8,ns-19054,TEAM_5,2024-08-31 13:25:41+00:00,2024-08-31 18:17:41+00:00,7,292,5,84.5277,A100,n
run-pipeline-gpu-vddv9-20326,task,PROJECT_3,ns-18459,TEAM_2,2024-09-15 03:50:41+00:00,2024-09-15 17:56:41+00:00,2,846,4,68.6778,A100,y
run-pipeline-gpu-42538-14676,task,PROJECT_7,ns-18115,TEAM_1,2024-08-27 06:53:41+00:00,2024-08-28 22:31:41+00:00,6,2378,3,57.9122,A100,n
run-pipeline-gpu-arb2d-5906,task,PROJECT_16,ns-30590,TEAM_8,2024-09-18 11:19:41+00:00,2024-09-18 17:39:41+00:00,4,380,3,48.1481,A100,y
run-pipeline-gpu-wm3ur-3193,task,PROJECT_8,ns-6607,TEAM_3,2024-09-01 02:10:41+00:00,2024-09-01 16:49:41+00:00,7,879,3,56.5573,A100,n
run-pipeline-gpu-li4d8-7986,task,PROJECT_10,ns-15662,TEAM_10,2024-09-12 00:07:41+00:00,2024-09-12 08:27:41+00:00,2,500,4,71.2783,A30,y
run-pipeline-gpu-ezyhq-22959,task,PROJECT_15,ns-6902,TEAM_2,2024-09-09 16:35:41+00:00,2024-09-11 03:12:41+00:00,2,2077,4,70.0931,A100,y
run-pipeline-gpu-19xiv-4453,instance,PROJECT_14,ns-31661,TEAM_3,2024-09-17 02:39:41+00:00,2024-09-17 08:22:41+00:00,6,343,5,92.8365,A100,n
run-pipeline-gpu-jft94-7058,task,PROJECT_18,ns-2056,TEAM_4,2024-09-12 19:00:41+00:00,2024-09-14 00:01:41+00:00,3,1741,3,55.2606,A100,n
run-pipeline-gpu-eef5g-4897,task,PROJECT_6,ns-1304,TEAM_9,2024-09-09 22:38:41+00:00,2024-09-12 05:06:41+00:00,2,3268,5,85.7517,A100,y
run-pipeline-gpu-qrhsj-27481,task,PROJECT_3,ns-7288,TEAM_5,2024-09-13 14:59:41+00:00,2024-09-14 11:29:41+00:00,1,1230,2,25.7992,A30,n
run-pipeline-gpu-g2z6c-13959,task,PROJECT_1,ns-17537,TEAM_9,2024-09-06 14:25:41+00:00,2024-09-08 07:09:41+00:00,4,2444,3,59.9404,A100,y
run-pipeline-gpu-4j1se-5317,task,PROJECT_3,ns-29132,TEAM_2,2024-08-30 09:40:41+00:00,2024-09-01 15:02:41+00:00,3,3202,2,31.2049,A30,n
run-pipeline-gpu-ktncd-32378,task,PROJECT_7,ns-17027,TEAM_2,2024-08-28 01:28:41+00:00,2024-08-30 09:16:41+00:00,1,3348,2,37.726,A30,n
run-pipeline-gpu-fwmxx-24411,instance,PROJECT_17,ns-7510,TEAM_6,2024-09-18 03:11:41+00:00,2024-09-19 16:36:41+00:00,1,2245,4,62.9168,A100,n
run-pipeline-gpu-xodyp-2540,task,PROJECT_10,ns-6417,TEAM_10,2024-09-17 11:02:41+00:00,2024-09-18 01:06:41+00:00,2,844,4,69.3891,A100,n
run-pipeline-gpu-yv86w-16595,task,PROJECT_1,ns-16162,TEAM_2,2024-09-12 10:50:41+00:00,2024-09-12 15:54:41+00:00,8,304,4,75.0507,A100,y
run-pipeline-gpu-e1vhn-14970,task,PROJECT_17,ns-10895,TEAM_4,2024-09-09 09:56:41+00:00,2024-09-12 06:24:41+00:00,3,4108,2,22.0711,A100,y
