pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-uux0p-14061,task,PROJECT_19,ns-32762,TEAM_1,2024-09-08 09:16:47+00:00,2024-09-09 14:27:47+00:00,1,1751,1,2.63,A30,y
run-pipeline-gpu-1zs7l-24669,task,PROJECT_10,ns-26680,TEAM_6,2024-09-02 01:33:47+00:00,2024-09-03 10:41:47+00:00,5,1988,5,88.49,A100,y
run-pipeline-gpu-frkh1-6112,instance,PROJECT_17,ns-20135,TEAM_7,2024-09-04 15:19:47+00:00,2024-09-06 13:44:47+00:00,4,2785,3,42.88,A100,y
run-pipeline-gpu-xzesv-16102,task,PROJECT_10,ns-23201,TEAM_7,2024-09-04 11:24:47+00:00,2024-09-04 19:55:47+00:00,7,511,3,53.36,A100,n
run-pipeline-gpu-mxk2n-24875,task,PROJECT_19,ns-26801,TEAM_5,2024-09-13 22:33:47+00:00,2024-09-14 20:54:47+00:00,1,1341,1,4.41,A30,y
run-pipeline-gpu-g7w0s-16539,task,PROJECT_11,ns-12473,TEAM_9,2024-09-13 00:54:47+00:00,2024-09-14 09:43:47+00:00,6,1969,2,22.41,A100,y
run-pipeline-gpu-x7i1h-20726,instance,PROJECT_14,ns-11711,TEAM_10,2024-09-17 18:42:47+00:00,2024-09-18 06:57:47+00:00,2,735,1,17.63,A30,n
run-pipeline-gpu-8o1rm-23281,instance,PROJECT_13,ns-20075,TEAM_2,2024-09-07 04:16:47+00:00,2024-09-07 12:40:47+00:00,5,504,1,7.93,A100,n
run-pipeline-gpu-m72n9-16635,instance,PROJECT_16,ns-5066,TEAM_2,2024-09-01 17:59:47+00:00,2024-09-03 21:09:47+00:00,6,3070,3,46.22,A100,n
run-pipeline-gpu-b0g4f-777,task,PROJECT_19,ns-23585,TEAM_10,2024-09-10 11:17:47+00:00,2024-09-10 15:42:47+00:00,1,265,2,31.72,A30,n
run-pipeline-gpu-o5ac2-5374,task,PROJECT_2,ns-1129,TEAM_6,2024-08-30 22:49:47+00:00,2024-09-01 05:18:47+00:00,3,1829,5,85.11,A100,n
run-pipeline-gpu-nmgtl-7867,task,PROJECT_20,ns-18551,TEAM_6,2024-09-10 20:49:47+00:00,2024-09-13 03:16:47+00:00,4,3267,5,97.25,A30,n
run-pipeline-gpu-r2iqe-1495,task,PROJECT_5,ns-20246,TEAM_3,2024-09-11 13:55:47+00:00,2024-09-13 14:05:47+00:00,4,2890,3,43.36,A100,y
run-pipeline-gpu-acp0x-11267,task,PROJECT_12,ns-20778,TEAM_7,2024-09-11 01:53:47+00:00,2024-09-11 11:30:47+00:00,4,577,2,24.31,A30,y
run-pipeline-gpu-jaog4-20929,task,PROJECT_7,ns-5992,TEAM_6,2024-08-29 11:36:47+00:00,2024-08-31 10:03:47+00:00,4,2787,4,63.2,A100,n
run-pipeline-gpu-9nmq8-14492,task,PROJECT_20,ns-24306,TEAM_10,2024-09-16 00:48:47+00:00,2024-09-17 23:25:47+00:00,1,2797,2,22.11,A30,n
run-pipeline-gpu-anddk-16931,task,PROJECT_5,ns-22109,TEAM_2,2024-09-04 20:21:47+00:00,2024-09-05 21:30:47+00:00,5,1509,1,18.43,A100,y
run-pipeline-gpu-xwek7-20545,task,PROJECT_16,ns-25169,TEAM_5,2024-09-03 19:11:47+00:00,2024-09-04 09:14:47+00:00,7,843,4,76.14,A100,y
run-pipeline-gpu-hho3a-9662,task,PROJECT_10,ns-26626,TEAM_1,2024-09-15 16:28:47+00:00,2024-09-16 15:48:47+00:00,5,1400,5,94.67,A100,y
run-pipeline-gpu-jeevx-1107,task,PROJECT_17,ns-28083,TEAM_3,2024-08-28 04:48:47+00:00,2024-08-30 02:04:47+00:00,4,2716,5,92.06,A100,n
run-pipeline-gpu-uiv25-4408,task,PROJECT_12,ns-18710,TEAM_4,2024-09-13 15:52:47+00:00,2024-09-15 05:37:47+00:00,3,2265,4,72.16,A30,n
run-pipeline-gpu-p8dl2-2789,task,PROJECT_14,ns-160,TEAM_6,2024-09-10 00:12:47+00:00,2024-09-11 04:03:47+00:00,1,1671,2,29.79,A30,y
run-pipeline-gpu-90o7r-29924,instance,PROJECT_9,ns-15731,TEAM_6,2024-08-27 14:41:47+00:00,2024-08-28 16:35:47+00:00,3,1554,4,70.41,A30,n
run-pipeline-gpu-jcfj6-13747,task,PROJECT_20,ns-18732,TEAM_7,2024-09-13 00:45:47+00:00,2024-09-14 03:20:47+00:00,6,1595,2,26.13,A100,y
run-pipeline-gpu-clozl-4685,task,PROJECT_6,ns-32063,TEAM_1,2024-09-01 11:50:47+00:00,2024-09-03 04:52:47+00:00,3,2462,1,12.16,A30,y
run-pipeline-gpu-qmccm-8296,task,PROJECT_10,ns-11003,TEAM_4,2024-08-30 05:48:47+00:00,2024-09-01 00:21:47+00:00,4,2553,4,67.43,A100,y
run-pipeline-gpu-ecidc-19565,task,PROJECT_14,ns-9219,TEAM_1,2024-09-01 14:45:47+00:00,2024-09-04 01:59:47+00:00,1,3554,4,71.82,A100,y
run-pipeline-gpu-89fbn-11142,task,PROJECT_2,ns-6153,TEAM_10,2024-08-30 20:00:47+00:00,2024-08-31 13:37:47+00:00,2,1057,5,93.5,A30,n
run-pipeline-gpu-fc8dy-1686,task,PROJECT_11,ns-30900,TEAM_6,2024-09-04 18:41:47+00:00,2024-09-06 10:55:47+00:00,1,2414,3,54.06,A100,n
run-pipeline-gpu-iv987-24526,task,PROJECT_4,ns-4931,TEAM_9,2024-08-31 01:35:47+00:00,2024-08-31 14:14:47+00:00,8,759,3,54.87,A100,n
run-pipeline-gpu-jgz2o-2314,task,PROJECT_7,ns-28121,TEAM_3,2024-09-18 08:22:47+00:00,2024-09-19 19:32:47+00:00,6,2110,4,79.01,A100,n
run-pipeline-gpu-lx79q-7876,task,PROJECT_18,ns-6454,TEAM_5,2024-09-10 04:37:47+00:00,2024-09-11 09:37:47+00:00,1,1740,1,8.34,A30,y
run-pipeline-gpu-r1jdl-15807,task,PROJECT_18,ns-16143,TEAM_10,2024-09-06 01:30:47+00:00,2024-09-08 04:49:47+00:00,5,3079,3,52.21,A100,n
run-pipeline-gpu-yrh07-2033,task,PROJECT_17,ns-2481,TEAM_4,2024-09-02 02:19:47+00:00,2024-09-03 00:54:47+00:00,3,1355,1,11.14,A100,y
run-pipeline-gpu-g6wdk-19221,instance,PROJECT_7,ns-5016,TEAM_5,2024-09-09 06:20:47+00:00,2024-09-11 06:56:47+00:00,3,2916,5,94.27,A30,n
run-pipeline-gpu-7h2r4-31340,task,PROJECT_16,ns-8991,TEAM_8,2024-09-06 01:11:47+00:00,2024-09-06 11:12:47+00:00,3,601,4,70.03,A30,y
run-pipeline-gpu-9ruym-16995,task,PROJECT_10,ns-22668,TEAM_1,2024-09-03 07:30:47+00:00,2024-09-03 08:11:47+00:00,2,41,3,48.34,A100,n
