pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-msw8c-22860,task,PROJECT_18,ns-7887,TEAM_9,2024-10-19 15:42:05+00:00,2024-10-22 03:42:05+00:00,6,3600,2,20.0986,A100,n
run-pipeline-gpu-dih4v-14469,task,PROJECT_18,ns-2317,TEAM_5,2024-11-07 00:41:05+00:00,2024-11-08 10:01:05+00:00,3,2000,2,34.3605,A30,n
run-pipeline-gpu-1sbxv-32053,task,PROJECT_12,ns-18140,TEAM_5,2024-10-27 14:19:05+00:00,2024-10-28 03:39:05+00:00,4,800,2,25.1786,A100,n
run-pipeline-gpu-02nl5-12937,task,PROJECT_13,ns-21292,TEAM_8,2024-11-05 14:45:05+00:00,2024-11-08 02:45:05+00:00,7,3600,2,22.1416,A100,n
run-pipeline-gpu-byczm-27530,task,PROJECT_7,ns-31744,TEAM_1,2024-11-04 19:02:05+00:00,2024-11-05 15:02:05+00:00,5,1200,2,26.2986,A100,n
run-pipeline-gpu-va72w-8182,task,PROJECT_8,ns-26807,TEAM_5,2024-10-19 23:12:05+00:00,2024-10-22 07:52:05+00:00,5,3400,2,27.2575,A100,n
run-pipeline-gpu-z1n7i-8705,task,PROJECT_16,ns-17762,TEAM_2,2024-10-22 23:28:05+00:00,2024-10-24 12:08:05+00:00,2,2200,2,37.5818,A100,y
run-pipeline-gpu-3eyul-26946,task,PROJECT_16,ns-1127,TEAM_4,2024-10-29 18:25:05+00:00,2024-10-30 17:45:05+00:00,6,1400,2,27.5837,A100,n
run-pipeline-gpu-0hbva-28240,task,PROJECT_1,ns-28400,TEAM_9,2024-10-19 19:53:05+00:00,2024-10-22 07:53:05+00:00,4,3600,2,20.0662,A100,n
run-pipeline-gpu-w1o9t-21476,task,PROJECT_4,ns-17922,TEAM_8,2024-11-01 14:57:05+00:00,2024-11-03 06:57:05+00:00,2,2400,2,21.3165,A100,n
run-pipeline-gpu-hlsyn-28029,task,PROJECT_2,ns-20785,TEAM_9,2024-10-23 09:48:05+00:00,2024-10-23 23:08:05+00:00,6,800,2,26.3664,A100,n
run-pipeline-gpu-ehlsa-10443,instance,PROJECT_12,ns-13640,TEAM_5,2024-10-27 15:19:05+00:00,2024-10-28 17:59:05+00:00,3,1600,2,35.8057,A30,n
run-pipeline-gpu-4821b-18040,task,PROJECT_13,ns-7262,TEAM_3,2024-11-06 10:48:05+00:00,2024-11-08 06:08:05+00:00,7,2600,3,42.2959,A100,n
run-pipeline-gpu-lun2a-30731,instance,PROJECT_11,ns-27182,TEAM_2,2024-10-26 11:55:05+00:00,2024-10-27 17:55:05+00:00,4,1800,2,22.1474,A100,n
run-pipeline-gpu-peadd-13293,task,PROJECT_11,ns-15026,TEAM_7,2024-11-10 09:03:05+00:00,2024-11-12 01:03:05+00:00,6,2400,2,30.6373,A100,n
run-pipeline-gpu-bdtj6-11738,instance,PROJECT_19,ns-3659,TEAM_4,2024-10-22 20:45:05+00:00,2024-10-25 02:05:05+00:00,2,3200,3,57.1921,A100,n
run-pipeline-gpu-3isj5-12628,task,PROJECT_7,ns-7679,TEAM_8,2024-11-08 05:54:05+00:00,2024-11-09 11:54:05+00:00,6,1800,2,27.208,A100,y
run-pipeline-gpu-sda52-27837,task,PROJECT_4,ns-11153,TEAM_9,2024-11-07 19:45:05+00:00,2024-11-08 22:25:05+00:00,3,1600,2,25.3105,A100,n
run-pipeline-gpu-7imxz-24395,instance,PROJECT_2,ns-3202,TEAM_1,2024-11-02 12:58:05+00:00,2024-11-04 01:38:05+00:00,6,2200,2,29.0518,A100,n
run-pipeline-gpu-evbx7-24828,instance,PROJECT_14,ns-31805,TEAM_5,2024-10-26 09:22:05+00:00,2024-10-28 21:22:05+00:00,1,3600,2,27.7464,A100,n
run-pipeline-gpu-7yfzi-29478,task,PROJECT_15,ns-16633,TEAM_6,2024-10-28 04:17:05+00:00,2024-10-29 00:17:05+00:00,6,1200,3,46.7389,A100,n
run-pipeline-gpu-36u4a-348,task,PROJECT_2,ns-12306,TEAM_6,2024-10-20 21:43:05+00:00,2024-10-22 20:23:05+00:00,7,2800,3,45.9868,A100,y
run-pipeline-gpu-9hj1m-17860,task,PROJECT_16,ns-29171,TEAM_4,2024-10-25 21:41:05+00:00,2024-10-27 00:21:05+00:00,3,1600,2,34.9093,A30,n
run-pipeline-gpu-l5cef-28942,instance,PROJECT_2,ns-23234,TEAM_9,2024-11-04 08:29:05+00:00,2024-11-05 21:09:05+00:00,7,2200,2,34.6181,A100,n
run-pipeline-gpu-chh6x-21926,task,PROJECT_5,ns-5224,TEAM_4,2024-10-30 15:51:05+00:00,2024-10-31 15:11:05+00:00,8,1400,2,30.7637,A100,n
run-pipeline-gpu-moslx-30435,instance,PROJECT_7,ns-32686,TEAM_10,2024-10-30 06:51:05+00:00,2024-10-31 19:31:05+00:00,5,2200,2,25.1783,A100,n
run-pipeline-gpu-v0dcm-20540,task,PROJECT_4,ns-28042,TEAM_1,2024-11-05 13:34:05+00:00,2024-11-06 16:14:05+00:00,5,1600,2,33.597,A100,y
run-pipeline-gpu-fl52l-15811,task,PROJECT_7,ns-28368,TEAM_2,2024-10-28 09:24:05+00:00,2024-10-30 04:44:05+00:00,7,2600,2,20.4313,A100,y
run-pipeline-gpu-o3rp2-30335,task,PROJECT_18,ns-18396,TEAM_10,2024-11-01 15:37:05+00:00,2024-11-02 18:17:05+00:00,1,1600,2,33.728,A100,y
run-pipeline-gpu-s8hwx-21086,instance,PROJECT_16,ns-26358,TEAM_8,2024-10-24 17:57:05+00:00,2024-10-25 20:37:05+00:00,3,1600,2,33.9991,A30,n
run-pipeline-gpu-svh38-28870,task,PROJECT_13,ns-24450,TEAM_2,2024-10-31 09:25:05+00:00,2024-11-02 14:45:05+00:00,5,3200,3,48.2484,A100,n
