node,gpu_number,GPU,gpu_utilization,pod_name,pod_type,namespace,type_color,project_color,start_time,end_time
gpu-server01,0,gpu-server01:0,91.52603937007872,violet-run-pipeline-gpu-s4h6v-8936386,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-03 15:00:00+00:00,2023-11-06 06:30:00+00:00
gpu-server01,0,gpu-server01:0,77.39303906250001,violet-run-pipeline-gpu-ftgl7-7014103,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-07 09:00:00+00:00,2023-11-08 01:00:00+00:00
gpu-server01,0,gpu-server01:0,68.49939107692305,violet-run-pipeline-gpu-kb27t-3379495359,task,ns-16904374776309414,red,"(0.29545293465748007, 0.0, 1.0, 1.0)",2023-11-09 07:30:00+00:00,2023-11-12 16:45:00+00:00
gpu-server01,0,gpu-server01:0,0.0,violet-run-pipeline-gpu-ff44j-3079852243,task,ns-16904458533318198,red,"(1.0, 0.0, 0.0, 1.0)",2023-11-13 05:45:00+00:00,2023-11-13 06:30:00+00:00
gpu-server01,0,gpu-server01:0,34.49949019274378,violet-run-pipeline-gpu-xnpsz-830121636,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-14 05:45:00+00:00,2023-12-20 23:45:00+00:00
gpu-server01,0,gpu-server01:0,93.1611245322245,violet-run-pipeline-gpu-fftp4-1617571953,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-22 05:00:00+00:00,2023-12-27 05:15:00+00:00
gpu-server01,0,gpu-server01:0,71.15001734219283,violet-run-pipeline-gpu-9tnd8-1865815998,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-27 05:30:00+00:00,2024-01-11 21:45:00+00:00
gpu-server01,0,gpu-server01:0,50.34007413793104,violet-run-pipeline-gpu-xxzhb-877654433,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-12 17:45:00+00:00,2024-01-16 08:45:00+00:00
gpu-server01,0,gpu-server01:0,19.12223999999999,violet-run-pipeline-gpu-7w4v6-2132514135,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-16 09:15:00+00:00,2024-01-17 00:15:00+00:00
gpu-server01,0,gpu-server01:0,0.0,violet-run-pipeline-gpu-67q9p-1369228348,task,ns-16904458533318198,red,"(1.0, 0.0, 0.0, 1.0)",2024-01-17 06:15:00+00:00,2024-01-18 06:15:00+00:00
gpu-server01,0,gpu-server01:0,19.70717333333333,violet-run-pipeline-gpu-94zlb-89947544,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-18 08:00:00+00:00,2024-01-18 11:45:00+00:00
gpu-server01,0,gpu-server01:0,98.6693034562212,violet-run-pipeline-gpu-gcfvp-3319408383,task,ns-16904374776309414,red,"(0.29545293465748007, 0.0, 1.0, 1.0)",2024-01-19 01:30:00+00:00,2024-02-01 15:00:00+00:00
gpu-server01,1,gpu-server01:1,92.7652728346456,violet-run-pipeline-gpu-s4h6v-8936386,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-03 15:00:00+00:00,2023-11-06 06:30:00+00:00
gpu-server01,1,gpu-server01:1,0.0,violet-run-pipeline-gpu-hlt2n-2188368213,task,ns-16904458533318198,red,"(1.0, 0.0, 0.0, 1.0)",2023-11-07 08:00:00+00:00,2023-11-07 08:15:00+00:00
gpu-server01,1,gpu-server01:1,75.29947093023249,violet-run-pipeline-gpu-m46vh-3517775556,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-07 09:15:00+00:00,2023-11-16 08:15:00+00:00
gpu-server01,1,gpu-server01:1,65.75052597402602,violet-run-pipeline-gpu-6pclb-2524450674,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-16 09:15:00+00:00,2023-11-17 04:30:00+00:00
gpu-server01,1,gpu-server01:1,80.98754064303374,violet-run-pipeline-gpu-tz82p-1112139773,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-17 08:00:00+00:00,2023-11-29 23:15:00+00:00
gpu-server01,1,gpu-server01:1,82.563354674221,violet-run-pipeline-gpu-kzhj4-3456783790,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-11-30 05:45:00+00:00,2023-12-03 22:00:00+00:00
gpu-server01,1,gpu-server01:1,83.40010436590444,violet-run-pipeline-gpu-twzkn-2040448825,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-04 00:15:00+00:00,2023-12-09 00:30:00+00:00
gpu-server01,1,gpu-server01:1,80.08150241228078,violet-run-pipeline-gpu-q6k47-2102910114,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-11 04:30:00+00:00,2023-12-15 22:30:00+00:00
gpu-server01,1,gpu-server01:1,70.93055227272733,violet-run-pipeline-gpu-k279x-435367196,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-16 15:30:00+00:00,2023-12-17 02:30:00+00:00
gpu-server01,1,gpu-server01:1,70.4511422222222,violet-run-pipeline-gpu-w5kwp-2895921023,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-18 23:45:00+00:00,2023-12-19 11:00:00+00:00
gpu-server01,1,gpu-server01:1,0.0,violet-run-pipeline-gpu-8fz2m-3120019794,task,ns-16904458533318198,red,"(1.0, 0.0, 0.0, 1.0)",2023-12-20 06:00:00+00:00,2023-12-20 07:30:00+00:00
gpu-server01,1,gpu-server01:1,69.29213541528249,violet-run-pipeline-gpu-9tnd8-1865815998,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2023-12-27 05:30:00+00:00,2024-01-11 21:45:00+00:00
gpu-server01,1,gpu-server01:1,54.330018181818176,violet-run-pipeline-gpu-l9s84-913604121,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-12 14:45:00+00:00,2024-01-12 17:30:00+00:00
gpu-server01,1,gpu-server01:1,48.65993649425284,violet-run-pipeline-gpu-xxzhb-877654433,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-12 17:45:00+00:00,2024-01-16 08:45:00+00:00
gpu-server01,1,gpu-server01:1,25.991276666666657,violet-run-pipeline-gpu-7w4v6-2132514135,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-16 09:15:00+00:00,2024-01-17 00:15:00+00:00
gpu-server01,1,gpu-server01:1,30.36078,violet-run-pipeline-gpu-6dfwt-2996314336,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-17 04:00:00+00:00,2024-01-17 06:30:00+00:00
gpu-server01,1,gpu-server01:1,37.6088,violet-run-pipeline-gpu-94zlb-89947544,task,ns-16904409679649498,red,"(0.0, 0.7784117755708665, 1.0, 1.0)",2024-01-18 08:00:00+00:00,2024-01-18 11:45:00+00:00
gpu-server01,1,gpu-server01:1,98.550866513057,violet-run-pipeline-gpu-gcfvp-3319408383,task,ns-16904374776309414,red,"(0.29545293465748007, 0.0, 1.0, 1.0)",2024-01-19 01:30:00+00:00,2024-02-01 15:00:00+00:00
