pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-6flt2-27305,task,PROJECT_6,ns-19447,TEAM_2,2024-11-10 16:01:50+00:00,2024-11-13 04:01:50+00:00,2,3600,4,73.097,A100,n
run-pipeline-gpu-xnagq-4318,task,PROJECT_19,ns-3980,TEAM_10,2024-11-02 17:42:50+00:00,2024-11-02 18:39:50+00:00,6,57,3,52.6858,A100,n
run-pipeline-gpu-7phbk-4903,task,PROJECT_1,ns-21043,TEAM_9,2024-10-30 16:37:50+00:00,2024-11-02 04:37:50+00:00,3,3600,3,49.093,A30,n
run-pipeline-gpu-qyr33-16091,task,PROJECT_4,ns-27984,TEAM_7,2024-10-21 16:42:50+00:00,2024-10-24 04:42:50+00:00,1,3600,4,68.3138,A100,y
run-pipeline-gpu-4crza-19216,task,PROJECT_18,ns-28281,TEAM_3,2024-10-30 14:17:50+00:00,2024-11-02 02:17:50+00:00,6,3600,3,54.6866,A100,n
run-pipeline-gpu-6pnaw-3524,task,PROJECT_20,ns-30742,TEAM_5,2024-10-28 17:16:50+00:00,2024-10-30 14:48:50+00:00,6,2732,3,51.3038,A100,n
run-pipeline-gpu-w09bz-7788,task,PROJECT_16,ns-27521,TEAM_1,2024-11-07 09:18:50+00:00,2024-11-09 21:18:50+00:00,1,3600,3,52.4853,A100,n
run-pipeline-gpu-vem4v-5681,instance,PROJECT_20,ns-16890,TEAM_8,2024-10-29 19:44:50+00:00,2024-11-01 07:44:50+00:00,7,3600,2,20.0107,A100,n
run-pipeline-gpu-m1u7z-15712,instance,PROJECT_14,ns-24810,TEAM_3,2024-10-31 03:20:50+00:00,2024-11-02 15:20:50+00:00,7,3600,2,31.0436,A100,n
run-pipeline-gpu-ru5pz-5851,task,PROJECT_1,ns-24388,TEAM_1,2024-11-07 08:21:50+00:00,2024-11-09 20:21:50+00:00,3,3600,5,90.3915,A30,n
run-pipeline-gpu-k328e-11656,task,PROJECT_19,ns-27919,TEAM_6,2024-11-09 12:53:50+00:00,2024-11-09 13:19:50+00:00,2,26,4,70.948,A100,n
run-pipeline-gpu-t2kei-7443,task,PROJECT_2,ns-11095,TEAM_10,2024-11-12 03:13:50+00:00,2024-11-12 03:26:50+00:00,3,13,5,96.9561,A30,n
run-pipeline-gpu-hcwxs-22148,task,PROJECT_15,ns-4634,TEAM_1,2024-10-26 23:41:50+00:00,2024-10-29 11:41:50+00:00,4,3600,2,35.7113,A100,y
run-pipeline-gpu-v6bs5-27248,task,PROJECT_17,ns-21225,TEAM_4,2024-10-26 23:33:50+00:00,2024-10-26 23:51:50+00:00,2,18,4,71.0785,A30,n
run-pipeline-gpu-c3yeh-32209,instance,PROJECT_9,ns-19031,TEAM_7,2024-10-29 13:13:50+00:00,2024-11-01 01:13:50+00:00,1,3600,4,71.4842,A30,y
run-pipeline-gpu-4alzj-19401,task,PROJECT_7,ns-22386,TEAM_10,2024-10-23 05:58:50+00:00,2024-10-23 06:25:50+00:00,4,27,3,42.0077,A100,n
run-pipeline-gpu-a9ror-1499,task,PROJECT_16,ns-10188,TEAM_10,2024-11-02 22:45:50+00:00,2024-11-05 10:45:50+00:00,6,3600,3,47.2396,A100,n
run-pipeline-gpu-sc9k9-21859,instance,PROJECT_11,ns-32744,TEAM_8,2024-10-30 04:22:50+00:00,2024-10-31 14:40:50+00:00,2,2058,4,62.1979,A100,y
run-pipeline-gpu-4wx5m-1105,task,PROJECT_2,ns-4872,TEAM_10,2024-11-11 19:51:50+00:00,2024-11-14 07:51:50+00:00,3,3600,5,91.6872,A100,y
run-pipeline-gpu-9aa6b-14445,instance,PROJECT_13,ns-27306,TEAM_5,2024-10-26 19:51:50+00:00,2024-10-29 07:51:50+00:00,6,3600,4,65.86,A100,y
run-pipeline-gpu-lti9g-953,task,PROJECT_6,ns-32057,TEAM_2,2024-10-28 03:20:50+00:00,2024-10-30 15:20:50+00:00,6,3600,3,55.1706,A100,n
run-pipeline-gpu-rxdxf-9642,task,PROJECT_14,ns-13498,TEAM_8,2024-10-25 18:41:50+00:00,2024-10-25 19:25:50+00:00,7,44,4,60.0209,A100,n
run-pipeline-gpu-of9wh-1093,instance,PROJECT_9,ns-6529,TEAM_1,2024-11-09 02:47:50+00:00,2024-11-09 03:25:50+00:00,2,38,2,37.002,A100,n
run-pipeline-gpu-zuhlh-29037,task,PROJECT_7,ns-27184,TEAM_3,2024-11-06 23:43:50+00:00,2024-11-09 11:43:50+00:00,6,3600,2,34.7087,A100,n
run-pipeline-gpu-x1ll2-4070,task,PROJECT_1,ns-29067,TEAM_3,2024-10-24 19:02:50+00:00,2024-10-27 07:02:50+00:00,2,3600,3,44.4183,A100,n
run-pipeline-gpu-g7bdk-27852,task,PROJECT_3,ns-13292,TEAM_6,2024-11-07 22:20:50+00:00,2024-11-10 10:20:50+00:00,2,3600,2,21.31,A100,n
run-pipeline-gpu-d7djd-30111,instance,PROJECT_1,ns-26970,TEAM_6,2024-11-08 05:40:50+00:00,2024-11-08 07:50:50+00:00,6,130,3,40.8769,A100,n
run-pipeline-gpu-7lacv-10254,instance,PROJECT_13,ns-30348,TEAM_4,2024-11-07 15:23:50+00:00,2024-11-07 15:39:50+00:00,7,16,2,28.7177,A100,n
run-pipeline-gpu-acpb4-28,task,PROJECT_8,ns-1634,TEAM_4,2024-11-05 18:11:50+00:00,2024-11-08 06:11:50+00:00,1,3600,5,91.1582,A30,n
run-pipeline-gpu-k8pyf-4710,task,PROJECT_18,ns-22174,TEAM_10,2024-11-05 17:55:50+00:00,2024-11-08 05:55:50+00:00,1,3600,5,84.5504,A30,y
run-pipeline-gpu-4zgau-15236,instance,PROJECT_16,ns-3547,TEAM_10,2024-11-09 02:35:50+00:00,2024-11-11 04:21:50+00:00,4,2986,4,69.6983,A100,y
run-pipeline-gpu-8a34r-10980,task,PROJECT_2,ns-22040,TEAM_10,2024-11-06 06:17:50+00:00,2024-11-06 07:13:50+00:00,2,56,3,51.1281,A100,y
run-pipeline-gpu-ihe8t-7821,task,PROJECT_1,ns-20051,TEAM_10,2024-11-08 23:12:50+00:00,2024-11-11 11:12:50+00:00,2,3600,5,89.8414,A100,y
run-pipeline-gpu-lovhx-13993,task,PROJECT_8,ns-32518,TEAM_10,2024-10-21 08:25:50+00:00,2024-10-21 08:38:50+00:00,2,13,5,81.1003,A100,n
run-pipeline-gpu-4ywo1-10959,task,PROJECT_2,ns-10371,TEAM_9,2024-10-29 08:38:50+00:00,2024-10-29 12:15:50+00:00,3,217,3,43.5878,A100,y
run-pipeline-gpu-kq5c0-12379,task,PROJECT_20,ns-20355,TEAM_6,2024-11-07 07:58:50+00:00,2024-11-09 19:58:50+00:00,1,3600,4,63.2074,A100,n
run-pipeline-gpu-ljvl0-22619,task,PROJECT_14,ns-11108,TEAM_8,2024-11-08 01:15:50+00:00,2024-11-10 13:15:50+00:00,7,3600,4,63.9717,A100,n
run-pipeline-gpu-625m1-25818,instance,PROJECT_20,ns-23275,TEAM_6,2024-11-05 05:37:50+00:00,2024-11-05 09:17:50+00:00,1,220,3,52.4367,A30,n
run-pipeline-gpu-ne9x4-24717,task,PROJECT_8,ns-22403,TEAM_6,2024-10-27 19:54:50+00:00,2024-10-30 07:54:50+00:00,2,3600,2,26.4446,A30,n
run-pipeline-gpu-d8qfm-28978,task,PROJECT_19,ns-21583,TEAM_8,2024-11-06 01:44:50+00:00,2024-11-08 13:44:50+00:00,2,3600,2,35.9358,A30,y
run-pipeline-gpu-hfah5-15391,task,PROJECT_9,ns-23954,TEAM_10,2024-11-10 19:05:50+00:00,2024-11-13 07:05:50+00:00,1,3600,3,47.9186,A30,n
run-pipeline-gpu-848xc-5585,instance,PROJECT_17,ns-30250,TEAM_7,2024-11-08 16:08:50+00:00,2024-11-08 21:19:50+00:00,2,311,2,28.0051,A30,n
run-pipeline-gpu-caqtv-26751,task,PROJECT_18,ns-27712,TEAM_8,2024-11-09 20:32:50+00:00,2024-11-12 08:32:50+00:00,2,3600,4,75.7082,A100,y
run-pipeline-gpu-179od-4858,task,PROJECT_17,ns-31572,TEAM_3,2024-10-21 16:23:50+00:00,2024-10-22 05:00:50+00:00,4,757,3,41.8068,A100,n
run-pipeline-gpu-exdgz-18531,task,PROJECT_6,ns-24907,TEAM_8,2024-11-04 13:55:50+00:00,2024-11-07 01:55:50+00:00,2,3600,4,78.2382,A30,y
run-pipeline-gpu-uaopr-634,task,PROJECT_17,ns-7476,TEAM_7,2024-11-11 17:26:50+00:00,2024-11-14 05:26:50+00:00,4,3600,2,28.2571,A100,n
run-pipeline-gpu-sdbys-13211,task,PROJECT_15,ns-29140,TEAM_2,2024-11-01 23:28:50+00:00,2024-11-01 23:45:50+00:00,5,17,2,38.2616,A100,n
run-pipeline-gpu-rw5db-25243,task,PROJECT_7,ns-19259,TEAM_10,2024-10-22 04:54:50+00:00,2024-10-22 05:19:50+00:00,7,25,4,66.1428,A100,y
run-pipeline-gpu-fnq9t-2599,task,PROJECT_7,ns-7668,TEAM_7,2024-10-24 20:46:50+00:00,2024-10-24 21:30:50+00:00,1,44,5,90.8125,A100,y
run-pipeline-gpu-ijxj0-18007,task,PROJECT_14,ns-3982,TEAM_4,2024-11-02 05:41:50+00:00,2024-11-02 06:10:50+00:00,5,29,5,86.6183,A100,y
run-pipeline-gpu-10tiw-24202,task,PROJECT_6,ns-909,TEAM_9,2024-11-06 06:12:50+00:00,2024-11-08 18:12:50+00:00,3,3600,5,97.8579,A100,n
run-pipeline-gpu-fpadt-24271,task,PROJECT_12,ns-21763,TEAM_6,2024-10-28 22:38:50+00:00,2024-10-28 23:22:50+00:00,3,44,3,49.2866,A100,n
run-pipeline-gpu-7hzxt-2911,task,PROJECT_15,ns-25699,TEAM_7,2024-11-09 19:11:50+00:00,2024-11-09 19:38:50+00:00,3,27,4,61.6228,A100,n
run-pipeline-gpu-x0mr5-20988,task,PROJECT_3,ns-592,TEAM_5,2024-11-06 19:45:50+00:00,2024-11-06 20:36:50+00:00,5,51,5,92.809,A100,n
run-pipeline-gpu-l3liw-18475,task,PROJECT_3,ns-29549,TEAM_6,2024-11-11 22:51:50+00:00,2024-11-12 03:28:50+00:00,5,277,4,73.2628,A100,n
run-pipeline-gpu-9g99y-4773,task,PROJECT_13,ns-7808,TEAM_9,2024-10-24 08:29:50+00:00,2024-10-24 09:16:50+00:00,4,47,2,37.6571,A100,n
run-pipeline-gpu-1z3pf-4467,task,PROJECT_20,ns-15718,TEAM_9,2024-10-22 16:30:50+00:00,2024-10-25 04:30:50+00:00,2,3600,3,55.9146,A100,n
run-pipeline-gpu-3rhn9-11666,task,PROJECT_4,ns-29350,TEAM_8,2024-10-25 08:17:50+00:00,2024-10-27 20:17:50+00:00,2,3600,5,96.4466,A100,y
run-pipeline-gpu-h5xg8-30735,task,PROJECT_10,ns-16552,TEAM_1,2024-10-22 01:48:50+00:00,2024-10-22 02:47:50+00:00,7,59,3,42.9997,A100,n
run-pipeline-gpu-bq47x-16383,task,PROJECT_11,ns-23767,TEAM_1,2024-11-11 08:19:50+00:00,2024-11-11 11:40:50+00:00,1,201,5,84.0991,A30,n
run-pipeline-gpu-1640e-11199,task,PROJECT_7,ns-2107,TEAM_6,2024-10-28 14:00:50+00:00,2024-10-31 02:00:50+00:00,4,3600,2,30.8834,A100,n
run-pipeline-gpu-dppu1-2901,task,PROJECT_7,ns-18515,TEAM_4,2024-10-26 14:14:50+00:00,2024-10-26 14:39:50+00:00,4,25,5,91.5865,A100,n
run-pipeline-gpu-3ba2b-21756,task,PROJECT_20,ns-24105,TEAM_7,2024-11-03 09:50:50+00:00,2024-11-03 10:28:50+00:00,3,38,2,39.2916,A30,y
run-pipeline-gpu-zosia-23061,task,PROJECT_17,ns-32515,TEAM_7,2024-10-21 01:33:50+00:00,2024-10-21 23:54:50+00:00,5,1341,3,56.5441,A100,n
run-pipeline-gpu-8szje-4625,task,PROJECT_4,ns-26902,TEAM_5,2024-11-06 13:31:50+00:00,2024-11-09 01:31:50+00:00,6,3600,2,21.3793,A100,y
run-pipeline-gpu-p5ffo-10773,task,PROJECT_8,ns-18473,TEAM_7,2024-11-06 02:58:50+00:00,2024-11-06 10:23:50+00:00,1,445,5,87.4265,A30,y
run-pipeline-gpu-n5l19-11114,instance,PROJECT_20,ns-18702,TEAM_7,2024-11-12 07:32:50+00:00,2024-11-12 08:19:50+00:00,1,47,2,26.4671,A100,n
run-pipeline-gpu-axyno-20464,task,PROJECT_17,ns-2131,TEAM_1,2024-10-22 23:50:50+00:00,2024-10-23 02:52:50+00:00,6,182,5,87.6125,A100,n
run-pipeline-gpu-4fff1-21293,task,PROJECT_15,ns-1950,TEAM_8,2024-10-28 11:41:50+00:00,2024-10-28 11:54:50+00:00,2,13,4,60.9736,A100,n
run-pipeline-gpu-qzlbf-1977,task,PROJECT_6,ns-22161,TEAM_8,2024-11-01 12:10:50+00:00,2024-11-04 00:10:50+00:00,2,3600,4,71.7087,A100,n
run-pipeline-gpu-j19f7-1033,instance,PROJECT_12,ns-28455,TEAM_10,2024-11-10 19:10:50+00:00,2024-11-11 01:35:50+00:00,1,385,2,27.0752,A30,n
run-pipeline-gpu-4h3ku-9968,task,PROJECT_3,ns-15081,TEAM_8,2024-11-11 07:23:50+00:00,2024-11-13 19:23:50+00:00,3,3600,3,59.6723,A100,y
run-pipeline-gpu-lquym-21324,task,PROJECT_13,ns-7536,TEAM_7,2024-10-30 04:29:50+00:00,2024-10-31 17:25:50+00:00,1,2216,2,27.4882,A30,y
