pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-kxqev-16640,instance,PROJECT_1,ns-30717,TEAM_5,2024-11-11 11:12:52+00:00,2024-11-12 13:06:52+00:00,1,1554,5,98.8687,A100,y
run-pipeline-gpu-ufkli-1919,instance,PROJECT_18,ns-1670,TEAM_4,2024-11-02 02:03:52+00:00,2024-11-04 10:20:52+00:00,1,3377,4,78.8227,A30,n
run-pipeline-gpu-zwlfm-23010,task,PROJECT_10,ns-19797,TEAM_7,2024-10-23 07:18:52+00:00,2024-10-24 15:22:52+00:00,3,1924,5,86.4695,A100,n
run-pipeline-gpu-uydax-10698,task,PROJECT_15,ns-23139,TEAM_4,2024-10-26 19:59:52+00:00,2024-10-29 08:00:52+00:00,5,3601,4,66.0819,A100,y
run-pipeline-gpu-y9ze8-22908,task,PROJECT_19,ns-5625,TEAM_2,2024-10-21 09:54:52+00:00,2024-10-23 00:08:52+00:00,3,2294,2,28.6434,A100,y
run-pipeline-gpu-z9pi7-4436,task,PROJECT_8,ns-17832,TEAM_1,2024-10-26 00:54:52+00:00,2024-10-27 11:59:52+00:00,5,2105,5,88.8698,A100,y
run-pipeline-gpu-mpdq2-5929,task,PROJECT_11,ns-15668,TEAM_4,2024-11-07 13:10:52+00:00,2024-11-11 13:43:52+00:00,3,5793,2,28.1437,A30,n
run-pipeline-gpu-ennme-19415,task,PROJECT_5,ns-5846,TEAM_8,2024-10-31 09:03:52+00:00,2024-11-01 03:13:52+00:00,1,1090,5,88.5208,A100,y
run-pipeline-gpu-efo37-12928,task,PROJECT_3,ns-21333,TEAM_6,2024-10-31 00:56:52+00:00,2024-11-01 03:47:52+00:00,2,1611,3,42.9814,A30,n
run-pipeline-gpu-zdbnz-9806,task,PROJECT_9,ns-2997,TEAM_1,2024-11-03 17:34:52+00:00,2024-11-04 20:01:52+00:00,3,1587,3,45.3316,A30,n
run-pipeline-gpu-u4z3k-30383,task,PROJECT_18,ns-14731,TEAM_7,2024-11-09 15:23:52+00:00,2024-11-10 13:46:52+00:00,2,1343,4,73.2232,A100,n
run-pipeline-gpu-6id7x-22380,task,PROJECT_16,ns-22601,TEAM_8,2024-11-09 12:25:52+00:00,2024-11-10 16:39:52+00:00,2,1694,4,64.279,A30,n
run-pipeline-gpu-63js5-14601,task,PROJECT_15,ns-4337,TEAM_5,2024-11-06 13:34:52+00:00,2024-11-08 02:45:52+00:00,5,2231,5,81.1796,A100,n
run-pipeline-gpu-wr7o0-1867,task,PROJECT_18,ns-4875,TEAM_7,2024-10-24 09:47:52+00:00,2024-10-25 03:41:52+00:00,3,1074,4,62.664,A100,y
run-pipeline-gpu-4mjmu-18140,task,PROJECT_13,ns-229,TEAM_2,2024-11-02 17:38:52+00:00,2024-11-04 12:22:52+00:00,2,2564,4,73.2678,A100,n
run-pipeline-gpu-xhgno-26722,task,PROJECT_20,ns-14935,TEAM_2,2024-11-04 21:01:52+00:00,2024-11-05 14:36:52+00:00,8,1055,3,43.5915,A100,n
run-pipeline-gpu-2axps-13958,task,PROJECT_13,ns-10399,TEAM_6,2024-11-10 11:43:52+00:00,2024-11-11 23:37:52+00:00,3,2154,4,69.0816,A100,n
run-pipeline-gpu-waowu-21946,task,PROJECT_13,ns-18209,TEAM_9,2024-11-10 13:50:52+00:00,2024-11-11 19:47:52+00:00,3,1797,2,37.3457,A100,y
run-pipeline-gpu-xcd2c-12231,instance,PROJECT_7,ns-20480,TEAM_10,2024-10-22 17:27:52+00:00,2024-10-23 16:04:52+00:00,3,1357,2,38.5015,A100,n
run-pipeline-gpu-9tbye-10850,task,PROJECT_20,ns-237,TEAM_2,2024-11-06 03:52:52+00:00,2024-11-08 10:42:52+00:00,3,3290,4,63.3105,A100,y
run-pipeline-gpu-4gx1b-32602,task,PROJECT_7,ns-11176,TEAM_9,2024-11-08 13:05:52+00:00,2024-11-08 13:25:52+00:00,2,20,4,72.6869,A30,n
run-pipeline-gpu-alvgl-17953,task,PROJECT_11,ns-1790,TEAM_4,2024-11-06 19:01:52+00:00,2024-11-07 15:49:52+00:00,3,1248,5,81.8293,A30,y
