pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-cdvtm-1080,task,PROJECT_16,ns-17458,TEAM_3,2024-10-31 11:15:10+00:00,2024-11-01 17:24:10+00:00,4,1809,3,52.7383,A100,n
run-pipeline-gpu-j7e77-3313,task,PROJECT_16,ns-30730,TEAM_4,2024-10-28 00:33:10+00:00,2024-10-29 06:58:10+00:00,2,1825,3,43.1332,A100,y
run-pipeline-gpu-qwq24-18663,task,PROJECT_11,ns-21513,TEAM_7,2024-10-29 10:59:10+00:00,2024-10-30 16:25:10+00:00,2,1766,4,79.3238,A30,y
run-pipeline-gpu-bzgxf-1832,task,PROJECT_11,ns-21888,TEAM_6,2024-10-28 18:51:10+00:00,2024-10-30 01:35:10+00:00,4,1844,3,40.4306,A100,y
run-pipeline-gpu-84wzv-12057,task,PROJECT_19,ns-9893,TEAM_8,2024-11-06 04:46:10+00:00,2024-11-07 11:12:10+00:00,5,1826,4,64.9186,A100,y
run-pipeline-gpu-sizbl-3425,task,PROJECT_1,ns-31743,TEAM_10,2024-11-02 04:29:10+00:00,2024-11-03 10:44:10+00:00,3,1815,3,44.3097,A100,n
run-pipeline-gpu-24bfa-6532,instance,PROJECT_13,ns-3723,TEAM_5,2024-11-04 12:30:10+00:00,2024-11-05 18:05:10+00:00,7,1775,3,49.6386,A100,n
run-pipeline-gpu-68aua-18024,instance,PROJECT_16,ns-14842,TEAM_7,2024-10-26 20:35:10+00:00,2024-10-28 02:02:10+00:00,1,1767,4,69.6952,A100,n
run-pipeline-gpu-4s8s0-24395,task,PROJECT_20,ns-32120,TEAM_6,2024-10-27 02:04:10+00:00,2024-10-28 07:04:10+00:00,2,1740,4,69.2191,A100,n
run-pipeline-gpu-7ksni-25596,task,PROJECT_7,ns-5852,TEAM_8,2024-10-25 23:11:10+00:00,2024-10-27 05:33:10+00:00,6,1822,5,82.2066,A100,n
run-pipeline-gpu-85rrw-6741,instance,PROJECT_17,ns-31539,TEAM_3,2024-10-31 10:14:10+00:00,2024-11-01 16:28:10+00:00,4,1814,3,40.5396,A30,y
run-pipeline-gpu-o7uwz-28739,task,PROJECT_12,ns-23807,TEAM_10,2024-10-27 23:54:10+00:00,2024-10-29 05:52:10+00:00,2,1798,5,92.6765,A100,n
run-pipeline-gpu-dt9ld-8418,task,PROJECT_15,ns-4004,TEAM_7,2024-10-29 10:32:10+00:00,2024-10-30 17:40:10+00:00,4,1868,2,20.6862,A100,n
run-pipeline-gpu-nvb50-10361,instance,PROJECT_11,ns-14555,TEAM_5,2024-10-23 23:16:10+00:00,2024-10-25 05:32:10+00:00,3,1816,3,48.2008,A100,y
run-pipeline-gpu-8o8hb-15961,task,PROJECT_6,ns-13347,TEAM_7,2024-11-06 10:54:10+00:00,2024-11-07 17:00:10+00:00,2,1806,5,80.4747,A100,n
run-pipeline-gpu-uoy84-6377,task,PROJECT_7,ns-8576,TEAM_9,2024-11-07 12:27:10+00:00,2024-11-08 18:33:10+00:00,5,1806,4,64.5242,A100,n
run-pipeline-gpu-cn1kx-32613,task,PROJECT_13,ns-8211,TEAM_1,2024-11-09 00:41:10+00:00,2024-11-10 06:22:10+00:00,6,1781,4,76.9162,A100,y
run-pipeline-gpu-r9xcb-28191,task,PROJECT_6,ns-32327,TEAM_8,2024-10-29 21:14:10+00:00,2024-10-31 02:00:10+00:00,6,1726,4,71.6487,A100,n
run-pipeline-gpu-g67q0-9537,instance,PROJECT_8,ns-1200,TEAM_9,2024-10-20 16:54:10+00:00,2024-10-21 22:14:10+00:00,2,1760,3,44.3455,A30,n
run-pipeline-gpu-rd317-12125,task,PROJECT_15,ns-15814,TEAM_8,2024-10-22 17:30:10+00:00,2024-10-24 00:34:10+00:00,1,1864,3,56.3043,A100,n
run-pipeline-gpu-abk1v-5201,task,PROJECT_15,ns-3109,TEAM_4,2024-11-09 09:55:10+00:00,2024-11-10 15:00:10+00:00,2,1745,4,72.2848,A30,n
run-pipeline-gpu-b3545-22092,task,PROJECT_10,ns-20994,TEAM_2,2024-11-09 07:47:10+00:00,2024-11-10 13:17:10+00:00,2,1770,5,93.3973,A30,n
run-pipeline-gpu-nx9zc-20979,task,PROJECT_3,ns-12259,TEAM_7,2024-11-03 16:24:10+00:00,2024-11-04 22:17:10+00:00,2,1793,3,55.5042,A30,n
run-pipeline-gpu-wcxlu-30709,task,PROJECT_19,ns-17897,TEAM_4,2024-10-28 03:14:10+00:00,2024-10-29 08:57:10+00:00,1,1783,3,47.5147,A100,n
run-pipeline-gpu-9e94j-26005,task,PROJECT_19,ns-14895,TEAM_3,2024-10-21 19:29:10+00:00,2024-10-23 00:42:10+00:00,6,1753,4,68.4302,A100,n
run-pipeline-gpu-z3gd9-29424,instance,PROJECT_8,ns-24576,TEAM_8,2024-11-10 04:43:10+00:00,2024-11-11 10:35:10+00:00,2,1792,5,83.9397,A100,n
run-pipeline-gpu-5u8r1-12552,instance,PROJECT_4,ns-1787,TEAM_6,2024-11-08 19:47:10+00:00,2024-11-10 02:07:10+00:00,2,1820,2,28.4053,A100,n
run-pipeline-gpu-aeio7-22235,task,PROJECT_7,ns-1625,TEAM_6,2024-10-28 01:03:10+00:00,2024-10-29 07:07:10+00:00,3,1804,3,52.3451,A30,y
run-pipeline-gpu-p4t1j-5140,task,PROJECT_18,ns-22519,TEAM_8,2024-11-08 10:08:10+00:00,2024-11-09 17:18:10+00:00,3,1870,4,61.8335,A100,n
run-pipeline-gpu-lk3od-30991,task,PROJECT_9,ns-22473,TEAM_4,2024-10-23 00:55:10+00:00,2024-10-24 06:46:10+00:00,2,1791,4,65.6597,A30,n
run-pipeline-gpu-w1qyb-28493,task,PROJECT_11,ns-20456,TEAM_7,2024-10-27 03:51:10+00:00,2024-10-28 10:46:10+00:00,4,1855,2,35.2413,A100,n
run-pipeline-gpu-r5gvg-27279,instance,PROJECT_6,ns-11865,TEAM_3,2024-10-21 06:38:10+00:00,2024-10-22 12:25:10+00:00,1,1787,2,34.3104,A30,n
run-pipeline-gpu-0id3y-23078,task,PROJECT_17,ns-26937,TEAM_7,2024-11-06 15:09:10+00:00,2024-11-07 22:32:10+00:00,5,1883,2,26.1952,A100,n
