pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-3hz84-401,task,PROJECT_1,ns-12074,TEAM_6,2024-11-11 03:25:39+00:00,2024-11-12 23:45:39+00:00,1,2660,4,76.1896,A30,n
run-pipeline-gpu-2mjdd-22989,task,PROJECT_20,ns-2705,TEAM_7,2024-11-02 17:05:39+00:00,2024-11-03 03:03:39+00:00,7,598,2,36.6437,A100,n
run-pipeline-gpu-8tvyv-30399,task,PROJECT_9,ns-5070,TEAM_7,2024-10-23 00:18:39+00:00,2024-10-25 02:35:39+00:00,1,3017,4,78.5699,A100,n
run-pipeline-gpu-6bpkt-26271,instance,PROJECT_18,ns-32459,TEAM_5,2024-10-30 12:22:39+00:00,2024-10-31 11:42:39+00:00,3,1400,2,38.5767,A100,n
run-pipeline-gpu-jkpcw-22581,instance,PROJECT_16,ns-13844,TEAM_5,2024-11-01 16:29:39+00:00,2024-11-03 08:12:39+00:00,7,2383,3,40.5479,A100,y
run-pipeline-gpu-no296-5931,task,PROJECT_11,ns-25504,TEAM_2,2024-10-23 09:55:39+00:00,2024-10-23 17:09:39+00:00,6,434,5,82.7727,A100,n
run-pipeline-gpu-agvka-22531,instance,PROJECT_13,ns-19803,TEAM_1,2024-10-21 22:17:39+00:00,2024-10-23 08:17:39+00:00,4,2040,4,67.3902,A30,y
run-pipeline-gpu-y8vp5-32252,task,PROJECT_14,ns-9407,TEAM_5,2024-10-24 10:38:39+00:00,2024-10-26 01:50:39+00:00,2,2352,3,46.7057,A30,y
run-pipeline-gpu-6qcxs-13418,task,PROJECT_12,ns-24573,TEAM_9,2024-10-29 14:16:39+00:00,2024-10-30 12:06:39+00:00,4,1310,4,63.6566,A100,n
run-pipeline-gpu-h65su-26189,instance,PROJECT_18,ns-27790,TEAM_4,2024-10-30 16:43:39+00:00,2024-10-31 07:43:39+00:00,5,900,2,37.5335,A100,y
run-pipeline-gpu-x7b80-8748,task,PROJECT_14,ns-22045,TEAM_10,2024-10-22 09:50:39+00:00,2024-10-23 06:35:39+00:00,5,1245,5,83.585,A100,y
run-pipeline-gpu-pzm2e-7549,task,PROJECT_1,ns-10787,TEAM_1,2024-10-25 19:01:39+00:00,2024-10-26 02:26:39+00:00,5,445,4,69.904,A100,n
run-pipeline-gpu-hosmy-8739,task,PROJECT_18,ns-16317,TEAM_5,2024-11-09 23:56:39+00:00,2024-11-12 05:15:39+00:00,3,3199,4,66.4184,A30,y
run-pipeline-gpu-7n8cd-2502,instance,PROJECT_2,ns-27765,TEAM_1,2024-11-03 18:47:39+00:00,2024-11-05 08:23:39+00:00,4,2256,3,43.7983,A100,y
run-pipeline-gpu-4z5di-22037,instance,PROJECT_18,ns-25109,TEAM_1,2024-10-31 13:30:39+00:00,2024-11-02 14:05:39+00:00,6,2915,3,54.8831,A100,n
run-pipeline-gpu-a9hn2-16943,instance,PROJECT_17,ns-18124,TEAM_4,2024-11-10 01:14:39+00:00,2024-11-10 13:55:39+00:00,2,761,2,24.4919,A30,n
