pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-soxyw-16175,task,PROJECT_14,ns-2306,TEAM_5,2024-10-26 16:20:22+00:00,2024-10-27 23:33:22+00:00,4,1873,3,43.3839,A30,n
run-pipeline-gpu-av9k6-10928,task,PROJECT_17,ns-2701,TEAM_7,2024-11-11 02:42:22+00:00,2024-11-11 06:50:22+00:00,3,248,5,99.9491,A100,n
run-pipeline-gpu-nn9w7-7287,instance,PROJECT_1,ns-2251,TEAM_1,2024-11-04 05:52:22+00:00,2024-11-06 20:14:22+00:00,4,3742,3,45.3994,A100,y
run-pipeline-gpu-glq7o-16396,task,PROJECT_9,ns-12927,TEAM_5,2024-10-23 19:32:22+00:00,2024-10-24 17:44:22+00:00,4,1332,3,49.2097,A100,n
run-pipeline-gpu-r4leh-26699,task,PROJECT_7,ns-8802,TEAM_3,2024-10-30 08:23:22+00:00,2024-10-31 12:26:22+00:00,3,1683,4,76.7598,A30,n
run-pipeline-gpu-s3lp6-2300,task,PROJECT_1,ns-21429,TEAM_8,2024-11-07 17:57:22+00:00,2024-11-08 20:43:22+00:00,5,1606,5,87.7352,A100,n
run-pipeline-gpu-3xv66-27822,instance,PROJECT_10,ns-23339,TEAM_4,2024-10-29 04:10:22+00:00,2024-10-30 11:12:22+00:00,1,1862,3,46.7619,A30,n
run-pipeline-gpu-r5a2d-23071,task,PROJECT_8,ns-11398,TEAM_1,2024-10-20 19:33:22+00:00,2024-10-21 19:24:22+00:00,5,1431,4,73.1504,A100,n
run-pipeline-gpu-r9ydo-29626,instance,PROJECT_5,ns-5225,TEAM_4,2024-11-10 23:03:22+00:00,2024-11-11 08:53:22+00:00,2,590,2,23.0975,A30,n
run-pipeline-gpu-nfoge-29936,task,PROJECT_13,ns-28454,TEAM_10,2024-11-05 14:49:22+00:00,2024-11-06 06:19:22+00:00,2,930,3,44.8042,A30,y
run-pipeline-gpu-7bdeo-23670,task,PROJECT_11,ns-22674,TEAM_6,2024-10-29 07:13:22+00:00,2024-10-30 23:06:22+00:00,4,2393,2,31.999,A100,n
run-pipeline-gpu-ly5ip-24500,task,PROJECT_1,ns-26145,TEAM_1,2024-11-10 03:17:22+00:00,2024-11-11 08:45:22+00:00,3,1768,3,41.7884,A100,n
run-pipeline-gpu-supw9-741,instance,PROJECT_17,ns-17379,TEAM_5,2024-11-11 18:11:22+00:00,2024-11-13 00:00:22+00:00,5,1789,4,66.5939,A100,n
run-pipeline-gpu-g16fh-12980,task,PROJECT_12,ns-5644,TEAM_4,2024-10-24 11:19:22+00:00,2024-10-25 11:47:22+00:00,6,1468,3,44.5082,A100,n
run-pipeline-gpu-pogzg-3937,task,PROJECT_13,ns-7220,TEAM_6,2024-11-06 13:52:22+00:00,2024-11-07 16:32:22+00:00,2,1600,2,26.8707,A30,y
run-pipeline-gpu-pnvau-3757,task,PROJECT_2,ns-4215,TEAM_8,2024-10-23 01:50:22+00:00,2024-10-24 10:58:22+00:00,7,1988,5,99.9108,A100,y
run-pipeline-gpu-y10ag-295,task,PROJECT_19,ns-27663,TEAM_1,2024-11-09 18:25:22+00:00,2024-11-10 15:56:22+00:00,6,1291,2,30.3948,A100,n
run-pipeline-gpu-lzq1g-12422,instance,PROJECT_11,ns-27687,TEAM_3,2024-10-30 01:21:22+00:00,2024-10-30 21:53:22+00:00,5,1232,5,82.2463,A100,n
run-pipeline-gpu-bxgge-2100,task,PROJECT_18,ns-13565,TEAM_1,2024-11-12 04:58:22+00:00,2024-11-13 13:04:22+00:00,6,1926,4,69.0617,A100,n
run-pipeline-gpu-g4m02-22082,task,PROJECT_18,ns-5763,TEAM_9,2024-11-08 23:40:22+00:00,2024-11-09 13:36:22+00:00,3,836,3,40.5939,A30,n
run-pipeline-gpu-hhe4y-592,task,PROJECT_19,ns-3361,TEAM_6,2024-10-21 19:54:22+00:00,2024-10-22 19:34:22+00:00,2,1420,5,80.4914,A100,n
run-pipeline-gpu-gdq5m-26934,task,PROJECT_3,ns-29260,TEAM_7,2024-11-03 06:59:22+00:00,2024-11-03 11:56:22+00:00,1,297,3,57.8268,A100,y
run-pipeline-gpu-1q26f-12138,task,PROJECT_9,ns-15368,TEAM_4,2024-11-02 01:38:22+00:00,2024-11-04 03:24:22+00:00,8,2986,2,21.6875,A100,n
run-pipeline-gpu-mgv90-8572,task,PROJECT_2,ns-30610,TEAM_2,2024-10-21 11:53:22+00:00,2024-10-23 05:40:22+00:00,4,2507,2,24.5396,A100,n
run-pipeline-gpu-o0hf4-28964,task,PROJECT_13,ns-10944,TEAM_9,2024-10-27 01:42:22+00:00,2024-10-27 14:13:22+00:00,2,751,3,40.4031,A100,n
run-pipeline-gpu-oansk-5800,task,PROJECT_16,ns-18660,TEAM_2,2024-10-21 07:25:22+00:00,2024-10-22 01:50:22+00:00,5,1105,4,76.2477,A100,n
run-pipeline-gpu-hhlzo-10671,task,PROJECT_15,ns-15145,TEAM_2,2024-11-11 21:44:22+00:00,2024-11-12 04:24:22+00:00,7,400,3,49.1132,A100,n
run-pipeline-gpu-7of4s-29115,instance,PROJECT_15,ns-29127,TEAM_10,2024-11-04 11:39:22+00:00,2024-11-05 22:30:22+00:00,2,2091,3,53.9806,A100,n
run-pipeline-gpu-c5nuo-3546,task,PROJECT_18,ns-23177,TEAM_3,2024-11-09 09:13:22+00:00,2024-11-11 14:46:22+00:00,3,3213,5,91.7705,A30,n
run-pipeline-gpu-67u26-13398,task,PROJECT_12,ns-17003,TEAM_2,2024-11-07 12:00:22+00:00,2024-11-09 13:46:22+00:00,8,2986,3,50.2898,A100,y
run-pipeline-gpu-ohx4z-32358,instance,PROJECT_16,ns-25444,TEAM_9,2024-10-29 12:54:22+00:00,2024-10-29 23:36:22+00:00,5,642,3,43.6509,A100,n
run-pipeline-gpu-b2zn2-18736,instance,PROJECT_13,ns-31898,TEAM_9,2024-11-01 03:39:22+00:00,2024-11-02 17:09:22+00:00,5,2250,4,78.7038,A100,y
run-pipeline-gpu-fe2p2-15517,task,PROJECT_5,ns-8843,TEAM_7,2024-11-09 17:50:22+00:00,2024-11-09 22:40:22+00:00,2,290,2,31.9935,A30,y
run-pipeline-gpu-1b4as-20939,task,PROJECT_4,ns-17906,TEAM_8,2024-11-07 06:48:22+00:00,2024-11-08 17:48:22+00:00,5,2100,3,41.4645,A100,y
run-pipeline-gpu-yxjo9-3620,task,PROJECT_12,ns-4979,TEAM_9,2024-11-07 09:31:22+00:00,2024-11-08 07:27:22+00:00,3,1316,4,70.6256,A100,y
run-pipeline-gpu-eugi8-25955,task,PROJECT_3,ns-4948,TEAM_3,2024-11-02 15:03:22+00:00,2024-11-03 19:15:22+00:00,5,1692,4,77.2424,A100,n
run-pipeline-gpu-rworh-9230,instance,PROJECT_6,ns-10185,TEAM_10,2024-11-08 10:58:22+00:00,2024-11-10 04:51:22+00:00,7,2513,3,59.9639,A100,n
run-pipeline-gpu-b1o2e-13608,instance,PROJECT_9,ns-413,TEAM_2,2024-11-04 15:53:22+00:00,2024-11-05 13:36:22+00:00,5,1303,5,97.0948,A100,y
run-pipeline-gpu-pfbqe-22834,task,PROJECT_3,ns-11844,TEAM_1,2024-11-06 01:43:22+00:00,2024-11-07 21:27:22+00:00,6,2624,4,61.8773,A100,n
run-pipeline-gpu-xgsqn-18863,task,PROJECT_13,ns-20373,TEAM_6,2024-11-03 13:47:22+00:00,2024-11-04 16:53:22+00:00,7,1626,2,25.7654,A100,n
run-pipeline-gpu-7mwcs-7104,task,PROJECT_2,ns-11451,TEAM_7,2024-10-24 20:19:22+00:00,2024-10-26 17:39:22+00:00,2,2720,3,41.1174,A100,y
run-pipeline-gpu-ld3oo-19875,task,PROJECT_5,ns-27941,TEAM_6,2024-11-03 17:01:22+00:00,2024-11-05 07:39:22+00:00,4,2318,2,22.5508,A100,n
run-pipeline-gpu-qxd8d-5647,instance,PROJECT_9,ns-16760,TEAM_8,2024-10-25 16:40:22+00:00,2024-10-26 01:36:22+00:00,3,536,4,78.3726,A100,n
run-pipeline-gpu-bfgj3-6593,task,PROJECT_13,ns-21454,TEAM_10,2024-10-28 08:12:22+00:00,2024-10-28 16:24:22+00:00,3,492,2,25.5006,A100,n
run-pipeline-gpu-dqfk9-27322,task,PROJECT_13,ns-24525,TEAM_5,2024-10-21 06:33:22+00:00,2024-10-22 07:01:22+00:00,5,1468,3,41.6166,A100,y
run-pipeline-gpu-n0ybj-30211,instance,PROJECT_16,ns-7256,TEAM_1,2024-10-30 11:24:22+00:00,2024-10-31 13:11:22+00:00,4,1547,3,40.5787,A100,y
run-pipeline-gpu-8n0n1-6124,task,PROJECT_2,ns-31718,TEAM_5,2024-10-22 09:24:22+00:00,2024-10-24 00:26:22+00:00,6,2342,2,28.449,A100,n
