pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-ytqrd-7837,task,PROJECT_1,ns-2688,TEAM_1,2024-10-21 17:22:25+00:00,2024-10-22 02:53:25+00:00,3,571,3,42.6209,A100,n
run-pipeline-gpu-qmip8-7556,task,PROJECT_12,ns-3514,TEAM_2,2024-11-05 20:23:25+00:00,2024-11-08 09:07:25+00:00,5,3644,3,48.5078,A100,n
run-pipeline-gpu-oz3w1-30464,instance,PROJECT_4,ns-15933,TEAM_10,2024-11-04 13:49:25+00:00,2024-11-04 15:14:25+00:00,4,85,4,75.4443,A100,n
run-pipeline-gpu-xf2qz-25461,instance,PROJECT_9,ns-23359,TEAM_1,2024-10-25 17:32:25+00:00,2024-10-27 15:39:25+00:00,7,2767,4,62.181,A100,n
run-pipeline-gpu-m49ce-16226,task,PROJECT_7,ns-23332,TEAM_5,2024-11-07 03:17:25+00:00,2024-11-09 05:20:25+00:00,3,3003,3,48.4838,A100,y
run-pipeline-gpu-zggki-18669,task,PROJECT_19,ns-15741,TEAM_4,2024-10-22 14:33:25+00:00,2024-10-26 03:38:25+00:00,1,5105,5,87.0497,A100,n
run-pipeline-gpu-jr2si-32541,task,PROJECT_20,ns-17117,TEAM_10,2024-10-25 23:52:25+00:00,2024-10-26 03:49:25+00:00,8,237,3,59.9396,A100,n
run-pipeline-gpu-nt0nu-7422,instance,PROJECT_10,ns-31145,TEAM_4,2024-10-31 18:26:25+00:00,2024-11-03 02:52:25+00:00,4,3386,5,94.7736,A30,n
run-pipeline-gpu-zpl0c-23097,instance,PROJECT_5,ns-1673,TEAM_9,2024-10-23 02:59:25+00:00,2024-10-23 08:49:25+00:00,1,350,5,95.8115,A30,n
run-pipeline-gpu-8j8dt-19435,task,PROJECT_16,ns-18482,TEAM_7,2024-11-06 12:35:25+00:00,2024-11-08 03:33:25+00:00,3,2338,5,87.8119,A100,n
run-pipeline-gpu-crk8k-17344,task,PROJECT_19,ns-16787,TEAM_10,2024-10-20 17:02:25+00:00,2024-10-21 02:37:25+00:00,3,575,2,38.7198,A30,n
run-pipeline-gpu-1ti2j-12444,task,PROJECT_16,ns-25269,TEAM_5,2024-11-04 03:17:25+00:00,2024-11-04 09:45:25+00:00,3,388,3,47.2198,A30,y
run-pipeline-gpu-10oyg-6998,instance,PROJECT_6,ns-10183,TEAM_3,2024-11-01 23:47:25+00:00,2024-11-02 06:07:25+00:00,4,380,2,21.8477,A30,n
run-pipeline-gpu-arulq-13139,task,PROJECT_8,ns-26417,TEAM_1,2024-11-09 04:12:25+00:00,2024-11-09 09:41:25+00:00,2,329,5,90.2165,A100,n
run-pipeline-gpu-0khr8-18951,task,PROJECT_11,ns-23202,TEAM_2,2024-10-21 04:15:25+00:00,2024-10-23 07:20:25+00:00,2,3065,4,69.7605,A100,n
run-pipeline-gpu-830ct-27038,instance,PROJECT_9,ns-17528,TEAM_7,2024-11-10 06:38:25+00:00,2024-11-11 01:39:25+00:00,8,1141,4,64.2163,A100,n
run-pipeline-gpu-v1ayf-12896,task,PROJECT_15,ns-23018,TEAM_4,2024-10-21 20:41:25+00:00,2024-10-24 08:21:25+00:00,7,3580,2,26.0447,A100,n
run-pipeline-gpu-1c0fw-11150,task,PROJECT_4,ns-9190,TEAM_6,2024-11-03 04:00:25+00:00,2024-11-03 05:56:25+00:00,3,116,3,47.1934,A30,n
run-pipeline-gpu-2xh13-1986,instance,PROJECT_19,ns-9088,TEAM_2,2024-11-09 18:46:25+00:00,2024-11-09 23:52:25+00:00,4,306,4,70.1032,A100,y
run-pipeline-gpu-rg3wq-21031,instance,PROJECT_16,ns-1111,TEAM_10,2024-10-30 12:59:25+00:00,2024-11-02 11:09:25+00:00,5,4210,3,56.8361,A100,y
run-pipeline-gpu-1yguy-24820,task,PROJECT_12,ns-22130,TEAM_5,2024-11-10 08:03:25+00:00,2024-11-11 10:18:25+00:00,4,1575,2,31.594,A30,n
run-pipeline-gpu-aqi2v-4888,task,PROJECT_2,ns-31315,TEAM_8,2024-10-27 22:04:25+00:00,2024-10-30 03:04:25+00:00,2,3180,4,76.0033,A100,n
run-pipeline-gpu-bygiy-6649,task,PROJECT_12,ns-27988,TEAM_7,2024-10-21 20:25:25+00:00,2024-10-22 09:05:25+00:00,5,760,4,70.5853,A100,n
run-pipeline-gpu-ve9so-11692,task,PROJECT_13,ns-18829,TEAM_2,2024-11-09 01:09:25+00:00,2024-11-10 03:53:25+00:00,4,1604,3,56.5647,A100,n
run-pipeline-gpu-tme8f-22817,task,PROJECT_9,ns-25553,TEAM_8,2024-10-24 17:13:25+00:00,2024-10-27 05:26:25+00:00,4,3613,4,64.699,A100,n
run-pipeline-gpu-rbbhg-23810,task,PROJECT_7,ns-19341,TEAM_5,2024-11-06 20:40:25+00:00,2024-11-06 23:33:25+00:00,2,173,5,85.1579,A100,n
run-pipeline-gpu-ccb9y-19299,task,PROJECT_13,ns-23423,TEAM_1,2024-11-05 14:43:25+00:00,2024-11-11 12:51:25+00:00,6,8528,5,99.4648,A100,y
run-pipeline-gpu-fqoh5-17274,task,PROJECT_11,ns-22441,TEAM_8,2024-11-11 12:52:25+00:00,2024-11-11 12:58:25+00:00,3,6,4,70.1553,A30,y
run-pipeline-gpu-fny6h-27626,task,PROJECT_2,ns-5105,TEAM_6,2024-10-22 16:05:25+00:00,2024-10-23 10:16:25+00:00,4,1091,4,69.7314,A100,y
run-pipeline-gpu-a4a5n-17264,instance,PROJECT_19,ns-8250,TEAM_8,2024-10-31 22:29:25+00:00,2024-11-04 17:48:25+00:00,5,5479,4,69.5783,A100,n
run-pipeline-gpu-k6k6x-27375,task,PROJECT_15,ns-18960,TEAM_5,2024-10-29 00:17:25+00:00,2024-10-29 18:07:25+00:00,4,1070,2,33.1017,A30,y
run-pipeline-gpu-lnr20-31021,task,PROJECT_20,ns-14606,TEAM_9,2024-10-25 10:55:25+00:00,2024-10-25 19:51:25+00:00,8,536,4,72.629,A100,y
run-pipeline-gpu-94s5g-1991,task,PROJECT_11,ns-21163,TEAM_7,2024-11-08 02:08:25+00:00,2024-11-11 09:20:25+00:00,4,4752,4,60.6306,A100,n
run-pipeline-gpu-2gung-18972,task,PROJECT_17,ns-15129,TEAM_2,2024-11-09 06:32:25+00:00,2024-11-14 14:46:25+00:00,3,7694,4,69.9574,A30,n
run-pipeline-gpu-dfaok-29246,instance,PROJECT_1,ns-1101,TEAM_10,2024-10-26 18:35:25+00:00,2024-10-26 20:37:25+00:00,2,122,2,33.3549,A100,n
run-pipeline-gpu-g4c9p-15674,task,PROJECT_9,ns-14705,TEAM_3,2024-10-24 22:33:25+00:00,2024-10-26 17:03:25+00:00,3,2550,4,79.7322,A30,n
run-pipeline-gpu-oz93a-1828,task,PROJECT_9,ns-17488,TEAM_10,2024-11-07 05:19:25+00:00,2024-11-08 23:07:25+00:00,2,2508,4,63.5371,A100,y
run-pipeline-gpu-p0mza-4305,task,PROJECT_8,ns-31610,TEAM_4,2024-11-03 01:26:25+00:00,2024-11-04 20:47:25+00:00,4,2601,3,59.0763,A100,n
run-pipeline-gpu-n6qge-31783,task,PROJECT_13,ns-19249,TEAM_6,2024-11-04 03:17:25+00:00,2024-11-04 08:14:25+00:00,6,297,4,67.1949,A100,n
run-pipeline-gpu-86pip-16742,task,PROJECT_11,ns-12383,TEAM_2,2024-11-09 00:09:25+00:00,2024-11-09 09:31:25+00:00,2,562,4,68.1404,A100,n
run-pipeline-gpu-0tj1n-20193,task,PROJECT_15,ns-29732,TEAM_7,2024-10-22 18:21:25+00:00,2024-10-22 23:58:25+00:00,6,337,5,91.8335,A100,n
run-pipeline-gpu-p9pi7-30192,task,PROJECT_15,ns-4034,TEAM_4,2024-10-27 01:37:25+00:00,2024-10-27 21:58:25+00:00,2,1221,4,68.6683,A30,n
run-pipeline-gpu-l9vk3-2866,task,PROJECT_6,ns-11241,TEAM_7,2024-11-10 00:07:25+00:00,2024-11-10 00:18:25+00:00,3,11,3,49.5835,A100,n
run-pipeline-gpu-28q24-1356,task,PROJECT_7,ns-7092,TEAM_9,2024-11-05 18:01:25+00:00,2024-11-05 21:36:25+00:00,3,215,3,57.1969,A100,n
run-pipeline-gpu-cto92-15568,task,PROJECT_18,ns-21214,TEAM_5,2024-10-25 18:50:25+00:00,2024-10-28 05:42:25+00:00,2,3532,4,62.5441,A30,n
run-pipeline-gpu-3ajtu-2287,task,PROJECT_14,ns-30696,TEAM_1,2024-10-23 14:10:25+00:00,2024-10-24 14:43:25+00:00,3,1473,4,71.6837,A30,n
run-pipeline-gpu-32j1v-8221,task,PROJECT_8,ns-9814,TEAM_4,2024-10-21 14:32:25+00:00,2024-10-21 19:41:25+00:00,4,309,4,77.9944,A100,n
run-pipeline-gpu-91xxp-12508,task,PROJECT_3,ns-2597,TEAM_10,2024-11-05 03:29:25+00:00,2024-11-06 09:56:25+00:00,5,1827,2,32.3464,A100,n
run-pipeline-gpu-ktz5y-26170,instance,PROJECT_5,ns-1321,TEAM_4,2024-10-29 23:16:25+00:00,2024-10-30 21:49:25+00:00,8,1353,3,52.2142,A100,n
run-pipeline-gpu-7jnjs-19670,task,PROJECT_18,ns-22523,TEAM_6,2024-11-08 16:39:25+00:00,2024-11-10 11:24:25+00:00,8,2565,4,79.5316,A100,y
run-pipeline-gpu-atk5f-8283,instance,PROJECT_7,ns-9102,TEAM_4,2024-10-22 08:17:25+00:00,2024-10-25 10:37:25+00:00,7,4460,2,20.791,A100,n
run-pipeline-gpu-t5m1e-16086,instance,PROJECT_19,ns-21943,TEAM_2,2024-11-09 02:29:25+00:00,2024-11-09 19:18:25+00:00,5,1009,2,25.0012,A100,n
run-pipeline-gpu-dyhfl-9818,instance,PROJECT_2,ns-550,TEAM_3,2024-10-21 03:32:25+00:00,2024-10-23 05:33:25+00:00,6,3001,3,47.8442,A100,y
run-pipeline-gpu-qf78w-19136,task,PROJECT_9,ns-6809,TEAM_1,2024-10-26 08:47:25+00:00,2024-10-27 05:30:25+00:00,3,1243,3,59.6419,A30,n
run-pipeline-gpu-fzh6s-3216,task,PROJECT_8,ns-15450,TEAM_9,2024-11-07 14:41:25+00:00,2024-11-07 20:11:25+00:00,5,330,3,48.8955,A100,y
run-pipeline-gpu-w4jwl-30547,task,PROJECT_17,ns-11846,TEAM_5,2024-11-08 17:16:25+00:00,2024-11-10 00:41:25+00:00,2,1885,2,31.4391,A100,y
run-pipeline-gpu-8q135-31968,instance,PROJECT_7,ns-488,TEAM_3,2024-10-30 07:07:25+00:00,2024-10-31 06:34:25+00:00,3,1407,4,64.7517,A30,n
run-pipeline-gpu-arjoy-29792,task,PROJECT_11,ns-25465,TEAM_2,2024-11-04 04:51:25+00:00,2024-11-05 01:13:25+00:00,5,1222,5,96.0883,A100,y
run-pipeline-gpu-ct5hb-1814,task,PROJECT_10,ns-20409,TEAM_2,2024-11-08 07:40:25+00:00,2024-11-11 10:12:25+00:00,5,4472,5,89.2378,A100,y
run-pipeline-gpu-89h2g-14908,instance,PROJECT_17,ns-29695,TEAM_2,2024-11-11 09:39:25+00:00,2024-11-12 11:28:25+00:00,4,1549,4,64.6338,A30,n
run-pipeline-gpu-ztp8a-15472,task,PROJECT_14,ns-15351,TEAM_3,2024-10-29 15:26:25+00:00,2024-10-30 22:33:25+00:00,3,1867,3,41.7627,A100,y
run-pipeline-gpu-5kj8g-22137,task,PROJECT_14,ns-20963,TEAM_3,2024-10-22 21:28:25+00:00,2024-10-23 20:09:25+00:00,6,1361,3,46.4122,A100,n
run-pipeline-gpu-57z0p-10875,task,PROJECT_18,ns-26972,TEAM_4,2024-10-26 05:28:25+00:00,2024-10-29 08:09:25+00:00,4,4481,3,54.1579,A100,y
