pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-3hz84-401,task,PROJECT_1,ns-12074,TEAM_6,2024-11-11 02:31:53+00:00,2024-11-13 03:25:53+00:00,3,2934,4,61.7609,A30,n
run-pipeline-gpu-2mjdd-22989,task,PROJECT_20,ns-2705,TEAM_7,2024-11-02 16:11:53+00:00,2024-11-03 03:00:53+00:00,7,649,5,82.3988,A100,n
run-pipeline-gpu-8tvyv-30399,task,PROJECT_9,ns-5070,TEAM_7,2024-10-22 23:24:53+00:00,2024-10-24 11:46:53+00:00,6,2182,4,74.7146,A100,n
run-pipeline-gpu-6bpkt-26271,instance,PROJECT_18,ns-32459,TEAM_5,2024-10-30 11:28:53+00:00,2024-10-31 16:42:53+00:00,8,1754,3,50.5283,A100,n
run-pipeline-gpu-jkpcw-22581,instance,PROJECT_16,ns-13844,TEAM_5,2024-11-01 15:35:53+00:00,2024-11-02 20:26:53+00:00,6,1731,2,28.9354,A100,y
run-pipeline-gpu-no296-5931,task,PROJECT_11,ns-25504,TEAM_2,2024-10-23 09:01:53+00:00,2024-10-24 12:47:53+00:00,6,1666,5,89.0369,A100,n
run-pipeline-gpu-agvka-22531,instance,PROJECT_13,ns-19803,TEAM_1,2024-10-21 21:23:53+00:00,2024-10-22 09:14:53+00:00,3,711,4,77.4426,A30,y
run-pipeline-gpu-y8vp5-32252,task,PROJECT_14,ns-9407,TEAM_5,2024-10-24 09:44:53+00:00,2024-10-25 19:31:53+00:00,2,2027,2,33.7454,A30,y
run-pipeline-gpu-6qcxs-13418,task,PROJECT_12,ns-24573,TEAM_9,2024-10-29 13:22:53+00:00,2024-10-30 07:36:53+00:00,7,1094,3,49.5369,A100,n
run-pipeline-gpu-h65su-26189,instance,PROJECT_18,ns-27790,TEAM_4,2024-10-30 15:49:53+00:00,2024-10-31 01:20:53+00:00,7,571,5,98.2842,A100,y
run-pipeline-gpu-x7b80-8748,task,PROJECT_14,ns-22045,TEAM_10,2024-10-22 08:56:53+00:00,2024-10-22 20:51:53+00:00,2,715,2,20.0445,A100,y
run-pipeline-gpu-pzm2e-7549,task,PROJECT_1,ns-10787,TEAM_1,2024-10-25 18:07:53+00:00,2024-10-26 09:15:53+00:00,7,908,4,68.4492,A100,n
run-pipeline-gpu-hosmy-8739,task,PROJECT_18,ns-16317,TEAM_5,2024-11-09 23:02:53+00:00,2024-11-10 15:22:53+00:00,4,980,2,38.0737,A30,y
run-pipeline-gpu-7n8cd-2502,instance,PROJECT_2,ns-27765,TEAM_1,2024-11-03 17:53:53+00:00,2024-11-05 21:40:53+00:00,3,3107,4,76.7606,A100,y
run-pipeline-gpu-4z5di-22037,instance,PROJECT_18,ns-25109,TEAM_1,2024-10-31 12:36:53+00:00,2024-11-01 13:33:53+00:00,7,1497,3,46.6412,A100,n
run-pipeline-gpu-a9hn2-16943,instance,PROJECT_17,ns-18124,TEAM_4,2024-11-10 00:20:53+00:00,2024-11-10 06:02:53+00:00,4,342,5,95.6766,A30,n
