pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-kxqev-16640,instance,PROJECT_1,ns-30717,TEAM_5,2024-11-11 15:10:37+00:00,2024-11-11 15:30:37+00:00,6,20,3,52.623,A100,y
run-pipeline-gpu-ufkli-1919,instance,PROJECT_18,ns-1670,TEAM_4,2024-11-02 06:01:37+00:00,2024-11-02 07:23:37+00:00,4,82,5,95.785,A30,n
run-pipeline-gpu-zwlfm-23010,task,PROJECT_10,ns-19797,TEAM_7,2024-10-23 11:16:37+00:00,2024-10-23 11:51:37+00:00,2,35,4,62.6266,A100,n
run-pipeline-gpu-uydax-10698,task,PROJECT_15,ns-23139,TEAM_4,2024-10-26 23:57:37+00:00,2024-10-29 11:57:37+00:00,6,3600,2,38.6382,A100,y
run-pipeline-gpu-y9ze8-22908,task,PROJECT_19,ns-5625,TEAM_2,2024-10-21 13:52:37+00:00,2024-10-24 01:52:37+00:00,4,3600,5,94.6618,A100,y
run-pipeline-gpu-z9pi7-4436,task,PROJECT_8,ns-17832,TEAM_1,2024-10-26 04:52:37+00:00,2024-10-26 05:31:37+00:00,2,39,2,33.0181,A100,y
run-pipeline-gpu-mpdq2-5929,task,PROJECT_11,ns-15668,TEAM_4,2024-11-07 17:08:37+00:00,2024-11-07 17:38:37+00:00,2,30,3,44.2072,A30,n
run-pipeline-gpu-ennme-19415,task,PROJECT_5,ns-5846,TEAM_8,2024-10-31 13:01:37+00:00,2024-10-31 18:15:37+00:00,8,314,3,59.6999,A100,y
run-pipeline-gpu-efo37-12928,task,PROJECT_3,ns-21333,TEAM_6,2024-10-31 04:54:37+00:00,2024-10-31 05:46:37+00:00,3,52,4,72.1842,A30,n
run-pipeline-gpu-zdbnz-9806,task,PROJECT_9,ns-2997,TEAM_1,2024-11-03 21:32:37+00:00,2024-11-03 22:32:37+00:00,3,60,2,21.2063,A30,n
run-pipeline-gpu-u4z3k-30383,task,PROJECT_18,ns-14731,TEAM_7,2024-11-09 19:21:37+00:00,2024-11-12 07:21:37+00:00,4,3600,3,42.2677,A100,n
run-pipeline-gpu-6id7x-22380,task,PROJECT_16,ns-22601,TEAM_8,2024-11-09 16:23:37+00:00,2024-11-09 17:09:37+00:00,3,46,3,59.9127,A30,n
run-pipeline-gpu-63js5-14601,task,PROJECT_15,ns-4337,TEAM_5,2024-11-06 17:32:37+00:00,2024-11-09 05:32:37+00:00,3,3600,3,46.687,A100,n
run-pipeline-gpu-wr7o0-1867,task,PROJECT_18,ns-4875,TEAM_7,2024-10-24 13:45:37+00:00,2024-10-27 01:45:37+00:00,8,3600,2,20.9666,A100,y
run-pipeline-gpu-4mjmu-18140,task,PROJECT_13,ns-229,TEAM_2,2024-11-02 21:36:37+00:00,2024-11-05 09:36:37+00:00,2,3600,3,53.0354,A100,n
run-pipeline-gpu-xhgno-26722,task,PROJECT_20,ns-14935,TEAM_2,2024-11-05 00:59:37+00:00,2024-11-05 01:17:37+00:00,7,18,3,45.9538,A100,n
run-pipeline-gpu-2axps-13958,task,PROJECT_13,ns-10399,TEAM_6,2024-11-10 15:41:37+00:00,2024-11-13 03:41:37+00:00,7,3600,3,46.7667,A100,n
run-pipeline-gpu-waowu-21946,task,PROJECT_13,ns-18209,TEAM_9,2024-11-10 17:48:37+00:00,2024-11-12 03:27:37+00:00,5,2019,5,86.6605,A100,y
run-pipeline-gpu-xcd2c-12231,instance,PROJECT_7,ns-20480,TEAM_10,2024-10-22 21:25:37+00:00,2024-10-25 09:25:37+00:00,8,3600,3,58.69,A100,n
run-pipeline-gpu-9tbye-10850,task,PROJECT_20,ns-237,TEAM_2,2024-11-06 07:50:37+00:00,2024-11-08 19:50:37+00:00,8,3600,2,37.5652,A100,y
run-pipeline-gpu-4gx1b-32602,task,PROJECT_7,ns-11176,TEAM_9,2024-11-08 17:03:37+00:00,2024-11-09 01:12:37+00:00,4,489,2,21.9715,A30,n
run-pipeline-gpu-alvgl-17953,task,PROJECT_11,ns-1790,TEAM_4,2024-11-06 22:59:37+00:00,2024-11-09 10:59:37+00:00,4,3600,2,31.2777,A30,y
run-pipeline-gpu-8mhev-2496,instance,PROJECT_17,ns-18508,TEAM_7,2024-10-29 19:24:37+00:00,2024-11-01 07:24:37+00:00,2,3600,2,30.6165,A30,y
run-pipeline-gpu-swyp8-29548,instance,PROJECT_14,ns-17102,TEAM_6,2024-10-26 20:10:37+00:00,2024-10-29 08:10:37+00:00,7,3600,2,28.4813,A100,n
run-pipeline-gpu-kahyx-29021,task,PROJECT_16,ns-28999,TEAM_9,2024-10-29 09:05:37+00:00,2024-10-31 21:05:37+00:00,5,3600,5,88.7696,A100,n
run-pipeline-gpu-vtidg-8856,task,PROJECT_17,ns-14272,TEAM_5,2024-10-24 07:23:37+00:00,2024-10-24 11:17:37+00:00,2,234,3,46.4698,A30,n
run-pipeline-gpu-n94kl-967,instance,PROJECT_19,ns-9840,TEAM_7,2024-11-01 21:36:37+00:00,2024-11-04 09:36:37+00:00,1,3600,5,92.73,A100,n
run-pipeline-gpu-00y0c-11858,task,PROJECT_3,ns-25618,TEAM_3,2024-10-26 13:30:37+00:00,2024-10-26 15:27:37+00:00,6,117,3,50.379,A100,y
run-pipeline-gpu-odzoj-16987,task,PROJECT_8,ns-29996,TEAM_3,2024-11-04 06:43:37+00:00,2024-11-06 18:43:37+00:00,7,3600,4,69.1547,A100,y
run-pipeline-gpu-q4os8-7500,task,PROJECT_16,ns-10006,TEAM_10,2024-10-21 03:18:37+00:00,2024-10-23 15:18:37+00:00,3,3600,5,87.0524,A100,n
run-pipeline-gpu-isi56-6673,task,PROJECT_13,ns-18629,TEAM_7,2024-11-10 01:47:37+00:00,2024-11-12 13:47:37+00:00,6,3600,3,44.6658,A100,y
run-pipeline-gpu-gu09g-5434,task,PROJECT_12,ns-24739,TEAM_4,2024-10-25 14:17:37+00:00,2024-10-25 14:42:37+00:00,8,25,4,69.1382,A100,n
run-pipeline-gpu-tddty-7827,task,PROJECT_8,ns-1531,TEAM_9,2024-11-03 11:34:37+00:00,2024-11-05 23:34:37+00:00,5,3600,3,47.5288,A100,n
run-pipeline-gpu-9sln6-29437,task,PROJECT_1,ns-15814,TEAM_3,2024-10-29 21:00:37+00:00,2024-11-01 09:00:37+00:00,5,3600,3,53.2944,A100,n
run-pipeline-gpu-kv6is-23690,task,PROJECT_6,ns-1497,TEAM_7,2024-10-27 00:53:37+00:00,2024-10-29 12:53:37+00:00,4,3600,2,33.627,A30,n
run-pipeline-gpu-koprg-15391,task,PROJECT_14,ns-26302,TEAM_8,2024-11-05 00:03:37+00:00,2024-11-07 12:03:37+00:00,5,3600,3,58.4103,A100,n
run-pipeline-gpu-8fist-5945,instance,PROJECT_16,ns-17355,TEAM_4,2024-11-02 03:01:37+00:00,2024-11-03 17:29:37+00:00,7,2308,3,44.9565,A100,y
run-pipeline-gpu-pm7ah-23937,instance,PROJECT_13,ns-553,TEAM_7,2024-11-06 14:31:37+00:00,2024-11-09 02:31:37+00:00,3,3600,4,71.5546,A30,y
run-pipeline-gpu-88pv5-1358,task,PROJECT_9,ns-21229,TEAM_7,2024-10-22 18:57:37+00:00,2024-10-25 06:57:37+00:00,3,3600,2,31.7392,A100,n
run-pipeline-gpu-hjj4s-27473,task,PROJECT_3,ns-16760,TEAM_7,2024-11-12 02:20:37+00:00,2024-11-14 14:20:37+00:00,8,3600,2,28.647,A100,y
run-pipeline-gpu-acv9x-24821,task,PROJECT_15,ns-28327,TEAM_6,2024-11-03 20:03:37+00:00,2024-11-06 08:03:37+00:00,4,3600,4,67.3602,A100,n
run-pipeline-gpu-q4dsp-22079,task,PROJECT_2,ns-27306,TEAM_1,2024-10-30 22:18:37+00:00,2024-10-30 23:03:37+00:00,5,45,5,90.5579,A100,n
run-pipeline-gpu-y1b2c-24366,task,PROJECT_19,ns-14968,TEAM_4,2024-11-01 14:14:37+00:00,2024-11-04 02:14:37+00:00,8,3600,4,62.62,A100,n
run-pipeline-gpu-a5nsv-18928,instance,PROJECT_15,ns-4918,TEAM_3,2024-11-06 04:40:37+00:00,2024-11-06 08:31:37+00:00,4,231,2,35.5293,A30,y
run-pipeline-gpu-9cafw-25186,task,PROJECT_14,ns-1296,TEAM_5,2024-11-08 13:42:37+00:00,2024-11-08 14:23:37+00:00,4,41,3,48.809,A30,n
