pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-soxyw-16175,task,PROJECT_14,ns-2306,TEAM_5,2024-10-26 16:31:12+00:00,2024-10-29 14:31:12+00:00,2,4200,5,90.0892,A30,n
run-pipeline-gpu-av9k6-10928,task,PROJECT_17,ns-2701,TEAM_7,2024-11-11 02:53:12+00:00,2024-11-11 19:33:12+00:00,3,1000,3,45.166,A100,n
run-pipeline-gpu-nn9w7-7287,instance,PROJECT_1,ns-2251,TEAM_1,2024-11-04 06:03:12+00:00,2024-11-05 18:43:12+00:00,1,2200,2,20.2352,A100,y
run-pipeline-gpu-glq7o-16396,task,PROJECT_9,ns-12927,TEAM_5,2024-10-23 19:43:12+00:00,2024-10-25 21:43:12+00:00,1,3000,5,95.9307,A100,n
run-pipeline-gpu-r4leh-26699,task,PROJECT_7,ns-8802,TEAM_3,2024-10-30 08:34:12+00:00,2024-10-31 01:14:12+00:00,2,1000,3,51.6465,A30,n
run-pipeline-gpu-s3lp6-2300,task,PROJECT_1,ns-21429,TEAM_8,2024-11-07 18:08:12+00:00,2024-11-09 00:08:12+00:00,3,1800,4,69.2589,A100,n
run-pipeline-gpu-3xv66-27822,instance,PROJECT_10,ns-23339,TEAM_4,2024-10-29 04:21:12+00:00,2024-10-29 21:01:12+00:00,1,1000,3,52.6059,A30,n
run-pipeline-gpu-r5a2d-23071,task,PROJECT_8,ns-11398,TEAM_1,2024-10-20 19:44:12+00:00,2024-10-22 15:04:12+00:00,6,2600,3,51.4991,A100,n
run-pipeline-gpu-r9ydo-29626,instance,PROJECT_5,ns-5225,TEAM_4,2024-11-10 23:14:12+00:00,2024-11-12 11:54:12+00:00,2,2200,4,72.7315,A30,n
run-pipeline-gpu-nfoge-29936,task,PROJECT_13,ns-28454,TEAM_10,2024-11-05 15:00:12+00:00,2024-11-06 04:20:12+00:00,4,800,2,39.7094,A30,y
run-pipeline-gpu-7bdeo-23670,task,PROJECT_11,ns-22674,TEAM_6,2024-10-29 07:24:12+00:00,2024-10-29 20:44:12+00:00,2,800,4,64.7768,A100,n
run-pipeline-gpu-ly5ip-24500,task,PROJECT_1,ns-26145,TEAM_1,2024-11-10 03:28:12+00:00,2024-11-12 22:08:12+00:00,5,4000,4,66.9042,A100,n
run-pipeline-gpu-supw9-741,instance,PROJECT_17,ns-17379,TEAM_5,2024-11-11 18:22:12+00:00,2024-11-13 03:42:12+00:00,3,2000,2,27.1461,A100,n
run-pipeline-gpu-g16fh-12980,task,PROJECT_12,ns-5644,TEAM_4,2024-10-24 11:30:12+00:00,2024-10-26 03:30:12+00:00,5,2400,4,61.6999,A100,n
run-pipeline-gpu-pogzg-3937,task,PROJECT_13,ns-7220,TEAM_6,2024-11-06 14:03:12+00:00,2024-11-08 02:43:12+00:00,3,2200,4,78.3557,A30,y
run-pipeline-gpu-pnvau-3757,task,PROJECT_2,ns-4215,TEAM_8,2024-10-23 02:01:12+00:00,2024-10-24 08:01:12+00:00,5,1800,3,47.4805,A100,y
run-pipeline-gpu-y10ag-295,task,PROJECT_19,ns-27663,TEAM_1,2024-11-09 18:36:12+00:00,2024-11-11 10:36:12+00:00,3,2400,3,57.0467,A100,n
run-pipeline-gpu-lzq1g-12422,instance,PROJECT_11,ns-27687,TEAM_3,2024-10-30 01:32:12+00:00,2024-11-01 00:12:12+00:00,1,2800,4,78.9216,A100,n
run-pipeline-gpu-bxgge-2100,task,PROJECT_18,ns-13565,TEAM_1,2024-11-12 05:09:12+00:00,2024-11-12 21:49:12+00:00,6,1000,4,63.4534,A100,n
run-pipeline-gpu-g4m02-22082,task,PROJECT_18,ns-5763,TEAM_9,2024-11-08 23:51:12+00:00,2024-11-09 23:11:12+00:00,1,1400,4,62.6472,A30,n
run-pipeline-gpu-hhe4y-592,task,PROJECT_19,ns-3361,TEAM_6,2024-10-21 20:05:12+00:00,2024-10-22 16:05:12+00:00,6,1200,5,81.3589,A100,n
run-pipeline-gpu-gdq5m-26934,task,PROJECT_3,ns-29260,TEAM_7,2024-11-03 07:10:12+00:00,2024-11-04 06:30:12+00:00,3,1400,3,40.2544,A100,y
run-pipeline-gpu-1q26f-12138,task,PROJECT_9,ns-15368,TEAM_4,2024-11-02 01:49:12+00:00,2024-11-02 21:49:12+00:00,7,1200,2,34.7673,A100,n
run-pipeline-gpu-mgv90-8572,task,PROJECT_2,ns-30610,TEAM_2,2024-10-21 12:04:12+00:00,2024-10-22 14:44:12+00:00,1,1600,3,59.7031,A100,n
run-pipeline-gpu-o0hf4-28964,task,PROJECT_13,ns-10944,TEAM_9,2024-10-27 01:53:12+00:00,2024-10-28 04:33:12+00:00,4,1600,3,51.1575,A100,n
run-pipeline-gpu-oansk-5800,task,PROJECT_16,ns-18660,TEAM_2,2024-10-21 07:36:12+00:00,2024-10-22 20:16:12+00:00,1,2200,5,90.6607,A100,n
run-pipeline-gpu-hhlzo-10671,task,PROJECT_15,ns-15145,TEAM_2,2024-11-11 21:55:12+00:00,2024-11-12 21:15:12+00:00,2,1400,3,41.9392,A100,n
run-pipeline-gpu-7of4s-29115,instance,PROJECT_15,ns-29127,TEAM_10,2024-11-04 11:50:12+00:00,2024-11-04 21:50:12+00:00,7,600,4,61.5149,A100,n
run-pipeline-gpu-c5nuo-3546,task,PROJECT_18,ns-23177,TEAM_3,2024-11-09 09:24:12+00:00,2024-11-09 22:44:12+00:00,2,800,4,74.9593,A30,n
