pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-kxqev-16640,instance,PROJECT_1,ns-30717,TEAM_5,2024-11-11 11:48:49+00:00,2024-11-15 03:29:12+00:00,1,5260,3,57.3109,A100,y
run-pipeline-gpu-ufkli-1919,instance,PROJECT_18,ns-1670,TEAM_4,2024-11-02 02:39:49+00:00,2024-11-04 12:40:15+00:00,1,3480,4,70.2407,A30,n
run-pipeline-gpu-zwlfm-23010,task,PROJECT_10,ns-19797,TEAM_7,2024-10-23 07:54:49+00:00,2024-10-23 22:32:59+00:00,3,878,5,80.3034,A100,n
run-pipeline-gpu-uydax-10698,task,PROJECT_15,ns-23139,TEAM_4,2024-10-26 20:35:49+00:00,2024-10-28 11:04:46+00:00,3,2308,2,27.0909,A100,y
run-pipeline-gpu-y9ze8-22908,task,PROJECT_19,ns-5625,TEAM_2,2024-10-21 10:30:49+00:00,2024-10-23 03:54:41+00:00,6,2483,5,93.2812,A100,y
run-pipeline-gpu-z9pi7-4436,task,PROJECT_8,ns-17832,TEAM_1,2024-10-26 01:30:49+00:00,2024-10-28 02:14:49+00:00,6,2923,3,49.4371,A100,y
run-pipeline-gpu-mpdq2-5929,task,PROJECT_11,ns-15668,TEAM_4,2024-11-07 13:46:49+00:00,2024-11-10 20:21:49+00:00,1,4715,2,25.0109,A30,n
run-pipeline-gpu-ennme-19415,task,PROJECT_5,ns-5846,TEAM_8,2024-10-31 09:39:49+00:00,2024-11-01 06:42:17+00:00,1,1262,4,62.1786,A100,y
run-pipeline-gpu-efo37-12928,task,PROJECT_3,ns-21333,TEAM_6,2024-10-31 01:32:49+00:00,2024-11-01 09:28:21+00:00,2,1915,4,63.792,A30,n
run-pipeline-gpu-zdbnz-9806,task,PROJECT_9,ns-2997,TEAM_1,2024-11-03 18:10:49+00:00,2024-11-06 12:33:26+00:00,1,3982,4,74.3481,A30,n
run-pipeline-gpu-u4z3k-30383,task,PROJECT_18,ns-14731,TEAM_7,2024-11-09 15:59:49+00:00,2024-11-11 13:58:16+00:00,1,2758,3,48.7004,A100,n
run-pipeline-gpu-6id7x-22380,task,PROJECT_16,ns-22601,TEAM_8,2024-11-09 13:01:49+00:00,2024-11-11 14:32:16+00:00,3,2970,2,32.4218,A30,n
run-pipeline-gpu-63js5-14601,task,PROJECT_15,ns-4337,TEAM_5,2024-11-06 14:10:49+00:00,2024-11-09 12:10:52+00:00,4,4200,5,86.6777,A100,n
run-pipeline-gpu-wr7o0-1867,task,PROJECT_18,ns-4875,TEAM_7,2024-10-24 10:23:49+00:00,2024-10-25 10:15:30+00:00,2,1431,3,42.3952,A100,y
run-pipeline-gpu-4mjmu-18140,task,PROJECT_13,ns-229,TEAM_2,2024-11-02 18:14:49+00:00,2024-11-03 14:00:08+00:00,3,1185,3,53.6661,A100,n
run-pipeline-gpu-xhgno-26722,task,PROJECT_20,ns-14935,TEAM_2,2024-11-04 21:37:49+00:00,2024-11-08 08:37:06+00:00,1,4979,5,92.6895,A100,n
run-pipeline-gpu-2axps-13958,task,PROJECT_13,ns-10399,TEAM_6,2024-11-10 12:19:49+00:00,2024-11-11 10:13:51+00:00,1,1314,5,99.0084,A100,n
run-pipeline-gpu-waowu-21946,task,PROJECT_13,ns-18209,TEAM_9,2024-11-10 14:26:49+00:00,2024-11-12 05:36:47+00:00,2,2349,4,76.3203,A100,y
run-pipeline-gpu-xcd2c-12231,instance,PROJECT_7,ns-20480,TEAM_10,2024-10-22 18:03:49+00:00,2024-10-24 15:15:21+00:00,5,2711,2,20.8078,A100,n
run-pipeline-gpu-9tbye-10850,task,PROJECT_20,ns-237,TEAM_2,2024-11-06 04:28:49+00:00,2024-11-09 06:38:34+00:00,3,4449,4,76.5637,A100,y
run-pipeline-gpu-4gx1b-32602,task,PROJECT_7,ns-11176,TEAM_9,2024-11-08 13:41:49+00:00,2024-11-10 20:57:57+00:00,1,3316,2,32.9128,A30,n
run-pipeline-gpu-alvgl-17953,task,PROJECT_11,ns-1790,TEAM_4,2024-11-06 19:37:49+00:00,2024-11-09 19:21:18+00:00,4,4303,3,45.0493,A30,y
run-pipeline-gpu-8mhev-2496,instance,PROJECT_17,ns-18508,TEAM_7,2024-10-29 16:02:49+00:00,2024-11-02 05:08:07+00:00,1,5105,2,26.844,A30,y
run-pipeline-gpu-swyp8-29548,instance,PROJECT_14,ns-17102,TEAM_6,2024-10-26 16:48:49+00:00,2024-10-28 00:04:43+00:00,1,1875,2,38.4708,A100,n
run-pipeline-gpu-kahyx-29021,task,PROJECT_16,ns-28999,TEAM_9,2024-10-29 05:43:49+00:00,2024-10-31 20:30:23+00:00,3,3766,4,62.0722,A100,n
run-pipeline-gpu-vtidg-8856,task,PROJECT_17,ns-14272,TEAM_5,2024-10-24 04:01:49+00:00,2024-10-25 20:50:06+00:00,3,2448,3,43.2149,A30,n
run-pipeline-gpu-n94kl-967,instance,PROJECT_19,ns-9840,TEAM_7,2024-11-01 18:14:49+00:00,2024-11-03 07:11:23+00:00,2,2216,4,63.0709,A100,n
run-pipeline-gpu-00y0c-11858,task,PROJECT_3,ns-25618,TEAM_3,2024-10-26 10:08:49+00:00,2024-10-27 11:19:07+00:00,1,1510,4,79.7141,A100,y
run-pipeline-gpu-odzoj-16987,task,PROJECT_8,ns-29996,TEAM_3,2024-11-04 03:21:49+00:00,2024-11-05 11:22:07+00:00,8,1920,3,54.1141,A100,y
run-pipeline-gpu-q4os8-7500,task,PROJECT_16,ns-10006,TEAM_10,2024-10-20 23:56:49+00:00,2024-10-21 21:16:23+00:00,1,1279,5,86.1005,A100,n
run-pipeline-gpu-isi56-6673,task,PROJECT_13,ns-18629,TEAM_7,2024-11-09 22:25:49+00:00,2024-11-12 17:44:04+00:00,2,4038,3,41.815,A100,y
run-pipeline-gpu-gu09g-5434,task,PROJECT_12,ns-24739,TEAM_4,2024-10-25 10:55:49+00:00,2024-10-26 03:20:34+00:00,2,984,4,63.3661,A100,n
run-pipeline-gpu-tddty-7827,task,PROJECT_8,ns-1531,TEAM_9,2024-11-03 08:12:49+00:00,2024-11-07 08:51:19+00:00,7,5798,3,41.1159,A100,n
run-pipeline-gpu-9sln6-29437,task,PROJECT_1,ns-15814,TEAM_3,2024-10-29 17:38:49+00:00,2024-11-02 03:42:02+00:00,3,4923,4,68.6051,A100,n
run-pipeline-gpu-kv6is-23690,task,PROJECT_6,ns-1497,TEAM_7,2024-10-26 21:31:49+00:00,2024-10-28 07:28:26+00:00,1,2036,2,31.6874,A30,n
run-pipeline-gpu-koprg-15391,task,PROJECT_14,ns-26302,TEAM_8,2024-11-04 20:41:49+00:00,2024-11-08 07:03:21+00:00,1,4941,3,55.2048,A100,n
run-pipeline-gpu-8fist-5945,instance,PROJECT_16,ns-17355,TEAM_4,2024-11-01 23:39:49+00:00,2024-11-05 06:27:34+00:00,1,4727,3,54.8992,A100,y
