pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-f2wo6-16557,task,PROJECT_1,ns-29914,TEAM_4,2024-10-23 10:42:38+00:00,2024-10-24 16:48:38+00:00,1,1806,3,57.2128,A100,y
run-pipeline-gpu-7zox5-13870,instance,PROJECT_7,ns-3369,TEAM_7,2024-11-01 17:36:38+00:00,2024-11-02 23:24:38+00:00,1,1788,5,85.563,A30,n
run-pipeline-gpu-ru72w-24524,task,PROJECT_11,ns-27896,TEAM_1,2024-11-11 15:29:38+00:00,2024-11-12 21:11:38+00:00,1,1782,5,83.0179,A30,n
run-pipeline-gpu-vy4x5-10728,task,PROJECT_3,ns-14674,TEAM_6,2024-10-28 21:53:38+00:00,2024-10-30 03:56:38+00:00,1,1803,3,40.3842,A100,n
run-pipeline-gpu-5ukp1-27635,task,PROJECT_2,ns-30840,TEAM_8,2024-11-10 15:18:38+00:00,2024-11-11 21:54:38+00:00,4,1836,4,77.7235,A100,n
run-pipeline-gpu-obm2c-7527,task,PROJECT_8,ns-15819,TEAM_8,2024-10-26 08:23:38+00:00,2024-10-27 14:27:38+00:00,1,1804,2,25.1747,A100,y
run-pipeline-gpu-vyq1a-32257,task,PROJECT_1,ns-12570,TEAM_7,2024-10-23 01:20:38+00:00,2024-10-24 08:08:38+00:00,2,1848,2,29.6812,A100,n
run-pipeline-gpu-uafj6-31880,task,PROJECT_9,ns-20898,TEAM_6,2024-11-01 17:48:38+00:00,2024-11-02 23:55:38+00:00,1,1807,2,39.4208,A30,n
run-pipeline-gpu-bg0va-32428,task,PROJECT_10,ns-29756,TEAM_2,2024-11-08 12:38:38+00:00,2024-11-09 18:53:38+00:00,1,1815,5,93.5284,A30,n
run-pipeline-gpu-5dyjh-17856,task,PROJECT_13,ns-7563,TEAM_2,2024-10-30 21:59:38+00:00,2024-11-01 03:48:38+00:00,1,1789,4,67.279,A30,n
run-pipeline-gpu-jy8z8-22359,task,PROJECT_18,ns-19505,TEAM_8,2024-10-27 16:36:38+00:00,2024-10-28 23:05:38+00:00,6,1829,2,39.6458,A100,n
run-pipeline-gpu-bh4ot-24081,task,PROJECT_19,ns-23629,TEAM_2,2024-11-05 05:18:38+00:00,2024-11-06 11:46:38+00:00,2,1828,4,64.9803,A100,n
run-pipeline-gpu-hiotg-13856,task,PROJECT_20,ns-13522,TEAM_7,2024-11-09 03:19:38+00:00,2024-11-10 10:46:38+00:00,1,1887,4,65.1062,A100,n
run-pipeline-gpu-mhjvo-6720,task,PROJECT_3,ns-14455,TEAM_2,2024-10-30 15:54:38+00:00,2024-10-31 20:26:38+00:00,2,1712,5,81.1807,A100,n
run-pipeline-gpu-0ajai-31038,instance,PROJECT_18,ns-20307,TEAM_6,2024-11-10 03:43:38+00:00,2024-11-11 09:41:38+00:00,1,1798,4,64.3191,A30,y
run-pipeline-gpu-mjj98-12614,task,PROJECT_9,ns-7001,TEAM_8,2024-10-22 08:22:38+00:00,2024-10-23 14:08:38+00:00,1,1786,4,61.8158,A30,n
run-pipeline-gpu-8g1gq-5515,task,PROJECT_6,ns-22873,TEAM_10,2024-10-24 23:13:38+00:00,2024-10-26 03:48:38+00:00,4,1715,5,83.9387,A100,y
run-pipeline-gpu-fu1d2-3077,task,PROJECT_12,ns-24880,TEAM_2,2024-10-27 06:17:38+00:00,2024-10-28 12:24:38+00:00,1,1807,3,43.449,A100,n
run-pipeline-gpu-n3psl-3165,task,PROJECT_5,ns-31562,TEAM_3,2024-10-25 15:35:38+00:00,2024-10-26 20:40:38+00:00,1,1745,4,69.2668,A30,n
