pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-i0mbw-8975,task,PROJECT_3,ns-31776,TEAM_3,2024-11-10 11:30:52+00:00,2024-11-10 16:05:52+00:00,2,275,2,38.108,A100,n
run-pipeline-gpu-y1sm2-6787,task,PROJECT_18,ns-31845,TEAM_7,2024-10-30 09:49:52+00:00,2024-10-31 12:15:52+00:00,5,1586,3,47.58,A100,y
run-pipeline-gpu-4o3mg-9914,task,PROJECT_19,ns-21447,TEAM_4,2024-11-10 22:10:52+00:00,2024-11-11 08:50:52+00:00,1,640,2,31.2468,A30,y
run-pipeline-gpu-gxiqg-11631,task,PROJECT_6,ns-9753,TEAM_2,2024-11-02 21:23:52+00:00,2024-11-03 16:03:52+00:00,1,1120,5,96.4018,A100,n
run-pipeline-gpu-ry689-22313,task,PROJECT_3,ns-419,TEAM_5,2024-11-04 02:43:52+00:00,2024-11-04 04:47:52+00:00,3,124,2,37.7735,A100,y
run-pipeline-gpu-e3ntw-8082,task,PROJECT_15,ns-25191,TEAM_6,2024-11-01 06:29:52+00:00,2024-11-02 11:26:52+00:00,5,1737,4,62.7682,A100,y
run-pipeline-gpu-wjrgj-4118,task,PROJECT_2,ns-10194,TEAM_9,2024-11-06 11:45:52+00:00,2024-11-08 12:35:52+00:00,5,2930,4,62.3853,A100,n
run-pipeline-gpu-wkszx-2053,task,PROJECT_18,ns-29977,TEAM_3,2024-10-24 02:27:52+00:00,2024-10-24 13:06:52+00:00,2,639,5,92.3339,A100,y
run-pipeline-gpu-njoew-3284,task,PROJECT_14,ns-21452,TEAM_3,2024-11-08 10:40:52+00:00,2024-11-10 06:36:52+00:00,1,2636,4,70.3444,A30,n
run-pipeline-gpu-9sf1a-30264,task,PROJECT_4,ns-20831,TEAM_3,2024-10-25 07:56:52+00:00,2024-10-27 08:02:52+00:00,3,2886,2,26.0336,A100,y
run-pipeline-gpu-voe60-13601,task,PROJECT_18,ns-961,TEAM_8,2024-10-28 22:56:52+00:00,2024-10-30 04:35:52+00:00,4,1779,3,52.7068,A100,n
run-pipeline-gpu-81bi3-16874,task,PROJECT_6,ns-13883,TEAM_4,2024-11-04 20:20:52+00:00,2024-11-06 07:34:52+00:00,1,2114,4,68.6795,A30,n
run-pipeline-gpu-2taey-15673,task,PROJECT_17,ns-18214,TEAM_6,2024-11-05 01:53:52+00:00,2024-11-06 01:03:52+00:00,2,1390,2,24.6438,A30,n
run-pipeline-gpu-nxgqu-20572,task,PROJECT_18,ns-18490,TEAM_5,2024-10-28 09:53:52+00:00,2024-10-29 13:18:52+00:00,3,1645,3,56.8788,A30,y
run-pipeline-gpu-3d7yg-11565,task,PROJECT_18,ns-3723,TEAM_7,2024-11-11 14:11:52+00:00,2024-11-11 20:10:52+00:00,4,359,4,68.3889,A100,n
run-pipeline-gpu-pof8z-706,instance,PROJECT_8,ns-23654,TEAM_3,2024-10-27 20:23:52+00:00,2024-10-29 12:41:52+00:00,6,2418,4,77.8007,A100,n
run-pipeline-gpu-lzb7o-9075,task,PROJECT_8,ns-32432,TEAM_4,2024-10-21 22:28:52+00:00,2024-10-24 03:16:52+00:00,5,3168,3,53.2526,A100,n
run-pipeline-gpu-wn1lb-16891,instance,PROJECT_5,ns-26745,TEAM_6,2024-10-22 02:09:52+00:00,2024-10-23 18:50:52+00:00,1,2441,4,64.6748,A100,n
run-pipeline-gpu-skopc-26303,instance,PROJECT_3,ns-23256,TEAM_1,2024-11-07 11:48:52+00:00,2024-11-09 15:30:52+00:00,4,3102,3,47.7175,A30,n
run-pipeline-gpu-n5e9h-23427,task,PROJECT_8,ns-19539,TEAM_5,2024-11-03 10:08:52+00:00,2024-11-03 13:25:52+00:00,1,197,3,43.588,A100,n
run-pipeline-gpu-u996r-6930,task,PROJECT_10,ns-23134,TEAM_2,2024-10-29 23:21:52+00:00,2024-10-30 10:28:52+00:00,1,667,4,61.175,A30,y
run-pipeline-gpu-t1xbe-9126,task,PROJECT_10,ns-26799,TEAM_7,2024-10-29 06:22:52+00:00,2024-10-29 10:49:52+00:00,5,267,3,58.744,A100,n
run-pipeline-gpu-v25v1-11794,task,PROJECT_4,ns-32134,TEAM_7,2024-10-24 19:59:52+00:00,2024-10-27 06:13:52+00:00,1,3494,3,50.7899,A100,n
run-pipeline-gpu-ujq3e-4344,task,PROJECT_1,ns-14099,TEAM_9,2024-11-10 17:06:52+00:00,2024-11-12 13:40:52+00:00,7,2674,4,70.3909,A100,n
run-pipeline-gpu-xv64w-20122,instance,PROJECT_13,ns-13719,TEAM_1,2024-10-26 00:49:52+00:00,2024-10-27 10:46:52+00:00,1,2037,3,47.2565,A30,n
run-pipeline-gpu-8fbbz-17666,instance,PROJECT_15,ns-22278,TEAM_4,2024-11-04 18:57:52+00:00,2024-11-06 20:23:52+00:00,2,2966,4,75.8955,A100,y
