pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-5izhu-2426,instance,PROJECT_7,ns-30007,TEAM_8,2024-10-30 15:25:00+00:00,2024-10-31 22:01:00+00:00,2,1836,2,25.178,A100,n
run-pipeline-gpu-8f1sn-2959,task,PROJECT_17,ns-17577,TEAM_5,2024-11-08 16:23:00+00:00,2024-11-09 12:15:00+00:00,3,1192,3,56.2107,A100,n
run-pipeline-gpu-tzjpf-3518,task,PROJECT_19,ns-17456,TEAM_1,2024-10-26 07:05:00+00:00,2024-10-30 02:35:00+00:00,5,5490,2,35.9618,A100,y
run-pipeline-gpu-rdhhp-30583,instance,PROJECT_9,ns-12369,TEAM_10,2024-10-30 11:54:00+00:00,2024-11-01 15:42:00+00:00,6,3108,3,47.9768,A100,n
run-pipeline-gpu-byy33-11920,task,PROJECT_7,ns-18686,TEAM_1,2024-11-08 15:27:00+00:00,2024-11-11 02:36:00+00:00,3,3549,3,58.202,A100,y
run-pipeline-gpu-ui0lj-9393,task,PROJECT_7,ns-22771,TEAM_10,2024-11-11 15:46:00+00:00,2024-11-14 14:57:00+00:00,4,4271,2,38.7575,A100,y
run-pipeline-gpu-x8ghm-30409,instance,PROJECT_19,ns-12093,TEAM_8,2024-10-25 05:13:00+00:00,2024-10-25 23:34:00+00:00,5,1101,3,52.4951,A100,n
run-pipeline-gpu-mwrmo-6092,task,PROJECT_9,ns-22833,TEAM_8,2024-11-12 05:25:00+00:00,2024-11-15 02:53:00+00:00,2,4168,2,21.5153,A30,y
run-pipeline-gpu-6shg4-1866,instance,PROJECT_9,ns-14933,TEAM_9,2024-10-24 20:42:00+00:00,2024-10-24 21:18:00+00:00,5,36,3,46.2155,A100,n
run-pipeline-gpu-a9qml-23968,task,PROJECT_11,ns-28930,TEAM_10,2024-10-25 11:31:00+00:00,2024-10-28 01:03:00+00:00,5,3692,3,50.9664,A100,n
run-pipeline-gpu-ajsmi-21200,task,PROJECT_1,ns-6611,TEAM_1,2024-11-02 14:10:00+00:00,2024-11-06 09:51:00+00:00,3,5501,3,52.0538,A30,n
run-pipeline-gpu-hm4p5-8772,task,PROJECT_10,ns-18718,TEAM_4,2024-11-12 05:20:00+00:00,2024-11-16 10:16:00+00:00,5,6056,4,67.8371,A100,n
run-pipeline-gpu-cjg9o-7432,task,PROJECT_18,ns-18685,TEAM_4,2024-10-29 20:59:00+00:00,2024-10-30 19:09:00+00:00,2,1330,3,40.0012,A100,n
run-pipeline-gpu-3uw1a-11582,task,PROJECT_14,ns-9147,TEAM_2,2024-10-31 03:02:00+00:00,2024-10-31 05:28:00+00:00,1,146,2,33.6682,A30,n
run-pipeline-gpu-r19rv-20703,task,PROJECT_10,ns-3490,TEAM_3,2024-11-08 05:29:00+00:00,2024-11-11 16:06:00+00:00,2,4957,4,66.1287,A100,y
run-pipeline-gpu-f5yve-30459,task,PROJECT_12,ns-11896,TEAM_7,2024-10-22 16:33:00+00:00,2024-10-22 18:42:00+00:00,5,129,5,98.0102,A100,y
run-pipeline-gpu-s6fo9-540,task,PROJECT_5,ns-27184,TEAM_7,2024-11-09 01:14:00+00:00,2024-11-10 02:03:00+00:00,5,1489,2,21.867,A100,n
run-pipeline-gpu-bh9od-19327,task,PROJECT_14,ns-27032,TEAM_8,2024-11-04 13:22:00+00:00,2024-11-04 19:17:00+00:00,2,355,3,55.1035,A30,n
run-pipeline-gpu-yjt5z-11825,task,PROJECT_10,ns-5898,TEAM_2,2024-10-23 16:09:00+00:00,2024-10-23 22:26:00+00:00,2,377,5,84.5037,A100,y
run-pipeline-gpu-9r9wh-11870,task,PROJECT_11,ns-22641,TEAM_1,2024-11-05 09:22:00+00:00,2024-11-07 21:02:00+00:00,3,3580,5,91.8858,A100,y
run-pipeline-gpu-40zb0-4175,task,PROJECT_12,ns-22297,TEAM_5,2024-10-30 11:29:00+00:00,2024-10-30 12:11:00+00:00,2,42,4,78.9078,A100,n
run-pipeline-gpu-xefzq-29676,instance,PROJECT_15,ns-28452,TEAM_7,2024-10-22 01:46:00+00:00,2024-10-26 00:31:00+00:00,6,5685,2,32.3689,A100,y
run-pipeline-gpu-k2tjk-7354,task,PROJECT_15,ns-15265,TEAM_8,2024-11-08 15:27:00+00:00,2024-11-12 16:28:00+00:00,4,5821,3,58.2056,A100,n
run-pipeline-gpu-i0rxb-17329,task,PROJECT_13,ns-29071,TEAM_7,2024-10-24 17:29:00+00:00,2024-10-25 06:05:00+00:00,5,756,4,62.2183,A100,n
run-pipeline-gpu-2y7wm-30557,instance,PROJECT_4,ns-11095,TEAM_2,2024-10-23 16:41:00+00:00,2024-10-25 05:35:00+00:00,1,2214,5,92.9872,A30,n
run-pipeline-gpu-ltyvt-30752,task,PROJECT_14,ns-14209,TEAM_7,2024-11-09 18:41:00+00:00,2024-11-11 00:03:00+00:00,3,1762,4,61.3834,A100,n
run-pipeline-gpu-w4tgp-31134,task,PROJECT_10,ns-16561,TEAM_2,2024-10-30 13:55:00+00:00,2024-10-30 20:21:00+00:00,1,386,3,45.0414,A100,n
run-pipeline-gpu-wo1vo-3978,instance,PROJECT_18,ns-2606,TEAM_6,2024-10-24 02:00:00+00:00,2024-10-27 14:17:00+00:00,4,5057,3,47.8791,A100,y
run-pipeline-gpu-6hdf0-7028,task,PROJECT_5,ns-21374,TEAM_5,2024-10-22 20:38:00+00:00,2024-10-23 20:42:00+00:00,3,1444,3,57.4236,A30,n
run-pipeline-gpu-f854v-8782,instance,PROJECT_13,ns-3811,TEAM_8,2024-11-05 06:21:00+00:00,2024-11-06 21:25:00+00:00,2,2344,3,53.4394,A100,y
run-pipeline-gpu-kuahl-21431,task,PROJECT_5,ns-16823,TEAM_3,2024-11-06 06:01:00+00:00,2024-11-06 23:12:00+00:00,2,1031,5,91.6204,A30,n
run-pipeline-gpu-wf3z9-4691,task,PROJECT_17,ns-29435,TEAM_6,2024-10-29 19:19:00+00:00,2024-11-01 17:11:00+00:00,2,4192,3,52.3465,A100,y
run-pipeline-gpu-pmir8-17336,task,PROJECT_19,ns-19350,TEAM_3,2024-11-07 15:33:00+00:00,2024-11-07 17:58:00+00:00,4,145,4,60.7861,A30,n
run-pipeline-gpu-sczkk-26553,task,PROJECT_1,ns-19731,TEAM_6,2024-11-03 10:56:00+00:00,2024-11-03 20:52:00+00:00,1,596,2,36.1873,A30,n
run-pipeline-gpu-b438c-16915,task,PROJECT_15,ns-5861,TEAM_7,2024-11-05 22:32:00+00:00,2024-11-06 10:10:00+00:00,3,698,3,43.0431,A30,y
run-pipeline-gpu-dvo8s-3788,task,PROJECT_16,ns-26490,TEAM_7,2024-11-09 05:36:00+00:00,2024-11-10 15:24:00+00:00,2,2028,3,53.294,A100,n
run-pipeline-gpu-y4q5e-6338,task,PROJECT_3,ns-11674,TEAM_9,2024-10-29 23:17:00+00:00,2024-11-02 10:33:00+00:00,8,4996,3,45.3621,A100,y
run-pipeline-gpu-f0npw-27450,task,PROJECT_7,ns-26604,TEAM_10,2024-11-08 08:35:00+00:00,2024-11-11 18:51:00+00:00,5,4936,2,21.6289,A100,y
run-pipeline-gpu-qnki8-2676,task,PROJECT_10,ns-2977,TEAM_7,2024-11-06 10:18:00+00:00,2024-11-06 10:59:00+00:00,1,41,4,66.0779,A100,y
run-pipeline-gpu-itccv-29831,instance,PROJECT_12,ns-2177,TEAM_6,2024-10-25 00:44:00+00:00,2024-10-28 03:53:00+00:00,1,4509,3,49.7244,A100,y
run-pipeline-gpu-sxxro-29469,task,PROJECT_11,ns-4089,TEAM_10,2024-10-22 08:04:00+00:00,2024-10-25 11:47:00+00:00,1,4543,3,44.412,A30,n
run-pipeline-gpu-pdczz-20414,task,PROJECT_12,ns-21985,TEAM_8,2024-10-25 20:37:00+00:00,2024-10-25 21:26:00+00:00,6,49,4,79.9361,A100,y
run-pipeline-gpu-242ut-6094,instance,PROJECT_3,ns-25860,TEAM_7,2024-11-04 09:25:00+00:00,2024-11-06 05:38:00+00:00,3,2653,5,96.1765,A100,n
