pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-i0mbw-8975,task,PROJECT_3,ns-31776,TEAM_3,2024-11-10 14:03:36+00:00,2024-11-10 14:22:36+00:00,2,19,2,21.8341,A100,n
run-pipeline-gpu-y1sm2-6787,task,PROJECT_18,ns-31845,TEAM_7,2024-10-30 12:22:36+00:00,2024-11-02 00:22:36+00:00,4,3600,4,73.634,A100,y
run-pipeline-gpu-4o3mg-9914,task,PROJECT_19,ns-21447,TEAM_4,2024-11-11 00:43:36+00:00,2024-11-12 10:27:36+00:00,1,2024,3,44.6879,A30,y
run-pipeline-gpu-gxiqg-11631,task,PROJECT_6,ns-9753,TEAM_2,2024-11-02 23:56:36+00:00,2024-11-03 02:42:36+00:00,2,166,4,70.1437,A100,n
run-pipeline-gpu-ry689-22313,task,PROJECT_3,ns-419,TEAM_5,2024-11-04 05:16:36+00:00,2024-11-04 05:54:36+00:00,4,38,4,61.8552,A100,y
run-pipeline-gpu-e3ntw-8082,task,PROJECT_15,ns-25191,TEAM_6,2024-11-01 09:02:36+00:00,2024-11-01 09:58:36+00:00,1,56,5,86.607,A100,y
run-pipeline-gpu-wjrgj-4118,task,PROJECT_2,ns-10194,TEAM_9,2024-11-06 14:18:36+00:00,2024-11-06 14:52:36+00:00,5,34,5,91.8926,A100,n
run-pipeline-gpu-wkszx-2053,task,PROJECT_18,ns-29977,TEAM_3,2024-10-24 05:00:36+00:00,2024-10-26 17:00:36+00:00,3,3600,5,86.1223,A100,y
run-pipeline-gpu-njoew-3284,task,PROJECT_14,ns-21452,TEAM_3,2024-11-08 13:13:36+00:00,2024-11-08 15:50:36+00:00,1,157,3,51.9116,A30,n
run-pipeline-gpu-9sf1a-30264,task,PROJECT_4,ns-20831,TEAM_3,2024-10-25 10:29:36+00:00,2024-10-27 22:29:36+00:00,1,3600,2,33.686,A100,y
run-pipeline-gpu-voe60-13601,task,PROJECT_18,ns-961,TEAM_8,2024-10-29 01:29:36+00:00,2024-10-29 01:42:36+00:00,2,13,4,68.5415,A100,n
run-pipeline-gpu-81bi3-16874,task,PROJECT_6,ns-13883,TEAM_4,2024-11-04 22:53:36+00:00,2024-11-07 10:53:36+00:00,1,3600,4,70.0098,A30,n
run-pipeline-gpu-2taey-15673,task,PROJECT_17,ns-18214,TEAM_6,2024-11-05 04:26:36+00:00,2024-11-07 16:26:36+00:00,2,3600,3,54.5356,A30,n
run-pipeline-gpu-nxgqu-20572,task,PROJECT_18,ns-18490,TEAM_5,2024-10-28 12:26:36+00:00,2024-10-28 12:46:36+00:00,1,20,4,68.9303,A30,y
run-pipeline-gpu-3d7yg-11565,task,PROJECT_18,ns-3723,TEAM_7,2024-11-11 16:44:36+00:00,2024-11-11 17:29:36+00:00,1,45,4,60.503,A100,n
run-pipeline-gpu-pof8z-706,instance,PROJECT_8,ns-23654,TEAM_3,2024-10-27 22:56:36+00:00,2024-10-27 23:37:36+00:00,2,41,5,93.5767,A100,n
run-pipeline-gpu-lzb7o-9075,task,PROJECT_8,ns-32432,TEAM_4,2024-10-22 01:01:36+00:00,2024-10-22 01:25:36+00:00,7,24,5,80.791,A100,n
run-pipeline-gpu-wn1lb-16891,instance,PROJECT_5,ns-26745,TEAM_6,2024-10-22 04:42:36+00:00,2024-10-22 04:54:36+00:00,2,12,5,87.479,A100,n
