pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-3hz84-401,task,PROJECT_1,ns-12074,TEAM_6,2024-11-11 01:49:44+00:00,2024-11-12 12:09:44+00:00,1,2060,3,51.9782,A30,n
run-pipeline-gpu-2mjdd-22989,task,PROJECT_20,ns-2705,TEAM_7,2024-11-02 15:29:44+00:00,2024-11-03 01:57:44+00:00,5,628,3,58.6704,A100,n
run-pipeline-gpu-8tvyv-30399,task,PROJECT_9,ns-5070,TEAM_7,2024-10-22 22:42:44+00:00,2024-10-23 05:56:44+00:00,2,434,2,26.3331,A100,n
run-pipeline-gpu-6bpkt-26271,instance,PROJECT_18,ns-32459,TEAM_5,2024-10-30 10:46:44+00:00,2024-10-30 17:42:44+00:00,8,416,4,76.5008,A100,n
run-pipeline-gpu-jkpcw-22581,instance,PROJECT_16,ns-13844,TEAM_5,2024-11-01 14:53:44+00:00,2024-11-02 22:27:44+00:00,1,1894,4,73.5483,A100,y
run-pipeline-gpu-no296-5931,task,PROJECT_11,ns-25504,TEAM_2,2024-10-23 08:19:44+00:00,2024-10-23 13:36:44+00:00,2,317,3,49.7639,A100,n
run-pipeline-gpu-agvka-22531,instance,PROJECT_13,ns-19803,TEAM_1,2024-10-21 20:41:44+00:00,2024-10-24 09:08:44+00:00,3,3627,5,98.6815,A30,y
run-pipeline-gpu-y8vp5-32252,task,PROJECT_14,ns-9407,TEAM_5,2024-10-24 09:02:44+00:00,2024-10-25 04:35:44+00:00,1,1173,2,30.749,A30,y
run-pipeline-gpu-6qcxs-13418,task,PROJECT_12,ns-24573,TEAM_9,2024-10-29 12:40:44+00:00,2024-10-31 11:50:44+00:00,5,2830,4,64.5629,A100,n
run-pipeline-gpu-h65su-26189,instance,PROJECT_18,ns-27790,TEAM_4,2024-10-30 15:07:44+00:00,2024-11-01 21:28:44+00:00,4,3261,3,52.9822,A100,y
run-pipeline-gpu-x7b80-8748,task,PROJECT_14,ns-22045,TEAM_10,2024-10-22 08:14:44+00:00,2024-10-24 19:42:44+00:00,1,3568,3,57.4312,A100,y
run-pipeline-gpu-pzm2e-7549,task,PROJECT_1,ns-10787,TEAM_1,2024-10-25 17:25:44+00:00,2024-10-28 01:31:44+00:00,4,3366,3,44.9704,A100,n
run-pipeline-gpu-hosmy-8739,task,PROJECT_18,ns-16317,TEAM_5,2024-11-09 22:20:44+00:00,2024-11-11 07:09:44+00:00,1,1969,2,31.995,A30,y
run-pipeline-gpu-7n8cd-2502,instance,PROJECT_2,ns-27765,TEAM_1,2024-11-03 17:11:44+00:00,2024-11-05 15:59:44+00:00,2,2808,4,78.2626,A100,y
run-pipeline-gpu-4z5di-22037,instance,PROJECT_18,ns-25109,TEAM_1,2024-10-31 11:54:44+00:00,2024-11-02 16:01:44+00:00,5,3127,5,82.0632,A100,n
run-pipeline-gpu-a9hn2-16943,instance,PROJECT_17,ns-18124,TEAM_4,2024-11-09 23:38:44+00:00,2024-11-10 11:13:44+00:00,1,695,5,93.3138,A30,n
run-pipeline-gpu-5vvzj-10439,task,PROJECT_2,ns-24608,TEAM_1,2024-11-01 10:12:44+00:00,2024-11-02 21:38:44+00:00,4,2126,3,50.0227,A100,y
run-pipeline-gpu-rrx5v-7104,task,PROJECT_9,ns-12928,TEAM_4,2024-11-11 08:28:44+00:00,2024-11-12 01:20:44+00:00,7,1012,4,70.3459,A100,n
run-pipeline-gpu-ih4g2-23890,task,PROJECT_11,ns-4729,TEAM_4,2024-11-09 12:47:44+00:00,2024-11-11 01:07:44+00:00,1,2180,2,23.7729,A100,y
run-pipeline-gpu-qwihm-24566,task,PROJECT_13,ns-8672,TEAM_3,2024-10-29 01:42:44+00:00,2024-10-30 13:28:44+00:00,1,2146,5,90.6185,A100,n
run-pipeline-gpu-fj2ix-22963,task,PROJECT_11,ns-25190,TEAM_7,2024-11-06 03:06:44+00:00,2024-11-07 13:02:44+00:00,1,2036,3,49.4278,A100,n
run-pipeline-gpu-oi99q-8312,task,PROJECT_15,ns-14448,TEAM_10,2024-10-31 22:38:44+00:00,2024-11-01 13:09:44+00:00,3,871,5,80.9272,A100,n
run-pipeline-gpu-jgfir-16551,task,PROJECT_20,ns-15411,TEAM_5,2024-10-22 20:28:44+00:00,2024-10-23 02:21:44+00:00,1,353,2,29.9754,A30,n
run-pipeline-gpu-9md8a-23560,task,PROJECT_10,ns-23641,TEAM_9,2024-10-24 09:59:44+00:00,2024-10-24 14:36:44+00:00,4,277,2,23.1546,A100,n
run-pipeline-gpu-d9z1b-11958,task,PROJECT_19,ns-27841,TEAM_4,2024-11-01 08:26:44+00:00,2024-11-02 19:22:44+00:00,2,2096,5,94.4773,A30,n
run-pipeline-gpu-2p5if-26813,task,PROJECT_6,ns-5403,TEAM_1,2024-11-01 02:54:44+00:00,2024-11-01 18:31:44+00:00,1,937,5,82.4385,A30,y
run-pipeline-gpu-tv8pz-11918,task,PROJECT_14,ns-32352,TEAM_5,2024-11-03 00:35:44+00:00,2024-11-04 19:27:44+00:00,5,2572,2,22.7059,A100,n
run-pipeline-gpu-a8tez-22384,instance,PROJECT_20,ns-27525,TEAM_2,2024-11-03 07:44:44+00:00,2024-11-03 19:45:44+00:00,1,721,2,27.0779,A100,n
run-pipeline-gpu-fp22g-14483,instance,PROJECT_17,ns-26842,TEAM_6,2024-11-09 03:20:44+00:00,2024-11-10 05:07:44+00:00,5,1547,3,45.7244,A100,y
run-pipeline-gpu-isl3p-17525,task,PROJECT_10,ns-16104,TEAM_4,2024-10-26 20:36:44+00:00,2024-10-27 16:54:44+00:00,1,1218,3,53.6969,A30,n
run-pipeline-gpu-87z8o-20917,task,PROJECT_4,ns-10450,TEAM_1,2024-11-03 15:54:44+00:00,2024-11-04 05:39:44+00:00,3,825,2,39.2555,A100,n
run-pipeline-gpu-zptzn-18828,instance,PROJECT_17,ns-17288,TEAM_8,2024-10-22 18:06:44+00:00,2024-10-24 06:27:44+00:00,1,2181,3,54.0546,A30,n
run-pipeline-gpu-b4vy8-7554,task,PROJECT_17,ns-4685,TEAM_5,2024-11-01 20:05:44+00:00,2024-11-02 00:59:44+00:00,3,294,2,25.8286,A30,n
run-pipeline-gpu-73022-1304,task,PROJECT_14,ns-7764,TEAM_1,2024-10-27 17:34:44+00:00,2024-10-29 02:43:44+00:00,7,1989,2,23.1407,A100,n
run-pipeline-gpu-vd7j7-30589,instance,PROJECT_4,ns-29326,TEAM_9,2024-10-24 06:41:44+00:00,2024-10-24 07:24:44+00:00,2,43,4,78.4843,A100,n
run-pipeline-gpu-uwgg4-27279,task,PROJECT_15,ns-20952,TEAM_4,2024-10-31 01:48:44+00:00,2024-11-01 10:24:44+00:00,2,1956,4,63.376,A100,n
run-pipeline-gpu-ijaau-26543,task,PROJECT_11,ns-21800,TEAM_5,2024-11-01 15:41:44+00:00,2024-11-03 10:41:44+00:00,2,2580,4,66.9958,A100,y
run-pipeline-gpu-eclfr-20531,instance,PROJECT_1,ns-28785,TEAM_4,2024-10-28 04:24:44+00:00,2024-10-29 19:30:44+00:00,6,2346,2,29.5294,A100,n
run-pipeline-gpu-4assc-1660,task,PROJECT_20,ns-79,TEAM_5,2024-11-07 19:46:44+00:00,2024-11-08 10:30:44+00:00,6,884,2,24.4585,A100,n
run-pipeline-gpu-h1pga-28160,instance,PROJECT_5,ns-18368,TEAM_9,2024-11-11 11:06:44+00:00,2024-11-13 13:13:44+00:00,1,3007,5,81.6526,A100,n
run-pipeline-gpu-12f2k-9145,task,PROJECT_20,ns-31856,TEAM_4,2024-10-31 21:24:44+00:00,2024-11-02 11:42:44+00:00,2,2298,4,77.9664,A30,y
run-pipeline-gpu-vw8l9-16870,task,PROJECT_18,ns-31074,TEAM_2,2024-10-21 02:52:44+00:00,2024-10-21 23:17:44+00:00,1,1225,2,37.3313,A100,n
run-pipeline-gpu-rh04d-17661,instance,PROJECT_14,ns-15105,TEAM_7,2024-10-31 02:55:44+00:00,2024-11-01 11:43:44+00:00,1,1968,4,60.9325,A30,n
run-pipeline-gpu-bpot4-3385,task,PROJECT_14,ns-13534,TEAM_8,2024-10-27 08:25:44+00:00,2024-10-27 14:51:44+00:00,4,386,5,82.5311,A30,n
run-pipeline-gpu-l9qti-20277,instance,PROJECT_11,ns-12443,TEAM_10,2024-10-31 19:13:44+00:00,2024-11-01 05:33:44+00:00,1,620,4,78.095,A30,n
