pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-40fca-15631,task,PROJECT_3,ns-23884,TEAM_5,2024-10-22 05:52:10+00:00,2024-10-22 18:19:10+00:00,1,747,2,39.3692,A30,n
run-pipeline-gpu-pe8m5-30345,task,PROJECT_3,ns-25687,TEAM_2,2024-11-03 09:00:10+00:00,2024-11-05 08:04:10+00:00,2,2824,2,32.7466,A100,n
run-pipeline-gpu-v6ww2-32465,task,PROJECT_19,ns-17344,TEAM_7,2024-11-11 11:28:10+00:00,2024-11-12 03:09:10+00:00,5,941,3,56.5607,A100,y
run-pipeline-gpu-xtk7k-23698,instance,PROJECT_20,ns-8890,TEAM_1,2024-10-24 10:39:10+00:00,2024-10-25 17:53:10+00:00,6,1874,5,83.0239,A100,n
run-pipeline-gpu-towdw-16941,task,PROJECT_20,ns-22531,TEAM_10,2024-10-30 17:22:10+00:00,2024-10-30 23:06:10+00:00,2,344,4,70.3459,A30,n
run-pipeline-gpu-idmwu-12024,instance,PROJECT_2,ns-7574,TEAM_7,2024-10-22 16:24:10+00:00,2024-10-23 04:06:10+00:00,2,702,2,21.3475,A30,n
run-pipeline-gpu-m7uuj-15785,task,PROJECT_3,ns-26028,TEAM_6,2024-11-10 11:30:10+00:00,2024-11-12 21:54:10+00:00,3,3504,5,87.3793,A30,n
run-pipeline-gpu-k2t7a-9769,task,PROJECT_17,ns-19519,TEAM_3,2024-11-03 01:34:10+00:00,2024-11-04 08:15:10+00:00,1,1841,3,47.927,A100,n
run-pipeline-gpu-0m7wl-2140,task,PROJECT_2,ns-30634,TEAM_7,2024-11-02 22:35:10+00:00,2024-11-04 09:25:10+00:00,2,2090,3,57.752,A100,n
run-pipeline-gpu-xsorx-9896,task,PROJECT_20,ns-21538,TEAM_3,2024-11-10 00:26:10+00:00,2024-11-10 17:06:10+00:00,1,1000,3,53.2111,A30,n
run-pipeline-gpu-hb872-6719,task,PROJECT_8,ns-16662,TEAM_7,2024-11-08 06:07:10+00:00,2024-11-08 15:50:10+00:00,4,583,3,58.3411,A100,n
