pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-hofbl-12219,task,PROJECT_7,ns-13582,TEAM_1,2024-10-31 02:02:25+00:00,2024-10-31 15:22:25+00:00,1,800,4,75.8556,A30,n
run-pipeline-gpu-8bjuq-24418,task,PROJECT_11,ns-3741,TEAM_9,2024-10-30 20:41:25+00:00,2024-11-02 02:01:25+00:00,1,3200,5,84.3729,A100,n
run-pipeline-gpu-41iea-21907,task,PROJECT_10,ns-29257,TEAM_1,2024-10-27 11:24:25+00:00,2024-10-28 20:44:25+00:00,1,2000,4,77.1799,A100,y
run-pipeline-gpu-e8s49-23956,task,PROJECT_17,ns-12419,TEAM_5,2024-10-21 23:54:25+00:00,2024-10-22 16:34:25+00:00,2,1000,3,56.9828,A100,n
run-pipeline-gpu-3wzf2-9711,task,PROJECT_2,ns-1142,TEAM_7,2024-10-27 02:39:25+00:00,2024-10-28 05:19:25+00:00,3,1600,2,32.2581,A100,n
run-pipeline-gpu-l1bo9-9950,instance,PROJECT_12,ns-11751,TEAM_4,2024-11-07 01:05:25+00:00,2024-11-08 07:05:25+00:00,2,1800,2,35.3063,A100,y
run-pipeline-gpu-3263b-18461,task,PROJECT_6,ns-26262,TEAM_3,2024-10-27 08:36:25+00:00,2024-10-28 07:56:25+00:00,5,1400,3,52.8622,A100,n
run-pipeline-gpu-4rka3-18017,task,PROJECT_14,ns-26735,TEAM_2,2024-10-22 07:44:25+00:00,2024-10-23 10:24:25+00:00,1,1600,3,40.8503,A100,y
run-pipeline-gpu-z8u52-30733,task,PROJECT_4,ns-8463,TEAM_10,2024-10-22 19:23:25+00:00,2024-10-23 18:43:25+00:00,1,1400,2,21.2578,A100,n
run-pipeline-gpu-5a2cc-12766,task,PROJECT_15,ns-22632,TEAM_9,2024-11-02 13:34:25+00:00,2024-11-04 22:14:25+00:00,7,3400,4,67.8237,A100,n
run-pipeline-gpu-d5r1t-32672,task,PROJECT_7,ns-19333,TEAM_5,2024-10-23 10:14:25+00:00,2024-10-24 16:14:25+00:00,1,1800,2,38.9099,A30,y
run-pipeline-gpu-eanj6-31277,task,PROJECT_11,ns-22975,TEAM_10,2024-10-21 23:43:25+00:00,2024-10-23 12:23:25+00:00,1,2200,3,48.616,A30,y
run-pipeline-gpu-yw2p7-2880,task,PROJECT_20,ns-12777,TEAM_2,2024-10-23 08:54:25+00:00,2024-10-23 18:54:25+00:00,5,600,4,63.6138,A100,y
run-pipeline-gpu-xuve7-14573,task,PROJECT_7,ns-15921,TEAM_2,2024-10-21 05:17:25+00:00,2024-10-22 17:57:25+00:00,1,2200,2,30.5569,A100,n
run-pipeline-gpu-ei312-28082,task,PROJECT_13,ns-12497,TEAM_6,2024-11-10 04:41:25+00:00,2024-11-13 12:41:25+00:00,1,4800,3,41.7828,A100,y
run-pipeline-gpu-uickd-28542,task,PROJECT_5,ns-22720,TEAM_9,2024-10-27 10:18:25+00:00,2024-10-29 18:58:25+00:00,6,3400,4,63.137,A100,n
run-pipeline-gpu-cjq3p-10025,task,PROJECT_6,ns-7432,TEAM_6,2024-10-23 12:52:25+00:00,2024-10-24 18:52:25+00:00,3,1800,4,64.2984,A100,y
run-pipeline-gpu-w1p8i-19245,task,PROJECT_19,ns-30311,TEAM_4,2024-11-11 07:44:25+00:00,2024-11-12 03:44:25+00:00,1,1200,3,58.4023,A100,y
run-pipeline-gpu-i60kf-17309,task,PROJECT_9,ns-19046,TEAM_2,2024-11-05 18:27:25+00:00,2024-11-06 07:47:25+00:00,1,800,3,47.9093,A30,n
run-pipeline-gpu-iw3yu-688,task,PROJECT_5,ns-30735,TEAM_5,2024-11-12 03:26:25+00:00,2024-11-12 13:26:25+00:00,1,600,3,42.9343,A30,n
run-pipeline-gpu-cwali-25691,task,PROJECT_4,ns-1506,TEAM_10,2024-10-25 08:54:25+00:00,2024-10-26 08:14:25+00:00,1,1400,2,33.6892,A30,n
run-pipeline-gpu-c14o2-16594,instance,PROJECT_18,ns-450,TEAM_5,2024-11-08 15:34:25+00:00,2024-11-09 14:54:25+00:00,2,1400,3,58.8605,A100,n
run-pipeline-gpu-azvh0-2270,task,PROJECT_4,ns-5862,TEAM_5,2024-11-03 11:15:25+00:00,2024-11-04 13:55:25+00:00,1,1600,3,45.3328,A30,n
run-pipeline-gpu-egluq-20592,task,PROJECT_5,ns-29471,TEAM_4,2024-10-22 03:44:25+00:00,2024-10-24 22:24:25+00:00,3,4000,4,77.7241,A100,n
run-pipeline-gpu-lyzob-27358,task,PROJECT_12,ns-7140,TEAM_9,2024-10-24 15:16:25+00:00,2024-10-25 01:16:25+00:00,3,600,5,92.0957,A100,y
run-pipeline-gpu-zk36m-32165,task,PROJECT_20,ns-7438,TEAM_6,2024-10-23 15:59:25+00:00,2024-10-24 21:59:25+00:00,1,1800,2,30.6229,A100,n
run-pipeline-gpu-a3o0k-423,task,PROJECT_19,ns-22056,TEAM_2,2024-10-22 04:44:25+00:00,2024-10-24 06:44:25+00:00,2,3000,4,63.8824,A30,n
run-pipeline-gpu-1hhjt-24642,task,PROJECT_9,ns-26806,TEAM_9,2024-10-31 15:17:25+00:00,2024-11-01 14:37:25+00:00,4,1400,4,68.5266,A30,n
run-pipeline-gpu-y3wzq-173,instance,PROJECT_6,ns-14574,TEAM_6,2024-11-05 03:04:25+00:00,2024-11-06 22:24:25+00:00,2,2600,4,70.0743,A100,n
run-pipeline-gpu-77kjm-898,instance,PROJECT_11,ns-25517,TEAM_9,2024-10-28 07:11:25+00:00,2024-10-30 12:31:25+00:00,1,3200,3,50.1219,A100,n
run-pipeline-gpu-6lvdr-25950,task,PROJECT_13,ns-20405,TEAM_4,2024-10-21 23:00:25+00:00,2024-10-23 01:40:25+00:00,2,1600,5,84.6922,A30,n
run-pipeline-gpu-8aqbr-7932,task,PROJECT_10,ns-25968,TEAM_3,2024-11-04 15:14:25+00:00,2024-11-05 14:34:25+00:00,1,1400,4,69.1797,A30,y
run-pipeline-gpu-si2ne-26680,task,PROJECT_12,ns-20435,TEAM_10,2024-11-03 23:26:25+00:00,2024-11-04 19:26:25+00:00,2,1200,2,32.6203,A100,y
run-pipeline-gpu-rlr7b-21721,task,PROJECT_15,ns-16915,TEAM_2,2024-11-06 14:25:25+00:00,2024-11-07 03:45:25+00:00,2,800,2,21.5967,A30,n
run-pipeline-gpu-w7sf2-25884,task,PROJECT_10,ns-26953,TEAM_4,2024-11-05 03:42:25+00:00,2024-11-05 20:22:25+00:00,3,1000,2,25.7805,A30,n
run-pipeline-gpu-qwp6k-10568,task,PROJECT_15,ns-15930,TEAM_10,2024-10-28 01:41:25+00:00,2024-10-29 14:21:25+00:00,2,2200,3,49.0306,A100,n
run-pipeline-gpu-ystpm-3810,task,PROJECT_5,ns-10970,TEAM_10,2024-10-20 19:54:25+00:00,2024-10-21 15:54:25+00:00,4,1200,3,45.6827,A100,n
run-pipeline-gpu-4ajop-10032,task,PROJECT_6,ns-14409,TEAM_4,2024-10-30 11:58:25+00:00,2024-10-31 11:18:25+00:00,4,1400,3,47.9497,A100,y
run-pipeline-gpu-gdo7m-558,task,PROJECT_16,ns-3416,TEAM_7,2024-11-05 18:28:25+00:00,2024-11-07 10:28:25+00:00,1,2400,3,56.6389,A100,n
run-pipeline-gpu-lq5ah-26150,task,PROJECT_15,ns-15064,TEAM_3,2024-10-31 17:39:25+00:00,2024-11-03 02:19:25+00:00,1,3400,2,22.4147,A100,n
run-pipeline-gpu-0zsw6-2947,instance,PROJECT_13,ns-31295,TEAM_5,2024-11-05 09:30:25+00:00,2024-11-06 08:50:25+00:00,3,1400,2,24.0858,A30,n
run-pipeline-gpu-kt7ps-26016,task,PROJECT_5,ns-27755,TEAM_1,2024-10-29 03:42:25+00:00,2024-10-30 13:02:25+00:00,2,2000,4,60.9913,A30,y
run-pipeline-gpu-w8229-13463,task,PROJECT_13,ns-24966,TEAM_2,2024-11-08 09:44:25+00:00,2024-11-09 12:24:25+00:00,1,1600,4,60.8808,A100,n
run-pipeline-gpu-ovn94-29032,instance,PROJECT_9,ns-4192,TEAM_2,2024-11-05 12:52:25+00:00,2024-11-07 04:52:25+00:00,2,2400,3,56.4851,A30,n
run-pipeline-gpu-xid0p-27880,task,PROJECT_5,ns-12979,TEAM_6,2024-10-28 16:45:25+00:00,2024-10-30 12:05:25+00:00,2,2600,5,82.9215,A100,n
run-pipeline-gpu-jm7wv-852,task,PROJECT_10,ns-3369,TEAM_7,2024-10-25 01:02:25+00:00,2024-10-27 09:42:25+00:00,2,3400,3,53.8966,A100,n
run-pipeline-gpu-psbac-24972,instance,PROJECT_18,ns-19757,TEAM_10,2024-11-11 10:04:25+00:00,2024-11-12 12:44:25+00:00,5,1600,4,67.0311,A100,y
