pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-51bpu-10177,task,PROJECT_5,ns-19393,TEAM_10,2024-11-04 16:09:41+00:00,2024-11-04 18:14:41+00:00,2,125,2,20.4196,A100,n
run-pipeline-gpu-ixuuw-18361,task,PROJECT_14,ns-29190,TEAM_6,2024-11-03 00:48:41+00:00,2024-11-03 19:46:41+00:00,8,1138,5,94.0765,A100,n
run-pipeline-gpu-ehuet-1744,task,PROJECT_19,ns-29720,TEAM_4,2024-11-01 20:38:41+00:00,2024-11-02 14:46:41+00:00,5,1088,3,56.3254,A100,y
run-pipeline-gpu-ur4nw-1439,task,PROJECT_13,ns-2932,TEAM_5,2024-10-28 16:52:41+00:00,2024-10-29 02:06:41+00:00,1,554,5,96.3777,A100,n
run-pipeline-gpu-5fpxx-21027,task,PROJECT_1,ns-26416,TEAM_6,2024-10-26 01:53:41+00:00,2024-10-27 21:52:41+00:00,1,2639,3,50.9915,A100,n
run-pipeline-gpu-dwro3-21977,task,PROJECT_16,ns-19337,TEAM_10,2024-10-24 06:53:41+00:00,2024-10-27 01:16:41+00:00,3,3983,2,34.5163,A30,n
run-pipeline-gpu-a4h6a-11961,instance,PROJECT_7,ns-26742,TEAM_9,2024-11-11 20:46:41+00:00,2024-11-13 13:31:41+00:00,6,2445,2,37.8154,A100,y
run-pipeline-gpu-7evpi-32615,task,PROJECT_2,ns-10376,TEAM_5,2024-11-11 14:12:41+00:00,2024-11-12 01:33:41+00:00,8,681,3,53.9068,A100,n
run-pipeline-gpu-19ok4-16911,task,PROJECT_12,ns-160,TEAM_9,2024-11-08 18:30:41+00:00,2024-11-09 00:12:41+00:00,6,342,5,89.4226,A100,n
run-pipeline-gpu-w8doc-10952,task,PROJECT_6,ns-21055,TEAM_6,2024-10-21 09:27:41+00:00,2024-10-25 02:47:41+00:00,1,5360,4,69.5171,A30,n
run-pipeline-gpu-m78xm-31092,instance,PROJECT_12,ns-3454,TEAM_7,2024-11-08 03:52:41+00:00,2024-11-10 03:52:41+00:00,2,2880,4,65.4163,A100,n
run-pipeline-gpu-s00xv-4209,instance,PROJECT_20,ns-15605,TEAM_10,2024-11-08 15:56:41+00:00,2024-11-10 13:14:41+00:00,1,2718,3,46.9237,A100,n
run-pipeline-gpu-09yne-3231,task,PROJECT_3,ns-21776,TEAM_1,2024-11-11 08:15:41+00:00,2024-11-11 09:54:41+00:00,3,99,3,59.2029,A100,n
run-pipeline-gpu-xgedx-17537,task,PROJECT_13,ns-20903,TEAM_2,2024-10-21 16:36:41+00:00,2024-10-22 08:38:41+00:00,2,962,2,36.0739,A100,n
run-pipeline-gpu-jhtzf-20356,task,PROJECT_1,ns-12250,TEAM_7,2024-10-31 01:51:41+00:00,2024-11-09 16:13:41+00:00,3,13822,5,95.1922,A100,n
run-pipeline-gpu-mj09u-21428,task,PROJECT_1,ns-30581,TEAM_7,2024-11-04 07:55:41+00:00,2024-11-04 17:39:41+00:00,6,584,3,59.5023,A100,n
run-pipeline-gpu-thw9v-10085,task,PROJECT_15,ns-7797,TEAM_8,2024-11-04 03:15:41+00:00,2024-11-04 05:41:41+00:00,2,146,4,65.7274,A30,n
run-pipeline-gpu-as3qx-9623,instance,PROJECT_7,ns-27224,TEAM_1,2024-11-09 10:23:41+00:00,2024-11-09 13:14:41+00:00,3,171,4,69.7908,A30,y
run-pipeline-gpu-gtq7g-14118,task,PROJECT_10,ns-24167,TEAM_4,2024-10-28 08:57:41+00:00,2024-10-28 16:22:41+00:00,4,445,2,38.1101,A100,n
run-pipeline-gpu-aw3mr-22524,task,PROJECT_18,ns-4887,TEAM_7,2024-10-23 05:12:41+00:00,2024-10-24 07:55:41+00:00,6,1603,2,28.6155,A100,n
run-pipeline-gpu-hu19g-5859,task,PROJECT_18,ns-21045,TEAM_4,2024-11-08 05:41:41+00:00,2024-11-08 10:50:41+00:00,4,309,5,83.4834,A100,n
run-pipeline-gpu-6910u-1965,task,PROJECT_5,ns-21626,TEAM_5,2024-10-23 00:36:41+00:00,2024-10-24 14:35:41+00:00,1,2279,4,72.056,A100,n
run-pipeline-gpu-ru29o-10948,task,PROJECT_17,ns-20663,TEAM_8,2024-11-08 20:25:41+00:00,2024-11-11 15:02:41+00:00,2,3997,4,61.0693,A30,y
run-pipeline-gpu-ilw36-14949,task,PROJECT_3,ns-446,TEAM_1,2024-11-07 08:17:41+00:00,2024-11-08 01:44:41+00:00,2,1047,5,87.9909,A30,n
run-pipeline-gpu-8jr3m-27921,task,PROJECT_18,ns-12204,TEAM_7,2024-11-11 09:18:41+00:00,2024-11-11 21:56:41+00:00,2,758,4,63.8136,A100,n
run-pipeline-gpu-b3ofh-24061,task,PROJECT_16,ns-29257,TEAM_5,2024-10-30 02:19:41+00:00,2024-10-30 05:10:41+00:00,3,171,2,24.4463,A100,n
run-pipeline-gpu-vte8o-16259,task,PROJECT_15,ns-7567,TEAM_4,2024-10-28 19:14:41+00:00,2024-10-29 06:46:41+00:00,1,692,2,37.8333,A30,y
run-pipeline-gpu-rcbm4-4324,instance,PROJECT_19,ns-26271,TEAM_1,2024-11-11 22:13:41+00:00,2024-11-13 06:43:41+00:00,5,1950,5,83.7186,A100,n
run-pipeline-gpu-0ax0s-6107,task,PROJECT_6,ns-7850,TEAM_1,2024-10-24 16:12:41+00:00,2024-10-25 00:59:41+00:00,6,527,3,46.9422,A100,n
run-pipeline-gpu-6eoiu-10194,task,PROJECT_4,ns-12950,TEAM_1,2024-10-24 09:06:41+00:00,2024-10-24 15:55:41+00:00,5,409,4,62.0096,A100,y
