pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-0nlxo-7845,instance,PROJECT_14,ns-28787,TEAM_8,2024-11-04 08:23:34+00:00,2024-11-04 15:07:00+00:00,4,403,5,98.6575,A100,n
run-pipeline-gpu-bcyo4-5057,task,PROJECT_16,ns-1079,TEAM_5,2024-11-11 02:42:34+00:00,2024-11-13 04:38:25+00:00,3,2995,5,84.9482,A100,n
run-pipeline-gpu-b56yj-26612,instance,PROJECT_4,ns-32687,TEAM_7,2024-10-26 20:49:34+00:00,2024-10-29 11:03:24+00:00,6,3733,2,32.9166,A100,y
run-pipeline-gpu-ctzua-21818,task,PROJECT_18,ns-7740,TEAM_8,2024-10-24 16:25:34+00:00,2024-10-27 07:58:36+00:00,5,3813,5,97.0793,A100,n
run-pipeline-gpu-57ogq-27136,instance,PROJECT_18,ns-11919,TEAM_7,2024-11-11 04:36:34+00:00,2024-11-14 17:54:00+00:00,1,5117,5,85.3511,A30,n
run-pipeline-gpu-7w2jj-18377,task,PROJECT_15,ns-1612,TEAM_7,2024-10-28 14:54:34+00:00,2024-10-31 02:18:58+00:00,3,3564,2,27.0399,A100,n
run-pipeline-gpu-wxom3-20631,task,PROJECT_19,ns-31873,TEAM_1,2024-10-23 07:35:34+00:00,2024-10-26 13:06:23+00:00,7,4650,2,35.6769,A100,n
run-pipeline-gpu-mr764-6760,task,PROJECT_12,ns-22358,TEAM_10,2024-10-26 04:07:34+00:00,2024-10-28 07:41:22+00:00,6,3093,4,62.2992,A100,n
run-pipeline-gpu-3intq-14142,instance,PROJECT_5,ns-6256,TEAM_10,2024-11-09 09:10:34+00:00,2024-11-10 23:35:05+00:00,5,2304,4,64.7286,A100,n
run-pipeline-gpu-7bpae-22923,instance,PROJECT_14,ns-5323,TEAM_10,2024-10-23 10:38:34+00:00,2024-10-27 00:20:33+00:00,4,5141,3,50.1524,A100,n
run-pipeline-gpu-604hr-26627,task,PROJECT_3,ns-6175,TEAM_10,2024-10-22 02:39:34+00:00,2024-10-23 13:35:08+00:00,6,2095,4,70.9499,A100,y
run-pipeline-gpu-88l5h-274,task,PROJECT_20,ns-18704,TEAM_5,2024-11-05 02:41:34+00:00,2024-11-07 09:04:22+00:00,7,3262,2,37.246,A100,n
run-pipeline-gpu-m7id1-3477,task,PROJECT_15,ns-27315,TEAM_2,2024-11-11 15:13:34+00:00,2024-11-13 21:14:22+00:00,4,3240,2,35.1622,A100,n
run-pipeline-gpu-uijos-9088,task,PROJECT_13,ns-16690,TEAM_8,2024-10-31 17:59:34+00:00,2024-11-01 23:59:46+00:00,6,1800,4,67.6843,A100,n
run-pipeline-gpu-08d7x-27799,task,PROJECT_8,ns-6800,TEAM_5,2024-10-21 07:24:34+00:00,2024-10-23 08:30:22+00:00,6,2945,4,77.6837,A100,n
run-pipeline-gpu-188oo-23148,task,PROJECT_1,ns-6622,TEAM_1,2024-11-11 12:31:34+00:00,2024-11-14 01:17:21+00:00,6,3645,5,86.7246,A100,y
