pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-msw8c-22860,task,PROJECT_18,ns-7887,TEAM_9,2024-10-20 15:16:04+00:00,2024-10-22 17:28:04+00:00,2,3012,4,69.559,A100,n
run-pipeline-gpu-dih4v-14469,task,PROJECT_18,ns-2317,TEAM_5,2024-11-08 00:15:04+00:00,2024-11-08 08:23:04+00:00,2,488,5,88.9843,A30,n
run-pipeline-gpu-1sbxv-32053,task,PROJECT_12,ns-18140,TEAM_5,2024-10-28 13:53:04+00:00,2024-10-28 22:21:04+00:00,3,508,3,48.9542,A100,n
run-pipeline-gpu-02nl5-12937,task,PROJECT_13,ns-21292,TEAM_8,2024-11-06 14:19:04+00:00,2024-11-07 04:43:04+00:00,4,864,3,58.8042,A100,n
run-pipeline-gpu-byczm-27530,task,PROJECT_7,ns-31744,TEAM_1,2024-11-05 18:36:04+00:00,2024-11-08 09:17:04+00:00,2,3761,3,54.4579,A100,n
run-pipeline-gpu-va72w-8182,task,PROJECT_8,ns-26807,TEAM_5,2024-10-20 22:46:04+00:00,2024-10-23 11:28:04+00:00,1,3642,3,50.699,A100,n
run-pipeline-gpu-z1n7i-8705,task,PROJECT_16,ns-17762,TEAM_2,2024-10-23 23:02:04+00:00,2024-10-26 05:06:04+00:00,5,3244,2,20.4096,A100,y
run-pipeline-gpu-3eyul-26946,task,PROJECT_16,ns-1127,TEAM_4,2024-10-30 17:59:04+00:00,2024-10-31 10:13:04+00:00,6,974,3,56.5898,A100,n
run-pipeline-gpu-0hbva-28240,task,PROJECT_1,ns-28400,TEAM_9,2024-10-20 19:27:04+00:00,2024-10-21 17:41:04+00:00,3,1334,5,80.0723,A100,n
run-pipeline-gpu-w1o9t-21476,task,PROJECT_4,ns-17922,TEAM_8,2024-11-02 14:31:04+00:00,2024-11-03 08:57:04+00:00,5,1106,5,95.9003,A100,n
run-pipeline-gpu-hlsyn-28029,task,PROJECT_2,ns-20785,TEAM_9,2024-10-24 09:22:04+00:00,2024-10-25 23:55:04+00:00,3,2313,3,40.6385,A100,n
run-pipeline-gpu-ehlsa-10443,instance,PROJECT_12,ns-13640,TEAM_5,2024-10-28 14:53:04+00:00,2024-10-30 20:28:04+00:00,1,3215,2,37.5526,A30,n
run-pipeline-gpu-4821b-18040,task,PROJECT_13,ns-7262,TEAM_3,2024-11-07 10:22:04+00:00,2024-11-09 12:21:04+00:00,2,2999,4,72.7609,A100,n
run-pipeline-gpu-lun2a-30731,instance,PROJECT_11,ns-27182,TEAM_2,2024-10-27 11:29:04+00:00,2024-10-29 02:49:04+00:00,7,2360,2,29.9821,A100,n
run-pipeline-gpu-peadd-13293,task,PROJECT_11,ns-15026,TEAM_7,2024-11-11 08:37:04+00:00,2024-11-12 16:53:04+00:00,4,1936,5,97.8718,A100,n
run-pipeline-gpu-bdtj6-11738,instance,PROJECT_19,ns-3659,TEAM_4,2024-10-23 20:19:04+00:00,2024-10-24 15:15:04+00:00,2,1136,3,56.9833,A100,n
