pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-rrw6n-13672,instance,PROJECT_19,ns-19239,TEAM_6,2024-11-02 16:07:02+00:00,2024-11-05 04:07:02+00:00,3,3600,2,34.9663,A100,y
run-pipeline-gpu-l1mji-1482,instance,PROJECT_6,ns-9293,TEAM_6,2024-11-09 13:25:02+00:00,2024-11-10 23:31:02+00:00,3,2046,4,62.541,A100,n
run-pipeline-gpu-320yk-11562,task,PROJECT_14,ns-14680,TEAM_10,2024-11-10 23:59:02+00:00,2024-11-11 05:45:02+00:00,3,346,3,49.3081,A100,n
run-pipeline-gpu-f9o4a-364,task,PROJECT_5,ns-22562,TEAM_7,2024-11-04 17:19:02+00:00,2024-11-05 17:46:02+00:00,4,1467,3,49.0197,A30,n
run-pipeline-gpu-zo7xe-15441,instance,PROJECT_3,ns-23142,TEAM_7,2024-11-04 13:02:02+00:00,2024-11-04 13:38:02+00:00,3,36,2,22.0056,A30,n
run-pipeline-gpu-xr8nf-12195,task,PROJECT_10,ns-19428,TEAM_1,2024-10-28 15:47:02+00:00,2024-10-28 16:11:02+00:00,8,24,2,24.619,A100,n
run-pipeline-gpu-cvjpr-31086,task,PROJECT_8,ns-12452,TEAM_5,2024-11-03 21:30:02+00:00,2024-11-06 09:30:02+00:00,2,3600,3,46.1065,A100,y
run-pipeline-gpu-ixpql-24951,task,PROJECT_1,ns-27054,TEAM_7,2024-10-22 10:00:02+00:00,2024-10-22 10:55:02+00:00,2,55,4,76.8332,A100,n
run-pipeline-gpu-3lv1m-4251,instance,PROJECT_17,ns-1458,TEAM_10,2024-11-08 14:36:02+00:00,2024-11-08 15:16:02+00:00,3,40,5,85.7265,A100,n
run-pipeline-gpu-9b884-7096,instance,PROJECT_6,ns-7278,TEAM_2,2024-11-11 05:41:02+00:00,2024-11-11 06:27:02+00:00,4,46,4,77.1288,A100,n
run-pipeline-gpu-gtg81-14156,task,PROJECT_17,ns-30423,TEAM_1,2024-10-25 19:29:02+00:00,2024-10-28 07:29:02+00:00,3,3600,2,20.8426,A100,n
run-pipeline-gpu-w4md4-9716,task,PROJECT_9,ns-2902,TEAM_2,2024-10-25 04:33:02+00:00,2024-10-27 16:33:02+00:00,4,3600,4,75.8796,A100,n
run-pipeline-gpu-my3f7-25446,task,PROJECT_5,ns-3215,TEAM_9,2024-11-05 19:52:02+00:00,2024-11-08 07:52:02+00:00,7,3600,4,77.3937,A100,n
run-pipeline-gpu-c6x6a-32425,instance,PROJECT_8,ns-17041,TEAM_2,2024-11-06 08:45:02+00:00,2024-11-08 20:45:02+00:00,8,3600,2,39.6952,A100,n
run-pipeline-gpu-mwjd3-22927,task,PROJECT_13,ns-29025,TEAM_2,2024-10-22 06:10:02+00:00,2024-10-22 08:33:02+00:00,2,143,3,44.9223,A100,n
run-pipeline-gpu-akaok-26813,task,PROJECT_5,ns-32056,TEAM_10,2024-10-22 04:26:02+00:00,2024-10-22 04:59:02+00:00,1,33,4,74.9233,A30,n
run-pipeline-gpu-q8vmr-26311,task,PROJECT_8,ns-7156,TEAM_4,2024-10-22 10:41:02+00:00,2024-10-24 22:41:02+00:00,3,3600,5,87.357,A100,n
run-pipeline-gpu-bfvpz-1580,task,PROJECT_11,ns-1157,TEAM_6,2024-11-05 08:14:02+00:00,2024-11-05 20:48:02+00:00,2,754,5,82.0299,A100,n
run-pipeline-gpu-lc8p9-22837,instance,PROJECT_16,ns-98,TEAM_10,2024-10-23 05:51:02+00:00,2024-10-23 06:47:02+00:00,3,56,3,49.401,A100,n
run-pipeline-gpu-ciuht-13313,task,PROJECT_11,ns-22599,TEAM_9,2024-10-23 01:56:02+00:00,2024-10-25 13:56:02+00:00,4,3600,3,40.3519,A100,y
run-pipeline-gpu-djju3-3140,task,PROJECT_6,ns-7373,TEAM_8,2024-10-22 13:46:02+00:00,2024-10-22 14:27:02+00:00,1,41,5,99.3427,A100,n
run-pipeline-gpu-eaoex-7048,task,PROJECT_2,ns-5271,TEAM_9,2024-10-27 02:54:02+00:00,2024-10-27 20:37:02+00:00,2,1063,4,77.9977,A30,n
run-pipeline-gpu-pzriu-7150,task,PROJECT_7,ns-30000,TEAM_10,2024-11-10 06:38:02+00:00,2024-11-10 06:52:02+00:00,1,14,2,24.7683,A30,n
run-pipeline-gpu-8me4r-11458,task,PROJECT_10,ns-18634,TEAM_7,2024-10-24 10:37:02+00:00,2024-10-26 22:37:02+00:00,5,3600,4,69.033,A100,n
run-pipeline-gpu-7191p-4953,task,PROJECT_15,ns-21113,TEAM_4,2024-11-08 13:56:02+00:00,2024-11-11 01:56:02+00:00,7,3600,4,63.497,A100,n
run-pipeline-gpu-uekjr-30234,instance,PROJECT_2,ns-13223,TEAM_9,2024-10-29 21:00:02+00:00,2024-10-29 21:57:02+00:00,3,57,5,83.7639,A30,n
run-pipeline-gpu-nggil-10913,instance,PROJECT_5,ns-22741,TEAM_5,2024-10-25 17:02:02+00:00,2024-10-26 01:24:02+00:00,2,502,4,65.5035,A100,n
run-pipeline-gpu-x18p1-3415,task,PROJECT_10,ns-6363,TEAM_1,2024-11-02 17:53:02+00:00,2024-11-05 05:53:02+00:00,3,3600,3,56.8615,A100,n
run-pipeline-gpu-h9qxg-26614,task,PROJECT_3,ns-18764,TEAM_4,2024-11-01 04:26:02+00:00,2024-11-01 09:57:02+00:00,3,331,4,78.851,A30,y
run-pipeline-gpu-qoe22-32211,task,PROJECT_11,ns-9131,TEAM_8,2024-10-22 19:49:02+00:00,2024-10-25 07:49:02+00:00,1,3600,3,47.7481,A100,n
run-pipeline-gpu-46ra1-14312,instance,PROJECT_2,ns-654,TEAM_1,2024-11-05 15:40:02+00:00,2024-11-05 23:17:02+00:00,4,457,4,76.4888,A100,n
run-pipeline-gpu-i2sqa-28651,task,PROJECT_2,ns-2793,TEAM_4,2024-11-10 21:02:02+00:00,2024-11-13 09:02:02+00:00,7,3600,3,57.1858,A100,n
run-pipeline-gpu-1hd4r-20735,task,PROJECT_9,ns-5389,TEAM_9,2024-11-03 19:14:02+00:00,2024-11-03 19:30:02+00:00,2,16,2,25.5132,A30,n
run-pipeline-gpu-365va-32183,instance,PROJECT_11,ns-27178,TEAM_5,2024-10-22 09:53:02+00:00,2024-10-23 14:46:02+00:00,7,1733,4,64.5437,A100,n
run-pipeline-gpu-vvhsn-30351,task,PROJECT_12,ns-32333,TEAM_2,2024-10-28 16:22:02+00:00,2024-10-28 17:02:02+00:00,6,40,4,69.1318,A100,n
run-pipeline-gpu-i692n-26876,task,PROJECT_17,ns-1078,TEAM_9,2024-11-09 03:19:02+00:00,2024-11-11 15:19:02+00:00,1,3600,3,44.4076,A30,n
run-pipeline-gpu-vxofu-28362,instance,PROJECT_20,ns-24441,TEAM_1,2024-10-31 09:54:02+00:00,2024-11-02 21:54:02+00:00,1,3600,5,88.712,A100,n
run-pipeline-gpu-r8gf6-9824,task,PROJECT_3,ns-25281,TEAM_4,2024-11-01 16:04:02+00:00,2024-11-04 04:04:02+00:00,3,3600,3,45.2083,A30,y
run-pipeline-gpu-vq123-16408,task,PROJECT_4,ns-17208,TEAM_6,2024-10-25 21:35:02+00:00,2024-10-28 09:35:02+00:00,2,3600,4,66.6125,A100,n
run-pipeline-gpu-nyfvy-29150,task,PROJECT_13,ns-1882,TEAM_3,2024-10-29 19:39:02+00:00,2024-10-29 19:50:02+00:00,2,11,3,49.947,A30,n
run-pipeline-gpu-lqi0b-2469,task,PROJECT_1,ns-18111,TEAM_8,2024-10-29 20:16:02+00:00,2024-10-29 20:51:02+00:00,4,35,3,41.6882,A100,n
run-pipeline-gpu-5y2dg-24698,instance,PROJECT_16,ns-8609,TEAM_10,2024-10-22 09:06:02+00:00,2024-10-24 21:06:02+00:00,2,3600,4,72.1503,A100,n
run-pipeline-gpu-6hfw2-2873,task,PROJECT_6,ns-14887,TEAM_10,2024-10-24 20:20:02+00:00,2024-10-24 20:40:02+00:00,4,20,3,58.3007,A100,n
run-pipeline-gpu-093ya-9014,task,PROJECT_7,ns-32446,TEAM_8,2024-10-29 07:51:02+00:00,2024-10-31 19:51:02+00:00,1,3600,3,43.5357,A100,y
run-pipeline-gpu-or74e-12366,task,PROJECT_6,ns-3074,TEAM_4,2024-11-11 18:06:02+00:00,2024-11-14 06:06:02+00:00,1,3600,3,59.6921,A30,y
run-pipeline-gpu-fl7kq-28485,task,PROJECT_15,ns-9743,TEAM_8,2024-10-31 16:34:02+00:00,2024-10-31 16:52:02+00:00,2,18,3,40.1644,A100,n
run-pipeline-gpu-8odhv-12893,task,PROJECT_2,ns-5162,TEAM_6,2024-11-11 17:17:02+00:00,2024-11-14 05:17:02+00:00,3,3600,5,82.2163,A100,n
run-pipeline-gpu-6fneo-16255,instance,PROJECT_13,ns-22305,TEAM_8,2024-10-26 23:06:02+00:00,2024-10-27 04:55:02+00:00,3,349,4,76.8888,A30,y
