pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-a4izp-1105,task,PROJECT_5,ns-27241,TEAM_8,2024-10-27 05:47:23+00:00,2024-10-28 11:10:23+00:00,3,1763,2,24.6362,A100,n
run-pipeline-gpu-2nyiz-9653,task,PROJECT_3,ns-24779,TEAM_9,2024-10-30 19:35:23+00:00,2024-11-01 01:37:23+00:00,6,1802,3,46.8915,A100,y
run-pipeline-gpu-3tyil-27897,task,PROJECT_12,ns-20945,TEAM_6,2024-11-07 05:28:23+00:00,2024-11-08 11:43:23+00:00,3,1815,3,46.3353,A30,n
run-pipeline-gpu-arpy1-7087,task,PROJECT_5,ns-12040,TEAM_7,2024-11-03 01:05:23+00:00,2024-11-04 06:15:23+00:00,4,1750,4,70.9454,A100,n
run-pipeline-gpu-vo89f-23902,instance,PROJECT_15,ns-6467,TEAM_8,2024-10-31 22:35:23+00:00,2024-11-02 05:19:23+00:00,1,1844,2,30.3068,A100,y
run-pipeline-gpu-wbf5b-2079,task,PROJECT_20,ns-12207,TEAM_8,2024-10-24 04:58:23+00:00,2024-10-25 10:57:23+00:00,3,1799,3,53.5624,A30,y
run-pipeline-gpu-f9ugb-24932,task,PROJECT_14,ns-14131,TEAM_5,2024-10-25 17:52:23+00:00,2024-10-27 00:49:23+00:00,7,1857,4,63.6468,A100,n
run-pipeline-gpu-q8ean-1329,task,PROJECT_13,ns-11602,TEAM_3,2024-11-10 10:26:23+00:00,2024-11-11 16:38:23+00:00,4,1812,5,82.5163,A100,n
run-pipeline-gpu-qcjpm-23869,task,PROJECT_16,ns-28972,TEAM_8,2024-10-28 22:34:23+00:00,2024-10-30 04:29:23+00:00,8,1795,3,49.0865,A100,n
run-pipeline-gpu-eumzt-26337,task,PROJECT_3,ns-1624,TEAM_8,2024-11-06 13:40:23+00:00,2024-11-07 20:07:23+00:00,2,1827,3,44.3359,A100,n
run-pipeline-gpu-r3lxm-10684,task,PROJECT_7,ns-24739,TEAM_3,2024-11-03 20:21:23+00:00,2024-11-05 03:23:23+00:00,2,1862,2,34.1605,A30,y
run-pipeline-gpu-cd32t-1650,task,PROJECT_1,ns-29946,TEAM_4,2024-11-01 04:41:23+00:00,2024-11-02 12:15:23+00:00,5,1894,2,35.9675,A100,y
run-pipeline-gpu-jlc4r-15344,task,PROJECT_18,ns-19213,TEAM_3,2024-11-01 15:17:23+00:00,2024-11-02 22:01:23+00:00,3,1844,3,46.5443,A100,y
run-pipeline-gpu-ytgbt-31519,instance,PROJECT_18,ns-19566,TEAM_4,2024-10-24 14:32:23+00:00,2024-10-25 21:42:23+00:00,4,1870,2,28.0048,A100,y
run-pipeline-gpu-h10gg-27630,task,PROJECT_10,ns-24882,TEAM_5,2024-10-23 11:57:23+00:00,2024-10-24 17:27:23+00:00,6,1770,2,32.594,A100,n
run-pipeline-gpu-awlv9-29713,task,PROJECT_17,ns-24418,TEAM_2,2024-11-07 10:05:23+00:00,2024-11-08 15:45:23+00:00,2,1780,3,54.9966,A30,y
run-pipeline-gpu-36f1p-12015,task,PROJECT_20,ns-14785,TEAM_6,2024-10-24 03:48:23+00:00,2024-10-25 10:09:23+00:00,7,1821,3,55.2357,A100,y
run-pipeline-gpu-rnfsy-10130,task,PROJECT_10,ns-941,TEAM_8,2024-11-03 22:11:23+00:00,2024-11-05 04:00:23+00:00,3,1789,3,54.4699,A100,n
run-pipeline-gpu-uma0l-22683,task,PROJECT_1,ns-6949,TEAM_4,2024-10-21 18:50:23+00:00,2024-10-23 00:43:23+00:00,1,1793,5,91.1005,A100,n
run-pipeline-gpu-6n9ij-2945,task,PROJECT_4,ns-26433,TEAM_3,2024-11-03 14:35:23+00:00,2024-11-04 21:12:23+00:00,3,1837,3,58.7308,A30,n
run-pipeline-gpu-l5w0q-14245,task,PROJECT_14,ns-26776,TEAM_5,2024-10-26 22:22:23+00:00,2024-10-28 03:31:23+00:00,1,1749,4,67.832,A30,n
run-pipeline-gpu-6wddi-19207,task,PROJECT_5,ns-10853,TEAM_5,2024-11-11 14:37:23+00:00,2024-11-12 20:26:23+00:00,4,1789,4,67.3856,A100,n
run-pipeline-gpu-a835f-8602,task,PROJECT_18,ns-18039,TEAM_5,2024-11-10 11:20:23+00:00,2024-11-11 18:44:23+00:00,1,1884,2,31.0899,A100,n
run-pipeline-gpu-vqtrv-11657,task,PROJECT_6,ns-29474,TEAM_2,2024-11-08 01:28:23+00:00,2024-11-09 08:03:23+00:00,1,1835,5,98.3883,A100,n
run-pipeline-gpu-8afsp-16884,task,PROJECT_9,ns-18901,TEAM_4,2024-10-22 19:44:23+00:00,2024-10-24 01:42:23+00:00,8,1798,4,65.2379,A100,n
run-pipeline-gpu-bfovz-25310,task,PROJECT_10,ns-28156,TEAM_6,2024-10-28 17:01:23+00:00,2024-10-29 23:11:23+00:00,1,1810,3,46.9091,A30,n
run-pipeline-gpu-jzp3i-16498,task,PROJECT_11,ns-18260,TEAM_3,2024-10-24 20:56:23+00:00,2024-10-26 04:00:23+00:00,4,1864,2,31.0314,A100,y
run-pipeline-gpu-5tlu3-26819,task,PROJECT_16,ns-28644,TEAM_2,2024-11-09 18:03:23+00:00,2024-11-10 23:33:23+00:00,6,1770,3,47.7179,A100,n
run-pipeline-gpu-62per-4781,task,PROJECT_5,ns-5425,TEAM_7,2024-10-29 13:29:23+00:00,2024-10-30 18:14:23+00:00,3,1725,5,90.7564,A100,n
