pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-ldtip-11757,instance,PROJECT_7,ns-13085,TEAM_1,2024-11-11 22:52:23+00:00,2024-11-12 23:15:23+00:00,7,1463,2,30.5648,A100,y
run-pipeline-gpu-t7lta-14800,instance,PROJECT_2,ns-7235,TEAM_4,2024-11-05 06:40:23+00:00,2024-11-05 13:32:23+00:00,6,412,4,60.2288,A100,n
run-pipeline-gpu-twx1a-31626,instance,PROJECT_17,ns-24042,TEAM_1,2024-10-27 00:28:23+00:00,2024-10-27 10:12:23+00:00,4,584,2,29.6091,A100,n
run-pipeline-gpu-lhpws-16384,task,PROJECT_5,ns-10470,TEAM_6,2024-11-03 07:33:23+00:00,2024-11-03 14:07:23+00:00,1,394,4,66.6506,A30,n
run-pipeline-gpu-fqcdv-23241,instance,PROJECT_16,ns-551,TEAM_1,2024-11-06 02:58:23+00:00,2024-11-06 20:28:23+00:00,3,1050,5,82.5214,A30,n
run-pipeline-gpu-2gbhy-6518,instance,PROJECT_3,ns-28395,TEAM_8,2024-10-31 06:50:23+00:00,2024-11-01 00:56:23+00:00,3,1086,3,44.2607,A100,n
run-pipeline-gpu-6yip6-28315,instance,PROJECT_20,ns-4325,TEAM_7,2024-10-29 20:23:23+00:00,2024-10-30 12:28:23+00:00,5,965,3,56.2877,A100,n
run-pipeline-gpu-sgaea-5101,task,PROJECT_5,ns-1669,TEAM_8,2024-11-07 05:15:23+00:00,2024-11-08 01:21:23+00:00,4,1206,3,56.4334,A100,n
run-pipeline-gpu-33on2-23017,instance,PROJECT_9,ns-8951,TEAM_6,2024-11-11 14:21:23+00:00,2024-11-12 22:33:23+00:00,6,1932,3,44.255,A100,n
run-pipeline-gpu-dc92c-5343,task,PROJECT_3,ns-21159,TEAM_6,2024-10-21 03:12:23+00:00,2024-10-22 07:26:23+00:00,4,1694,5,97.6925,A30,n
run-pipeline-gpu-0su5z-25189,task,PROJECT_19,ns-5183,TEAM_4,2024-10-27 08:59:23+00:00,2024-10-30 01:01:23+00:00,8,3842,4,60.6562,A100,n
run-pipeline-gpu-qra3h-12143,task,PROJECT_3,ns-9083,TEAM_9,2024-10-21 14:29:23+00:00,2024-10-23 18:37:23+00:00,3,3128,2,33.3977,A100,n
run-pipeline-gpu-9vh0p-18083,task,PROJECT_13,ns-6729,TEAM_8,2024-10-26 09:33:23+00:00,2024-10-28 06:02:23+00:00,6,2669,3,51.0992,A100,n
run-pipeline-gpu-j6472-4004,task,PROJECT_15,ns-13843,TEAM_6,2024-10-30 02:13:23+00:00,2024-10-31 06:19:23+00:00,4,1686,2,36.7107,A100,n
run-pipeline-gpu-fwb23-23401,task,PROJECT_13,ns-27164,TEAM_5,2024-10-28 05:58:23+00:00,2024-10-28 22:50:23+00:00,7,1012,4,72.6022,A100,n
run-pipeline-gpu-1eola-28377,task,PROJECT_4,ns-17759,TEAM_7,2024-11-10 21:58:23+00:00,2024-11-11 12:40:23+00:00,4,882,3,53.744,A100,n
run-pipeline-gpu-fh80m-17476,task,PROJECT_12,ns-16718,TEAM_8,2024-11-01 02:04:23+00:00,2024-11-01 09:52:23+00:00,5,468,4,72.7439,A100,n
