pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-voxjf-2587,task,PROJECT_7,ns-30120,TEAM_1,2024-10-22 14:31:00+00:00,2024-10-24 22:09:49+00:00,3,3338,4,76.6555,A100,n
run-pipeline-gpu-khisx-17776,instance,PROJECT_19,ns-1025,TEAM_7,2024-11-03 03:46:00+00:00,2024-11-05 13:56:11+00:00,3,3490,4,70.1435,A30,n
run-pipeline-gpu-jj2kz-22445,task,PROJECT_20,ns-13193,TEAM_9,2024-10-24 14:34:00+00:00,2024-10-25 23:45:04+00:00,3,1991,4,65.2166,A30,n
run-pipeline-gpu-r9ikp-2270,task,PROJECT_13,ns-27884,TEAM_5,2024-10-25 04:17:00+00:00,2024-10-27 08:14:45+00:00,1,3117,2,28.4164,A100,n
run-pipeline-gpu-oyw66-15765,task,PROJECT_13,ns-24137,TEAM_2,2024-11-09 17:03:00+00:00,2024-11-12 17:15:15+00:00,3,4332,5,80.4434,A100,n
run-pipeline-gpu-msjc1-13486,task,PROJECT_20,ns-26743,TEAM_6,2024-11-04 20:59:00+00:00,2024-11-06 23:08:04+00:00,1,3009,3,59.3862,A30,n
run-pipeline-gpu-iaa8j-7040,task,PROJECT_8,ns-24259,TEAM_9,2024-10-26 21:41:00+00:00,2024-10-30 09:53:29+00:00,1,5052,3,54.9066,A30,n
run-pipeline-gpu-wivze-4283,task,PROJECT_11,ns-26243,TEAM_7,2024-10-22 18:50:00+00:00,2024-10-24 22:04:46+00:00,3,3074,5,83.3986,A100,n
run-pipeline-gpu-hvd7u-3448,task,PROJECT_20,ns-27386,TEAM_10,2024-10-28 10:31:00+00:00,2024-10-30 04:48:26+00:00,2,2537,3,48.4433,A30,n
run-pipeline-gpu-7bhhh-3397,task,PROJECT_18,ns-859,TEAM_5,2024-10-21 19:36:00+00:00,2024-10-22 08:40:18+00:00,5,784,3,55.8303,A100,n
run-pipeline-gpu-eovbb-315,task,PROJECT_20,ns-9197,TEAM_2,2024-11-04 14:35:00+00:00,2024-11-06 14:15:55+00:00,4,2860,2,24.0339,A100,y
run-pipeline-gpu-s9r1j-28510,task,PROJECT_13,ns-20646,TEAM_10,2024-10-30 10:51:00+00:00,2024-10-31 17:05:38+00:00,1,1814,4,69.4507,A100,n
run-pipeline-gpu-j6ewv-26320,task,PROJECT_12,ns-5803,TEAM_7,2024-10-21 19:52:00+00:00,2024-10-23 11:28:43+00:00,4,2376,3,49.3525,A100,n
run-pipeline-gpu-v79j3-31395,task,PROJECT_7,ns-9117,TEAM_7,2024-11-05 03:38:00+00:00,2024-11-08 02:19:40+00:00,6,4241,2,26.856,A100,n
run-pipeline-gpu-11h5x-4181,task,PROJECT_4,ns-13475,TEAM_6,2024-10-30 04:09:00+00:00,2024-11-02 16:21:35+00:00,3,5052,5,84.0093,A100,n
run-pipeline-gpu-yp8an-19502,task,PROJECT_2,ns-7296,TEAM_10,2024-11-01 13:34:00+00:00,2024-11-03 04:54:49+00:00,6,2360,3,51.4777,A100,n
run-pipeline-gpu-lt9v0-5404,task,PROJECT_10,ns-5951,TEAM_10,2024-11-08 07:25:00+00:00,2024-11-09 13:03:19+00:00,5,1778,3,59.335,A100,n
run-pipeline-gpu-lalkd-23241,task,PROJECT_9,ns-23364,TEAM_7,2024-11-04 04:21:00+00:00,2024-11-05 12:34:13+00:00,6,1933,3,50.3089,A100,n
run-pipeline-gpu-h7ssy-19446,instance,PROJECT_8,ns-8882,TEAM_2,2024-10-29 00:55:00+00:00,2024-10-31 12:50:49+00:00,1,3595,4,64.4821,A100,n
run-pipeline-gpu-ivynn-20580,task,PROJECT_9,ns-5519,TEAM_3,2024-11-11 23:46:00+00:00,2024-11-14 19:01:23+00:00,1,4035,3,47.8233,A100,n
run-pipeline-gpu-yfhwf-12496,task,PROJECT_14,ns-23567,TEAM_9,2024-10-31 22:18:00+00:00,2024-11-02 19:26:07+00:00,4,2708,4,60.1149,A100,n
run-pipeline-gpu-zhcve-12490,task,PROJECT_8,ns-486,TEAM_4,2024-10-27 22:08:00+00:00,2024-10-29 17:28:19+00:00,1,2600,3,43.9347,A30,n
run-pipeline-gpu-ddzcz-18813,task,PROJECT_8,ns-1691,TEAM_8,2024-11-09 05:45:00+00:00,2024-11-13 03:17:39+00:00,2,5612,2,36.0747,A100,y
run-pipeline-gpu-dob4v-401,task,PROJECT_10,ns-19494,TEAM_2,2024-10-30 15:45:00+00:00,2024-11-02 18:04:35+00:00,2,4459,4,71.552,A100,y
run-pipeline-gpu-l2fmc-24019,task,PROJECT_3,ns-23653,TEAM_6,2024-11-10 02:18:00+00:00,2024-11-11 17:14:22+00:00,7,2336,2,30.8212,A100,n
run-pipeline-gpu-21naa-26449,task,PROJECT_9,ns-1842,TEAM_1,2024-10-29 16:44:00+00:00,2024-10-31 13:38:20+00:00,3,2694,3,55.7997,A30,n
run-pipeline-gpu-otfd4-5882,task,PROJECT_9,ns-30228,TEAM_4,2024-10-31 10:30:00+00:00,2024-11-02 04:58:54+00:00,2,2548,3,52.0095,A30,n
run-pipeline-gpu-vin2b-27670,task,PROJECT_15,ns-20459,TEAM_2,2024-10-26 03:31:00+00:00,2024-10-29 14:40:44+00:00,4,4989,3,42.9649,A100,n
run-pipeline-gpu-uudrb-23042,task,PROJECT_14,ns-13826,TEAM_4,2024-11-11 14:04:00+00:00,2024-11-13 10:58:56+00:00,3,2694,3,52.7152,A100,y
run-pipeline-gpu-n9mj1-25368,task,PROJECT_18,ns-5478,TEAM_8,2024-10-21 11:13:00+00:00,2024-10-23 05:38:03+00:00,4,2545,4,73.9772,A30,n
run-pipeline-gpu-hecv8-29109,task,PROJECT_5,ns-19079,TEAM_3,2024-11-09 23:19:00+00:00,2024-11-11 07:17:13+00:00,2,1918,2,39.0516,A30,n
run-pipeline-gpu-308e6-7594,task,PROJECT_12,ns-14938,TEAM_4,2024-11-07 20:03:00+00:00,2024-11-09 03:57:03+00:00,3,1914,4,72.0969,A100,n
run-pipeline-gpu-bgvr9-23468,task,PROJECT_15,ns-7064,TEAM_10,2024-11-05 11:12:00+00:00,2024-11-07 19:50:08+00:00,6,3398,4,77.9705,A100,y
run-pipeline-gpu-1efil-25970,instance,PROJECT_20,ns-985,TEAM_6,2024-10-27 23:11:00+00:00,2024-10-30 02:33:43+00:00,2,3082,3,42.6954,A100,y
run-pipeline-gpu-w73h4-19621,task,PROJECT_11,ns-14225,TEAM_8,2024-11-08 12:52:00+00:00,2024-11-10 10:02:43+00:00,3,2710,2,37.6382,A100,n
run-pipeline-gpu-yg3wq-28632,task,PROJECT_11,ns-2369,TEAM_1,2024-11-08 20:01:00+00:00,2024-11-10 19:10:49+00:00,3,2829,4,60.9056,A30,n
run-pipeline-gpu-4wtx7-16404,task,PROJECT_15,ns-4944,TEAM_9,2024-10-20 23:10:00+00:00,2024-10-24 20:49:59+00:00,1,5619,3,57.5709,A30,n
run-pipeline-gpu-428e0-16065,instance,PROJECT_7,ns-6514,TEAM_9,2024-10-29 11:16:00+00:00,2024-11-01 02:03:00+00:00,2,3767,2,35.4381,A30,y
