pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-09s0a-5570,instance,PROJECT_14,ns-15691,TEAM_1,2024-11-10 14:25:16+00:00,2024-11-11 13:45:16+00:00,6,1400,4,79.7628,A100,n
run-pipeline-gpu-16xh4-27869,task,PROJECT_9,ns-12783,TEAM_1,2024-11-06 23:25:16+00:00,2024-11-08 15:25:16+00:00,4,2400,5,86.1724,A100,y
run-pipeline-gpu-akw3f-3798,task,PROJECT_3,ns-8694,TEAM_6,2024-11-09 02:52:16+00:00,2024-11-10 08:52:16+00:00,4,1800,4,76.6389,A30,n
run-pipeline-gpu-9phw3-20646,instance,PROJECT_12,ns-24062,TEAM_5,2024-10-22 00:45:16+00:00,2024-10-22 07:25:16+00:00,5,400,3,42.0457,A100,n
run-pipeline-gpu-pc5z2-28908,task,PROJECT_17,ns-21458,TEAM_8,2024-10-29 22:44:16+00:00,2024-10-31 21:24:16+00:00,2,2800,2,37.5494,A100,n
run-pipeline-gpu-lwgp4-16895,instance,PROJECT_8,ns-13933,TEAM_2,2024-11-04 07:53:16+00:00,2024-11-05 03:53:16+00:00,1,1200,3,43.8484,A100,n
run-pipeline-gpu-0p6dk-28416,task,PROJECT_8,ns-16671,TEAM_6,2024-10-29 03:45:16+00:00,2024-10-30 09:45:16+00:00,3,1800,5,84.1669,A100,n
run-pipeline-gpu-532kp-15675,task,PROJECT_15,ns-19491,TEAM_1,2024-11-05 05:16:16+00:00,2024-11-06 17:56:16+00:00,7,2200,3,47.5973,A100,y
run-pipeline-gpu-5ubfc-29274,task,PROJECT_6,ns-30762,TEAM_7,2024-10-31 23:42:16+00:00,2024-11-01 16:22:16+00:00,3,1000,5,81.3699,A100,n
run-pipeline-gpu-aekeb-4407,task,PROJECT_6,ns-18330,TEAM_5,2024-11-06 22:59:16+00:00,2024-11-08 01:39:16+00:00,3,1600,3,42.8411,A100,n
run-pipeline-gpu-jog8e-14936,task,PROJECT_8,ns-24483,TEAM_6,2024-10-27 19:49:16+00:00,2024-10-31 00:29:16+00:00,3,4600,4,72.0659,A100,n
run-pipeline-gpu-vabwt-31309,task,PROJECT_12,ns-12368,TEAM_9,2024-11-05 03:14:16+00:00,2024-11-06 19:14:16+00:00,3,2400,3,56.0641,A100,n
run-pipeline-gpu-bjakx-32652,task,PROJECT_8,ns-14900,TEAM_6,2024-10-26 22:36:16+00:00,2024-10-29 13:56:16+00:00,3,3800,4,73.4255,A100,y
run-pipeline-gpu-gnl9h-25224,task,PROJECT_20,ns-24955,TEAM_9,2024-11-12 01:08:16+00:00,2024-11-13 20:28:16+00:00,3,2600,2,33.4603,A30,y
run-pipeline-gpu-3hjm7-11784,task,PROJECT_1,ns-2385,TEAM_10,2024-11-03 08:41:16+00:00,2024-11-05 04:01:16+00:00,2,2600,5,95.6473,A100,y
run-pipeline-gpu-4h2v6-31511,task,PROJECT_8,ns-24577,TEAM_3,2024-11-11 16:49:16+00:00,2024-11-12 12:49:16+00:00,3,1200,3,45.944,A100,n
run-pipeline-gpu-hs6kl-2807,task,PROJECT_9,ns-9034,TEAM_2,2024-10-24 01:03:16+00:00,2024-10-25 10:23:16+00:00,5,2000,4,60.6008,A100,n
run-pipeline-gpu-v95uf-8964,task,PROJECT_7,ns-1448,TEAM_9,2024-11-02 14:41:16+00:00,2024-11-03 17:21:16+00:00,5,1600,4,73.5236,A100,n
run-pipeline-gpu-jhj99-22893,task,PROJECT_5,ns-4264,TEAM_3,2024-10-24 18:29:16+00:00,2024-10-25 04:29:16+00:00,4,600,4,61.2516,A100,n
run-pipeline-gpu-fx3be-20262,instance,PROJECT_17,ns-13707,TEAM_1,2024-10-24 01:35:16+00:00,2024-10-24 18:15:16+00:00,2,1000,4,73.8662,A30,n
run-pipeline-gpu-olh0a-21121,instance,PROJECT_6,ns-1207,TEAM_5,2024-11-10 11:43:16+00:00,2024-11-11 17:43:16+00:00,3,1800,4,63.5158,A100,n
run-pipeline-gpu-zknw7-26452,task,PROJECT_17,ns-3534,TEAM_6,2024-10-26 12:54:16+00:00,2024-10-27 22:14:16+00:00,2,2000,3,50.304,A100,n
run-pipeline-gpu-j4bor-1177,task,PROJECT_2,ns-1376,TEAM_10,2024-11-04 06:08:16+00:00,2024-11-05 02:08:16+00:00,7,1200,4,64.601,A100,n
run-pipeline-gpu-5ekrr-19677,task,PROJECT_7,ns-19091,TEAM_7,2024-11-08 09:34:16+00:00,2024-11-10 04:54:16+00:00,3,2600,5,89.0501,A30,n
run-pipeline-gpu-ykc7p-28166,task,PROJECT_14,ns-5690,TEAM_8,2024-11-07 07:12:16+00:00,2024-11-08 03:12:16+00:00,3,1200,4,64.3205,A30,n
run-pipeline-gpu-oiosk-32310,instance,PROJECT_6,ns-20013,TEAM_7,2024-10-26 02:12:16+00:00,2024-10-27 14:52:16+00:00,5,2200,4,60.5882,A100,n
run-pipeline-gpu-d7hdv-26322,task,PROJECT_15,ns-31457,TEAM_9,2024-10-20 21:04:16+00:00,2024-10-21 17:04:16+00:00,3,1200,3,56.1791,A100,y
run-pipeline-gpu-uqyqr-3060,task,PROJECT_8,ns-660,TEAM_8,2024-10-30 09:01:16+00:00,2024-10-31 08:21:16+00:00,5,1400,2,36.933,A100,n
