pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-86t5t-12871,task,PROJECT_9,ns-1625,TEAM_3,2024-10-24 15:23:07+00:00,2024-10-25 05:14:07+00:00,4,831,2,35.4822,A100,n
run-pipeline-gpu-z5pxo-5585,task,PROJECT_3,ns-27182,TEAM_8,2024-10-20 19:56:07+00:00,2024-10-20 20:04:07+00:00,4,8,3,52.8184,A30,n
run-pipeline-gpu-p1tj0-28157,task,PROJECT_12,ns-8357,TEAM_1,2024-10-24 21:05:07+00:00,2024-10-26 18:46:07+00:00,7,2741,2,34.6516,A100,n
run-pipeline-gpu-0dvwq-24047,task,PROJECT_16,ns-31551,TEAM_1,2024-11-06 11:37:07+00:00,2024-11-07 01:59:07+00:00,2,862,4,67.4544,A30,y
run-pipeline-gpu-lqmdh-6738,task,PROJECT_15,ns-26956,TEAM_3,2024-11-11 08:32:07+00:00,2024-11-14 10:09:07+00:00,7,4417,4,61.422,A100,n
run-pipeline-gpu-bof1l-8470,task,PROJECT_8,ns-27541,TEAM_2,2024-11-01 18:20:07+00:00,2024-11-02 16:52:07+00:00,3,1352,4,74.6641,A100,n
run-pipeline-gpu-9njqj-10162,task,PROJECT_7,ns-28347,TEAM_7,2024-11-01 02:18:07+00:00,2024-11-01 03:43:07+00:00,6,85,2,28.6114,A100,n
run-pipeline-gpu-kyxkl-11575,task,PROJECT_20,ns-20085,TEAM_3,2024-10-28 19:27:07+00:00,2024-10-30 01:17:07+00:00,4,1790,3,50.8915,A100,n
run-pipeline-gpu-dddgv-17585,task,PROJECT_3,ns-13133,TEAM_5,2024-10-23 02:05:07+00:00,2024-10-23 13:24:07+00:00,2,679,2,25.605,A30,n
run-pipeline-gpu-5swt3-5549,instance,PROJECT_6,ns-28054,TEAM_1,2024-11-09 14:06:07+00:00,2024-11-10 09:08:07+00:00,5,1142,5,81.1621,A100,n
run-pipeline-gpu-wfrv5-3037,instance,PROJECT_3,ns-13219,TEAM_10,2024-10-21 13:59:07+00:00,2024-10-23 09:50:07+00:00,3,2631,2,33.3551,A100,n
run-pipeline-gpu-1vqit-3119,instance,PROJECT_1,ns-3733,TEAM_2,2024-11-12 06:00:07+00:00,2024-11-13 05:04:07+00:00,8,1384,2,23.1024,A100,n
run-pipeline-gpu-q204n-5332,task,PROJECT_6,ns-6194,TEAM_8,2024-11-08 19:59:07+00:00,2024-11-09 18:11:07+00:00,5,1332,4,64.8376,A100,n
run-pipeline-gpu-9per9-16135,task,PROJECT_6,ns-17830,TEAM_9,2024-10-28 04:53:07+00:00,2024-10-28 19:33:07+00:00,3,880,4,63.8869,A30,y
run-pipeline-gpu-5wqqj-31895,instance,PROJECT_17,ns-9756,TEAM_9,2024-11-10 13:31:07+00:00,2024-11-10 17:42:07+00:00,6,251,5,85.6897,A100,n
run-pipeline-gpu-xudkn-28802,task,PROJECT_13,ns-2445,TEAM_2,2024-10-30 13:36:07+00:00,2024-11-01 04:40:07+00:00,1,2344,5,82.6103,A30,y
run-pipeline-gpu-c3s36-14623,task,PROJECT_16,ns-17218,TEAM_10,2024-11-10 23:38:07+00:00,2024-11-11 17:47:07+00:00,2,1089,4,73.0615,A30,n
run-pipeline-gpu-wzp64-15272,task,PROJECT_9,ns-31950,TEAM_8,2024-11-08 21:34:07+00:00,2024-11-10 13:17:07+00:00,3,2383,5,96.339,A100,n
run-pipeline-gpu-ko75j-19502,instance,PROJECT_16,ns-8599,TEAM_4,2024-11-08 06:07:07+00:00,2024-11-08 21:20:07+00:00,6,913,3,43.8661,A100,n
run-pipeline-gpu-l0cp9-14894,task,PROJECT_12,ns-8226,TEAM_1,2024-11-04 00:24:07+00:00,2024-11-04 11:15:07+00:00,7,651,2,24.3912,A100,n
run-pipeline-gpu-1ktyd-10600,task,PROJECT_13,ns-26039,TEAM_10,2024-11-08 10:16:07+00:00,2024-11-08 14:59:07+00:00,6,283,2,20.1295,A100,n
run-pipeline-gpu-9uttw-32682,task,PROJECT_3,ns-25130,TEAM_8,2024-11-05 17:53:07+00:00,2024-11-06 02:30:07+00:00,4,517,2,22.1057,A100,n
run-pipeline-gpu-4dalh-25507,task,PROJECT_14,ns-23737,TEAM_4,2024-11-12 05:02:07+00:00,2024-11-14 00:56:07+00:00,3,2634,4,76.6533,A100,n
run-pipeline-gpu-1hdn6-7687,task,PROJECT_13,ns-16488,TEAM_2,2024-10-30 20:59:07+00:00,2024-11-04 03:51:07+00:00,2,6172,4,63.8746,A100,n
run-pipeline-gpu-a9fub-30077,instance,PROJECT_10,ns-5443,TEAM_7,2024-10-29 01:51:07+00:00,2024-10-29 18:27:07+00:00,1,996,3,51.3494,A30,n
run-pipeline-gpu-dfvml-10040,task,PROJECT_18,ns-28011,TEAM_6,2024-11-08 14:48:07+00:00,2024-11-09 03:30:07+00:00,5,762,2,39.8776,A100,n
run-pipeline-gpu-4kktn-14637,task,PROJECT_17,ns-28637,TEAM_5,2024-10-25 03:59:07+00:00,2024-10-25 06:17:07+00:00,7,138,5,86.2386,A100,n
run-pipeline-gpu-purnb-24625,task,PROJECT_11,ns-12363,TEAM_6,2024-11-06 02:59:07+00:00,2024-11-06 05:02:07+00:00,1,123,3,49.4467,A30,y
run-pipeline-gpu-zoy2j-25499,task,PROJECT_19,ns-31368,TEAM_5,2024-10-30 02:10:07+00:00,2024-10-31 05:50:07+00:00,5,1660,4,63.6098,A100,n
run-pipeline-gpu-gto4f-6420,task,PROJECT_12,ns-29014,TEAM_7,2024-10-23 08:46:07+00:00,2024-10-25 20:37:07+00:00,4,3591,4,65.1391,A100,y
run-pipeline-gpu-qxhwm-5812,task,PROJECT_15,ns-11152,TEAM_3,2024-11-09 21:06:07+00:00,2024-11-11 08:39:07+00:00,3,2133,2,38.4459,A100,y
run-pipeline-gpu-eexc3-24233,instance,PROJECT_1,ns-10249,TEAM_6,2024-10-27 00:44:07+00:00,2024-10-30 01:03:07+00:00,2,4339,3,44.309,A30,n
run-pipeline-gpu-v4v3v-24312,task,PROJECT_7,ns-20382,TEAM_10,2024-11-05 10:51:07+00:00,2024-11-05 13:32:07+00:00,2,161,2,29.8367,A100,y
run-pipeline-gpu-9ubii-30994,task,PROJECT_5,ns-7746,TEAM_4,2024-11-08 07:25:07+00:00,2024-11-08 16:37:07+00:00,3,552,5,80.1745,A100,n
run-pipeline-gpu-3s5z7-12374,instance,PROJECT_10,ns-16146,TEAM_10,2024-10-31 23:26:07+00:00,2024-11-01 21:01:07+00:00,7,1295,2,25.5711,A100,n
run-pipeline-gpu-rtczk-27581,instance,PROJECT_15,ns-15541,TEAM_8,2024-10-24 10:15:07+00:00,2024-10-26 05:42:07+00:00,3,2607,5,87.5402,A100,n
run-pipeline-gpu-tfx3z-13882,task,PROJECT_14,ns-11921,TEAM_1,2024-10-25 14:30:07+00:00,2024-10-25 15:28:07+00:00,7,58,4,65.5182,A100,y
run-pipeline-gpu-ba2qr-27290,task,PROJECT_2,ns-21662,TEAM_4,2024-10-30 13:22:07+00:00,2024-10-30 16:44:07+00:00,2,202,3,51.6308,A30,n
run-pipeline-gpu-9bohm-2789,instance,PROJECT_12,ns-11995,TEAM_1,2024-10-24 19:53:07+00:00,2024-10-27 10:00:07+00:00,2,3727,2,25.3055,A30,y
run-pipeline-gpu-ttoln-30863,task,PROJECT_11,ns-6838,TEAM_10,2024-11-07 23:30:07+00:00,2024-11-08 01:32:07+00:00,4,122,3,41.2934,A100,n
run-pipeline-gpu-c99rj-10750,instance,PROJECT_6,ns-12256,TEAM_5,2024-11-05 15:12:07+00:00,2024-11-06 11:30:07+00:00,3,1218,4,63.1984,A30,n
run-pipeline-gpu-6cx35-9002,task,PROJECT_13,ns-18281,TEAM_4,2024-10-22 03:29:07+00:00,2024-10-22 05:12:07+00:00,7,103,2,22.0167,A100,n
run-pipeline-gpu-jlaam-12903,task,PROJECT_4,ns-6932,TEAM_9,2024-11-09 05:29:07+00:00,2024-11-09 13:35:07+00:00,3,486,3,51.8108,A30,y
run-pipeline-gpu-sbrn8-3991,task,PROJECT_20,ns-4166,TEAM_5,2024-10-27 10:46:07+00:00,2024-10-27 13:50:07+00:00,6,184,3,59.7245,A100,n
run-pipeline-gpu-x7lhg-19282,task,PROJECT_6,ns-22784,TEAM_1,2024-10-24 07:45:07+00:00,2024-10-24 21:13:07+00:00,5,808,2,33.9339,A100,y
run-pipeline-gpu-yguft-19666,instance,PROJECT_2,ns-28344,TEAM_6,2024-11-05 17:21:07+00:00,2024-11-06 02:18:07+00:00,3,537,3,55.7526,A100,y
run-pipeline-gpu-11n5z-16533,task,PROJECT_4,ns-22042,TEAM_9,2024-11-09 06:18:07+00:00,2024-11-09 22:38:07+00:00,2,980,2,33.4505,A100,y
run-pipeline-gpu-r7id0-7966,task,PROJECT_19,ns-26612,TEAM_2,2024-11-02 20:17:07+00:00,2024-11-05 08:32:07+00:00,5,3615,4,64.5448,A100,y
run-pipeline-gpu-86pvb-10811,task,PROJECT_9,ns-23255,TEAM_4,2024-10-25 23:03:07+00:00,2024-10-26 20:40:07+00:00,3,1297,2,35.6278,A30,n
run-pipeline-gpu-s2aii-14518,task,PROJECT_15,ns-18995,TEAM_2,2024-10-30 21:35:07+00:00,2024-11-01 23:21:07+00:00,3,2986,2,26.8634,A30,n
run-pipeline-gpu-99rpz-13149,task,PROJECT_13,ns-19198,TEAM_9,2024-10-22 14:40:07+00:00,2024-10-22 18:42:07+00:00,2,242,5,82.6744,A30,n
run-pipeline-gpu-cfu9x-5059,task,PROJECT_5,ns-4898,TEAM_6,2024-11-04 13:57:07+00:00,2024-11-04 14:46:07+00:00,6,49,3,53.2079,A100,n
run-pipeline-gpu-2lp63-21552,task,PROJECT_5,ns-8257,TEAM_7,2024-10-28 15:16:07+00:00,2024-10-29 11:25:07+00:00,4,1209,2,23.7727,A100,y
run-pipeline-gpu-vdedi-24975,task,PROJECT_17,ns-29592,TEAM_9,2024-10-22 05:26:07+00:00,2024-10-22 09:15:07+00:00,4,229,2,31.3337,A30,n
