pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-f2wo6-16557,task,PROJECT_1,ns-29914,TEAM_4,2024-10-23 09:18:43+00:00,2024-10-23 17:49:43+00:00,3,511,4,64.0694,A100,y
run-pipeline-gpu-7zox5-13870,instance,PROJECT_7,ns-3369,TEAM_7,2024-11-01 16:12:43+00:00,2024-11-04 02:00:43+00:00,3,3468,3,55.6742,A30,n
run-pipeline-gpu-ru72w-24524,task,PROJECT_11,ns-27896,TEAM_1,2024-11-11 14:05:43+00:00,2024-11-13 04:12:43+00:00,1,2287,3,49.0024,A30,n
run-pipeline-gpu-vy4x5-10728,task,PROJECT_3,ns-14674,TEAM_6,2024-10-28 20:29:43+00:00,2024-10-29 15:26:43+00:00,2,1137,3,58.1809,A100,n
run-pipeline-gpu-5ukp1-27635,task,PROJECT_2,ns-30840,TEAM_8,2024-11-10 13:54:43+00:00,2024-11-11 13:04:43+00:00,2,1390,4,66.902,A100,n
run-pipeline-gpu-obm2c-7527,task,PROJECT_8,ns-15819,TEAM_8,2024-10-26 06:59:43+00:00,2024-10-27 13:42:43+00:00,3,1843,4,71.6287,A100,y
run-pipeline-gpu-vyq1a-32257,task,PROJECT_1,ns-12570,TEAM_7,2024-10-22 23:56:43+00:00,2024-10-23 15:01:43+00:00,4,905,3,58.3194,A100,n
run-pipeline-gpu-uafj6-31880,task,PROJECT_9,ns-20898,TEAM_6,2024-11-01 16:24:43+00:00,2024-11-02 19:52:43+00:00,2,1648,4,68.2289,A30,n
run-pipeline-gpu-bg0va-32428,task,PROJECT_10,ns-29756,TEAM_2,2024-11-08 11:14:43+00:00,2024-11-09 19:19:43+00:00,4,1925,4,72.8065,A30,n
run-pipeline-gpu-5dyjh-17856,task,PROJECT_13,ns-7563,TEAM_2,2024-10-30 20:35:43+00:00,2024-10-31 22:14:43+00:00,2,1539,5,97.503,A30,n
run-pipeline-gpu-jy8z8-22359,task,PROJECT_18,ns-19505,TEAM_8,2024-10-27 15:12:43+00:00,2024-10-30 03:05:43+00:00,3,3593,4,60.7613,A100,n
run-pipeline-gpu-bh4ot-24081,task,PROJECT_19,ns-23629,TEAM_2,2024-11-05 03:54:43+00:00,2024-11-05 11:11:43+00:00,3,437,5,82.7978,A100,n
run-pipeline-gpu-hiotg-13856,task,PROJECT_20,ns-13522,TEAM_7,2024-11-09 01:55:43+00:00,2024-11-10 03:09:43+00:00,7,1514,4,69.7639,A100,n
run-pipeline-gpu-mhjvo-6720,task,PROJECT_3,ns-14455,TEAM_2,2024-10-30 14:30:43+00:00,2024-10-31 09:56:43+00:00,5,1166,2,39.7531,A100,n
run-pipeline-gpu-0ajai-31038,instance,PROJECT_18,ns-20307,TEAM_6,2024-11-10 02:19:43+00:00,2024-11-10 15:18:43+00:00,4,779,3,52.4017,A30,y
run-pipeline-gpu-mjj98-12614,task,PROJECT_9,ns-7001,TEAM_8,2024-10-22 06:58:43+00:00,2024-10-23 03:39:43+00:00,3,1241,3,57.3609,A30,n
run-pipeline-gpu-8g1gq-5515,task,PROJECT_6,ns-22873,TEAM_10,2024-10-24 21:49:43+00:00,2024-10-26 07:30:43+00:00,5,2021,3,54.6012,A100,y
