pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-86t5t-12871,task,PROJECT_9,ns-1625,TEAM_3,2024-10-24 16:26:49+00:00,2024-10-25 15:53:49+00:00,2,1407,4,73.6987,A100,n
run-pipeline-gpu-z5pxo-5585,task,PROJECT_3,ns-27182,TEAM_8,2024-10-20 20:59:49+00:00,2024-10-22 18:08:49+00:00,1,2709,2,37.5085,A30,n
run-pipeline-gpu-p1tj0-28157,task,PROJECT_12,ns-8357,TEAM_1,2024-10-24 22:08:49+00:00,2024-10-26 06:16:49+00:00,5,1928,3,43.9081,A100,n
run-pipeline-gpu-0dvwq-24047,task,PROJECT_16,ns-31551,TEAM_1,2024-11-06 12:40:49+00:00,2024-11-07 13:44:49+00:00,1,1504,5,86.8958,A30,y
run-pipeline-gpu-lqmdh-6738,task,PROJECT_15,ns-26956,TEAM_3,2024-11-11 09:35:49+00:00,2024-11-13 12:43:49+00:00,4,3068,3,41.7668,A100,n
run-pipeline-gpu-bof1l-8470,task,PROJECT_8,ns-27541,TEAM_2,2024-11-01 19:23:49+00:00,2024-11-03 11:00:49+00:00,4,2377,4,63.8953,A100,n
run-pipeline-gpu-9njqj-10162,task,PROJECT_7,ns-28347,TEAM_7,2024-11-01 03:21:49+00:00,2024-11-01 16:58:49+00:00,4,817,2,34.4659,A100,n
run-pipeline-gpu-kyxkl-11575,task,PROJECT_20,ns-20085,TEAM_3,2024-10-28 20:30:49+00:00,2024-10-29 08:53:49+00:00,4,743,4,61.4124,A100,n
run-pipeline-gpu-dddgv-17585,task,PROJECT_3,ns-13133,TEAM_5,2024-10-23 03:08:49+00:00,2024-10-23 21:12:49+00:00,1,1084,2,20.3256,A30,n
run-pipeline-gpu-5swt3-5549,instance,PROJECT_6,ns-28054,TEAM_1,2024-11-09 15:09:49+00:00,2024-11-10 14:00:49+00:00,3,1371,3,52.6171,A100,n
run-pipeline-gpu-wfrv5-3037,instance,PROJECT_3,ns-13219,TEAM_10,2024-10-21 15:02:49+00:00,2024-10-22 07:12:49+00:00,4,970,3,54.4872,A100,n
run-pipeline-gpu-1vqit-3119,instance,PROJECT_1,ns-3733,TEAM_2,2024-11-12 07:03:49+00:00,2024-11-13 09:55:49+00:00,8,1612,3,45.9646,A100,n
run-pipeline-gpu-q204n-5332,task,PROJECT_6,ns-6194,TEAM_8,2024-11-08 21:02:49+00:00,2024-11-09 04:42:49+00:00,3,460,2,23.5551,A100,n
run-pipeline-gpu-9per9-16135,task,PROJECT_6,ns-17830,TEAM_9,2024-10-28 05:56:49+00:00,2024-10-30 13:18:49+00:00,1,3322,4,62.1459,A30,y
run-pipeline-gpu-5wqqj-31895,instance,PROJECT_17,ns-9756,TEAM_9,2024-11-10 14:34:49+00:00,2024-11-11 01:31:49+00:00,4,657,4,74.2056,A100,n
run-pipeline-gpu-xudkn-28802,task,PROJECT_13,ns-2445,TEAM_2,2024-10-30 14:39:49+00:00,2024-10-31 01:23:49+00:00,1,644,2,23.7355,A30,y
run-pipeline-gpu-c3s36-14623,task,PROJECT_16,ns-17218,TEAM_10,2024-11-11 00:41:49+00:00,2024-11-11 21:25:49+00:00,1,1244,5,91.6569,A30,n
run-pipeline-gpu-wzp64-15272,task,PROJECT_9,ns-31950,TEAM_8,2024-11-08 22:37:49+00:00,2024-11-10 21:01:49+00:00,4,2784,3,59.784,A100,n
run-pipeline-gpu-ko75j-19502,instance,PROJECT_16,ns-8599,TEAM_4,2024-11-08 07:10:49+00:00,2024-11-09 03:00:49+00:00,3,1190,2,34.5798,A100,n
run-pipeline-gpu-l0cp9-14894,task,PROJECT_12,ns-8226,TEAM_1,2024-11-04 01:27:49+00:00,2024-11-05 00:35:49+00:00,4,1388,4,64.5866,A100,n
run-pipeline-gpu-1ktyd-10600,task,PROJECT_13,ns-26039,TEAM_10,2024-11-08 11:19:49+00:00,2024-11-08 19:52:49+00:00,5,513,3,55.9625,A100,n
run-pipeline-gpu-9uttw-32682,task,PROJECT_3,ns-25130,TEAM_8,2024-11-05 18:56:49+00:00,2024-11-06 22:48:49+00:00,4,1672,2,31.0432,A100,n
run-pipeline-gpu-4dalh-25507,task,PROJECT_14,ns-23737,TEAM_4,2024-11-12 06:05:49+00:00,2024-11-12 20:49:49+00:00,2,884,3,50.7964,A100,n
run-pipeline-gpu-1hdn6-7687,task,PROJECT_13,ns-16488,TEAM_2,2024-10-30 22:02:49+00:00,2024-11-01 18:30:49+00:00,4,2668,5,88.7613,A100,n
run-pipeline-gpu-a9fub-30077,instance,PROJECT_10,ns-5443,TEAM_7,2024-10-29 02:54:49+00:00,2024-10-29 23:51:49+00:00,2,1257,3,54.1681,A30,n
