pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-6flt2-27305,task,PROJECT_6,ns-19447,TEAM_2,2024-11-10 12:35:22+00:00,2024-11-13 18:51:22+00:00,2,4696,3,57.1605,A100,n
run-pipeline-gpu-xnagq-4318,task,PROJECT_19,ns-3980,TEAM_10,2024-11-02 14:16:22+00:00,2024-11-04 19:43:22+00:00,8,3207,3,46.1286,A100,n
run-pipeline-gpu-7phbk-4903,task,PROJECT_1,ns-21043,TEAM_9,2024-10-30 13:11:22+00:00,2024-10-30 19:55:22+00:00,2,404,4,68.7022,A30,n
run-pipeline-gpu-qyr33-16091,task,PROJECT_4,ns-27984,TEAM_7,2024-10-21 13:16:22+00:00,2024-10-23 21:24:22+00:00,7,3368,3,51.2724,A100,y
run-pipeline-gpu-4crza-19216,task,PROJECT_18,ns-28281,TEAM_3,2024-10-30 10:51:22+00:00,2024-11-01 08:18:22+00:00,2,2727,3,59.4579,A100,n
run-pipeline-gpu-6pnaw-3524,task,PROJECT_20,ns-30742,TEAM_5,2024-10-28 13:50:22+00:00,2024-10-28 21:46:22+00:00,1,476,4,69.2295,A100,n
run-pipeline-gpu-w09bz-7788,task,PROJECT_16,ns-27521,TEAM_1,2024-11-07 05:52:22+00:00,2024-11-08 01:01:22+00:00,4,1149,4,65.5158,A100,n
run-pipeline-gpu-vem4v-5681,instance,PROJECT_20,ns-16890,TEAM_8,2024-10-29 16:18:22+00:00,2024-10-30 21:05:22+00:00,1,1727,3,43.8442,A100,n
run-pipeline-gpu-m1u7z-15712,instance,PROJECT_14,ns-24810,TEAM_3,2024-10-30 23:54:22+00:00,2024-11-02 01:43:22+00:00,2,2989,4,68.5027,A100,n
run-pipeline-gpu-ru5pz-5851,task,PROJECT_1,ns-24388,TEAM_1,2024-11-07 04:55:22+00:00,2024-11-07 14:15:22+00:00,3,560,4,74.4802,A30,n
run-pipeline-gpu-k328e-11656,task,PROJECT_19,ns-27919,TEAM_6,2024-11-09 09:27:22+00:00,2024-11-09 18:42:22+00:00,4,555,4,70.2217,A100,n
run-pipeline-gpu-t2kei-7443,task,PROJECT_2,ns-11095,TEAM_10,2024-11-11 23:47:22+00:00,2024-11-14 04:18:22+00:00,3,3151,2,26.8996,A30,n
run-pipeline-gpu-hcwxs-22148,task,PROJECT_15,ns-4634,TEAM_1,2024-10-26 20:15:22+00:00,2024-10-28 16:59:22+00:00,4,2684,3,43.1983,A100,y
