pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-3hz84-401,task,PROJECT_1,ns-12074,TEAM_6,2024-11-11 05:58:13+00:00,2024-11-13 17:58:13+00:00,1,3600,4,68.8248,A30,n
run-pipeline-gpu-2mjdd-22989,task,PROJECT_20,ns-2705,TEAM_7,2024-11-02 19:38:13+00:00,2024-11-02 20:03:13+00:00,5,25,3,58.2003,A100,n
run-pipeline-gpu-8tvyv-30399,task,PROJECT_9,ns-5070,TEAM_7,2024-10-23 02:51:13+00:00,2024-10-25 14:51:13+00:00,7,3600,3,43.5951,A100,n
run-pipeline-gpu-6bpkt-26271,instance,PROJECT_18,ns-32459,TEAM_5,2024-10-30 14:55:13+00:00,2024-11-02 02:55:13+00:00,1,3600,2,28.2131,A100,n
run-pipeline-gpu-jkpcw-22581,instance,PROJECT_16,ns-13844,TEAM_5,2024-11-01 19:02:13+00:00,2024-11-01 19:18:13+00:00,4,16,3,49.9603,A100,y
run-pipeline-gpu-no296-5931,task,PROJECT_11,ns-25504,TEAM_2,2024-10-23 12:28:13+00:00,2024-10-23 13:11:13+00:00,4,43,3,45.7903,A100,n
run-pipeline-gpu-agvka-22531,instance,PROJECT_13,ns-19803,TEAM_1,2024-10-22 00:50:13+00:00,2024-10-24 12:50:13+00:00,2,3600,4,67.7612,A30,y
run-pipeline-gpu-y8vp5-32252,task,PROJECT_14,ns-9407,TEAM_5,2024-10-24 13:11:13+00:00,2024-10-27 01:11:13+00:00,1,3600,2,34.6562,A30,y
run-pipeline-gpu-6qcxs-13418,task,PROJECT_12,ns-24573,TEAM_9,2024-10-29 16:49:13+00:00,2024-11-01 04:49:13+00:00,7,3600,3,46.6585,A100,n
run-pipeline-gpu-h65su-26189,instance,PROJECT_18,ns-27790,TEAM_4,2024-10-30 19:16:13+00:00,2024-10-31 07:40:13+00:00,8,744,2,37.8981,A100,y
run-pipeline-gpu-x7b80-8748,task,PROJECT_14,ns-22045,TEAM_10,2024-10-22 12:23:13+00:00,2024-10-25 00:23:13+00:00,5,3600,4,65.8098,A100,y
run-pipeline-gpu-pzm2e-7549,task,PROJECT_1,ns-10787,TEAM_1,2024-10-25 21:34:13+00:00,2024-10-25 23:39:13+00:00,3,125,4,73.2594,A100,n
run-pipeline-gpu-hosmy-8739,task,PROJECT_18,ns-16317,TEAM_5,2024-11-10 02:29:13+00:00,2024-11-12 14:29:13+00:00,4,3600,4,66.6733,A30,y
run-pipeline-gpu-7n8cd-2502,instance,PROJECT_2,ns-27765,TEAM_1,2024-11-03 21:20:13+00:00,2024-11-06 09:20:13+00:00,1,3600,4,64.1246,A100,y
run-pipeline-gpu-4z5di-22037,instance,PROJECT_18,ns-25109,TEAM_1,2024-10-31 16:03:13+00:00,2024-11-03 04:03:13+00:00,5,3600,3,43.2824,A100,n
run-pipeline-gpu-a9hn2-16943,instance,PROJECT_17,ns-18124,TEAM_4,2024-11-10 03:47:13+00:00,2024-11-12 15:47:13+00:00,2,3600,3,51.6799,A30,n
run-pipeline-gpu-5vvzj-10439,task,PROJECT_2,ns-24608,TEAM_1,2024-11-01 14:21:13+00:00,2024-11-04 02:21:13+00:00,6,3600,4,64.9398,A100,y
run-pipeline-gpu-rrx5v-7104,task,PROJECT_9,ns-12928,TEAM_4,2024-11-11 12:37:13+00:00,2024-11-12 15:28:13+00:00,4,1611,2,31.9292,A100,n
run-pipeline-gpu-ih4g2-23890,task,PROJECT_11,ns-4729,TEAM_4,2024-11-09 16:56:13+00:00,2024-11-09 17:19:13+00:00,5,23,3,41.6489,A100,y
run-pipeline-gpu-qwihm-24566,task,PROJECT_13,ns-8672,TEAM_3,2024-10-29 05:51:13+00:00,2024-10-31 17:51:13+00:00,6,3600,4,61.3418,A100,n
run-pipeline-gpu-fj2ix-22963,task,PROJECT_11,ns-25190,TEAM_7,2024-11-06 07:15:13+00:00,2024-11-08 19:15:13+00:00,5,3600,4,78.4932,A100,n
run-pipeline-gpu-oi99q-8312,task,PROJECT_15,ns-14448,TEAM_10,2024-11-01 02:47:13+00:00,2024-11-01 06:02:13+00:00,5,195,2,33.7938,A100,n
run-pipeline-gpu-jgfir-16551,task,PROJECT_20,ns-15411,TEAM_5,2024-10-23 00:37:13+00:00,2024-10-25 12:37:13+00:00,3,3600,3,41.7682,A30,n
run-pipeline-gpu-9md8a-23560,task,PROJECT_10,ns-23641,TEAM_9,2024-10-24 14:08:13+00:00,2024-10-25 01:23:13+00:00,5,675,2,32.1455,A100,n
run-pipeline-gpu-d9z1b-11958,task,PROJECT_19,ns-27841,TEAM_4,2024-11-01 12:35:13+00:00,2024-11-04 00:35:13+00:00,2,3600,2,37.4955,A30,n
run-pipeline-gpu-2p5if-26813,task,PROJECT_6,ns-5403,TEAM_1,2024-11-01 07:03:13+00:00,2024-11-01 09:08:13+00:00,3,125,2,34.2798,A30,y
run-pipeline-gpu-tv8pz-11918,task,PROJECT_14,ns-32352,TEAM_5,2024-11-03 04:44:13+00:00,2024-11-03 05:37:13+00:00,6,53,3,49.1629,A100,n
run-pipeline-gpu-a8tez-22384,instance,PROJECT_20,ns-27525,TEAM_2,2024-11-03 11:53:13+00:00,2024-11-03 12:51:13+00:00,2,58,4,68.2737,A100,n
run-pipeline-gpu-fp22g-14483,instance,PROJECT_17,ns-26842,TEAM_6,2024-11-09 07:29:13+00:00,2024-11-09 08:46:13+00:00,6,77,5,92.0971,A100,y
run-pipeline-gpu-isl3p-17525,task,PROJECT_10,ns-16104,TEAM_4,2024-10-27 00:45:13+00:00,2024-10-27 15:29:13+00:00,2,884,2,36.8382,A30,n
run-pipeline-gpu-87z8o-20917,task,PROJECT_4,ns-10450,TEAM_1,2024-11-03 20:03:13+00:00,2024-11-03 20:14:13+00:00,4,11,3,52.5741,A100,n
run-pipeline-gpu-zptzn-18828,instance,PROJECT_17,ns-17288,TEAM_8,2024-10-22 22:15:13+00:00,2024-10-22 23:03:13+00:00,1,48,3,49.3186,A30,n
run-pipeline-gpu-b4vy8-7554,task,PROJECT_17,ns-4685,TEAM_5,2024-11-02 00:14:13+00:00,2024-11-02 00:26:13+00:00,3,12,5,87.8375,A30,n
run-pipeline-gpu-73022-1304,task,PROJECT_14,ns-7764,TEAM_1,2024-10-27 21:43:13+00:00,2024-10-28 00:46:13+00:00,6,183,4,79.7699,A100,n
run-pipeline-gpu-vd7j7-30589,instance,PROJECT_4,ns-29326,TEAM_9,2024-10-24 10:50:13+00:00,2024-10-24 11:13:13+00:00,7,23,2,25.2743,A100,n
run-pipeline-gpu-uwgg4-27279,task,PROJECT_15,ns-20952,TEAM_4,2024-10-31 05:57:13+00:00,2024-10-31 06:38:13+00:00,8,41,4,73.4668,A100,n
run-pipeline-gpu-ijaau-26543,task,PROJECT_11,ns-21800,TEAM_5,2024-11-01 19:50:13+00:00,2024-11-04 07:50:13+00:00,5,3600,5,86.6762,A100,y
run-pipeline-gpu-eclfr-20531,instance,PROJECT_1,ns-28785,TEAM_4,2024-10-28 08:33:13+00:00,2024-10-28 09:04:13+00:00,1,31,2,30.0858,A100,n
run-pipeline-gpu-4assc-1660,task,PROJECT_20,ns-79,TEAM_5,2024-11-07 23:55:13+00:00,2024-11-08 01:58:13+00:00,1,123,2,29.9757,A100,n
run-pipeline-gpu-h1pga-28160,instance,PROJECT_5,ns-18368,TEAM_9,2024-11-11 15:15:13+00:00,2024-11-14 03:15:13+00:00,3,3600,3,46.3919,A100,n
run-pipeline-gpu-12f2k-9145,task,PROJECT_20,ns-31856,TEAM_4,2024-11-01 01:33:13+00:00,2024-11-01 02:52:13+00:00,3,79,2,34.0898,A30,y
run-pipeline-gpu-vw8l9-16870,task,PROJECT_18,ns-31074,TEAM_2,2024-10-21 07:01:13+00:00,2024-10-23 19:01:13+00:00,3,3600,2,34.5881,A100,n
run-pipeline-gpu-rh04d-17661,instance,PROJECT_14,ns-15105,TEAM_7,2024-10-31 07:04:13+00:00,2024-11-02 19:04:13+00:00,2,3600,3,48.7289,A30,n
run-pipeline-gpu-bpot4-3385,task,PROJECT_14,ns-13534,TEAM_8,2024-10-27 12:34:13+00:00,2024-10-27 14:13:13+00:00,2,99,2,36.6453,A30,n
