pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-a4izp-1105,task,PROJECT_5,ns-27241,TEAM_8,2024-10-27 04:23:18+00:00,2024-10-29 07:49:18+00:00,4,3086,4,61.2705,A100,n
run-pipeline-gpu-2nyiz-9653,task,PROJECT_3,ns-24779,TEAM_9,2024-10-30 18:11:18+00:00,2024-11-01 06:57:18+00:00,2,2206,4,63.3363,A100,y
run-pipeline-gpu-3tyil-27897,task,PROJECT_12,ns-20945,TEAM_6,2024-11-07 04:04:18+00:00,2024-11-08 03:15:18+00:00,4,1391,3,51.6677,A30,n
run-pipeline-gpu-arpy1-7087,task,PROJECT_5,ns-12040,TEAM_7,2024-11-02 23:41:18+00:00,2024-11-04 06:15:18+00:00,8,1834,4,68.8193,A100,n
run-pipeline-gpu-vo89f-23902,instance,PROJECT_15,ns-6467,TEAM_8,2024-10-31 21:11:18+00:00,2024-11-03 05:21:18+00:00,1,3370,3,43.4974,A100,y
run-pipeline-gpu-wbf5b-2079,task,PROJECT_20,ns-12207,TEAM_8,2024-10-24 03:34:18+00:00,2024-10-24 20:36:18+00:00,3,1022,2,31.9475,A30,y
run-pipeline-gpu-f9ugb-24932,task,PROJECT_14,ns-14131,TEAM_5,2024-10-25 16:28:18+00:00,2024-10-27 08:53:18+00:00,6,2425,3,43.7347,A100,n
run-pipeline-gpu-q8ean-1329,task,PROJECT_13,ns-11602,TEAM_3,2024-11-10 09:02:18+00:00,2024-11-12 04:57:18+00:00,8,2635,2,24.8432,A100,n
run-pipeline-gpu-qcjpm-23869,task,PROJECT_16,ns-28972,TEAM_8,2024-10-28 21:10:18+00:00,2024-10-30 06:18:18+00:00,3,1988,2,38.4354,A100,n
run-pipeline-gpu-eumzt-26337,task,PROJECT_3,ns-1624,TEAM_8,2024-11-06 12:16:18+00:00,2024-11-06 14:44:18+00:00,8,148,2,25.0343,A100,n
run-pipeline-gpu-r3lxm-10684,task,PROJECT_7,ns-24739,TEAM_3,2024-11-03 18:57:18+00:00,2024-11-05 23:13:18+00:00,3,3136,4,66.0573,A30,y
run-pipeline-gpu-cd32t-1650,task,PROJECT_1,ns-29946,TEAM_4,2024-11-01 03:17:18+00:00,2024-11-02 02:43:18+00:00,7,1406,5,89.6456,A100,y
run-pipeline-gpu-jlc4r-15344,task,PROJECT_18,ns-19213,TEAM_3,2024-11-01 13:53:18+00:00,2024-11-02 23:22:18+00:00,6,2009,3,48.5587,A100,y
run-pipeline-gpu-ytgbt-31519,instance,PROJECT_18,ns-19566,TEAM_4,2024-10-24 13:08:18+00:00,2024-10-26 11:26:18+00:00,3,2778,3,50.5242,A100,y
run-pipeline-gpu-h10gg-27630,task,PROJECT_10,ns-24882,TEAM_5,2024-10-23 10:33:18+00:00,2024-10-25 09:45:18+00:00,7,2832,4,74.0195,A100,n
run-pipeline-gpu-awlv9-29713,task,PROJECT_17,ns-24418,TEAM_2,2024-11-07 08:41:18+00:00,2024-11-09 02:38:18+00:00,1,2517,4,74.6052,A30,y
run-pipeline-gpu-36f1p-12015,task,PROJECT_20,ns-14785,TEAM_6,2024-10-24 02:24:18+00:00,2024-10-24 03:12:18+00:00,5,48,3,51.351,A100,y
run-pipeline-gpu-rnfsy-10130,task,PROJECT_10,ns-941,TEAM_8,2024-11-03 20:47:18+00:00,2024-11-05 02:43:18+00:00,7,1796,4,61.8082,A100,n
run-pipeline-gpu-uma0l-22683,task,PROJECT_1,ns-6949,TEAM_4,2024-10-21 17:26:18+00:00,2024-10-23 16:04:18+00:00,5,2798,2,26.4122,A100,n
run-pipeline-gpu-6n9ij-2945,task,PROJECT_4,ns-26433,TEAM_3,2024-11-03 13:11:18+00:00,2024-11-04 03:16:18+00:00,1,845,3,41.4832,A30,n
run-pipeline-gpu-l5w0q-14245,task,PROJECT_14,ns-26776,TEAM_5,2024-10-26 20:58:18+00:00,2024-10-28 11:39:18+00:00,1,2321,4,75.3884,A30,n
run-pipeline-gpu-6wddi-19207,task,PROJECT_5,ns-10853,TEAM_5,2024-11-11 13:13:18+00:00,2024-11-11 20:43:18+00:00,3,450,2,24.1937,A100,n
