pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-51bpu-10177,task,PROJECT_5,ns-19393,TEAM_10,2024-11-04 17:26:33+00:00,2024-11-05 23:18:33+00:00,8,1792,3,56.4436,A100,n
run-pipeline-gpu-ixuuw-18361,task,PROJECT_14,ns-29190,TEAM_6,2024-11-03 02:05:33+00:00,2024-11-04 08:58:33+00:00,2,1853,3,46.052,A100,n
run-pipeline-gpu-ehuet-1744,task,PROJECT_19,ns-29720,TEAM_4,2024-11-01 21:55:33+00:00,2024-11-03 04:54:33+00:00,8,1859,3,46.4696,A100,y
run-pipeline-gpu-ur4nw-1439,task,PROJECT_13,ns-2932,TEAM_5,2024-10-28 18:09:33+00:00,2024-10-29 23:49:33+00:00,8,1780,2,27.895,A100,n
run-pipeline-gpu-5fpxx-21027,task,PROJECT_1,ns-26416,TEAM_6,2024-10-26 03:10:33+00:00,2024-10-27 09:04:33+00:00,8,1794,2,28.7558,A100,n
run-pipeline-gpu-dwro3-21977,task,PROJECT_16,ns-19337,TEAM_10,2024-10-24 08:10:33+00:00,2024-10-25 12:40:33+00:00,3,1710,3,40.2914,A30,n
run-pipeline-gpu-a4h6a-11961,instance,PROJECT_7,ns-26742,TEAM_9,2024-11-11 22:03:33+00:00,2024-11-13 03:18:33+00:00,1,1755,3,57.6605,A100,y
run-pipeline-gpu-7evpi-32615,task,PROJECT_2,ns-10376,TEAM_5,2024-11-11 15:29:33+00:00,2024-11-12 21:52:33+00:00,3,1823,3,54.4087,A100,n
run-pipeline-gpu-19ok4-16911,task,PROJECT_12,ns-160,TEAM_9,2024-11-08 19:47:33+00:00,2024-11-10 01:06:33+00:00,1,1759,2,34.6984,A100,n
run-pipeline-gpu-w8doc-10952,task,PROJECT_6,ns-21055,TEAM_6,2024-10-21 10:44:33+00:00,2024-10-22 15:27:33+00:00,2,1723,2,21.7437,A30,n
run-pipeline-gpu-m78xm-31092,instance,PROJECT_12,ns-3454,TEAM_7,2024-11-08 05:09:33+00:00,2024-11-09 10:59:33+00:00,8,1790,4,70.9082,A100,n
run-pipeline-gpu-s00xv-4209,instance,PROJECT_20,ns-15605,TEAM_10,2024-11-08 17:13:33+00:00,2024-11-09 23:37:33+00:00,5,1824,2,24.0368,A100,n
run-pipeline-gpu-09yne-3231,task,PROJECT_3,ns-21776,TEAM_1,2024-11-11 09:32:33+00:00,2024-11-12 15:03:33+00:00,4,1771,3,42.1918,A100,n
run-pipeline-gpu-xgedx-17537,task,PROJECT_13,ns-20903,TEAM_2,2024-10-21 17:53:33+00:00,2024-10-23 01:38:33+00:00,2,1905,2,22.023,A100,n
run-pipeline-gpu-jhtzf-20356,task,PROJECT_1,ns-12250,TEAM_7,2024-10-31 03:08:33+00:00,2024-11-01 09:19:33+00:00,1,1811,5,96.0349,A100,n
run-pipeline-gpu-mj09u-21428,task,PROJECT_1,ns-30581,TEAM_7,2024-11-04 09:12:33+00:00,2024-11-05 15:51:33+00:00,7,1839,4,70.0393,A100,n
run-pipeline-gpu-thw9v-10085,task,PROJECT_15,ns-7797,TEAM_8,2024-11-04 04:32:33+00:00,2024-11-05 11:05:33+00:00,2,1833,3,54.5855,A30,n
run-pipeline-gpu-as3qx-9623,instance,PROJECT_7,ns-27224,TEAM_1,2024-11-09 11:40:33+00:00,2024-11-10 17:58:33+00:00,1,1818,2,21.941,A30,y
run-pipeline-gpu-gtq7g-14118,task,PROJECT_10,ns-24167,TEAM_4,2024-10-28 10:14:33+00:00,2024-10-29 15:20:33+00:00,3,1746,4,72.3317,A100,n
run-pipeline-gpu-aw3mr-22524,task,PROJECT_18,ns-4887,TEAM_7,2024-10-23 06:29:33+00:00,2024-10-24 13:40:33+00:00,3,1871,3,46.2418,A100,n
run-pipeline-gpu-hu19g-5859,task,PROJECT_18,ns-21045,TEAM_4,2024-11-08 06:58:33+00:00,2024-11-09 13:45:33+00:00,5,1847,5,84.5319,A100,n
