pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-hofbl-12219,task,PROJECT_7,ns-13582,TEAM_1,2024-10-31 01:51:36+00:00,2024-11-01 02:27:36+00:00,4,1476,2,26.199,A30,n
run-pipeline-gpu-8bjuq-24418,task,PROJECT_11,ns-3741,TEAM_9,2024-10-30 20:30:36+00:00,2024-10-31 02:03:36+00:00,1,333,4,68.4543,A100,n
run-pipeline-gpu-41iea-21907,task,PROJECT_10,ns-29257,TEAM_1,2024-10-27 11:13:36+00:00,2024-10-28 10:46:36+00:00,6,1413,4,65.1382,A100,y
run-pipeline-gpu-e8s49-23956,task,PROJECT_17,ns-12419,TEAM_5,2024-10-21 23:43:36+00:00,2024-10-22 13:45:36+00:00,7,842,2,29.6993,A100,n
run-pipeline-gpu-3wzf2-9711,task,PROJECT_2,ns-1142,TEAM_7,2024-10-27 02:28:36+00:00,2024-10-28 02:44:36+00:00,2,1456,3,59.4926,A100,n
run-pipeline-gpu-l1bo9-9950,instance,PROJECT_12,ns-11751,TEAM_4,2024-11-07 00:54:36+00:00,2024-11-08 07:31:36+00:00,2,1837,2,31.2343,A100,y
run-pipeline-gpu-3263b-18461,task,PROJECT_6,ns-26262,TEAM_3,2024-10-27 08:25:36+00:00,2024-10-28 15:18:36+00:00,8,1853,3,56.6635,A100,n
run-pipeline-gpu-4rka3-18017,task,PROJECT_14,ns-26735,TEAM_2,2024-10-22 07:33:36+00:00,2024-10-23 11:44:36+00:00,8,1691,3,51.3715,A100,y
run-pipeline-gpu-z8u52-30733,task,PROJECT_4,ns-8463,TEAM_10,2024-10-22 19:12:36+00:00,2024-10-24 01:08:36+00:00,4,1796,5,92.5348,A100,n
run-pipeline-gpu-5a2cc-12766,task,PROJECT_15,ns-22632,TEAM_9,2024-11-02 13:23:36+00:00,2024-11-03 14:38:36+00:00,5,1515,3,41.2701,A100,n
