pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-n2nhx-315,task,PROJECT_2,ns-2131,TEAM_10,2024-10-30 09:54:56+00:00,2024-10-30 23:14:56+00:00,1,800,4,70.1753,A30,y
run-pipeline-gpu-xc4lm-26837,task,PROJECT_12,ns-1294,TEAM_3,2024-11-09 06:20:56+00:00,2024-11-10 12:20:56+00:00,4,1800,2,29.3342,A100,n
run-pipeline-gpu-7unuy-6106,instance,PROJECT_8,ns-6117,TEAM_10,2024-11-04 01:25:56+00:00,2024-11-04 18:05:56+00:00,1,1000,3,43.1865,A100,n
run-pipeline-gpu-920ec-26258,task,PROJECT_17,ns-12196,TEAM_5,2024-10-20 19:33:56+00:00,2024-10-22 01:33:56+00:00,2,1800,3,44.0823,A100,y
run-pipeline-gpu-ulycp-31295,task,PROJECT_12,ns-25587,TEAM_10,2024-10-20 19:56:56+00:00,2024-10-22 18:36:56+00:00,1,2800,4,66.7792,A30,n
run-pipeline-gpu-zx8ak-3329,task,PROJECT_20,ns-31282,TEAM_4,2024-11-02 08:15:56+00:00,2024-11-03 07:35:56+00:00,3,1400,4,67.5471,A100,n
run-pipeline-gpu-jvati-13952,task,PROJECT_14,ns-17203,TEAM_8,2024-10-21 09:22:56+00:00,2024-10-22 08:42:56+00:00,4,1400,3,43.7201,A100,n
run-pipeline-gpu-vi9di-23718,task,PROJECT_18,ns-3630,TEAM_3,2024-11-02 08:32:56+00:00,2024-11-04 00:32:56+00:00,1,2400,4,61.7981,A100,n
run-pipeline-gpu-v3wqn-10985,task,PROJECT_7,ns-27739,TEAM_2,2024-11-08 04:13:56+00:00,2024-11-08 17:33:56+00:00,2,800,2,39.9978,A100,n
run-pipeline-gpu-8za9k-26618,task,PROJECT_12,ns-530,TEAM_6,2024-10-29 12:41:56+00:00,2024-10-31 08:01:56+00:00,4,2600,2,24.6417,A100,n
run-pipeline-gpu-6blqw-3281,task,PROJECT_9,ns-30065,TEAM_2,2024-10-22 08:46:56+00:00,2024-10-24 00:46:56+00:00,2,2400,3,44.9814,A30,n
run-pipeline-gpu-znow6-28007,task,PROJECT_19,ns-32713,TEAM_9,2024-10-24 21:25:56+00:00,2024-10-28 02:05:56+00:00,4,4600,4,76.5665,A100,n
run-pipeline-gpu-4zrl5-25262,instance,PROJECT_13,ns-3685,TEAM_8,2024-11-06 08:31:56+00:00,2024-11-08 00:31:56+00:00,1,2400,4,68.3359,A100,n
