pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-2n07n-198,instance,PROJECT_2,ns-18752,TEAM_9,2024-11-07 06:48:34+00:00,2024-11-08 13:57:34+00:00,3,1869,3,52.9275,A100,n
run-pipeline-gpu-dm52o-2377,task,PROJECT_9,ns-22580,TEAM_8,2024-11-11 08:29:34+00:00,2024-11-13 07:49:34+00:00,3,2840,2,25.3588,A100,n
run-pipeline-gpu-45gdv-17904,task,PROJECT_18,ns-23739,TEAM_3,2024-10-22 09:23:34+00:00,2024-10-23 06:21:34+00:00,5,1258,3,59.7403,A100,y
run-pipeline-gpu-w68os-18724,task,PROJECT_15,ns-26568,TEAM_3,2024-11-11 10:33:34+00:00,2024-11-12 01:44:34+00:00,1,911,2,29.8013,A100,n
run-pipeline-gpu-lzaj0-19570,instance,PROJECT_12,ns-2032,TEAM_10,2024-11-07 06:47:34+00:00,2024-11-08 17:10:34+00:00,1,2063,3,49.4597,A30,y
run-pipeline-gpu-om718-16723,task,PROJECT_18,ns-20527,TEAM_9,2024-11-04 08:52:34+00:00,2024-11-06 02:09:34+00:00,1,2477,4,68.6173,A100,y
run-pipeline-gpu-bix28-27395,instance,PROJECT_8,ns-10195,TEAM_10,2024-11-02 17:46:34+00:00,2024-11-04 20:33:34+00:00,3,3047,2,28.3256,A100,n
run-pipeline-gpu-hq8m1-4768,task,PROJECT_7,ns-18890,TEAM_4,2024-11-02 10:37:34+00:00,2024-11-04 02:50:34+00:00,3,2413,5,90.5662,A30,y
run-pipeline-gpu-kkli1-11808,task,PROJECT_14,ns-26861,TEAM_8,2024-10-22 01:00:34+00:00,2024-10-22 10:14:34+00:00,1,554,2,32.5446,A30,n
run-pipeline-gpu-cplqe-23521,instance,PROJECT_5,ns-8,TEAM_1,2024-11-10 12:23:34+00:00,2024-11-12 11:11:34+00:00,5,2808,2,20.464,A100,y
run-pipeline-gpu-lor0l-12258,task,PROJECT_12,ns-14245,TEAM_2,2024-11-08 07:00:34+00:00,2024-11-09 18:12:34+00:00,2,2112,3,46.1052,A100,y
run-pipeline-gpu-ys1xr-19686,instance,PROJECT_11,ns-20705,TEAM_5,2024-11-02 04:57:34+00:00,2024-11-03 17:07:34+00:00,5,2170,4,66.5862,A100,n
run-pipeline-gpu-tv8vb-29456,task,PROJECT_3,ns-31708,TEAM_7,2024-11-06 01:17:34+00:00,2024-11-06 05:13:34+00:00,4,236,4,60.9184,A100,n
run-pipeline-gpu-wttwl-24244,task,PROJECT_1,ns-14722,TEAM_1,2024-10-29 09:11:34+00:00,2024-10-29 22:26:34+00:00,1,795,4,66.9067,A100,n
run-pipeline-gpu-qtt5r-21879,task,PROJECT_11,ns-13245,TEAM_7,2024-10-29 22:50:34+00:00,2024-11-01 01:39:34+00:00,5,3049,2,29.0166,A100,n
run-pipeline-gpu-3iiak-25842,task,PROJECT_9,ns-9291,TEAM_7,2024-10-27 06:16:34+00:00,2024-10-28 08:18:34+00:00,2,1562,4,68.9559,A100,n
run-pipeline-gpu-fvmaa-28023,task,PROJECT_3,ns-16852,TEAM_7,2024-11-10 06:27:34+00:00,2024-11-10 18:59:34+00:00,3,752,4,71.0021,A100,n
run-pipeline-gpu-a8idh-27810,task,PROJECT_20,ns-3063,TEAM_8,2024-11-10 02:55:34+00:00,2024-11-11 05:42:34+00:00,2,1607,5,90.6349,A100,n
run-pipeline-gpu-aodme-26335,instance,PROJECT_14,ns-606,TEAM_5,2024-11-09 10:35:34+00:00,2024-11-11 07:22:34+00:00,2,2687,4,70.5002,A100,y
run-pipeline-gpu-tyndm-7186,instance,PROJECT_1,ns-10267,TEAM_6,2024-10-31 02:47:34+00:00,2024-11-01 23:34:34+00:00,1,2687,2,33.8341,A30,n
run-pipeline-gpu-sm84l-13051,task,PROJECT_4,ns-31712,TEAM_4,2024-11-11 18:05:34+00:00,2024-11-13 05:29:34+00:00,2,2124,3,53.5204,A30,n
run-pipeline-gpu-45ope-2066,task,PROJECT_16,ns-5842,TEAM_1,2024-11-11 19:17:34+00:00,2024-11-12 04:16:34+00:00,1,539,5,90.1871,A100,n
run-pipeline-gpu-ejh2h-8172,task,PROJECT_6,ns-16124,TEAM_3,2024-11-08 17:27:34+00:00,2024-11-09 20:31:34+00:00,2,1624,5,82.6207,A100,n
run-pipeline-gpu-wkqv6-12904,task,PROJECT_4,ns-14263,TEAM_3,2024-10-24 23:45:34+00:00,2024-10-25 22:30:34+00:00,4,1365,4,65.9739,A100,n
run-pipeline-gpu-msdav-11064,task,PROJECT_16,ns-18817,TEAM_9,2024-11-01 23:36:34+00:00,2024-11-03 06:03:34+00:00,2,1827,4,62.6265,A30,n
run-pipeline-gpu-xp5d1-9601,task,PROJECT_14,ns-11285,TEAM_10,2024-10-21 13:38:34+00:00,2024-10-22 20:41:34+00:00,2,1863,5,80.5579,A100,n
run-pipeline-gpu-s9r8f-9123,instance,PROJECT_14,ns-194,TEAM_3,2024-10-30 00:44:34+00:00,2024-11-01 10:20:34+00:00,6,3456,3,44.1073,A100,n
run-pipeline-gpu-v4kln-24939,instance,PROJECT_20,ns-12379,TEAM_8,2024-11-05 20:29:34+00:00,2024-11-06 16:04:34+00:00,3,1175,4,73.3361,A100,n
run-pipeline-gpu-lq7hg-28222,task,PROJECT_9,ns-5930,TEAM_3,2024-11-03 11:56:34+00:00,2024-11-05 15:24:34+00:00,1,3088,5,92.8959,A100,y
run-pipeline-gpu-pvpym-3585,task,PROJECT_14,ns-17107,TEAM_1,2024-10-21 15:58:34+00:00,2024-10-24 15:41:34+00:00,1,4303,3,48.5862,A100,n
run-pipeline-gpu-g8ptj-703,task,PROJECT_6,ns-28942,TEAM_4,2024-10-20 21:35:34+00:00,2024-10-21 21:01:34+00:00,2,1406,2,34.4028,A100,y
run-pipeline-gpu-oq67o-9830,task,PROJECT_1,ns-19348,TEAM_10,2024-10-26 01:09:34+00:00,2024-10-26 12:01:34+00:00,7,652,3,41.0039,A100,y
run-pipeline-gpu-jcrxd-29457,task,PROJECT_5,ns-23747,TEAM_7,2024-10-26 02:34:34+00:00,2024-10-28 08:10:34+00:00,1,3216,4,63.2817,A100,n
run-pipeline-gpu-42c0s-4533,task,PROJECT_14,ns-14775,TEAM_4,2024-10-27 15:44:34+00:00,2024-10-29 02:46:34+00:00,2,2102,4,76.5844,A100,y
run-pipeline-gpu-nsjn5-4652,instance,PROJECT_4,ns-12785,TEAM_2,2024-11-03 02:06:34+00:00,2024-11-05 04:48:34+00:00,3,3042,5,87.6014,A100,y
run-pipeline-gpu-pk456-23799,task,PROJECT_6,ns-18887,TEAM_2,2024-10-27 13:44:34+00:00,2024-10-28 15:34:34+00:00,1,1550,3,54.5998,A30,y
run-pipeline-gpu-ofcdg-3624,instance,PROJECT_2,ns-11303,TEAM_9,2024-10-20 20:35:34+00:00,2024-10-23 10:48:34+00:00,2,3733,2,29.9039,A100,n
run-pipeline-gpu-8gn2o-2646,task,PROJECT_11,ns-27003,TEAM_9,2024-10-24 00:05:34+00:00,2024-10-24 15:35:34+00:00,5,930,4,74.832,A100,n
run-pipeline-gpu-orvrf-4493,instance,PROJECT_10,ns-5296,TEAM_10,2024-11-02 06:29:34+00:00,2024-11-03 17:28:34+00:00,6,2099,3,54.1405,A100,y
run-pipeline-gpu-jrxmz-10641,task,PROJECT_6,ns-27816,TEAM_2,2024-10-27 06:10:34+00:00,2024-10-28 12:26:34+00:00,4,1816,3,45.4665,A100,y
run-pipeline-gpu-isgp9-16366,task,PROJECT_15,ns-4005,TEAM_1,2024-11-06 04:44:34+00:00,2024-11-07 17:14:34+00:00,2,2190,4,79.4254,A100,y
run-pipeline-gpu-qpzxm-11696,task,PROJECT_18,ns-1905,TEAM_8,2024-10-25 13:35:34+00:00,2024-10-27 00:38:34+00:00,1,2103,2,39.8806,A30,y
run-pipeline-gpu-urs42-8631,task,PROJECT_5,ns-8261,TEAM_6,2024-10-25 08:47:34+00:00,2024-10-27 05:13:34+00:00,7,2666,5,86.8392,A100,n
run-pipeline-gpu-riecu-13306,task,PROJECT_8,ns-16835,TEAM_10,2024-10-27 22:02:34+00:00,2024-10-27 22:11:34+00:00,1,9,2,34.6561,A100,n
run-pipeline-gpu-a32oe-21316,task,PROJECT_5,ns-14467,TEAM_3,2024-11-02 17:36:34+00:00,2024-11-03 21:06:34+00:00,5,1650,3,56.8098,A100,n
run-pipeline-gpu-xc2lv-12326,task,PROJECT_20,ns-22526,TEAM_6,2024-10-21 08:48:34+00:00,2024-10-22 04:14:34+00:00,1,1166,3,52.2792,A100,n
run-pipeline-gpu-zz8u6-2868,task,PROJECT_5,ns-26590,TEAM_5,2024-10-22 16:47:34+00:00,2024-10-23 22:19:34+00:00,1,1772,3,40.3024,A30,n
run-pipeline-gpu-8t2a9-12750,task,PROJECT_8,ns-15606,TEAM_9,2024-10-27 00:29:34+00:00,2024-10-29 13:33:34+00:00,3,3664,4,78.991,A100,n
run-pipeline-gpu-59buw-19453,task,PROJECT_15,ns-32118,TEAM_8,2024-10-25 21:58:34+00:00,2024-10-26 12:42:34+00:00,4,884,4,61.4226,A100,n
run-pipeline-gpu-rmj9d-14122,task,PROJECT_18,ns-12570,TEAM_10,2024-11-04 17:59:34+00:00,2024-11-07 00:07:34+00:00,1,3248,4,75.669,A30,n
run-pipeline-gpu-0ecg9-21697,task,PROJECT_15,ns-12637,TEAM_1,2024-10-21 17:51:34+00:00,2024-10-23 14:34:34+00:00,2,2683,5,84.748,A100,n
run-pipeline-gpu-azsqa-16635,instance,PROJECT_15,ns-8948,TEAM_1,2024-10-24 14:34:34+00:00,2024-10-24 15:16:34+00:00,2,42,4,61.8362,A30,n
run-pipeline-gpu-xydjj-9568,instance,PROJECT_14,ns-10539,TEAM_3,2024-10-22 15:48:34+00:00,2024-10-24 22:08:34+00:00,2,3260,5,98.0879,A30,y
run-pipeline-gpu-a9mpq-7110,instance,PROJECT_6,ns-19666,TEAM_5,2024-10-21 18:03:34+00:00,2024-10-23 12:20:34+00:00,2,2537,4,60.8403,A30,n
run-pipeline-gpu-f2gas-10704,task,PROJECT_13,ns-27606,TEAM_8,2024-10-29 00:24:34+00:00,2024-10-30 10:16:34+00:00,4,2032,3,41.6106,A100,n
run-pipeline-gpu-rxlvq-4675,instance,PROJECT_15,ns-17348,TEAM_1,2024-11-01 08:14:34+00:00,2024-11-02 02:21:34+00:00,2,1087,3,41.7477,A100,y
run-pipeline-gpu-dobyv-24746,task,PROJECT_2,ns-6337,TEAM_5,2024-10-24 00:03:34+00:00,2024-10-25 22:26:34+00:00,1,2783,3,50.4749,A100,n
run-pipeline-gpu-oeyzt-32022,task,PROJECT_4,ns-27591,TEAM_7,2024-11-10 02:29:34+00:00,2024-11-10 11:45:34+00:00,2,556,3,54.4797,A100,n
run-pipeline-gpu-7q4g1-4358,task,PROJECT_14,ns-30228,TEAM_1,2024-11-08 13:21:34+00:00,2024-11-10 10:21:34+00:00,2,2700,5,84.1797,A100,n
run-pipeline-gpu-hlalt-25533,task,PROJECT_20,ns-1343,TEAM_7,2024-11-12 03:13:34+00:00,2024-11-13 07:42:34+00:00,2,1709,3,51.3362,A100,n
run-pipeline-gpu-4yew1-25482,instance,PROJECT_19,ns-10829,TEAM_8,2024-11-05 09:40:34+00:00,2024-11-06 22:56:34+00:00,4,2236,2,22.0924,A100,n
run-pipeline-gpu-krih8-8907,instance,PROJECT_18,ns-18348,TEAM_8,2024-11-05 02:11:34+00:00,2024-11-07 04:14:34+00:00,2,3003,5,91.9462,A30,n
run-pipeline-gpu-chstb-29374,task,PROJECT_11,ns-13589,TEAM_7,2024-10-21 07:25:34+00:00,2024-10-21 11:31:34+00:00,3,246,5,82.2366,A100,y
run-pipeline-gpu-s0z7r-19284,task,PROJECT_12,ns-15766,TEAM_4,2024-10-23 04:32:34+00:00,2024-10-24 02:40:34+00:00,4,1328,2,32.9078,A100,n
run-pipeline-gpu-vm5u6-9891,task,PROJECT_13,ns-31573,TEAM_6,2024-10-28 04:02:34+00:00,2024-10-28 12:12:34+00:00,2,490,2,38.4975,A100,n
run-pipeline-gpu-3y0eg-12201,task,PROJECT_5,ns-21963,TEAM_10,2024-11-03 12:43:34+00:00,2024-11-04 16:58:34+00:00,2,1695,4,66.1443,A100,n
run-pipeline-gpu-x11dl-28548,task,PROJECT_3,ns-31369,TEAM_3,2024-11-07 09:36:34+00:00,2024-11-09 00:21:34+00:00,2,2325,3,55.6606,A100,y
run-pipeline-gpu-2djs8-20807,instance,PROJECT_4,ns-24010,TEAM_6,2024-10-22 12:44:34+00:00,2024-10-23 01:28:34+00:00,1,764,3,52.536,A30,n
run-pipeline-gpu-iov6d-13325,instance,PROJECT_20,ns-30549,TEAM_7,2024-10-31 22:50:34+00:00,2024-11-02 15:23:34+00:00,6,2433,2,35.9256,A100,n
run-pipeline-gpu-0ppdw-9226,task,PROJECT_18,ns-22912,TEAM_5,2024-10-24 19:57:34+00:00,2024-10-25 02:26:34+00:00,2,389,3,50.8534,A100,n
run-pipeline-gpu-slm7c-1691,task,PROJECT_12,ns-15191,TEAM_1,2024-11-12 06:09:34+00:00,2024-11-14 01:15:34+00:00,6,2586,2,26.3689,A100,n
run-pipeline-gpu-yf9je-23207,task,PROJECT_20,ns-27699,TEAM_5,2024-11-02 11:00:34+00:00,2024-11-02 22:01:34+00:00,1,661,2,39.0266,A30,n
