pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-bmej6-24892,task,PROJECT_1,ns-12621,TEAM_3,2024-06-12 05:40:24+00:00,2024-06-12 21:44:24+00:00,2,964,4,70.82,A100,n
run-pipeline-gpu-g1srn-8383,task,PROJECT_13,ns-17613,TEAM_7,2024-06-29 14:23:24+00:00,2024-06-29 17:53:24+00:00,1,210,1,0.89,A100,y
run-pipeline-gpu-m3qs2-27496,task,PROJECT_11,ns-8116,TEAM_3,2024-06-18 07:02:24+00:00,2024-06-20 09:40:24+00:00,4,3038,2,33.68,A100,y
run-pipeline-gpu-nhlvt-32393,task,PROJECT_6,ns-23282,TEAM_6,2024-06-13 22:57:24+00:00,2024-06-16 06:38:24+00:00,6,3341,1,14.31,A30,n
run-pipeline-gpu-0geve-12977,task,PROJECT_10,ns-29369,TEAM_8,2024-06-28 23:37:24+00:00,2024-06-29 11:42:24+00:00,6,725,4,60.96,A30,y
run-pipeline-gpu-qc63w-2995,instance,PROJECT_13,ns-22138,TEAM_1,2024-07-02 14:48:24+00:00,2024-07-03 22:10:24+00:00,6,1882,4,76.03,A30,n
run-pipeline-gpu-939rm-18590,task,PROJECT_18,ns-30949,TEAM_8,2024-06-22 01:09:24+00:00,2024-06-24 08:22:24+00:00,6,3313,2,33.87,A30,y
run-pipeline-gpu-r169b-29637,task,PROJECT_16,ns-24555,TEAM_1,2024-06-25 06:35:24+00:00,2024-06-26 22:35:24+00:00,1,2400,3,57.97,A30,n
run-pipeline-gpu-t0ch2-29368,task,PROJECT_6,ns-13502,TEAM_9,2024-06-12 21:54:24+00:00,2024-06-13 02:05:24+00:00,7,251,5,98.07,A30,y
run-pipeline-gpu-spase-5703,task,PROJECT_11,ns-21455,TEAM_3,2024-06-14 19:47:24+00:00,2024-06-15 11:39:24+00:00,8,952,3,51.89,A30,y
run-pipeline-gpu-1l3wy-10885,instance,PROJECT_7,ns-23758,TEAM_2,2024-07-01 22:32:24+00:00,2024-07-03 22:27:24+00:00,6,2875,1,8.37,A100,n
run-pipeline-gpu-og115-1730,instance,PROJECT_3,ns-17069,TEAM_3,2024-06-16 08:08:24+00:00,2024-06-18 14:58:24+00:00,2,3290,1,14.03,A30,y
run-pipeline-gpu-jlpkm-7567,task,PROJECT_1,ns-23453,TEAM_7,2024-07-03 09:34:24+00:00,2024-07-05 00:06:24+00:00,5,2312,2,22.45,A100,n
run-pipeline-gpu-f2g64-3262,task,PROJECT_20,ns-28942,TEAM_8,2024-06-14 07:30:24+00:00,2024-06-14 12:47:24+00:00,7,317,4,65.12,A100,y
run-pipeline-gpu-ozbx2-11614,task,PROJECT_3,ns-20401,TEAM_7,2024-07-02 00:13:24+00:00,2024-07-02 19:20:24+00:00,3,1147,1,7.12,A30,y
