pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-i0mbw-8975,task,PROJECT_3,ns-31776,TEAM_3,2024-07-03 12:55:12+00:00,2024-07-04 15:21:15+00:00,3,1586,2,35.5142,A100,n
run-pipeline-gpu-y1sm2-6787,task,PROJECT_18,ns-31845,TEAM_7,2024-06-22 11:14:12+00:00,2024-06-25 16:16:08+00:00,4,4621,3,57.7846,A100,y
run-pipeline-gpu-4o3mg-9914,task,PROJECT_19,ns-21447,TEAM_4,2024-07-03 23:35:12+00:00,2024-07-07 01:01:48+00:00,3,4406,2,36.4138,A30,y
run-pipeline-gpu-gxiqg-11631,task,PROJECT_6,ns-9753,TEAM_2,2024-06-25 22:48:12+00:00,2024-06-28 13:55:42+00:00,7,3787,3,57.1002,A100,n
run-pipeline-gpu-ry689-22313,task,PROJECT_3,ns-419,TEAM_5,2024-06-27 04:08:12+00:00,2024-06-28 14:43:00+00:00,6,2074,2,30.2788,A100,y
run-pipeline-gpu-e3ntw-8082,task,PROJECT_15,ns-25191,TEAM_6,2024-06-24 07:54:12+00:00,2024-06-25 21:34:25+00:00,7,2260,5,81.4058,A100,y
run-pipeline-gpu-wjrgj-4118,task,PROJECT_2,ns-10194,TEAM_9,2024-06-29 13:10:12+00:00,2024-07-02 00:05:52+00:00,2,3535,2,35.9431,A100,n
run-pipeline-gpu-wkszx-2053,task,PROJECT_18,ns-29977,TEAM_3,2024-06-16 03:52:12+00:00,2024-06-17 21:32:29+00:00,8,2500,3,56.5652,A100,y
run-pipeline-gpu-njoew-3284,task,PROJECT_14,ns-21452,TEAM_3,2024-07-01 12:05:12+00:00,2024-07-02 23:58:01+00:00,3,2152,2,21.097,A30,n
run-pipeline-gpu-9sf1a-30264,task,PROJECT_4,ns-20831,TEAM_3,2024-06-17 09:21:12+00:00,2024-06-20 03:06:01+00:00,7,3944,2,22.2809,A100,y
run-pipeline-gpu-voe60-13601,task,PROJECT_18,ns-961,TEAM_8,2024-06-21 00:21:12+00:00,2024-06-22 19:14:24+00:00,7,2573,2,30.8794,A100,n
run-pipeline-gpu-81bi3-16874,task,PROJECT_6,ns-13883,TEAM_4,2024-06-27 21:45:12+00:00,2024-06-28 22:09:26+00:00,4,1464,2,37.7756,A30,n
run-pipeline-gpu-2taey-15673,task,PROJECT_17,ns-18214,TEAM_6,2024-06-28 03:18:12+00:00,2024-07-01 06:45:45+00:00,2,4527,3,52.0636,A30,n
run-pipeline-gpu-nxgqu-20572,task,PROJECT_18,ns-18490,TEAM_5,2024-06-20 11:18:12+00:00,2024-06-21 13:30:19+00:00,3,1572,3,43.5582,A30,y
run-pipeline-gpu-3d7yg-11565,task,PROJECT_18,ns-3723,TEAM_7,2024-07-04 15:36:12+00:00,2024-07-05 13:22:08+00:00,7,1305,3,57.5317,A100,n
run-pipeline-gpu-pof8z-706,instance,PROJECT_8,ns-23654,TEAM_3,2024-06-19 21:48:12+00:00,2024-06-23 00:47:01+00:00,5,4498,3,57.8262,A100,n
run-pipeline-gpu-lzb7o-9075,task,PROJECT_8,ns-32432,TEAM_4,2024-06-13 23:53:12+00:00,2024-06-16 15:39:16+00:00,7,3826,3,54.0583,A100,n
run-pipeline-gpu-wn1lb-16891,instance,PROJECT_5,ns-26745,TEAM_6,2024-06-14 03:34:12+00:00,2024-06-17 06:03:36+00:00,6,4469,3,47.3294,A100,n
run-pipeline-gpu-skopc-26303,instance,PROJECT_3,ns-23256,TEAM_1,2024-06-30 13:13:12+00:00,2024-07-01 16:08:34+00:00,2,1615,2,25.3391,A30,n
run-pipeline-gpu-n5e9h-23427,task,PROJECT_8,ns-19539,TEAM_5,2024-06-26 11:33:12+00:00,2024-06-26 19:56:12+00:00,8,503,3,49.032,A100,n
run-pipeline-gpu-u996r-6930,task,PROJECT_10,ns-23134,TEAM_2,2024-06-22 00:46:12+00:00,2024-06-24 02:06:40+00:00,3,2960,3,47.7541,A30,y
run-pipeline-gpu-t1xbe-9126,task,PROJECT_10,ns-26799,TEAM_7,2024-06-21 07:47:12+00:00,2024-06-24 06:05:44+00:00,6,4218,5,91.602,A100,n
run-pipeline-gpu-v25v1-11794,task,PROJECT_4,ns-32134,TEAM_7,2024-06-16 21:24:12+00:00,2024-06-19 02:33:10+00:00,7,3188,3,46.0135,A100,n
run-pipeline-gpu-ujq3e-4344,task,PROJECT_1,ns-14099,TEAM_9,2024-07-03 18:31:12+00:00,2024-07-07 01:01:50+00:00,5,4710,2,32.7365,A100,n
run-pipeline-gpu-xv64w-20122,instance,PROJECT_13,ns-13719,TEAM_1,2024-06-18 02:14:12+00:00,2024-06-19 21:44:08+00:00,4,2609,5,80.2957,A30,n
run-pipeline-gpu-8fbbz-17666,instance,PROJECT_15,ns-22278,TEAM_4,2024-06-27 20:22:12+00:00,2024-06-30 14:13:08+00:00,3,3950,3,52.1702,A100,y
run-pipeline-gpu-uscup-914,task,PROJECT_10,ns-29736,TEAM_5,2024-06-22 21:20:12+00:00,2024-06-24 17:50:56+00:00,6,2670,2,28.9872,A100,n
