pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-msw8c-22860,task,PROJECT_18,ns-7887,TEAM_9,2024-07-29 12:08:36+00:00,2024-07-31 06:21:36+00:00,5,2533,3,52.0888,A100,n
run-pipeline-gpu-dih4v-14469,task,PROJECT_18,ns-2317,TEAM_5,2024-08-16 21:07:36+00:00,2024-08-18 13:51:36+00:00,2,2444,4,69.6815,A30,n
run-pipeline-gpu-1sbxv-32053,task,PROJECT_12,ns-18140,TEAM_5,2024-08-06 10:45:36+00:00,2024-08-08 07:45:36+00:00,5,2700,4,71.0517,A100,n
run-pipeline-gpu-02nl5-12937,task,PROJECT_13,ns-21292,TEAM_8,2024-08-15 11:11:36+00:00,2024-08-17 02:15:36+00:00,2,2344,3,54.6817,A100,n
run-pipeline-gpu-byczm-27530,task,PROJECT_7,ns-31744,TEAM_1,2024-08-14 15:28:36+00:00,2024-08-16 06:29:36+00:00,1,2341,4,78.3363,A100,n
run-pipeline-gpu-va72w-8182,task,PROJECT_8,ns-26807,TEAM_5,2024-07-29 19:38:36+00:00,2024-07-29 20:30:36+00:00,5,52,3,53.4051,A100,n
run-pipeline-gpu-z1n7i-8705,task,PROJECT_16,ns-17762,TEAM_2,2024-08-01 19:54:36+00:00,2024-08-03 13:06:36+00:00,4,2472,4,73.3944,A100,y
run-pipeline-gpu-3eyul-26946,task,PROJECT_16,ns-1127,TEAM_4,2024-08-08 14:51:36+00:00,2024-08-09 00:19:36+00:00,7,568,3,53.4706,A100,n
run-pipeline-gpu-0hbva-28240,task,PROJECT_1,ns-28400,TEAM_9,2024-07-29 16:19:36+00:00,2024-07-30 11:07:36+00:00,1,1128,3,52.4491,A100,n
run-pipeline-gpu-w1o9t-21476,task,PROJECT_4,ns-17922,TEAM_8,2024-08-11 11:23:36+00:00,2024-08-12 10:30:36+00:00,3,1387,3,54.1675,A100,n
run-pipeline-gpu-hlsyn-28029,task,PROJECT_2,ns-20785,TEAM_9,2024-08-02 06:14:36+00:00,2024-08-02 17:14:36+00:00,2,660,3,42.1423,A100,n
run-pipeline-gpu-ehlsa-10443,instance,PROJECT_12,ns-13640,TEAM_5,2024-08-06 11:45:36+00:00,2024-08-06 14:25:36+00:00,1,160,4,63.6693,A30,n
run-pipeline-gpu-4821b-18040,task,PROJECT_13,ns-7262,TEAM_3,2024-08-16 07:14:36+00:00,2024-08-16 07:38:36+00:00,1,24,5,90.6138,A100,n
run-pipeline-gpu-lun2a-30731,instance,PROJECT_11,ns-27182,TEAM_2,2024-08-05 08:21:36+00:00,2024-08-05 20:33:36+00:00,4,732,4,74.3636,A100,n
run-pipeline-gpu-peadd-13293,task,PROJECT_11,ns-15026,TEAM_7,2024-08-20 05:29:36+00:00,2024-08-21 01:15:36+00:00,5,1186,4,65.2271,A100,n
run-pipeline-gpu-bdtj6-11738,instance,PROJECT_19,ns-3659,TEAM_4,2024-08-01 17:11:36+00:00,2024-08-03 05:50:36+00:00,1,2199,2,22.9377,A100,n
run-pipeline-gpu-3isj5-12628,task,PROJECT_7,ns-7679,TEAM_8,2024-08-18 02:20:36+00:00,2024-08-19 05:59:36+00:00,2,1659,3,54.5206,A100,y
run-pipeline-gpu-sda52-27837,task,PROJECT_4,ns-11153,TEAM_9,2024-08-17 16:11:36+00:00,2024-08-20 09:55:36+00:00,1,3944,2,25.1167,A100,n
run-pipeline-gpu-7imxz-24395,instance,PROJECT_2,ns-3202,TEAM_1,2024-08-12 09:24:36+00:00,2024-08-13 16:33:36+00:00,2,1869,3,43.4766,A100,n
run-pipeline-gpu-evbx7-24828,instance,PROJECT_14,ns-31805,TEAM_5,2024-08-05 05:48:36+00:00,2024-08-06 02:00:36+00:00,3,1212,4,68.4332,A100,n
run-pipeline-gpu-7yfzi-29478,task,PROJECT_15,ns-16633,TEAM_6,2024-08-07 00:43:36+00:00,2024-08-08 02:53:36+00:00,1,1570,3,42.4839,A100,n
run-pipeline-gpu-36u4a-348,task,PROJECT_2,ns-12306,TEAM_6,2024-07-30 18:09:36+00:00,2024-07-31 15:12:36+00:00,8,1263,5,86.8497,A100,y
run-pipeline-gpu-9hj1m-17860,task,PROJECT_16,ns-29171,TEAM_4,2024-08-04 18:07:36+00:00,2024-08-04 23:41:36+00:00,2,334,2,20.6416,A30,n
run-pipeline-gpu-l5cef-28942,instance,PROJECT_2,ns-23234,TEAM_9,2024-08-14 04:55:36+00:00,2024-08-15 04:13:36+00:00,4,1398,3,52.8404,A100,n
