pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-yyzcl-12712,task,PROJECT_3,ns-32589,TEAM_10,2024-06-19 15:04:41+00:00,2024-06-20 06:01:41+00:00,3,897,4,62.7024,A100,n
run-pipeline-gpu-3u85y-31301,task,PROJECT_12,ns-2525,TEAM_5,2024-06-23 04:52:41+00:00,2024-06-23 22:58:41+00:00,1,1086,4,65.9375,A100,y
run-pipeline-gpu-pm53z-17917,task,PROJECT_4,ns-15858,TEAM_4,2024-06-30 14:45:41+00:00,2024-07-01 06:12:41+00:00,2,927,2,36.3377,A30,n
run-pipeline-gpu-km18s-23100,instance,PROJECT_15,ns-3984,TEAM_8,2024-06-26 10:22:41+00:00,2024-06-26 13:50:41+00:00,1,208,5,86.4858,A100,n
run-pipeline-gpu-8jgta-28725,task,PROJECT_18,ns-10115,TEAM_5,2024-06-24 07:52:41+00:00,2024-06-24 15:51:41+00:00,6,479,2,30.2516,A100,y
run-pipeline-gpu-mczok-2379,task,PROJECT_6,ns-4547,TEAM_10,2024-06-16 14:15:41+00:00,2024-06-20 11:13:41+00:00,2,5578,4,69.2471,A30,y
run-pipeline-gpu-5s49l-28042,instance,PROJECT_13,ns-30202,TEAM_3,2024-06-18 03:09:41+00:00,2024-06-21 09:47:41+00:00,2,4718,5,92.7438,A100,n
run-pipeline-gpu-wk7xp-3426,task,PROJECT_14,ns-26745,TEAM_7,2024-07-03 19:43:41+00:00,2024-07-06 14:22:41+00:00,6,3999,2,20.3534,A100,n
run-pipeline-gpu-vxkgq-1854,task,PROJECT_13,ns-12576,TEAM_3,2024-06-21 07:51:41+00:00,2024-06-21 20:10:41+00:00,6,739,2,26.8562,A100,n
run-pipeline-gpu-oqlp8-23224,task,PROJECT_13,ns-14086,TEAM_9,2024-06-29 22:57:41+00:00,2024-07-01 10:45:41+00:00,3,2148,3,46.2435,A100,n
run-pipeline-gpu-9fuhd-11885,task,PROJECT_17,ns-25315,TEAM_8,2024-06-27 05:38:41+00:00,2024-07-03 03:50:41+00:00,1,8532,2,33.085,A30,y
run-pipeline-gpu-2dk54-19139,task,PROJECT_19,ns-3975,TEAM_5,2024-06-24 13:58:41+00:00,2024-06-27 10:44:41+00:00,4,4126,2,28.2089,A100,y
run-pipeline-gpu-s56s6-23330,task,PROJECT_12,ns-22248,TEAM_6,2024-06-25 00:34:41+00:00,2024-06-25 05:06:41+00:00,1,272,2,20.9304,A100,y
