pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-cxy03-19444,task,PROJECT_12,ns-12148,TEAM_5,2024-06-15 02:14:18+00:00,2024-06-15 04:30:18+00:00,6,136,2,38.5281,A100,y
run-pipeline-gpu-7f4mi-18667,instance,PROJECT_17,ns-18213,TEAM_10,2024-06-19 21:19:18+00:00,2024-06-20 15:05:18+00:00,2,1066,3,46.9071,A100,n
run-pipeline-gpu-fopdm-11121,task,PROJECT_15,ns-13800,TEAM_6,2024-07-03 05:45:18+00:00,2024-07-04 17:36:18+00:00,3,2151,3,57.5305,A100,y
run-pipeline-gpu-g4sg2-3763,task,PROJECT_19,ns-19433,TEAM_7,2024-07-01 21:25:18+00:00,2024-07-02 09:36:18+00:00,5,731,5,91.1726,A100,n
run-pipeline-gpu-qpt9d-17228,task,PROJECT_12,ns-13318,TEAM_3,2024-06-19 21:48:18+00:00,2024-06-20 05:31:18+00:00,2,463,5,87.5515,A100,n
run-pipeline-gpu-n6b58-18245,task,PROJECT_4,ns-4035,TEAM_1,2024-06-21 18:27:18+00:00,2024-06-23 16:39:18+00:00,3,2772,2,28.2123,A100,y
run-pipeline-gpu-9zqfp-7832,task,PROJECT_11,ns-25570,TEAM_1,2024-06-18 15:28:18+00:00,2024-06-19 00:23:18+00:00,3,535,2,23.6745,A100,n
run-pipeline-gpu-9hgj8-2429,task,PROJECT_10,ns-10211,TEAM_3,2024-07-04 18:44:18+00:00,2024-07-07 03:34:18+00:00,6,3410,2,27.2057,A100,n
run-pipeline-gpu-mo4ko-15634,task,PROJECT_17,ns-14848,TEAM_10,2024-06-18 11:19:18+00:00,2024-06-18 17:10:18+00:00,1,351,3,58.483,A100,n
run-pipeline-gpu-b8atx-11292,task,PROJECT_2,ns-27238,TEAM_10,2024-06-17 22:56:18+00:00,2024-06-21 03:36:18+00:00,2,4600,3,46.7252,A100,n
run-pipeline-gpu-t13h4-26863,task,PROJECT_20,ns-5032,TEAM_7,2024-06-14 20:17:18+00:00,2024-06-16 08:55:18+00:00,2,2198,2,30.703,A100,n
run-pipeline-gpu-8iwyn-1729,task,PROJECT_11,ns-7121,TEAM_5,2024-06-16 12:16:18+00:00,2024-06-17 13:34:18+00:00,1,1518,4,78.7927,A30,y
run-pipeline-gpu-st1e6-28662,task,PROJECT_3,ns-4216,TEAM_3,2024-07-04 15:18:18+00:00,2024-07-05 17:20:18+00:00,1,1562,4,63.1722,A30,y
run-pipeline-gpu-bdlhs-14367,task,PROJECT_3,ns-10689,TEAM_6,2024-06-15 08:41:18+00:00,2024-06-16 04:38:18+00:00,1,1197,2,33.0773,A100,n
run-pipeline-gpu-xepf6-21455,task,PROJECT_15,ns-11065,TEAM_4,2024-06-17 23:34:18+00:00,2024-06-18 11:54:18+00:00,2,740,2,32.9457,A30,y
run-pipeline-gpu-xd9jz-9579,instance,PROJECT_9,ns-9954,TEAM_5,2024-06-26 10:35:18+00:00,2024-06-28 08:52:18+00:00,1,2777,2,38.1177,A30,n
