pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-e66eg-8970,task,PROJECT_19,ns-23376,TEAM_3,2024-06-13 01:29:00+00:00,2024-06-13 05:46:00+00:00,1,257,5,94.2746,A100,n
run-pipeline-gpu-2ha4c-3441,task,PROJECT_12,ns-14197,TEAM_3,2024-07-01 10:28:00+00:00,2024-07-01 15:36:00+00:00,2,308,2,36.0584,A30,n
run-pipeline-gpu-4udqf-17041,task,PROJECT_5,ns-24928,TEAM_4,2024-06-21 00:06:00+00:00,2024-06-22 00:24:00+00:00,3,1458,3,52.672,A100,n
run-pipeline-gpu-5x4nm-17250,task,PROJECT_8,ns-21741,TEAM_10,2024-06-30 00:32:00+00:00,2024-07-02 07:10:00+00:00,3,3278,4,76.6765,A100,n
run-pipeline-gpu-jyi4x-17068,task,PROJECT_9,ns-15018,TEAM_9,2024-06-29 04:49:00+00:00,2024-06-30 13:16:00+00:00,1,1947,3,41.0357,A100,n
run-pipeline-gpu-kshcx-27310,task,PROJECT_2,ns-17014,TEAM_1,2024-06-13 08:59:00+00:00,2024-06-14 01:16:00+00:00,1,977,5,88.8408,A100,n
run-pipeline-gpu-toxw7-10631,task,PROJECT_14,ns-7420,TEAM_4,2024-06-16 09:15:00+00:00,2024-06-17 13:03:00+00:00,6,1668,4,62.1593,A100,y
run-pipeline-gpu-yabkp-7088,task,PROJECT_6,ns-16480,TEAM_2,2024-06-23 04:12:00+00:00,2024-06-23 15:11:00+00:00,1,659,4,61.5935,A100,n
run-pipeline-gpu-clk45-25352,task,PROJECT_18,ns-9122,TEAM_4,2024-06-13 05:40:00+00:00,2024-06-14 00:58:00+00:00,2,1158,4,68.2981,A100,n
run-pipeline-gpu-ylgwp-12861,instance,PROJECT_9,ns-7547,TEAM_3,2024-06-26 00:44:00+00:00,2024-06-28 03:42:00+00:00,7,3058,5,93.4335,A100,n
run-pipeline-gpu-38iub-24477,task,PROJECT_7,ns-26301,TEAM_1,2024-06-16 19:35:00+00:00,2024-06-18 15:36:00+00:00,4,2641,3,50.0769,A100,n
run-pipeline-gpu-pl24d-16275,task,PROJECT_10,ns-13706,TEAM_1,2024-06-21 01:06:00+00:00,2024-06-21 09:12:00+00:00,3,486,5,83.6389,A30,n
run-pipeline-gpu-3wwr8-9814,task,PROJECT_5,ns-19924,TEAM_10,2024-06-30 20:35:00+00:00,2024-07-02 06:24:00+00:00,5,2029,3,59.8236,A100,n
