pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-8zbq8-15565,task,PROJECT_11,ns-4219,TEAM_6,2024-07-02 12:52:49+00:00,2024-07-03 16:15:49+00:00,3,1643,2,30.9951,A30,n
run-pipeline-gpu-38xyv-5095,task,PROJECT_12,ns-23781,TEAM_2,2024-06-21 03:48:49+00:00,2024-06-21 18:06:49+00:00,5,858,2,22.6712,A100,n
run-pipeline-gpu-47vye-26007,instance,PROJECT_3,ns-28930,TEAM_10,2024-06-13 13:00:49+00:00,2024-06-14 01:32:49+00:00,2,752,3,58.7574,A100,n
run-pipeline-gpu-9ewji-27627,task,PROJECT_2,ns-5702,TEAM_8,2024-06-16 17:06:49+00:00,2024-06-17 18:25:49+00:00,3,1519,4,66.5798,A100,n
run-pipeline-gpu-skr2m-5385,task,PROJECT_15,ns-29633,TEAM_5,2024-06-17 12:03:49+00:00,2024-06-19 04:58:49+00:00,1,2455,2,39.1629,A100,n
run-pipeline-gpu-22lmz-9919,task,PROJECT_3,ns-8101,TEAM_10,2024-06-13 18:31:49+00:00,2024-06-14 02:15:49+00:00,4,464,2,28.7224,A100,n
run-pipeline-gpu-rghby-14610,task,PROJECT_18,ns-2024,TEAM_3,2024-06-13 07:42:49+00:00,2024-06-14 01:35:49+00:00,1,1073,3,50.1781,A100,n
run-pipeline-gpu-p25hq-18724,task,PROJECT_2,ns-18523,TEAM_9,2024-07-01 12:06:49+00:00,2024-07-02 21:27:49+00:00,2,2001,2,37.3724,A30,y
run-pipeline-gpu-7n3j4-27878,task,PROJECT_4,ns-5044,TEAM_3,2024-06-16 07:08:49+00:00,2024-06-17 05:27:49+00:00,3,1339,2,26.8801,A100,n
run-pipeline-gpu-hdzyu-14697,task,PROJECT_16,ns-26192,TEAM_7,2024-06-29 10:30:49+00:00,2024-06-30 19:46:49+00:00,5,1996,3,47.2937,A100,n
run-pipeline-gpu-n7wpo-2263,task,PROJECT_8,ns-7365,TEAM_1,2024-07-04 11:49:49+00:00,2024-07-05 15:31:49+00:00,3,1662,4,63.791,A100,n
run-pipeline-gpu-ooh75-19030,task,PROJECT_17,ns-3443,TEAM_1,2024-06-23 09:01:49+00:00,2024-06-25 03:53:49+00:00,3,2572,2,20.8147,A30,y
run-pipeline-gpu-sudcr-13668,task,PROJECT_19,ns-15285,TEAM_2,2024-06-25 19:00:49+00:00,2024-06-26 21:12:49+00:00,3,1572,3,46.9352,A100,n
run-pipeline-gpu-qnh61-27495,instance,PROJECT_5,ns-29803,TEAM_7,2024-06-20 00:19:49+00:00,2024-06-21 12:08:49+00:00,5,2149,2,39.037,A100,y
run-pipeline-gpu-dsfd5-5520,instance,PROJECT_20,ns-28391,TEAM_8,2024-06-30 20:18:49+00:00,2024-07-01 03:38:49+00:00,1,440,2,27.7517,A100,n
run-pipeline-gpu-tar0c-12860,task,PROJECT_10,ns-14989,TEAM_5,2024-06-26 01:28:49+00:00,2024-06-26 19:45:49+00:00,4,1097,2,28.906,A100,y
