pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-cxy03-19444,task,PROJECT_12,ns-12148,TEAM_5,2024-06-14 15:26:40+00:00,2024-06-17 13:55:40+00:00,4,4229,2,37.179,A30,n
run-pipeline-gpu-7f4mi-18667,instance,PROJECT_17,ns-18213,TEAM_10,2024-06-19 10:31:40+00:00,2024-06-20 04:36:40+00:00,2,1085,4,76.2817,A100,n
run-pipeline-gpu-fopdm-11121,task,PROJECT_15,ns-13800,TEAM_6,2024-07-02 18:57:40+00:00,2024-07-03 23:02:40+00:00,3,1685,2,30.8841,A30,n
run-pipeline-gpu-g4sg2-3763,task,PROJECT_19,ns-19433,TEAM_7,2024-07-01 10:37:40+00:00,2024-07-02 20:56:40+00:00,2,2059,2,27.878,A100,n
run-pipeline-gpu-qpt9d-17228,task,PROJECT_12,ns-13318,TEAM_3,2024-06-19 11:00:40+00:00,2024-06-19 17:07:40+00:00,3,367,5,97.3363,A100,n
run-pipeline-gpu-n6b58-18245,task,PROJECT_4,ns-4035,TEAM_1,2024-06-21 07:39:40+00:00,2024-06-22 07:59:40+00:00,3,1460,2,31.1031,A30,n
run-pipeline-gpu-9zqfp-7832,task,PROJECT_11,ns-25570,TEAM_1,2024-06-18 04:40:40+00:00,2024-06-21 07:10:40+00:00,6,4470,2,25.2845,A100,n
run-pipeline-gpu-9hgj8-2429,task,PROJECT_10,ns-10211,TEAM_3,2024-07-04 07:56:40+00:00,2024-07-05 04:47:40+00:00,1,1251,3,51.8494,A100,n
run-pipeline-gpu-mo4ko-15634,task,PROJECT_17,ns-14848,TEAM_10,2024-06-18 00:31:40+00:00,2024-06-19 03:31:40+00:00,2,1620,2,23.512,A100,n
run-pipeline-gpu-b8atx-11292,task,PROJECT_2,ns-27238,TEAM_10,2024-06-17 12:08:40+00:00,2024-06-19 05:49:40+00:00,2,2501,4,68.3617,A100,n
run-pipeline-gpu-t13h4-26863,task,PROJECT_20,ns-5032,TEAM_7,2024-06-14 09:29:40+00:00,2024-06-15 06:08:40+00:00,2,1239,2,21.0128,A100,n
run-pipeline-gpu-8iwyn-1729,task,PROJECT_11,ns-7121,TEAM_5,2024-06-16 01:28:40+00:00,2024-06-17 17:19:40+00:00,3,2391,4,68.3294,A30,y
run-pipeline-gpu-st1e6-28662,task,PROJECT_3,ns-4216,TEAM_3,2024-07-04 04:30:40+00:00,2024-07-05 15:48:40+00:00,3,2118,2,37.4784,A30,y
run-pipeline-gpu-bdlhs-14367,task,PROJECT_3,ns-10689,TEAM_6,2024-06-14 21:53:40+00:00,2024-06-17 02:09:40+00:00,3,3136,4,73.1648,A100,n
run-pipeline-gpu-xepf6-21455,task,PROJECT_15,ns-11065,TEAM_4,2024-06-17 12:46:40+00:00,2024-06-19 05:25:40+00:00,3,2439,3,46.3638,A30,y
run-pipeline-gpu-xd9jz-9579,instance,PROJECT_9,ns-9954,TEAM_5,2024-06-25 23:47:40+00:00,2024-06-26 08:46:40+00:00,5,539,4,70.0653,A100,y
run-pipeline-gpu-efapq-17819,task,PROJECT_18,ns-26100,TEAM_8,2024-06-22 09:24:40+00:00,2024-06-22 19:13:40+00:00,3,589,3,44.4446,A100,n
run-pipeline-gpu-cwuhi-10004,task,PROJECT_9,ns-31774,TEAM_3,2024-06-23 01:03:40+00:00,2024-06-24 02:31:40+00:00,1,1528,3,51.368,A30,n
run-pipeline-gpu-l83r0-197,task,PROJECT_12,ns-7494,TEAM_4,2024-06-21 03:28:40+00:00,2024-06-21 10:19:40+00:00,2,411,4,64.6081,A100,y
run-pipeline-gpu-s6jqe-5815,instance,PROJECT_13,ns-792,TEAM_2,2024-06-25 16:28:40+00:00,2024-06-26 16:41:40+00:00,7,1453,2,22.2846,A100,n
run-pipeline-gpu-sropk-22809,task,PROJECT_15,ns-22257,TEAM_10,2024-06-21 01:47:40+00:00,2024-06-22 03:22:40+00:00,2,1535,4,74.9318,A30,n
run-pipeline-gpu-armyz-12883,instance,PROJECT_9,ns-32218,TEAM_7,2024-07-02 23:22:40+00:00,2024-07-04 21:42:40+00:00,7,2780,2,38.5328,A100,n
run-pipeline-gpu-vmuli-4116,instance,PROJECT_14,ns-8116,TEAM_5,2024-06-29 04:16:40+00:00,2024-06-30 21:27:40+00:00,3,2471,4,65.248,A30,n
run-pipeline-gpu-ms9j4-2234,instance,PROJECT_4,ns-8139,TEAM_5,2024-06-18 09:40:40+00:00,2024-06-19 05:13:40+00:00,2,1173,2,36.7197,A100,n
run-pipeline-gpu-5mb26-17788,instance,PROJECT_5,ns-19549,TEAM_6,2024-06-15 20:22:40+00:00,2024-06-16 18:55:40+00:00,5,1353,5,82.5721,A30,n
run-pipeline-gpu-bq833-25416,task,PROJECT_4,ns-7140,TEAM_1,2024-06-28 08:38:40+00:00,2024-06-28 17:43:40+00:00,4,545,2,22.8416,A100,y
run-pipeline-gpu-vv92l-5938,task,PROJECT_3,ns-12829,TEAM_8,2024-06-22 23:50:40+00:00,2024-06-23 20:19:40+00:00,3,1229,5,81.8883,A30,y
run-pipeline-gpu-5kjwa-24793,instance,PROJECT_19,ns-27684,TEAM_8,2024-07-02 11:44:40+00:00,2024-07-05 06:09:40+00:00,1,3985,2,35.0686,A100,y
run-pipeline-gpu-4ok8s-17476,task,PROJECT_12,ns-10781,TEAM_4,2024-06-15 03:38:40+00:00,2024-06-18 18:29:40+00:00,3,5211,2,39.3038,A100,n
run-pipeline-gpu-z99ki-13813,task,PROJECT_11,ns-17986,TEAM_6,2024-06-16 10:09:40+00:00,2024-06-16 22:54:40+00:00,3,765,4,67.3071,A100,n
run-pipeline-gpu-4gtcf-26438,instance,PROJECT_17,ns-29776,TEAM_5,2024-06-26 17:29:40+00:00,2024-06-29 06:23:40+00:00,3,3654,4,63.4957,A100,y
run-pipeline-gpu-r9vws-17999,instance,PROJECT_12,ns-29091,TEAM_9,2024-06-20 13:24:40+00:00,2024-06-22 21:39:40+00:00,2,3375,2,27.1438,A100,n
run-pipeline-gpu-zydlx-7139,task,PROJECT_9,ns-19848,TEAM_9,2024-07-03 07:43:40+00:00,2024-07-03 18:02:40+00:00,8,619,5,88.4246,A100,n
run-pipeline-gpu-enia5-2927,task,PROJECT_11,ns-29324,TEAM_7,2024-07-02 15:38:40+00:00,2024-07-03 23:41:40+00:00,6,1923,5,88.9863,A100,n
run-pipeline-gpu-m6xky-9137,task,PROJECT_2,ns-19660,TEAM_1,2024-06-17 03:43:40+00:00,2024-06-18 14:31:40+00:00,5,2088,4,61.8254,A100,n
run-pipeline-gpu-b69d8-31915,task,PROJECT_14,ns-16025,TEAM_2,2024-06-20 18:05:40+00:00,2024-06-21 19:45:40+00:00,2,1540,4,79.863,A30,n
run-pipeline-gpu-vw0qg-24131,task,PROJECT_20,ns-23530,TEAM_3,2024-06-28 17:39:40+00:00,2024-06-30 01:28:40+00:00,3,1909,2,36.3261,A100,n
run-pipeline-gpu-3r6ci-27740,task,PROJECT_10,ns-28271,TEAM_3,2024-06-16 03:16:40+00:00,2024-06-16 07:31:40+00:00,5,255,2,34.23,A100,n
run-pipeline-gpu-yl7dl-10370,task,PROJECT_13,ns-24393,TEAM_8,2024-06-27 04:07:40+00:00,2024-06-27 09:35:40+00:00,2,328,4,74.8495,A100,n
run-pipeline-gpu-unj6q-3664,task,PROJECT_13,ns-8366,TEAM_7,2024-06-27 13:36:40+00:00,2024-06-27 21:25:40+00:00,2,469,4,70.1492,A30,n
run-pipeline-gpu-e0068-30525,task,PROJECT_17,ns-24834,TEAM_3,2024-06-15 07:59:40+00:00,2024-06-16 17:46:40+00:00,6,2027,2,30.2735,A100,n
run-pipeline-gpu-9a3xw-7035,task,PROJECT_9,ns-555,TEAM_1,2024-07-02 16:12:40+00:00,2024-07-02 21:57:40+00:00,4,345,2,33.3079,A100,n
run-pipeline-gpu-dyaiq-16639,task,PROJECT_18,ns-21295,TEAM_7,2024-06-29 19:01:40+00:00,2024-06-30 04:44:40+00:00,3,583,3,40.7498,A100,n
run-pipeline-gpu-k8e1r-18163,instance,PROJECT_7,ns-12125,TEAM_5,2024-07-02 07:14:40+00:00,2024-07-04 07:56:40+00:00,3,2922,4,75.3123,A100,y
run-pipeline-gpu-j5728-2850,instance,PROJECT_15,ns-15748,TEAM_6,2024-07-01 01:34:40+00:00,2024-07-02 08:53:40+00:00,5,1879,4,66.0506,A100,y
run-pipeline-gpu-xbho4-30748,task,PROJECT_19,ns-25365,TEAM_7,2024-06-14 08:55:40+00:00,2024-06-14 11:04:40+00:00,2,129,3,47.2507,A100,y
run-pipeline-gpu-ty28b-11811,task,PROJECT_2,ns-27165,TEAM_9,2024-06-20 01:01:40+00:00,2024-06-20 17:58:40+00:00,6,1017,4,75.6698,A100,n
run-pipeline-gpu-p9uzd-32289,task,PROJECT_4,ns-9843,TEAM_7,2024-06-21 23:36:40+00:00,2024-06-22 14:59:40+00:00,3,923,5,85.1077,A30,y
run-pipeline-gpu-6gbff-9526,instance,PROJECT_12,ns-26008,TEAM_5,2024-06-22 07:22:40+00:00,2024-06-22 23:24:40+00:00,5,962,3,52.6566,A100,n
run-pipeline-gpu-1mfnl-12452,task,PROJECT_4,ns-30230,TEAM_2,2024-06-16 06:08:40+00:00,2024-06-18 08:35:40+00:00,1,3027,3,58.5419,A100,n
run-pipeline-gpu-i0sys-32027,task,PROJECT_13,ns-26212,TEAM_7,2024-06-18 03:31:40+00:00,2024-06-23 02:24:40+00:00,4,7133,2,24.8489,A100,n
run-pipeline-gpu-goirq-12726,task,PROJECT_19,ns-4243,TEAM_10,2024-07-02 17:05:40+00:00,2024-07-04 13:13:40+00:00,1,2648,3,54.456,A100,n
run-pipeline-gpu-unxcd-13872,task,PROJECT_3,ns-28505,TEAM_10,2024-07-03 04:41:40+00:00,2024-07-04 15:15:40+00:00,8,2074,3,53.1286,A30,n
