pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-22gut-12847,task,PROJECT_9,ns-3463,TEAM_9,2024-06-23 00:30:21+00:00,2024-06-23 21:21:21+00:00,1,1251,4,71.0168,A100,y
run-pipeline-gpu-l5lx4-25700,task,PROJECT_1,ns-22617,TEAM_3,2024-06-22 19:09:21+00:00,2024-06-24 20:16:21+00:00,1,2947,3,48.2228,A100,n
run-pipeline-gpu-fn8m6-25659,task,PROJECT_17,ns-20147,TEAM_6,2024-06-19 09:52:21+00:00,2024-06-21 21:24:21+00:00,1,3572,4,65.8606,A30,n
run-pipeline-gpu-jn9d4-2526,task,PROJECT_20,ns-8202,TEAM_6,2024-06-13 22:22:21+00:00,2024-06-14 04:55:21+00:00,1,393,3,47.058,A100,n
run-pipeline-gpu-ad21v-12910,instance,PROJECT_20,ns-20464,TEAM_7,2024-06-19 01:07:21+00:00,2024-06-20 08:42:21+00:00,1,1895,2,31.318,A100,n
run-pipeline-gpu-jsf4w-9535,task,PROJECT_20,ns-31293,TEAM_3,2024-06-29 23:33:21+00:00,2024-07-02 11:44:21+00:00,1,3611,3,57.4303,A30,n
run-pipeline-gpu-ek1vk-5710,task,PROJECT_12,ns-23717,TEAM_7,2024-06-19 07:04:21+00:00,2024-06-20 17:21:21+00:00,1,2057,5,81.1821,A100,n
run-pipeline-gpu-gr9yj-8524,task,PROJECT_8,ns-5610,TEAM_5,2024-06-14 06:12:21+00:00,2024-06-15 16:00:21+00:00,5,2028,3,59.507,A30,n
run-pipeline-gpu-cgafw-28602,task,PROJECT_2,ns-10840,TEAM_5,2024-06-14 17:51:21+00:00,2024-06-16 11:29:21+00:00,1,2498,4,66.469,A100,n
run-pipeline-gpu-yld1g-21987,instance,PROJECT_20,ns-32299,TEAM_4,2024-06-25 12:02:21+00:00,2024-06-25 17:24:21+00:00,1,322,5,80.1057,A100,n
run-pipeline-gpu-22pb4-23995,instance,PROJECT_18,ns-27141,TEAM_9,2024-06-15 08:42:21+00:00,2024-06-16 02:27:21+00:00,1,1065,5,91.7095,A30,y
run-pipeline-gpu-81qsi-17390,instance,PROJECT_15,ns-8879,TEAM_7,2024-06-13 22:11:21+00:00,2024-06-16 16:10:21+00:00,1,3959,3,41.8077,A30,y
run-pipeline-gpu-nycyl-10907,instance,PROJECT_10,ns-13485,TEAM_2,2024-06-15 07:22:21+00:00,2024-06-16 04:03:21+00:00,2,1241,5,80.4999,A30,n
run-pipeline-gpu-bs44w-1689,task,PROJECT_16,ns-7535,TEAM_2,2024-06-13 03:45:21+00:00,2024-06-14 22:22:21+00:00,5,2557,2,33.732,A100,n
run-pipeline-gpu-qn2kx-24373,instance,PROJECT_7,ns-26411,TEAM_9,2024-07-03 03:09:21+00:00,2024-07-05 14:32:21+00:00,1,3563,2,31.058,A30,n
run-pipeline-gpu-4c3pb-11717,task,PROJECT_11,ns-27040,TEAM_2,2024-06-19 08:46:21+00:00,2024-06-19 14:53:21+00:00,1,367,5,88.7317,A100,n
run-pipeline-gpu-hh1xn-20876,task,PROJECT_14,ns-16716,TEAM_8,2024-06-15 11:20:21+00:00,2024-06-16 15:43:21+00:00,1,1703,2,29.8412,A30,n
run-pipeline-gpu-6n0i1-30141,task,PROJECT_8,ns-32745,TEAM_8,2024-07-04 06:12:21+00:00,2024-07-04 07:11:21+00:00,1,59,3,52.9317,A30,n
run-pipeline-gpu-hyavh-17055,instance,PROJECT_16,ns-23584,TEAM_7,2024-06-28 16:55:21+00:00,2024-06-29 04:12:21+00:00,1,677,2,33.1588,A100,y
run-pipeline-gpu-jopc0-4136,instance,PROJECT_20,ns-3031,TEAM_10,2024-07-05 01:54:21+00:00,2024-07-07 09:49:21+00:00,1,3355,4,64.6109,A100,y
run-pipeline-gpu-wfl1z-24445,task,PROJECT_20,ns-19339,TEAM_3,2024-06-17 07:22:21+00:00,2024-06-18 21:27:21+00:00,1,2285,2,29.9573,A100,y
run-pipeline-gpu-ohvzj-29247,task,PROJECT_2,ns-11918,TEAM_4,2024-07-01 14:02:21+00:00,2024-07-01 21:31:21+00:00,4,449,2,21.7055,A100,n
run-pipeline-gpu-36c3a-14741,task,PROJECT_16,ns-32545,TEAM_10,2024-06-26 09:43:21+00:00,2024-06-26 20:51:21+00:00,3,668,4,64.8813,A100,y
run-pipeline-gpu-bojz3-23618,instance,PROJECT_13,ns-706,TEAM_8,2024-06-14 02:12:21+00:00,2024-06-14 05:00:21+00:00,1,168,2,35.0644,A100,n
run-pipeline-gpu-l934v-2641,instance,PROJECT_2,ns-13873,TEAM_5,2024-06-16 13:44:21+00:00,2024-06-17 16:51:21+00:00,1,1627,2,23.9469,A30,n
run-pipeline-gpu-oyz5a-3622,task,PROJECT_15,ns-21991,TEAM_6,2024-06-15 14:27:21+00:00,2024-06-16 19:12:21+00:00,1,1725,3,53.1379,A100,n
run-pipeline-gpu-3gwtk-21988,task,PROJECT_12,ns-6943,TEAM_5,2024-06-14 03:12:21+00:00,2024-06-16 18:15:21+00:00,1,3783,3,47.7905,A100,y
run-pipeline-gpu-ugc9v-23953,task,PROJECT_4,ns-19109,TEAM_8,2024-06-23 13:45:21+00:00,2024-06-24 21:18:21+00:00,1,1893,3,51.9651,A100,y
run-pipeline-gpu-gut32-16737,task,PROJECT_7,ns-23032,TEAM_10,2024-06-28 01:32:21+00:00,2024-06-29 10:59:21+00:00,1,2007,2,21.5669,A100,n
run-pipeline-gpu-7lzzt-8456,instance,PROJECT_4,ns-22672,TEAM_6,2024-06-20 05:39:21+00:00,2024-06-22 23:37:21+00:00,3,3958,2,23.6908,A100,n
run-pipeline-gpu-n5byh-12301,task,PROJECT_4,ns-17986,TEAM_2,2024-06-13 21:28:21+00:00,2024-06-15 06:01:21+00:00,1,1953,5,93.4282,A100,y
run-pipeline-gpu-dbvoh-9320,instance,PROJECT_9,ns-23830,TEAM_1,2024-06-27 13:42:21+00:00,2024-06-28 16:43:21+00:00,1,1621,2,30.7891,A30,y
run-pipeline-gpu-npsft-31735,task,PROJECT_3,ns-25618,TEAM_1,2024-06-26 21:54:21+00:00,2024-06-28 22:27:21+00:00,1,2913,2,23.4067,A30,n
run-pipeline-gpu-cmm7d-6804,task,PROJECT_13,ns-12730,TEAM_5,2024-06-29 12:53:21+00:00,2024-07-02 03:40:21+00:00,1,3767,5,84.0649,A100,y
run-pipeline-gpu-rixw9-24006,task,PROJECT_20,ns-26721,TEAM_5,2024-06-28 02:10:21+00:00,2024-06-29 08:50:21+00:00,1,1840,4,73.3738,A100,y
run-pipeline-gpu-lq8wn-16493,task,PROJECT_12,ns-31616,TEAM_10,2024-06-20 00:09:21+00:00,2024-06-21 12:36:21+00:00,1,2187,4,66.723,A100,n
run-pipeline-gpu-3odfo-22484,task,PROJECT_18,ns-1185,TEAM_10,2024-06-12 18:22:21+00:00,2024-06-14 04:23:21+00:00,1,2041,2,27.6019,A100,n
run-pipeline-gpu-tt78q-9480,task,PROJECT_9,ns-10153,TEAM_5,2024-06-22 10:26:21+00:00,2024-06-23 13:23:21+00:00,1,1617,5,93.6633,A30,n
run-pipeline-gpu-6udii-14457,task,PROJECT_19,ns-4491,TEAM_10,2024-06-28 16:56:21+00:00,2024-06-30 05:25:21+00:00,1,2189,5,93.8196,A100,n
run-pipeline-gpu-x49ax-19228,task,PROJECT_6,ns-18849,TEAM_5,2024-06-23 16:07:21+00:00,2024-06-25 18:17:21+00:00,1,3010,5,95.0808,A100,n
run-pipeline-gpu-x2bct-1962,task,PROJECT_14,ns-27965,TEAM_4,2024-06-28 07:58:21+00:00,2024-06-29 08:51:21+00:00,1,1493,2,29.8159,A100,y
run-pipeline-gpu-392d9-6075,task,PROJECT_9,ns-20023,TEAM_9,2024-06-21 02:10:21+00:00,2024-06-22 15:37:21+00:00,1,2247,4,77.0406,A30,y
run-pipeline-gpu-7w0u9-29635,task,PROJECT_15,ns-8322,TEAM_7,2024-07-01 08:12:21+00:00,2024-07-02 20:05:21+00:00,1,2153,3,58.2456,A100,n
run-pipeline-gpu-28uyr-16963,task,PROJECT_20,ns-14348,TEAM_5,2024-06-28 11:20:21+00:00,2024-06-29 11:58:21+00:00,1,1478,2,34.3192,A100,y
run-pipeline-gpu-6x2ce-4514,instance,PROJECT_1,ns-8049,TEAM_1,2024-06-20 15:13:21+00:00,2024-06-22 15:59:21+00:00,1,2926,3,42.9191,A100,n
run-pipeline-gpu-y51sh-14740,task,PROJECT_8,ns-22863,TEAM_7,2024-06-16 23:30:21+00:00,2024-06-19 15:35:21+00:00,1,3845,2,27.6129,A100,n
run-pipeline-gpu-5ma2f-1015,task,PROJECT_19,ns-14651,TEAM_7,2024-07-04 08:32:21+00:00,2024-07-05 07:11:21+00:00,2,1359,2,26.9412,A30,n
run-pipeline-gpu-7msto-12932,instance,PROJECT_17,ns-16040,TEAM_10,2024-06-21 19:12:21+00:00,2024-06-23 13:17:21+00:00,1,2525,2,26.7183,A100,n
run-pipeline-gpu-75rka-24024,instance,PROJECT_8,ns-2878,TEAM_5,2024-06-13 14:15:21+00:00,2024-06-14 08:03:21+00:00,1,1068,2,25.0319,A100,n
run-pipeline-gpu-ve8s3-21393,task,PROJECT_5,ns-16243,TEAM_8,2024-06-24 07:35:21+00:00,2024-06-24 11:56:21+00:00,1,261,3,40.8095,A100,n
run-pipeline-gpu-grv9y-21656,task,PROJECT_5,ns-2911,TEAM_1,2024-06-24 08:35:21+00:00,2024-06-25 04:26:21+00:00,1,1191,2,23.2498,A30,y
run-pipeline-gpu-tye46-12758,task,PROJECT_19,ns-26415,TEAM_6,2024-06-25 00:00:21+00:00,2024-06-27 01:04:21+00:00,1,2944,5,83.122,A30,n
run-pipeline-gpu-uztiv-5338,task,PROJECT_3,ns-32152,TEAM_9,2024-06-25 04:43:21+00:00,2024-06-26 01:29:21+00:00,4,1246,3,53.9531,A30,n
