pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-ytqrd-7837,task,PROJECT_1,ns-2688,TEAM_1,2024-08-28 03:22:30+00:00,2024-08-29 10:23:30+00:00,3,1861,2,23.851,A100,n
run-pipeline-gpu-qmip8-7556,task,PROJECT_12,ns-3514,TEAM_2,2024-09-12 06:23:30+00:00,2024-09-14 03:57:30+00:00,4,2734,2,20.325,A100,n
run-pipeline-gpu-oz3w1-30464,instance,PROJECT_4,ns-15933,TEAM_10,2024-09-10 23:49:30+00:00,2024-09-12 02:50:30+00:00,1,1621,2,35.5648,A100,n
run-pipeline-gpu-xf2qz-25461,instance,PROJECT_9,ns-23359,TEAM_1,2024-09-01 03:32:30+00:00,2024-09-01 05:34:30+00:00,2,122,2,37.76,A100,n
run-pipeline-gpu-m49ce-16226,task,PROJECT_7,ns-23332,TEAM_5,2024-09-13 13:17:30+00:00,2024-09-15 09:29:30+00:00,1,2652,5,83.2139,A100,y
run-pipeline-gpu-zggki-18669,task,PROJECT_19,ns-15741,TEAM_4,2024-08-29 00:33:30+00:00,2024-08-30 08:20:30+00:00,1,1907,2,20.9273,A100,n
run-pipeline-gpu-jr2si-32541,task,PROJECT_20,ns-17117,TEAM_10,2024-09-01 09:52:30+00:00,2024-09-03 16:20:30+00:00,1,3268,2,38.9146,A100,n
run-pipeline-gpu-nt0nu-7422,instance,PROJECT_10,ns-31145,TEAM_4,2024-09-07 04:26:30+00:00,2024-09-09 23:41:30+00:00,1,4035,5,97.8525,A30,n
run-pipeline-gpu-zpl0c-23097,instance,PROJECT_5,ns-1673,TEAM_9,2024-08-29 12:59:30+00:00,2024-08-31 02:50:30+00:00,1,2271,2,24.8899,A30,n
run-pipeline-gpu-8j8dt-19435,task,PROJECT_16,ns-18482,TEAM_7,2024-09-12 22:35:30+00:00,2024-09-13 10:07:30+00:00,2,692,3,57.8244,A100,n
run-pipeline-gpu-crk8k-17344,task,PROJECT_19,ns-16787,TEAM_10,2024-08-27 03:02:30+00:00,2024-08-30 07:28:30+00:00,4,4586,4,73.7226,A30,n
run-pipeline-gpu-1ti2j-12444,task,PROJECT_16,ns-25269,TEAM_5,2024-09-10 13:17:30+00:00,2024-09-10 18:19:30+00:00,1,302,5,83.7833,A30,y
run-pipeline-gpu-10oyg-6998,instance,PROJECT_6,ns-10183,TEAM_3,2024-09-08 09:47:30+00:00,2024-09-09 19:08:30+00:00,1,2001,4,62.7561,A30,n
run-pipeline-gpu-arulq-13139,task,PROJECT_8,ns-26417,TEAM_1,2024-09-15 14:12:30+00:00,2024-09-17 22:05:30+00:00,1,3353,2,38.1142,A100,n
run-pipeline-gpu-0khr8-18951,task,PROJECT_11,ns-23202,TEAM_2,2024-08-27 14:15:30+00:00,2024-08-27 21:43:30+00:00,3,448,2,37.7816,A100,n
run-pipeline-gpu-830ct-27038,instance,PROJECT_9,ns-17528,TEAM_7,2024-09-16 16:38:30+00:00,2024-09-17 06:47:30+00:00,6,849,3,55.9895,A100,n
run-pipeline-gpu-v1ayf-12896,task,PROJECT_15,ns-23018,TEAM_4,2024-08-28 06:41:30+00:00,2024-08-29 10:02:30+00:00,1,1641,5,82.888,A100,n
run-pipeline-gpu-1c0fw-11150,task,PROJECT_4,ns-9190,TEAM_6,2024-09-09 14:00:30+00:00,2024-09-12 00:35:30+00:00,4,3515,4,66.1269,A30,n
run-pipeline-gpu-2xh13-1986,instance,PROJECT_19,ns-9088,TEAM_2,2024-09-16 04:46:30+00:00,2024-09-16 19:24:30+00:00,5,878,4,69.6936,A100,y
run-pipeline-gpu-rg3wq-21031,instance,PROJECT_16,ns-1111,TEAM_10,2024-09-05 22:59:30+00:00,2024-09-07 20:50:30+00:00,1,2751,5,87.1217,A100,y
run-pipeline-gpu-1yguy-24820,task,PROJECT_12,ns-22130,TEAM_5,2024-09-16 18:03:30+00:00,2024-09-17 02:29:30+00:00,1,506,3,47.6743,A30,n
run-pipeline-gpu-aqi2v-4888,task,PROJECT_2,ns-31315,TEAM_8,2024-09-03 08:04:30+00:00,2024-09-04 21:02:30+00:00,5,2218,5,88.5925,A100,n
run-pipeline-gpu-bygiy-6649,task,PROJECT_12,ns-27988,TEAM_7,2024-08-28 06:25:30+00:00,2024-08-29 19:57:30+00:00,3,2252,2,24.4572,A100,n
run-pipeline-gpu-ve9so-11692,task,PROJECT_13,ns-18829,TEAM_2,2024-09-15 11:09:30+00:00,2024-09-17 02:23:30+00:00,2,2354,3,45.1437,A100,n
run-pipeline-gpu-tme8f-22817,task,PROJECT_9,ns-25553,TEAM_8,2024-08-31 03:13:30+00:00,2024-09-01 23:32:30+00:00,6,2659,4,77.651,A100,n
run-pipeline-gpu-rbbhg-23810,task,PROJECT_7,ns-19341,TEAM_5,2024-09-13 06:40:30+00:00,2024-09-14 01:28:30+00:00,1,1128,4,69.4943,A100,n
run-pipeline-gpu-ccb9y-19299,task,PROJECT_13,ns-23423,TEAM_1,2024-09-12 00:43:30+00:00,2024-09-12 03:28:30+00:00,4,165,3,42.4352,A100,y
run-pipeline-gpu-fqoh5-17274,task,PROJECT_11,ns-22441,TEAM_8,2024-09-17 22:52:30+00:00,2024-09-17 22:53:30+00:00,1,1,4,61.2005,A30,y
run-pipeline-gpu-fny6h-27626,task,PROJECT_2,ns-5105,TEAM_6,2024-08-29 02:05:30+00:00,2024-08-30 12:06:30+00:00,1,2041,4,66.3134,A100,y
run-pipeline-gpu-a4a5n-17264,instance,PROJECT_19,ns-8250,TEAM_8,2024-09-07 08:29:30+00:00,2024-09-09 02:37:30+00:00,7,2528,3,50.2141,A100,n
run-pipeline-gpu-k6k6x-27375,task,PROJECT_15,ns-18960,TEAM_5,2024-09-04 10:17:30+00:00,2024-09-06 05:31:30+00:00,2,2594,5,80.4524,A30,y
run-pipeline-gpu-lnr20-31021,task,PROJECT_20,ns-14606,TEAM_9,2024-08-31 20:55:30+00:00,2024-09-01 18:56:30+00:00,1,1321,4,78.7899,A100,y
run-pipeline-gpu-94s5g-1991,task,PROJECT_11,ns-21163,TEAM_7,2024-09-14 12:08:30+00:00,2024-09-15 19:43:30+00:00,3,1895,3,57.571,A100,n
run-pipeline-gpu-2gung-18972,task,PROJECT_17,ns-15129,TEAM_2,2024-09-15 16:32:30+00:00,2024-09-16 02:11:30+00:00,3,579,5,81.7211,A30,n
run-pipeline-gpu-dfaok-29246,instance,PROJECT_1,ns-1101,TEAM_10,2024-09-02 04:35:30+00:00,2024-09-03 00:19:30+00:00,3,1184,3,48.1842,A100,n
run-pipeline-gpu-g4c9p-15674,task,PROJECT_9,ns-14705,TEAM_3,2024-08-31 08:33:30+00:00,2024-09-01 12:40:30+00:00,1,1687,3,50.764,A30,n
run-pipeline-gpu-oz93a-1828,task,PROJECT_9,ns-17488,TEAM_10,2024-09-13 15:19:30+00:00,2024-09-14 22:56:30+00:00,6,1897,4,67.6164,A100,y
run-pipeline-gpu-p0mza-4305,task,PROJECT_8,ns-31610,TEAM_4,2024-09-09 11:26:30+00:00,2024-09-10 00:23:30+00:00,2,777,4,63.3283,A100,n
run-pipeline-gpu-n6qge-31783,task,PROJECT_13,ns-19249,TEAM_6,2024-09-10 13:17:30+00:00,2024-09-12 10:52:30+00:00,2,2735,5,93.7401,A100,n
run-pipeline-gpu-86pip-16742,task,PROJECT_11,ns-12383,TEAM_2,2024-09-15 10:09:30+00:00,2024-09-16 14:18:30+00:00,1,1689,2,30.8749,A100,n
run-pipeline-gpu-0tj1n-20193,task,PROJECT_15,ns-29732,TEAM_7,2024-08-29 04:21:30+00:00,2024-08-31 04:49:30+00:00,2,2908,5,93.4799,A100,n
run-pipeline-gpu-p9pi7-30192,task,PROJECT_15,ns-4034,TEAM_4,2024-09-02 11:37:30+00:00,2024-09-04 20:12:30+00:00,3,3395,3,44.9471,A30,n
run-pipeline-gpu-l9vk3-2866,task,PROJECT_6,ns-11241,TEAM_7,2024-09-16 10:07:30+00:00,2024-09-17 22:32:30+00:00,1,2185,3,50.7197,A100,n
run-pipeline-gpu-28q24-1356,task,PROJECT_7,ns-7092,TEAM_9,2024-09-12 04:01:30+00:00,2024-09-12 14:11:30+00:00,8,610,5,90.2289,A100,n
run-pipeline-gpu-cto92-15568,task,PROJECT_18,ns-21214,TEAM_5,2024-09-01 04:50:30+00:00,2024-09-02 00:02:30+00:00,2,1152,2,20.3681,A30,n
run-pipeline-gpu-3ajtu-2287,task,PROJECT_14,ns-30696,TEAM_1,2024-08-30 00:10:30+00:00,2024-08-30 06:05:30+00:00,4,355,5,80.4592,A30,n
run-pipeline-gpu-32j1v-8221,task,PROJECT_8,ns-9814,TEAM_4,2024-08-28 00:32:30+00:00,2024-08-28 07:00:30+00:00,1,388,2,20.9357,A100,n
run-pipeline-gpu-91xxp-12508,task,PROJECT_3,ns-2597,TEAM_10,2024-09-11 13:29:30+00:00,2024-09-13 01:54:30+00:00,1,2185,2,27.9532,A100,n
run-pipeline-gpu-ktz5y-26170,instance,PROJECT_5,ns-1321,TEAM_4,2024-09-05 09:16:30+00:00,2024-09-08 07:03:30+00:00,4,4187,4,64.7573,A100,n
