ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T13:08:36.791379+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T13:08:39.971416+00:00,0.0,0.0,8,2,25.0,3,2
2026-06-11T13:08:43.315182+00:00,0.0,0.0,8,2,25.0,3,2
2026-06-11T13:08:46.468599+00:00,0.0,0.0,8,5,62.5,1,5
2026-06-11T13:08:49.623907+00:00,0.0,0.0,8,5,62.5,2,5
2026-06-11T13:08:52.808912+00:00,0.0,0.0,8,3,37.5,5,3
2026-06-11T13:08:55.984948+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-11T13:08:59.142826+00:00,0.0,0.0,8,6,75.0,8,3
2026-06-11T13:09:02.301109+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-11T13:09:05.485788+00:00,0.0,0.0,8,3,37.5,6,3
2026-06-11T13:09:08.785707+00:00,0.0,0.0,8,3,37.5,7,3
2026-06-11T13:09:11.969777+00:00,0.0,0.0,8,1,12.5,6,1
2026-06-11T13:09:15.128684+00:00,0.0,0.0,8,3,37.5,4,3
2026-06-11T13:09:18.289816+00:00,0.0,0.0,8,8,100.0,2,7
2026-06-11T13:09:21.471002+00:00,0.0,0.0,8,7,87.5,2,6
2026-06-11T13:09:24.658716+00:00,0.0,0.0,8,8,100.0,2,7
2026-06-11T13:09:28.006144+00:00,0.0,0.0,8,1,12.5,2,1
2026-06-11T13:09:31.169826+00:00,0.0,0.0,8,4,50.0,2,3
2026-06-11T13:09:34.336575+00:00,0.0,0.0,8,4,50.0,3,3
2026-06-11T13:09:37.528603+00:00,0.0,0.0,8,6,75.0,0,5
2026-06-11T13:09:40.703342+00:00,0.0,0.0,8,4,50.0,2,4
2026-06-11T13:09:44.020770+00:00,0.0,0.0,8,3,37.5,2,3
2026-06-11T13:09:47.186272+00:00,0.0,0.0,8,5,62.5,3,2
2026-06-11T13:09:50.388721+00:00,0.0,0.0,8,7,87.5,3,4
2026-06-11T13:09:53.607434+00:00,0.0,0.0,8,7,87.5,2,4
2026-06-11T13:09:56.781334+00:00,0.0,0.0,8,3,37.5,4,3
2026-06-11T13:09:59.988378+00:00,0.0,0.0,8,3,37.5,7,3
2026-06-11T13:10:03.233257+00:00,0.0,0.0,8,6,75.0,2,6
2026-06-11T13:10:06.466431+00:00,0.0,0.0,8,6,75.0,1,6
2026-06-11T13:10:09.638317+00:00,0.0,0.0,8,6,75.0,1,6
2026-06-11T13:10:12.824144+00:00,0.0,0.0,8,1,12.5,2,1
2026-06-11T13:10:16.002630+00:00,0.0,0.0,8,4,50.0,3,1
2026-06-11T13:10:19.225906+00:00,0.0,0.0,8,4,50.0,2,1
2026-06-11T13:10:22.403674+00:00,0.0,0.0,8,5,62.5,2,2
2026-06-11T13:10:25.580298+00:00,0.0,0.0,8,6,75.0,2,3
2026-06-11T13:10:28.750919+00:00,0.0,0.0,8,2,25.0,4,2
2026-06-11T13:10:31.951640+00:00,0.0,0.0,8,6,75.0,2,3
2026-06-11T13:10:35.148557+00:00,0.0,0.0,8,6,75.0,3,3
2026-06-11T13:10:38.324899+00:00,0.0,0.0,8,6,75.0,2,3
2026-06-11T13:10:41.509858+00:00,0.0,0.0,8,2,25.0,1,2
2026-06-11T13:10:44.697343+00:00,0.0,0.0,8,2,25.0,2,2
2026-06-11T13:10:47.901234+00:00,0.0,0.0,8,5,62.5,1,2
2026-06-11T13:10:51.091448+00:00,0.0,0.0,8,6,75.0,1,3
2026-06-11T13:10:54.273118+00:00,0.0,0.0,8,5,62.5,2,2
2026-06-11T13:10:57.472875+00:00,0.0,0.0,8,1,12.5,3,1
2026-06-11T13:11:00.691227+00:00,0.0,0.0,8,4,50.0,10,4
2026-06-11T13:11:04.384805+00:00,0.0,0.0,8,3,37.5,10,3
2026-06-11T13:11:07.568269+00:00,0.0,0.0,8,8,100.0,6,8
2026-06-11T13:11:10.781193+00:00,0.0,0.0,8,8,100.0,6,8
2026-06-11T13:11:14.219033+00:00,0.0,0.0,8,5,62.5,7,5
2026-06-11T13:11:17.407835+00:00,0.0,0.0,8,8,100.0,4,8
2026-06-11T13:11:20.613237+00:00,0.0,0.0,8,4,50.0,5,4
2026-06-11T13:11:23.841289+00:00,0.0,0.0,8,7,87.5,2,7
2026-06-11T13:11:27.041489+00:00,0.0,0.0,8,4,50.0,2,4
2026-06-11T13:11:30.238272+00:00,0.0,0.0,8,4,50.0,3,4
2026-06-11T13:11:33.428018+00:00,0.0,0.0,8,4,50.0,2,1
2026-06-11T13:11:36.662990+00:00,0.0,0.0,8,5,62.5,1,2
2026-06-11T13:11:39.854813+00:00,0.0,0.0,8,5,62.5,1,2
2026-06-11T13:11:43.055949+00:00,0.0,0.0,8,1,12.5,4,1
2026-06-11T13:11:46.274610+00:00,0.0,0.0,8,2,25.0,3,2
2026-06-11T13:11:49.498751+00:00,0.0,0.0,8,2,25.0,1,2
2026-06-11T13:11:52.694380+00:00,0.0,0.0,8,2,25.0,2,2
2026-06-11T13:11:55.892535+00:00,0.0,0.0,8,2,25.0,2,2
2026-06-11T13:11:59.115021+00:00,0.0,0.0,8,0,0.0,2,0
2026-06-11T13:12:02.320986+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T13:12:05.529171+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T13:12:08.741437+00:00,0.0,0.0,8,8,100.0,1,1
2026-06-11T13:12:11.950853+00:00,0.0,0.0,8,8,100.0,1,1
2026-06-11T13:12:15.140164+00:00,0.0,0.0,8,8,100.0,1,1
2026-06-11T13:12:18.333637+00:00,0.0,0.0,8,0,0.0,10,0
2026-06-11T13:12:22.490477+00:00,0.0,0.0,8,0,0.0,20,0
2026-06-11T13:12:25.734319+00:00,0.0,0.0,8,8,100.0,12,8
2026-06-11T13:12:28.937386+00:00,0.0,0.0,8,8,100.0,13,8
2026-06-11T13:12:32.137968+00:00,0.0,0.0,8,8,100.0,15,8
2026-06-11T13:12:35.364394+00:00,0.0,0.0,8,0,0.0,15,0
