ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T10:35:25.914728+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T10:35:29.097199+00:00,0.0,0.0,8,2,25.0,3,2
2026-06-11T10:35:32.389606+00:00,0.0,0.0,8,2,25.0,3,2
2026-06-11T10:35:35.552134+00:00,0.0,0.0,8,5,62.5,1,5
2026-06-11T10:35:38.719610+00:00,0.0,0.0,8,5,62.5,2,5
2026-06-11T10:35:42.181629+00:00,0.0,0.0,8,3,37.5,5,3
2026-06-11T10:35:45.343263+00:00,0.0,0.0,8,0,0.0,7,0
2026-06-11T10:35:48.569827+00:00,0.0,0.0,8,1,12.5,9,1
2026-06-11T10:35:51.723721+00:00,0.0,0.0,8,8,100.0,5,5
2026-06-11T10:35:54.912902+00:00,0.0,0.0,8,8,100.0,5,5
2026-06-11T10:35:58.073240+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-11T10:36:01.229168+00:00,0.0,0.0,8,0,0.0,7,0
2026-06-11T10:36:04.608107+00:00,0.0,0.0,8,1,12.5,6,1
2026-06-11T10:36:07.769435+00:00,0.0,0.0,8,8,100.0,2,7
2026-06-11T10:36:10.939491+00:00,0.0,0.0,8,8,100.0,2,7
2026-06-11T10:36:14.124800+00:00,0.0,0.0,8,8,100.0,3,7
2026-06-11T10:36:17.290061+00:00,0.0,0.0,8,0,0.0,3,0
2026-06-11T10:36:20.459337+00:00,0.0,0.0,8,0,0.0,5,0
2026-06-11T10:36:24.091784+00:00,0.0,0.0,8,0,0.0,6,0
2026-06-11T10:36:27.282513+00:00,0.0,0.0,8,7,87.5,0,6
2026-06-11T10:36:30.453043+00:00,0.0,0.0,8,7,87.5,2,6
2026-06-11T10:36:33.617691+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-11T10:36:36.792459+00:00,0.0,0.0,8,1,12.5,4,1
2026-06-11T10:36:39.987194+00:00,0.0,0.0,8,7,87.5,3,4
