pod,queue_sec,jct_sec
ph-application-1504131676014-19633-lt2j8,0.0,12.0
ph-application-1504131676014-19933-xgj55,0.0,12.0
ph-application-1504131676014-20042-4x79f,0.0,12.0
ph-application-1504131676014-20090-9wjwq,0.0,11.0
ph-application-1504131676014-20177-xt5lf,0.0,11.0
ph-application-1504131676014-20289-bqgkp,7.0,8.0
ph-application-1504131676014-20322-td5m9,27.0,38.0
ph-application-1504131676014-20357-682df,0.0,11.0
ph-application-1504131676014-20421-j86dv,0.0,11.0
ph-application-1504131676014-20455-sclgv,0.0,11.0
ph-application-1504131676014-20521-6c8qw,1.0,12.0
ph-application-1504131676014-20540-66986,2.0,13.0
ph-application-1504131676014-20644-4jvkp,1.0,12.0
ph-application-1504131676014-20710-5cmxx,0.0,11.0
ph-application-1504131676014-20811-6p24l,5.0,16.0
ph-application-1504131676014-20879-74zbd,7.0,18.0
ph-application-1504131676014-21043-4wprd,0.0,11.0
ph-application-1504131676014-21218-skfbp,0.0,11.0
ph-application-1504131676014-21317-xqfwz,4.0,15.0
ph-application-1504131676014-21364-tt6vv,1.0,12.0
ph-application-1504131676014-21526-x9lnz,2.0,13.0
ph-application-1504131676014-21869-g275h,0.0,11.0
ph-application-1504131676014-22022-2p6jr,0.0,12.0
ph-application-1504131676014-22221-vt7xc,0.0,11.0
ph-application-1504131676014-22358-2sqjm,0.0,12.0
ph-application-1504131676014-22359-thzjt,1.0,12.0
ph-application-1504131676014-22487-mg5d7,0.0,11.0
ph-application-1504131676014-22594-hgc75,0.0,11.0
ph-application-1504131676014-22619-lrscd,0.0,1.0
ph-application-1504131676014-22752-7mqpd,2.0,13.0
ph-application-1504131676014-22845-q55cw,4.0,15.0
ph-application-1504131676014-23473-c7rbn,0.0,11.0
ph-application-1504131676014-23497-z4z5w,0.0,11.0
ph-application-1504131676014-23554-jh5ff,16.0,27.0
ph-application-1504131676014-23623-rdskd,0.0,12.0
ph-application-1504131676014-23778-dsp6d,0.0,11.0
ph-application-1504131676014-23926-pltqv,0.0,11.0
ph-application-1504131676014-24590-w6jq5,0.0,1.0
ph-application-1504131676014-24734-lbb58,0.0,11.0
ph-application-1504131676014-24780-sw2nm,11.0,22.0
ph-application-1504131676014-24975-8rjw7,3.0,15.0
ph-application-1504131676014-24991-4mmd6,4.0,16.0
ph-application-1504131676014-25039-t96wr,0.0,11.0
ph-application-1504131676014-25063-92h2h,0.0,11.0
ph-application-1504131676014-25113-qk7lr,4.0,16.0
ph-application-1506638472019-0065-6xj6h,0.0,11.0
ph-application-1506638472019-0213-zk24f,0.0,2.0
ph-application-1506638472019-0273-z95xl,65.0,66.0
ph-application-1506638472019-0445-nf8p6,0.0,11.0
ph-application-1506638472019-0794-mz6x2,0.0,13.0
ph-application-1506638472019-0805-dlxzl,0.0,13.0
ph-application-1506638472019-0864-lbjw8,0.0,13.0
ph-application-1506638472019-0865-6hw4h,0.0,13.0
ph-application-1506638472019-0870-hh2d4,0.0,13.0
ph-application-1506638472019-0922-tswv4,1.0,13.0
ph-application-1506638472019-0928-l4lqx,1.0,13.0
ph-application-1506638472019-0962-b7kbv,12.0,23.0
ph-application-1506638472019-0969-jrkpk,15.0,26.0
ph-application-1506638472019-10000-d9xfc,59.0,70.0
ph-application-1506638472019-10307-fh94l,3.0,4.0
ph-application-1506638472019-1037-6twpx,18.0,29.0
ph-application-1506638472019-10403-hbgpx,48.0,49.0
ph-application-1506638472019-10573-4p8mt,4.0,15.0
ph-application-1506638472019-10607-7sfkk,2075.0,2086.0
ph-application-1506638472019-10612-z5gvm,5.0,16.0
ph-application-1506638472019-10647-jgmbn,4.0,15.0
ph-application-1506638472019-10771-f7lrm,10.0,21.0
ph-application-1506638472019-10885-zqxtd,58.0,69.0
ph-application-1506638472019-1105-8j5md,16.0,27.0
ph-application-1506638472019-11079-f7hvp,68.0,79.0
ph-application-1506638472019-11086-dr9bk,68.0,79.0
ph-application-1506638472019-11279-b6tqq,77.0,88.0
ph-application-1506638472019-11414-wbpt8,107.0,118.0
ph-application-1506638472019-11465-nnrq9,106.0,117.0
ph-application-1506638472019-11582-mnlxt,30.0,41.0
ph-application-1506638472019-11593-8spw8,30.0,41.0
ph-application-1506638472019-11943-kb29b,49.0,60.0
ph-application-1506638472019-12443-6t7kk,6.0,17.0
ph-application-1506638472019-12507-27w7b,5.0,16.0
ph-application-1506638472019-12527-9j6qr,9.0,20.0
ph-application-1506638472019-12560-ql6pm,9.0,20.0
ph-application-1506638472019-12776-68j4c,5.0,16.0
ph-application-1506638472019-12960-2lgk2,0.0,11.0
ph-application-1506638472019-13119-wtkt4,5.0,16.0
ph-application-1506638472019-13171-dqjb4,28.0,40.0
ph-application-1506638472019-13217-kkz2m,28.0,40.0
ph-application-1506638472019-13220-gvbbq,28.0,40.0
ph-application-1506638472019-13281-jsrxt,38.0,49.0
ph-application-1506638472019-13375-7ppvt,48.0,59.0
ph-application-1506638472019-13501-wg922,58.0,69.0
ph-application-1506638472019-13508-fqvrp,58.0,69.0
ph-application-1506638472019-13651-8wxgv,0.0,11.0
ph-application-1506638472019-13970-dw6tn,1.0,12.0
ph-application-1506638472019-14055-hn2qr,689.0,700.0
ph-application-1506638472019-14098-w55th,729.0,740.0
ph-application-1506638472019-14147-dt86g,8.0,19.0
ph-application-1506638472019-14291-xzqv8,0.0,11.0
ph-application-1506638472019-14298-qqb5f,7.0,18.0
ph-application-1506638472019-14320-9k5v9,0.0,11.0
ph-application-1506638472019-14339-znvjs,0.0,1.0
ph-application-1506638472019-1439-zvhjs,10.0,21.0
ph-application-1506638472019-14452-5v2z7,0.0,1.0
ph-application-1506638472019-14789-ml8dg,785.0,786.0
ph-application-1506638472019-14880-fx9fv,0.0,11.0
ph-application-1506638472019-14920-wsczj,0.0,12.0
ph-application-1506638472019-15377-rwd5r,0.0,1.0
ph-application-1506638472019-15557-mdzzf,0.0,11.0
ph-application-1506638472019-15909-j2nbq,8.0,19.0
ph-application-1506638472019-15938-s2tjb,16.0,27.0
ph-application-1506638472019-16123-25kmv,1.0,13.0
ph-application-1506638472019-16210-7wgvd,26.0,37.0
ph-application-1506638472019-16253-r9t8z,46.0,57.0
ph-application-1506638472019-16305-xd457,2.0,3.0
ph-application-1506638472019-1631-vtxgr,0.0,11.0
ph-application-1506638472019-16402-7m5fv,4.0,16.0
ph-application-1506638472019-16690-qjsvd,2.0,14.0
ph-application-1506638472019-16729-bv8xc,15.0,27.0
ph-application-1506638472019-16900-444pc,2.0,13.0
ph-application-1506638472019-16926-kdqtg,0.0,12.0
ph-application-1506638472019-17082-2hbwz,4.0,16.0
ph-application-1506638472019-17085-vxsr6,9.0,10.0
ph-application-1506638472019-1725-kxqkm,0.0,12.0
ph-application-1506638472019-17258-rmckv,0.0,11.0
ph-application-1506638472019-17294-5vvjx,11.0,23.0
ph-application-1506638472019-17362-sg47f,6.0,18.0
ph-application-1506638472019-1750-npfzb,19.0,30.0
ph-application-1506638472019-17904-g9d2b,3.0,14.0
ph-application-1506638472019-17907-wft4g,5.0,17.0
ph-application-1506638472019-18084-vf78f,4.0,16.0
ph-application-1506638472019-18207-zt6qg,4.0,15.0
ph-application-1506638472019-18276-mqqpb,16.0,27.0
ph-application-1506638472019-18470-5rlcx,2.0,13.0
ph-application-1506638472019-18493-dksr7,4.0,15.0
ph-application-1506638472019-18532-6ndpx,4.0,5.0
ph-application-1506638472019-18557-bzr6g,46.0,47.0
ph-application-1506638472019-1877-gppvv,0.0,11.0
ph-application-1506638472019-18923-npdld,3.0,14.0
ph-application-1506638472019-18928-7kwwb,5.0,16.0
