pod,queue_sec,jct_sec
ph-application-1504131676014-19633-zjlgj,1.0,12.0
ph-application-1504131676014-19933-hf7cj,0.0,11.0
ph-application-1504131676014-20042-b8pxt,5.0,16.0
ph-application-1504131676014-20090-k8sc6,5.0,17.0
ph-application-1504131676014-20177-qg9lk,4.0,16.0
ph-application-1504131676014-20289-qqpx7,6.0,7.0
ph-application-1504131676014-20322-brvc9,9.0,21.0
ph-application-1504131676014-20357-gjqbx,3.0,14.0
ph-application-1504131676014-20421-vb56n,8.0,20.0
ph-application-1504131676014-20455-6bdbm,6.0,18.0
ph-application-1504131676014-20521-rn79t,3.0,15.0
ph-application-1504131676014-20540-ddfgb,13.0,24.0
ph-application-1504131676014-20644-fpww8,17.0,29.0
ph-application-1504131676014-20710-s5wnn,16.0,28.0
ph-application-1504131676014-20811-s8sps,14.0,26.0
ph-application-1504131676014-20879-zpshw,15.0,26.0
ph-application-1504131676014-21043-nls5c,7.0,19.0
ph-application-1504131676014-21218-22hdz,2.0,14.0
ph-application-1504131676014-21317-gbb2r,12.0,24.0
ph-application-1504131676014-21364-fd7x2,5.0,16.0
ph-application-1504131676014-21526-hxr54,6.0,18.0
ph-application-1504131676014-21869-cldrr,4.0,16.0
ph-application-1504131676014-22022-b9zsj,2.0,14.0
ph-application-1504131676014-22221-lk4qc,1.0,12.0
ph-application-1504131676014-22358-c95v8,4.0,16.0
ph-application-1504131676014-22359-f64pj,5.0,16.0
ph-application-1504131676014-22487-zr4m4,3.0,15.0
ph-application-1504131676014-22594-2l7kv,2.0,13.0
ph-application-1504131676014-22619-5bdt2,1.0,2.0
ph-application-1504131676014-22752-hkjqt,5.0,16.0
ph-application-1504131676014-22845-b5xtm,10.0,21.0
ph-application-1504131676014-23473-hmsl4,3.0,15.0
ph-application-1504131676014-23497-v9c6c,2.0,14.0
ph-application-1504131676014-23554-bxjcp,17.0,28.0
ph-application-1504131676014-23623-khdg5,1.0,13.0
ph-application-1504131676014-23778-9b52z,1.0,13.0
ph-application-1504131676014-23926-x25z2,5.0,16.0
ph-application-1504131676014-24590-wvtvl,3.0,4.0
ph-application-1504131676014-24734-9f6b6,4.0,15.0
ph-application-1504131676014-24780-lfsch,13.0,24.0
ph-application-1504131676014-24975-wvvxf,6.0,17.0
ph-application-1504131676014-24991-d8xld,10.0,21.0
ph-application-1504131676014-25039-vjr89,3.0,14.0
ph-application-1504131676014-25063-ptr5z,5.0,16.0
ph-application-1504131676014-25113-b9pr7,9.0,20.0
ph-application-1506638472019-0065-gm98n,4.0,15.0
ph-application-1506638472019-0213-vq5ls,3.0,4.0
ph-application-1506638472019-0273-fhk5k,66.0,67.0
ph-application-1506638472019-0445-l5dl9,2.0,15.0
ph-application-1506638472019-0794-n5dng,1.0,14.0
ph-application-1506638472019-0805-lcvkr,0.0,13.0
ph-application-1506638472019-0864-q55qn,1.0,13.0
ph-application-1506638472019-0865-b6n4p,1.0,13.0
ph-application-1506638472019-0870-5ttjk,1.0,13.0
ph-application-1506638472019-0922-fzdbh,1.0,13.0
ph-application-1506638472019-0928-wxzsv,5.0,16.0
ph-application-1506638472019-0962-hzhgd,15.0,27.0
ph-application-1506638472019-0969-f7k6q,16.0,27.0
ph-application-1506638472019-10000-r8j6j,66.0,78.0
ph-application-1506638472019-10307-dk724,57.0,59.0
ph-application-1506638472019-1037-7gk8c,16.0,27.0
ph-application-1506638472019-10403-2c9lh,59.0,60.0
ph-application-1506638472019-10573-ndtdl,56.0,67.0
ph-application-1506638472019-10607-wtgqx,788.0,800.0
ph-application-1506638472019-10612-vtxzh,60.0,71.0
ph-application-1506638472019-10647-hlv5z,60.0,71.0
ph-application-1506638472019-10771-54w94,65.0,77.0
ph-application-1506638472019-10885-852d7,64.0,76.0
ph-application-1506638472019-1105-w6trg,14.0,26.0
ph-application-1506638472019-11079-jgpwd,64.0,76.0
ph-application-1506638472019-11086-xd9xw,64.0,76.0
ph-application-1506638472019-11279-9zx56,64.0,76.0
ph-application-1506638472019-11414-qfkb8,68.0,79.0
ph-application-1506638472019-11465-d925l,73.0,85.0
ph-application-1506638472019-11582-7m4z4,73.0,85.0
ph-application-1506638472019-11593-98nq4,79.0,90.0
ph-application-1506638472019-11943-hdfmp,77.0,88.0
ph-application-1506638472019-12443-ckjmv,74.0,86.0
ph-application-1506638472019-12507-r9sbg,73.0,85.0
ph-application-1506638472019-12527-hxmsg,73.0,85.0
ph-application-1506638472019-12560-lf6t7,78.0,89.0
ph-application-1506638472019-12776-cm9wr,72.0,83.0
ph-application-1506638472019-12960-xsv4s,68.0,79.0
ph-application-1506638472019-13119-v7q8w,72.0,84.0
ph-application-1506638472019-13171-gq76s,72.0,84.0
ph-application-1506638472019-13217-p7gjg,71.0,83.0
ph-application-1506638472019-13220-8gwmb,71.0,83.0
ph-application-1506638472019-13281-5rl7d,71.0,83.0
ph-application-1506638472019-13375-62kdf,76.0,87.0
ph-application-1506638472019-13501-b9j4z,81.0,93.0
ph-application-1506638472019-13508-2qh9f,81.0,93.0
ph-application-1506638472019-13651-d8hxh,86.0,98.0
ph-application-1506638472019-13970-f5xcx,86.0,97.0
ph-application-1506638472019-14055-g8kbc,101.0,113.0
ph-application-1506638472019-14098-89rcd,115.0,127.0
ph-application-1506638472019-14147-fflr9,84.0,96.0
ph-application-1506638472019-14291-jdrmc,75.0,87.0
ph-application-1506638472019-14298-fhn6h,74.0,86.0
ph-application-1506638472019-14320-t6jhw,78.0,89.0
ph-application-1506638472019-14339-n5mhw,83.0,84.0
ph-application-1506638472019-1439-s6rbv,8.0,20.0
ph-application-1506638472019-14452-5lg7p,79.0,81.0
ph-application-1506638472019-14789-69kqh,97.0,98.0
ph-application-1506638472019-14880-qxvpt,66.0,77.0
ph-application-1506638472019-14920-dmhg9,55.0,66.0
ph-application-1506638472019-15377-4c2p5,58.0,59.0
ph-application-1506638472019-15557-l9f8f,59.0,70.0
ph-application-1506638472019-15909-xnnsq,58.0,70.0
ph-application-1506638472019-15938-cvg79,69.0,80.0
ph-application-1506638472019-16123-bfc4x,59.0,70.0
ph-application-1506638472019-16210-649dx,63.0,74.0
ph-application-1506638472019-16253-lmvkn,63.0,74.0
ph-application-1506638472019-16305-5j8dg,73.0,75.0
ph-application-1506638472019-1631-cz6z6,6.0,17.0
ph-application-1506638472019-16402-qz6ng,73.0,85.0
ph-application-1506638472019-16690-f6rpb,70.0,82.0
ph-application-1506638472019-16729-xlbwq,70.0,82.0
ph-application-1506638472019-16900-m6clb,70.0,81.0
ph-application-1506638472019-16926-gwlct,70.0,82.0
ph-application-1506638472019-17082-dfgsr,74.0,86.0
ph-application-1506638472019-17085-z9264,74.0,76.0
ph-application-1506638472019-1725-mhwbd,1.0,12.0
ph-application-1506638472019-17258-l44ll,73.0,84.0
ph-application-1506638472019-17294-h7p66,76.0,88.0
ph-application-1506638472019-17362-pmp9z,78.0,90.0
ph-application-1506638472019-1750-f2sph,10.0,21.0
ph-application-1506638472019-17904-cdtff,61.0,73.0
ph-application-1506638472019-17907-k486d,61.0,73.0
ph-application-1506638472019-18084-zjr76,61.0,73.0
ph-application-1506638472019-18207-sdkt8,61.0,73.0
ph-application-1506638472019-18276-czbj2,65.0,76.0
ph-application-1506638472019-18470-vlkvx,64.0,75.0
ph-application-1506638472019-18493-829wb,69.0,80.0
ph-application-1506638472019-18532-rj7j7,74.0,76.0
ph-application-1506638472019-18557-cz2xr,74.0,76.0
ph-application-1506638472019-1877-jj8s5,5.0,16.0
ph-application-1506638472019-18923-47d42,71.0,83.0
