pod,queue_sec,jct_sec
ph-application-1504131676014-19633-8tfr8,0.0,11.0
ph-application-1504131676014-19933-vc9pq,1.0,12.0
ph-application-1504131676014-20042-cqg8q,0.0,11.0
ph-application-1504131676014-20090-7jcdk,0.0,12.0
ph-application-1504131676014-20177-tfxwk,1.0,12.0
ph-application-1504131676014-20289-swgr6,6.0,7.0
ph-application-1504131676014-20322-59vk8,8.0,19.0
ph-application-1504131676014-20357-9zt4l,0.0,12.0
ph-application-1504131676014-20421-rqrqr,0.0,12.0
ph-application-1504131676014-20455-sgqhl,1.0,12.0
ph-application-1504131676014-20521-hn6m2,0.0,11.0
ph-application-1504131676014-20540-x88ds,9.0,20.0
ph-application-1504131676014-20644-8mpp4,15.0,26.0
ph-application-1504131676014-20710-jj4sv,8.0,19.0
ph-application-1504131676014-20811-8gzxd,7.0,18.0
ph-application-1504131676014-20879-z82s5,10.0,21.0
ph-application-1504131676014-21043-rk9kt,5.0,16.0
ph-application-1504131676014-21218-gtxqn,0.0,11.0
ph-application-1504131676014-21317-29btr,4.0,15.0
ph-application-1504131676014-21364-t862q,0.0,11.0
ph-application-1504131676014-21526-qdsbq,1.0,12.0
ph-application-1504131676014-21869-sxwtf,0.0,11.0
ph-application-1504131676014-22022-qh7tq,0.0,11.0
ph-application-1504131676014-22221-bw96s,0.0,11.0
ph-application-1504131676014-22358-hbkwk,0.0,11.0
ph-application-1504131676014-22359-h7fsp,0.0,11.0
ph-application-1504131676014-22487-jmfwm,1.0,12.0
ph-application-1504131676014-22594-jql8z,0.0,11.0
ph-application-1504131676014-22619-2mt6j,0.0,1.0
ph-application-1504131676014-22752-hfqzd,4.0,15.0
ph-application-1504131676014-22845-6p9h4,3.0,14.0
ph-application-1504131676014-23473-d9shf,0.0,11.0
ph-application-1504131676014-23497-qcqpv,1.0,12.0
ph-application-1504131676014-23554-5zgvv,13.0,24.0
ph-application-1504131676014-23623-kzwhk,0.0,11.0
ph-application-1504131676014-23778-99l2k,0.0,11.0
ph-application-1504131676014-23926-zwtsw,1.0,12.0
ph-application-1504131676014-24590-w4hwj,0.0,1.0
ph-application-1504131676014-24734-h7tsm,0.0,11.0
ph-application-1504131676014-24780-btwmh,8.0,19.0
ph-application-1504131676014-24975-r45cp,1.0,12.0
ph-application-1504131676014-24991-wfvv7,6.0,17.0
ph-application-1504131676014-25039-msb6p,0.0,12.0
ph-application-1504131676014-25063-2qjn9,0.0,11.0
ph-application-1504131676014-25113-jgvfx,4.0,15.0
ph-application-1506638472019-0065-gfgbh,0.0,11.0
ph-application-1506638472019-0213-ntmwq,0.0,1.0
ph-application-1506638472019-0273-4qbl4,65.0,66.0
ph-application-1506638472019-0445-gr9g2,0.0,11.0
ph-application-1506638472019-0794-mjq9b,1.0,13.0
ph-application-1506638472019-0805-522cq,1.0,13.0
ph-application-1506638472019-0864-dll5b,0.0,12.0
ph-application-1506638472019-0865-spqt5,0.0,12.0
ph-application-1506638472019-0870-xs4p2,0.0,12.0
ph-application-1506638472019-0922-ngrsd,0.0,12.0
ph-application-1506638472019-0928-wvxxf,0.0,12.0
ph-application-1506638472019-0962-c7ll4,16.0,28.0
ph-application-1506638472019-0969-s8vxz,11.0,23.0
ph-application-1506638472019-10000-pdfh5,61.0,72.0
ph-application-1506638472019-10307-8pq76,52.0,54.0
ph-application-1506638472019-1037-hfrlj,16.0,27.0
ph-application-1506638472019-10403-bncnk,49.0,51.0
ph-application-1506638472019-10573-8p7hv,49.0,60.0
ph-application-1506638472019-10607-64rh5,386.0,397.0
ph-application-1506638472019-10612-9l7x5,52.0,63.0
ph-application-1506638472019-10647-qlbx5,51.0,62.0
