pod,queue_sec,jct_sec
ph-application-1504131676014-19633-pmhqt,1.0,12.0
ph-application-1504131676014-19933-gd6nw,0.0,11.0
ph-application-1504131676014-20042-gm6dj,5.0,16.0
ph-application-1504131676014-20090-nvhlr,5.0,17.0
ph-application-1504131676014-20177-b8hbf,4.0,16.0
ph-application-1504131676014-20289-85vqt,6.0,7.0
ph-application-1504131676014-20322-78wwp,9.0,21.0
ph-application-1504131676014-20357-765vk,3.0,14.0
ph-application-1504131676014-20421-cfhfn,8.0,20.0
ph-application-1504131676014-20455-dkp6v,6.0,18.0
ph-application-1504131676014-20521-pjtjz,3.0,15.0
ph-application-1504131676014-20540-lv7jj,13.0,24.0
ph-application-1504131676014-20644-t8v2p,17.0,30.0
ph-application-1504131676014-20710-fmvx2,15.0,28.0
ph-application-1504131676014-20811-slnj7,14.0,26.0
ph-application-1504131676014-20879-f66q9,14.0,26.0
ph-application-1504131676014-21043-w7pfb,7.0,19.0
ph-application-1504131676014-21218-spk99,2.0,14.0
ph-application-1504131676014-21317-6fv2k,12.0,23.0
ph-application-1504131676014-21364-h6chq,5.0,16.0
ph-application-1504131676014-21526-qnw2t,6.0,17.0
ph-application-1504131676014-21869-rxbsw,4.0,16.0
ph-application-1504131676014-22022-nbzqg,2.0,14.0
ph-application-1504131676014-22221-bll9v,5.0,16.0
ph-application-1504131676014-22358-z2bxq,4.0,16.0
ph-application-1504131676014-22359-5vql5,5.0,16.0
ph-application-1504131676014-22487-wthvg,4.0,15.0
ph-application-1504131676014-22594-swsgv,2.0,13.0
ph-application-1504131676014-22619-fjkv2,6.0,7.0
ph-application-1504131676014-22752-b67cf,10.0,22.0
ph-application-1504131676014-22845-4rmvq,10.0,22.0
ph-application-1504131676014-23473-sbb95,3.0,15.0
ph-application-1504131676014-23497-vjdph,2.0,14.0
ph-application-1504131676014-23554-ffcf5,17.0,28.0
ph-application-1504131676014-23623-8xxcl,1.0,13.0
ph-application-1504131676014-23778-lvc96,1.0,13.0
