job,arrival,wall
ph-application-1504131676014-19633,0.0,0.0
ph-application-1504131676014-19933,0.6,0.6
ph-application-1504131676014-20042,1.0,1.0
ph-application-1504131676014-20090,1.2,1.3
ph-application-1504131676014-20177,1.6,1.6
ph-application-1504131676014-20289,10.0,10.0
ph-application-1504131676014-20322,12.0,12.0
ph-application-1504131676014-20357,13.3,13.3
ph-application-1504131676014-20421,13.5,13.5
ph-application-1504131676014-20455,14.6,14.6
ph-application-1504131676014-20521,18.1,18.1
ph-application-1504131676014-20540,18.2,18.2
ph-application-1504131676014-20644,19.2,19.2
ph-application-1504131676014-20710,20.6,20.6
ph-application-1504131676014-20811,22.0,22.0
ph-application-1504131676014-20879,22.5,22.5
ph-application-1504131676014-21043,29.6,29.6
ph-application-1504131676014-21218,35.3,35.3
ph-application-1504131676014-21317,39.4,39.4
ph-application-1504131676014-21364,41.1,41.1
ph-application-1504131676014-21526,45.5,45.5
ph-application-1504131676014-21869,52.4,52.4
ph-application-1504131676014-22022,54.0,54.0
ph-application-1504131676014-22221,56.2,56.2
ph-application-1504131676014-22358,62.0,62.0
ph-application-1504131676014-22359,62.0,62.0
ph-application-1504131676014-22487,67.6,67.6
ph-application-1504131676014-22594,70.3,70.3
ph-application-1504131676014-22619,70.7,70.7
ph-application-1504131676014-22752,71.8,71.8
ph-application-1504131676014-22845,72.3,72.3
ph-application-1504131676014-23473,78.7,78.7
ph-application-1504131676014-23497,79.6,79.6
ph-application-1504131676014-23554,80.3,80.3
ph-application-1504131676014-23623,80.8,80.8
ph-application-1504131676014-23778,81.3,81.3
ph-application-1504131676014-23926,81.7,81.7
ph-application-1504131676014-24590,94.2,94.2
ph-application-1504131676014-24734,98.2,98.3
ph-application-1504131676014-24780,99.0,99.0
ph-application-1504131676014-24975,105.8,105.8
ph-application-1504131676014-24991,106.6,106.6
ph-application-1504131676014-25039,109.5,109.5
ph-application-1504131676014-25063,112.0,112.0
ph-application-1504131676014-25113,117.6,117.6
ph-application-1506638472019-0065,127.8,127.8
ph-application-1506638472019-0213,134.0,134.0
ph-application-1506638472019-0273,136.7,136.7
ph-application-1506638472019-0445,139.9,139.9
ph-application-1506638472019-0794,141.6,141.6
ph-application-1506638472019-0805,141.6,141.6
ph-application-1506638472019-0864,141.8,141.8
ph-application-1506638472019-0865,141.8,141.8
ph-application-1506638472019-0870,141.8,141.8
ph-application-1506638472019-0922,141.9,141.9
ph-application-1506638472019-0928,141.9,141.9
ph-application-1506638472019-0962,142.0,142.0
ph-application-1506638472019-0969,142.1,142.1
ph-application-1506638472019-1037,142.5,142.5
ph-application-1506638472019-1105,144.4,144.4
ph-application-1506638472019-1439,150.5,150.5
ph-application-1506638472019-1631,157.5,157.5
ph-application-1506638472019-1725,162.0,162.0
ph-application-1506638472019-1750,162.9,162.9
ph-application-1506638472019-1877,172.6,172.6
ph-application-1506638472019-2079,184.1,184.1
ph-application-1506638472019-2144,184.4,184.4
ph-application-1506638472019-2154,184.4,184.4
ph-application-1506638472019-2294,193.5,193.5
ph-application-1506638472019-2466,209.6,209.6
ph-application-1506638472019-2598,220.0,220.0
ph-application-1506638472019-2758,220.8,220.8
ph-application-1506638472019-2789,220.9,220.9
ph-application-1506638472019-2903,221.0,221.0
ph-application-1506638472019-2905,221.0,221.1
ph-application-1506638472019-2921,221.1,221.1
ph-application-1506638472019-2939,221.1,221.1
ph-application-1506638472019-2971,221.2,221.2
ph-application-1506638472019-2986,221.6,221.6
ph-application-1506638472019-3026,221.9,221.9
ph-application-1506638472019-3057,222.0,222.0
ph-application-1506638472019-3102,222.0,222.1
ph-application-1506638472019-3211,222.2,222.2
ph-application-1506638472019-3240,222.2,222.3
ph-application-1506638472019-3329,222.4,222.4
ph-application-1506638472019-3379,223.2,223.2
ph-application-1506638472019-3406,223.2,223.2
ph-application-1506638472019-3565,224.1,224.1
ph-application-1506638472019-3613,225.3,225.3
ph-application-1506638472019-3750,230.8,230.8
ph-application-1506638472019-3788,233.2,233.2
ph-application-1506638472019-3819,234.4,234.4
ph-application-1506638472019-4257,250.7,250.7
ph-application-1506638472019-4505,264.9,264.9
ph-application-1506638472019-4510,265.2,265.2
ph-application-1506638472019-4584,268.3,268.3
ph-application-1506638472019-4590,268.3,268.3
ph-application-1506638472019-4772,269.8,269.8
ph-application-1506638472019-4898,270.8,270.8
ph-application-1506638472019-4980,270.9,270.9
ph-application-1506638472019-5127,271.0,271.0
ph-application-1506638472019-5296,271.1,271.1
ph-application-1506638472019-5305,271.1,271.1
ph-application-1506638472019-5363,272.5,272.5
ph-application-1506638472019-5436,272.6,272.6
ph-application-1506638472019-5644,272.7,272.7
ph-application-1506638472019-5732,272.8,272.8
ph-application-1506638472019-6191,290.9,290.9
ph-application-1506638472019-6235,292.4,292.4
ph-application-1506638472019-6359,295.8,295.8
ph-application-1506638472019-6417,296.0,296.0
ph-application-1506638472019-6545,296.2,296.2
ph-application-1506638472019-6546,296.2,296.3
ph-application-1506638472019-6575,296.4,296.4
ph-application-1506638472019-6726,297.2,297.2
ph-application-1506638472019-6729,297.2,297.2
ph-application-1506638472019-6740,297.2,297.2
ph-application-1506638472019-6761,297.3,297.3
ph-application-1506638472019-6834,297.4,297.4
ph-application-1506638472019-6867,297.5,297.6
ph-application-1506638472019-7002,297.7,297.8
ph-application-1506638472019-7075,297.8,297.8
ph-application-1506638472019-7117,297.9,297.9
ph-application-1506638472019-7118,297.9,297.9
ph-application-1506638472019-7207,298.0,298.0
ph-application-1506638472019-7264,298.0,298.1
ph-application-1506638472019-7291,298.1,298.1
ph-application-1506638472019-7336,298.2,298.2
ph-application-1506638472019-7358,298.8,298.8
ph-application-1506638472019-7367,298.9,298.9
ph-application-1506638472019-7402,298.9,298.9
ph-application-1506638472019-7474,299.1,299.1
ph-application-1506638472019-7994,300.2,300.3
ph-application-1506638472019-8064,300.4,300.4
ph-application-1506638472019-8188,300.7,300.7
ph-application-1506638472019-8386,302.6,302.6
ph-application-1506638472019-8553,303.1,303.1
ph-application-1506638472019-8617,303.2,303.2
ph-application-1506638472019-8740,305.3,305.3
ph-application-1506638472019-8799,305.5,305.5
ph-application-1506638472019-8834,305.6,305.6
ph-application-1506638472019-8853,305.6,305.6
ph-application-1506638472019-8936,305.9,305.9
ph-application-1506638472019-9265,306.8,306.8
ph-application-1506638472019-9329,306.9,306.9
ph-application-1506638472019-9471,307.3,307.3
ph-application-1506638472019-9682,307.9,308.0
ph-application-1506638472019-9793,308.6,308.7
ph-application-1506638472019-9874,311.2,311.2
ph-application-1506638472019-9949,311.4,311.4
ph-application-1506638472019-9970,311.4,311.4
ph-application-1506638472019-9980,311.5,311.5
ph-application-1506638472019-10000,311.5,311.5
ph-application-1506638472019-10307,320.0,320.0
ph-application-1506638472019-10403,322.8,322.8
ph-application-1506638472019-10573,325.9,325.9
ph-application-1506638472019-10607,326.7,326.7
ph-application-1506638472019-10612,326.8,326.8
ph-application-1506638472019-10647,327.2,327.2
ph-application-1506638472019-10771,327.5,327.5
ph-application-1506638472019-10885,327.8,327.8
ph-application-1506638472019-11079,328.1,328.1
ph-application-1506638472019-11086,328.1,328.2
ph-application-1506638472019-11279,328.7,328.8
ph-application-1506638472019-11414,329.1,329.1
ph-application-1506638472019-11465,329.2,329.2
ph-application-1506638472019-11582,329.5,329.5
ph-application-1506638472019-11593,329.5,329.5
ph-application-1506638472019-11943,330.7,330.7
ph-application-1506638472019-12443,333.8,333.8
ph-application-1506638472019-12507,334.8,334.9
ph-application-1506638472019-12527,334.9,334.9
ph-application-1506638472019-12560,335.0,335.0
ph-application-1506638472019-12776,346.1,346.1
ph-application-1506638472019-12960,350.5,350.5
ph-application-1506638472019-13119,351.5,351.5
ph-application-1506638472019-13171,351.6,351.6
ph-application-1506638472019-13217,351.7,351.7
ph-application-1506638472019-13220,351.7,351.7
ph-application-1506638472019-13281,351.9,351.9
ph-application-1506638472019-13375,352.0,352.0
ph-application-1506638472019-13501,352.1,352.1
ph-application-1506638472019-13508,352.1,352.2
ph-application-1506638472019-13651,352.6,352.6
ph-application-1506638472019-13970,353.1,353.1
ph-application-1506638472019-14055,353.3,353.3
ph-application-1506638472019-14098,354.2,354.2
ph-application-1506638472019-14147,355.4,355.4
ph-application-1506638472019-14291,364.4,364.4
ph-application-1506638472019-14298,365.2,365.2
ph-application-1506638472019-14320,365.8,365.8
ph-application-1506638472019-14339,366.6,366.6
ph-application-1506638472019-14452,375.3,375.3
ph-application-1506638472019-14789,388.4,388.4
ph-application-1506638472019-14880,393.3,393.3
ph-application-1506638472019-14920,394.0,394.0
ph-application-1506638472019-15377,400.6,400.6
ph-application-1506638472019-15557,404.6,404.6
ph-application-1506638472019-15909,406.0,406.0
ph-application-1506638472019-15938,406.1,406.1
ph-application-1506638472019-16123,416.3,416.3
ph-application-1506638472019-16210,416.6,416.7
ph-application-1506638472019-16253,416.8,416.8
ph-application-1506638472019-16305,417.0,417.0
ph-application-1506638472019-16402,417.4,417.4
ph-application-1506638472019-16690,420.1,420.1
ph-application-1506638472019-16729,420.3,420.3
ph-application-1506638472019-16900,420.9,420.9
ph-application-1506638472019-16926,421.0,421.0
ph-application-1506638472019-17082,421.6,421.6
ph-application-1506638472019-17085,421.6,421.6
ph-application-1506638472019-17258,423.4,423.4
ph-application-1506638472019-17294,424.5,424.5
ph-application-1506638472019-17362,427.6,427.6
ph-application-1506638472019-17904,444.7,444.7
ph-application-1506638472019-17907,444.7,444.7
ph-application-1506638472019-18084,445.3,445.3
ph-application-1506638472019-18207,445.5,445.6
ph-application-1506638472019-18276,446.0,446.0
ph-application-1506638472019-18470,446.7,446.7
ph-application-1506638472019-18493,446.7,446.7
ph-application-1506638472019-18532,446.8,446.8
ph-application-1506638472019-18557,446.9,446.9
ph-application-1506638472019-18923,450.5,450.5
ph-application-1506638472019-18928,450.5,450.6
ph-application-1506638472019-19034,451.0,451.0
ph-application-1506638472019-19117,451.3,451.3
ph-application-1506638472019-19306,452.0,452.0
ph-application-1506638472019-19513,452.9,452.9
ph-application-1506638472019-19556,453.1,453.1
ph-application-1506638472019-19623,453.3,453.3
ph-application-1506638472019-19784,454.3,454.3
ph-application-1506638472019-19786,454.3,454.3
ph-application-1506638472019-19899,454.8,454.8
ph-application-1506638472019-19914,454.8,454.8
ph-application-1506638472019-19951,455.7,455.7
ph-application-1506638472019-20023,457.3,457.3
ph-application-1506638472019-20025,457.3,457.3
ph-application-1506638472019-20091,457.6,457.6
ph-application-1506638472019-20201,464.2,464.2
ph-application-1506638472019-20205,464.6,464.6
ph-application-1506638472019-20224,465.0,465.0
ph-application-1506638472019-20291,466.5,466.5
ph-application-1506638472019-20332,468.1,468.1
ph-application-1506638472019-20401,470.2,470.2
ph-application-1506638472019-20484,471.9,471.9
ph-application-1506638472019-20533,471.9,471.9
ph-application-1506638472019-20861,476.9,476.9
ph-application-1506638472019-21399,480.4,480.4
ph-application-1506638472019-21465,480.6,480.6
ph-application-1506638472019-21505,480.7,480.7
ph-application-1506638472019-21808,481.3,481.3
ph-application-1506638472019-21917,481.5,481.5
ph-application-1506638472019-22409,486.0,486.0
ph-application-1506638472019-22500,489.8,489.8
ph-application-1506638472019-22618,492.8,492.8
ph-application-1506638472019-22782,494.5,494.5
ph-application-1506638472019-22833,494.6,494.6
ph-application-1506638472019-23006,495.9,495.9
ph-application-1506638472019-23233,498.1,498.1
ph-application-1506638472019-23381,498.4,498.4
ph-application-1506638472019-23482,498.7,498.7
ph-application-1506638472019-23499,498.7,498.7
ph-application-1506638472019-23523,498.8,498.8
ph-application-1506638472019-23556,499.5,499.5
ph-application-1506638472019-23638,499.7,499.7
ph-application-1506638472019-23868,500.6,500.6
ph-application-1506638472019-24322,502.6,502.6
ph-application-1506638472019-24344,502.7,502.7
ph-application-1506638472019-24475,508.3,508.3
ph-application-1506638472019-24615,509.0,509.0
ph-application-1506638472019-24628,509.0,509.0
ph-application-1506638472019-24890,509.9,509.9
ph-application-1506638472019-25096,510.4,510.4
ph-application-1506638472019-25213,510.7,510.7
ph-application-1506638472019-25220,510.7,510.7
ph-application-1506638472019-25392,511.3,511.3
ph-application-1506638472019-25601,511.8,511.8
