pod,queue_sec,jct_sec
ph-application-1504131676014-19633-4d57p,1.0,12.0
ph-application-1504131676014-19933-b9fv9,0.0,11.0
ph-application-1504131676014-20042-vl7bq,5.0,16.0
ph-application-1504131676014-20090-ngf2c,5.0,17.0
ph-application-1504131676014-20177-tqbbs,4.0,16.0
ph-application-1504131676014-20289-cz68q,6.0,7.0
ph-application-1504131676014-20322-6rn4x,9.0,21.0
ph-application-1504131676014-20357-rfhv9,3.0,14.0
ph-application-1504131676014-20421-4lqcr,8.0,20.0
ph-application-1504131676014-20455-5l44l,6.0,18.0
ph-application-1504131676014-20521-pc5bd,3.0,15.0
ph-application-1504131676014-20540-h2s8x,13.0,24.0
ph-application-1504131676014-20644-4jdtq,17.0,29.0
ph-application-1504131676014-20710-x5nxs,15.0,27.0
ph-application-1504131676014-20811-7xkfh,14.0,26.0
ph-application-1504131676014-20879-l56mt,14.0,26.0
ph-application-1504131676014-21043-75sps,7.0,18.0
ph-application-1504131676014-21218-njq87,2.0,14.0
ph-application-1504131676014-21317-cv2tc,12.0,23.0
ph-application-1504131676014-21364-4hxbl,5.0,16.0
ph-application-1504131676014-21526-sd5t5,6.0,18.0
ph-application-1504131676014-21869-t5bsz,4.0,16.0
ph-application-1504131676014-22022-4v5z4,2.0,14.0
ph-application-1504131676014-22221-blmvr,1.0,12.0
ph-application-1504131676014-22358-mfcrz,4.0,16.0
ph-application-1504131676014-22359-rtkx4,4.0,16.0
ph-application-1504131676014-22487-vcmhq,3.0,15.0
ph-application-1504131676014-22594-gd5tc,2.0,13.0
ph-application-1504131676014-22619-flsl5,1.0,2.0
ph-application-1504131676014-22752-jm7vz,4.0,16.0
ph-application-1504131676014-22845-b9q2k,10.0,21.0
ph-application-1504131676014-23473-tfj6v,3.0,14.0
ph-application-1504131676014-23497-b2sxw,2.0,14.0
ph-application-1504131676014-23554-lsc24,17.0,28.0
ph-application-1504131676014-23623-lkt67,1.0,13.0
ph-application-1504131676014-23778-lxf8z,1.0,13.0
ph-application-1504131676014-23926-kmkjk,5.0,16.0
ph-application-1504131676014-24590-jd49d,3.0,4.0
ph-application-1504131676014-24734-cl559,4.0,15.0
ph-application-1504131676014-24780-zj5zr,13.0,24.0
ph-application-1504131676014-24975-lshmf,6.0,17.0
ph-application-1504131676014-24991-bmkdx,10.0,21.0
ph-application-1504131676014-25039-p82dd,3.0,14.0
