pod,queue_sec,jct_sec
ph-application-1504131676014-19633-9bwtl,1.0,12.0
ph-application-1504131676014-19933-bcld7,1.0,12.0
ph-application-1504131676014-20042-bdn6v,5.0,16.0
ph-application-1504131676014-20090-gkwrw,5.0,16.0
ph-application-1504131676014-20177-gnpx9,5.0,16.0
ph-application-1504131676014-20289-n5tzk,41.0,42.0
ph-application-1504131676014-20322-7m7vj,4.0,15.0
ph-application-1504131676014-20357-k2t45,3.0,14.0
ph-application-1504131676014-20421-78b7v,8.0,19.0
ph-application-1504131676014-20455-bpv6v,7.0,18.0
ph-application-1504131676014-20521-rchth,3.0,14.0
ph-application-1504131676014-20540-8n5hp,13.0,25.0
ph-application-1504131676014-20644-pzqkx,12.0,24.0
ph-application-1504131676014-20710-vwhl7,11.0,23.0
ph-application-1504131676014-20811-sp7tl,9.0,21.0
ph-application-1504131676014-20879-v5wdl,14.0,25.0
ph-application-1504131676014-21043-5fgbg,7.0,18.0
ph-application-1504131676014-21218-ggzm4,1.0,13.0
ph-application-1504131676014-21317-rsw4r,7.0,19.0
ph-application-1504131676014-21364-rzrzv,5.0,16.0
ph-application-1504131676014-21526-p2gcp,1.0,13.0
ph-application-1504131676014-21869-2fqlt,4.0,15.0
ph-application-1504131676014-22022-4dqsb,2.0,14.0
ph-application-1504131676014-22221-gqjt7,0.0,12.0
ph-application-1504131676014-22358-wk2nq,4.0,15.0
ph-application-1504131676014-22359-scgj7,4.0,16.0
ph-application-1504131676014-22487-pxdn2,4.0,16.0
ph-application-1504131676014-22594-5gc4m,1.0,13.0
ph-application-1504131676014-22619-7s72d,1.0,3.0
ph-application-1504131676014-22752-lllpv,4.0,15.0
ph-application-1504131676014-22845-dcvkm,9.0,21.0
ph-application-1504131676014-23473-5ktc8,3.0,14.0
ph-application-1504131676014-23497-pbpms,2.0,14.0
ph-application-1504131676014-23554-q82vr,17.0,28.0
ph-application-1504131676014-23623-t6mdn,1.0,12.0
ph-application-1504131676014-23778-b5c5h,1.0,12.0
ph-application-1504131676014-23926-t2qr8,5.0,16.0
ph-application-1504131676014-24590-2hfsh,3.0,4.0
ph-application-1504131676014-24734-s2pms,14.0,25.0
ph-application-1504131676014-24780-nl2bn,3.0,14.0
ph-application-1504131676014-24975-gbj45,1.0,12.0
ph-application-1504131676014-24991-jzfqg,21.0,32.0
ph-application-1504131676014-25039-zll79,3.0,14.0
ph-application-1504131676014-25063-qt8gm,5.0,16.0
ph-application-1504131676014-25113-fnf9j,5.0,16.0
ph-application-1506638472019-0065-2mqn2,4.0,15.0
ph-application-1506638472019-0213-kb42d,8.0,10.0
ph-application-1506638472019-0273-8hvqk,67.0,68.0
ph-application-1506638472019-0445-sfzvv,2.0,14.0
ph-application-1506638472019-0794-d28hx,1.0,13.0
ph-application-1506638472019-0805-8qjtp,1.0,13.0
ph-application-1506638472019-0864-cbk9w,5.0,17.0
ph-application-1506638472019-0865-grvlm,5.0,17.0
ph-application-1506638472019-0870-7q8dc,5.0,17.0
ph-application-1506638472019-0922-kvtxj,5.0,17.0
ph-application-1506638472019-0928-jwvkw,6.0,17.0
ph-application-1506638472019-0962-2v9qx,15.0,27.0
ph-application-1506638472019-0969-dsdpj,15.0,27.0
ph-application-1506638472019-10000-gklwd,4.0,15.0
ph-application-1506638472019-10307-qklbm,921.0,922.0
ph-application-1506638472019-1037-jd5r8,15.0,27.0
ph-application-1506638472019-10403-v4pcg,2.0,4.0
ph-application-1506638472019-10573-vxnj8,4.0,16.0
ph-application-1506638472019-10607-9hc8z,1029.0,1041.0
ph-application-1506638472019-10612-fsgzp,3.0,15.0
ph-application-1506638472019-10647-5484k,3.0,15.0
ph-application-1506638472019-10771-9q8c5,4.0,15.0
ph-application-1506638472019-10885-t42lr,3.0,14.0
ph-application-1506638472019-1105-rfp6g,18.0,30.0
ph-application-1506638472019-11079-c6kqr,12.0,24.0
ph-application-1506638472019-11086-7qlnc,13.0,24.0
ph-application-1506638472019-11279-w5pkp,12.0,23.0
ph-application-1506638472019-11414-csntm,17.0,28.0
ph-application-1506638472019-11465-lwwdb,17.0,28.0
ph-application-1506638472019-11582-w7p89,17.0,29.0
ph-application-1506638472019-11593-j6hsf,17.0,29.0
ph-application-1506638472019-11943-twm8k,16.0,28.0
ph-application-1506638472019-12443-xfwps,22.0,33.0
ph-application-1506638472019-12507-g9fmn,21.0,33.0
ph-application-1506638472019-12527-wjnn5,21.0,33.0
ph-application-1506638472019-12560-pw6mq,26.0,38.0
ph-application-1506638472019-12776-lm2fc,15.0,27.0
ph-application-1506638472019-12960-bkdzg,11.0,23.0
ph-application-1506638472019-13119-smfkh,10.0,22.0
ph-application-1506638472019-13171-mtbjz,10.0,22.0
ph-application-1506638472019-13217-dktbf,20.0,32.0
ph-application-1506638472019-13220-ktwfk,20.0,32.0
ph-application-1506638472019-13281-l5xjb,20.0,31.0
ph-application-1506638472019-13375-q26pb,24.0,36.0
ph-application-1506638472019-13501-v6m96,25.0,36.0
ph-application-1506638472019-13508-klr7f,25.0,36.0
ph-application-1506638472019-13651-b5bmv,25.0,37.0
ph-application-1506638472019-13970-j6szz,24.0,36.0
ph-application-1506638472019-14055-f4lvw,39.0,50.0
ph-application-1506638472019-14098-tkwdd,53.0,65.0
ph-application-1506638472019-14147-bb5jq,32.0,43.0
ph-application-1506638472019-14291-b2sdx,23.0,34.0
ph-application-1506638472019-14298-xrrdh,22.0,33.0
ph-application-1506638472019-14320-s24nj,26.0,37.0
ph-application-1506638472019-14339-lf2gn,880.0,882.0
ph-application-1506638472019-1439-tgzb9,13.0,24.0
ph-application-1506638472019-14452-tq8q2,877.0,878.0
ph-application-1506638472019-14789-wr5kd,1471.0,1472.0
ph-application-1506638472019-14880-rhr66,859.0,870.0
ph-application-1506638472019-14920-ljzzc,842.0,853.0
ph-application-1506638472019-15377-bdz9s,2.0,3.0
