ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-12T00:43:15.303479+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-12T00:43:18.454073+00:00,0.0,0.0,8,1,12.5,1,1
2026-06-12T00:43:21.604350+00:00,0.0,0.0,8,1,12.5,3,1
2026-06-12T00:43:24.767908+00:00,0.0,0.0,8,3,37.5,2,3
2026-06-12T00:43:28.318469+00:00,0.0,0.0,8,3,37.5,4,3
2026-06-12T00:43:31.477483+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-12T00:43:34.630584+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-12T00:43:37.962695+00:00,0.0,0.0,8,5,62.5,5,4
2026-06-12T00:43:41.151827+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-12T00:43:44.349280+00:00,0.0,0.0,8,6,75.0,5,6
2026-06-12T00:43:47.639686+00:00,0.0,0.0,8,5,62.5,5,5
2026-06-12T00:43:50.807628+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-12T00:43:53.997690+00:00,0.0,0.0,8,5,62.5,5,5
2026-06-12T00:43:57.174888+00:00,0.0,0.0,8,6,75.0,5,5
2026-06-12T00:44:00.338800+00:00,0.0,0.0,8,8,100.0,4,7
2026-06-12T00:44:03.761260+00:00,0.0,0.0,8,5,62.5,6,5
2026-06-12T00:44:06.975345+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-12T00:44:10.146395+00:00,0.0,0.0,8,7,87.5,4,7
2026-06-12T00:44:13.425948+00:00,0.0,0.0,8,4,50.0,6,4
2026-06-12T00:44:16.595420+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-12T00:44:19.795637+00:00,0.0,0.0,8,8,100.0,8,5
2026-06-12T00:44:23.012073+00:00,0.0,0.0,8,8,100.0,9,5
2026-06-12T00:44:26.190448+00:00,0.0,0.0,8,7,87.5,11,4
2026-06-12T00:44:29.378866+00:00,0.0,0.0,8,7,87.5,13,4
2026-06-12T00:44:32.576922+00:00,0.0,0.0,8,4,50.0,13,4
2026-06-12T00:44:35.775846+00:00,0.0,0.0,8,7,87.5,11,7
2026-06-12T00:44:38.959654+00:00,0.0,0.0,8,7,87.5,12,7
2026-06-12T00:44:42.134465+00:00,0.0,0.0,8,3,37.5,13,3
2026-06-12T00:44:45.316704+00:00,0.0,0.0,8,5,62.5,13,5
2026-06-12T00:44:48.539051+00:00,0.0,0.0,8,7,87.5,12,7
2026-06-12T00:44:51.734295+00:00,0.0,0.0,8,8,100.0,13,8
2026-06-12T00:44:54.923727+00:00,0.0,0.0,8,8,100.0,12,8
2026-06-12T00:44:58.479873+00:00,0.0,0.0,8,6,75.0,14,6
2026-06-12T00:45:01.683731+00:00,0.0,0.0,8,7,87.5,14,7
2026-06-12T00:45:04.860938+00:00,0.0,0.0,8,8,100.0,14,8
2026-06-12T00:45:08.043280+00:00,0.0,0.0,8,6,75.0,16,6
2026-06-12T00:45:11.245587+00:00,0.0,0.0,8,8,100.0,15,8
2026-06-12T00:45:14.499952+00:00,0.0,0.0,8,8,100.0,17,8
2026-06-12T00:45:17.694491+00:00,0.0,0.0,8,7,87.5,19,7
2026-06-12T00:45:20.884613+00:00,0.0,0.0,8,8,100.0,19,8
2026-06-12T00:45:24.257658+00:00,0.0,0.0,8,6,75.0,21,6
2026-06-12T00:45:27.470872+00:00,0.0,0.0,8,8,100.0,21,8
2026-06-12T00:45:30.656907+00:00,0.0,0.0,8,8,100.0,22,8
2026-06-12T00:45:33.846398+00:00,0.0,0.0,8,7,87.5,24,7
2026-06-12T00:45:37.070404+00:00,0.0,0.0,8,7,87.5,24,7
2026-06-12T00:45:40.265049+00:00,0.0,0.0,8,8,100.0,25,8
2026-06-12T00:45:43.459757+00:00,0.0,0.0,8,6,75.0,26,6
2026-06-12T00:45:46.658945+00:00,0.0,0.0,8,6,75.0,27,6
2026-06-12T00:45:49.855300+00:00,0.0,0.0,8,6,75.0,28,6
2026-06-12T00:45:53.095534+00:00,0.0,0.0,8,6,75.0,28,5
2026-06-12T00:45:56.295512+00:00,0.0,0.0,8,6,75.0,28,6
2026-06-12T00:45:59.613716+00:00,0.0,0.0,8,6,75.0,30,6
2026-06-12T00:46:02.810229+00:00,0.0,0.0,8,7,87.5,29,7
