ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T15:01:23.565319+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T15:01:26.720972+00:00,0.0,0.0,8,1,12.5,1,1
2026-06-11T15:01:29.972674+00:00,0.0,0.0,8,2,25.0,2,2
2026-06-11T15:01:33.124419+00:00,0.0,0.0,8,4,50.0,1,4
2026-06-11T15:01:36.295611+00:00,0.0,0.0,8,5,62.5,2,5
2026-06-11T15:01:39.495766+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T15:01:42.694945+00:00,0.0,0.0,8,6,75.0,3,5
2026-06-11T15:01:45.935398+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-11T15:01:49.097743+00:00,0.0,0.0,8,7,87.5,2,7
2026-06-11T15:01:52.322514+00:00,0.0,0.0,8,6,75.0,3,6
2026-06-11T15:01:55.607044+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T15:01:58.770115+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T15:02:02.007595+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-11T15:02:05.176450+00:00,0.0,0.0,8,8,100.0,2,7
2026-06-11T15:02:08.509630+00:00,0.0,0.0,8,6,75.0,3,6
2026-06-11T15:02:11.693204+00:00,0.0,0.0,8,6,75.0,3,6
2026-06-11T15:02:14.861591+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T15:02:18.028445+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T15:02:21.214588+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-11T15:02:24.502120+00:00,0.0,0.0,8,7,87.5,5,7
2026-06-11T15:02:27.672532+00:00,0.0,0.0,8,7,87.5,6,7
2026-06-11T15:02:30.848482+00:00,0.0,0.0,8,6,75.0,6,6
2026-06-11T15:02:34.036241+00:00,0.0,0.0,8,6,75.0,7,6
2026-06-11T15:02:37.263998+00:00,0.0,0.0,8,5,62.5,8,5
2026-06-11T15:02:40.517127+00:00,0.0,0.0,8,6,75.0,8,6
2026-06-11T15:02:43.702012+00:00,0.0,0.0,8,7,87.5,8,7
2026-06-11T15:02:46.874180+00:00,0.0,0.0,8,7,87.5,9,7
2026-06-11T15:02:50.087720+00:00,0.0,0.0,8,7,87.5,10,7
2026-06-11T15:02:53.261074+00:00,0.0,0.0,8,6,75.0,11,6
2026-06-11T15:02:56.502499+00:00,0.0,0.0,8,7,87.5,11,7
2026-06-11T15:02:59.736127+00:00,0.0,0.0,8,7,87.5,12,7
2026-06-11T15:03:02.931195+00:00,0.0,0.0,8,8,100.0,12,8
2026-06-11T15:03:06.112546+00:00,0.0,0.0,8,8,100.0,13,8
2026-06-11T15:03:09.302100+00:00,0.0,0.0,8,7,87.5,14,7
2026-06-11T15:03:12.602718+00:00,0.0,0.0,8,7,87.5,15,7
2026-06-11T15:03:15.790278+00:00,0.0,0.0,8,8,100.0,16,8
2026-06-11T15:03:18.968801+00:00,0.0,0.0,8,8,100.0,17,8
2026-06-11T15:03:22.154376+00:00,0.0,0.0,8,8,100.0,18,8
2026-06-11T15:03:25.584747+00:00,0.0,0.0,8,7,87.5,19,7
2026-06-11T15:03:28.766906+00:00,0.0,0.0,8,8,100.0,20,8
2026-06-11T15:03:31.957080+00:00,0.0,0.0,8,7,87.5,22,7
2026-06-11T15:03:35.155977+00:00,0.0,0.0,8,8,100.0,21,8
2026-06-11T15:03:38.387748+00:00,0.0,0.0,8,7,87.5,23,7
2026-06-11T15:03:41.638657+00:00,0.0,0.0,8,7,87.5,23,7
2026-06-11T15:03:44.845755+00:00,0.0,0.0,8,7,87.5,24,7
2026-06-11T15:03:48.067596+00:00,0.0,0.0,8,8,100.0,24,8
2026-06-11T15:03:51.278855+00:00,0.0,0.0,8,8,100.0,24,8
2026-06-11T15:03:54.482044+00:00,0.0,0.0,8,8,100.0,26,8
2026-06-11T15:03:57.679547+00:00,0.0,0.0,8,8,100.0,27,8
2026-06-11T15:04:00.894882+00:00,0.0,0.0,8,8,100.0,29,8
2026-06-11T15:04:04.092727+00:00,0.0,0.0,8,8,100.0,31,8
2026-06-11T15:04:07.286256+00:00,0.0,0.0,8,8,100.0,32,8
2026-06-11T15:04:10.483259+00:00,0.0,0.0,8,8,100.0,34,8
2026-06-11T15:04:13.728493+00:00,0.0,0.0,8,8,100.0,35,8
2026-06-11T15:04:16.938234+00:00,0.0,0.0,8,8,100.0,37,8
2026-06-11T15:04:20.129589+00:00,0.0,0.0,8,8,100.0,39,8
2026-06-11T15:04:23.349108+00:00,0.0,0.0,8,8,100.0,40,8
2026-06-11T15:04:26.542652+00:00,0.0,0.0,8,8,100.0,42,8
2026-06-11T15:04:29.740773+00:00,0.0,0.0,8,8,100.0,43,8
2026-06-11T15:04:32.936106+00:00,0.0,0.0,8,8,100.0,45,8
2026-06-11T15:04:36.171535+00:00,0.0,0.0,8,7,87.5,47,7
2026-06-11T15:04:39.377000+00:00,0.0,0.0,8,8,100.0,47,8
2026-06-11T15:04:42.573676+00:00,0.0,0.0,8,8,100.0,49,8
2026-06-11T15:04:45.832601+00:00,0.0,0.0,8,8,100.0,50,8
2026-06-11T15:04:49.029180+00:00,0.0,0.0,8,8,100.0,52,8
2026-06-11T15:04:52.228306+00:00,0.0,0.0,8,8,100.0,54,8
2026-06-11T15:04:55.440301+00:00,0.0,0.0,8,8,100.0,55,8
2026-06-11T15:04:58.671222+00:00,0.0,0.0,8,8,100.0,57,8
2026-06-11T15:05:01.875653+00:00,0.0,0.0,8,8,100.0,58,8
2026-06-11T15:05:05.076882+00:00,0.0,0.0,8,8,100.0,60,8
2026-06-11T15:05:08.349484+00:00,0.0,0.0,8,8,100.0,62,8
2026-06-11T15:05:11.561508+00:00,0.0,0.0,8,8,100.0,63,8
2026-06-11T15:05:14.766288+00:00,0.0,0.0,8,8,100.0,65,8
2026-06-11T15:05:17.974190+00:00,0.0,0.0,8,8,100.0,65,8
2026-06-11T15:05:21.211629+00:00,0.0,0.0,8,8,100.0,67,8
2026-06-11T15:05:24.421058+00:00,0.0,0.0,8,7,87.5,69,7
2026-06-11T15:05:27.697371+00:00,0.0,0.0,8,7,87.5,69,7
2026-06-11T15:05:30.933591+00:00,0.0,0.0,8,8,100.0,70,8
2026-06-11T15:05:34.143824+00:00,0.0,0.0,8,8,100.0,71,8
2026-06-11T15:05:37.350046+00:00,0.0,0.0,8,8,100.0,72,8
2026-06-11T15:05:40.635337+00:00,0.0,0.0,8,6,75.0,74,6
