pod,queue_sec,jct_sec
ph-application-1508364558011-27835-tm224,2.0,233.0
ph-application-1508364558011-27886-sq8pz,1748.0,1754.0
ph-application-1508364558011-27924-rvskk,3.0,64.0
ph-application-1508364558011-27933-2cl4t,1.0,7.0
ph-application-1508364558011-27953-bq5rw,4.0,46.0
ph-application-1508364558011-27958-qrr6p,2.0,9.0
ph-application-1508364558011-28027-89zbx,0.0,7.0
ph-application-1508364558011-28089-9zq4q,43.0,60.0
ph-application-1508364558011-28094-dldzg,1.0,7.0
ph-application-1508364558011-28136-s58c8,4.0,10.0
ph-application-1508364558011-28143-z54ql,2.0,9.0
ph-application-1508364558011-28153-nzk9r,0.0,7.0
ph-application-1508364558011-28193-6tgpp,3.0,9.0
ph-application-1508364558011-28201-s4qh9,1.0,7.0
ph-application-1508364558011-28245-297nl,4.0,10.0
ph-application-1508364558011-28257-b472l,2.0,4.0
ph-application-1508364558011-28272-dtktq,0.0,7.0
ph-application-1508364558011-28319-8plmj,3.0,10.0
ph-application-1508364558011-28327-7pm4x,1.0,8.0
ph-application-1508364558011-28399-ljn4h,4.0,11.0
ph-application-1508364558011-28411-gx74p,2.0,9.0
ph-application-1508364558011-28494-7f8zw,5.0,12.0
ph-application-1508364558011-28499-9ggd9,3.0,10.0
ph-application-1508364558011-28507-mrgjc,2.0,3.0
ph-application-1508364558011-28520-bdhzz,4.0,246.0
ph-application-1508364558011-28529-kkq96,2.0,244.0
ph-application-1508364558011-28545-tmqr9,1709.0,1710.0
ph-application-1508364558011-28575-5hml5,1712.0,1763.0
ph-application-1508364558011-28580-nxf44,17.0,23.0
ph-application-1508364558011-28614-75f8h,20.0,26.0
ph-application-1508364558011-28621-z89zg,18.0,24.0
ph-application-1508364558011-28654-x4tdw,16.0,22.0
ph-application-1508364558011-28672-6f4mn,1760.0,1767.0
ph-application-1508364558011-28695-g9qrm,1769.0,1920.0
ph-application-1508364558011-28711-sf99l,10.0,16.0
ph-application-1508364558011-28753-whbm9,1920.0,1926.0
ph-application-1508364558011-28806-sr5fb,11.0,12.0
ph-application-1508364558011-28841-n85mx,14.0,25.0
ph-application-1508364558011-28939-784zd,12.0,68.0
ph-application-1508364558011-29004-q2bpw,10.0,16.0
ph-application-1508364558011-29010-z5hdq,195.0,202.0
ph-application-1508364558011-29174-wz6bq,1918.0,2040.0
ph-application-1508364558011-29183-zs6fw,4.0,10.0
ph-application-1508364558011-29239-wzm8l,200.0,231.0
ph-application-1508364558011-29284-84fk5,5.0,11.0
ph-application-1508364558011-29493-tmnft,8.0,44.0
ph-application-1508364558011-29537-mmml5,6.0,12.0
ph-application-1508364558011-29567-gtct5,9.0,15.0
ph-application-1508364558011-29647-tb57p,7.0,13.0
ph-application-1508364558011-29741-2cn77,10.0,26.0
ph-application-1508364558011-29743-4hq2s,13.0,19.0
ph-application-1508364558011-29797-dqckz,11.0,22.0
ph-application-1508364558011-29807-cg2rd,19.0,35.0
ph-application-1508364558011-29900-hjwtv,22.0,38.0
ph-application-1508364558011-29911-wfgfn,20.0,81.0
ph-application-1508364558011-29965-x25vf,28.0,44.0
ph-application-1508364558011-30067-tlwwq,31.0,37.0
ph-application-1508364558011-30131-s5pgq,2014.0,2020.0
ph-application-1508364558011-30135-t5z9s,32.0,34.0
ph-application-1508364558011-30180-tnf4k,35.0,42.0
