pod,queue_sec,jct_sec
ph-application-1508364558011-27835-zd9x7,0.0,231.0
ph-application-1508364558011-27886-6jddg,1539.0,1545.0
ph-application-1508364558011-27924-s6nzm,0.0,61.0
ph-application-1508364558011-27933-8tbv4,0.0,6.0
ph-application-1508364558011-27953-99cnz,0.0,41.0
ph-application-1508364558011-27958-snnkh,0.0,6.0
ph-application-1508364558011-28027-gj9qb,0.0,6.0
ph-application-1508364558011-28089-d7zp4,39.0,55.0
ph-application-1508364558011-28094-gw7z2,0.0,6.0
ph-application-1508364558011-28136-jqk2f,0.0,6.0
ph-application-1508364558011-28143-95kht,0.0,6.0
ph-application-1508364558011-28153-kggnj,0.0,6.0
ph-application-1508364558011-28193-qfw9c,1.0,7.0
ph-application-1508364558011-28201-jbj9n,0.0,6.0
ph-application-1508364558011-28245-82l7m,0.0,6.0
ph-application-1508364558011-28257-4tj5c,0.0,1.0
ph-application-1508364558011-28272-lxfcx,0.0,6.0
ph-application-1508364558011-28319-d7svd,1.0,7.0
ph-application-1508364558011-28327-fmpx7,0.0,6.0
ph-application-1508364558011-28399-vfpwr,0.0,6.0
ph-application-1508364558011-28411-lpzjt,1.0,7.0
ph-application-1508364558011-28494-9gdzl,1.0,7.0
ph-application-1508364558011-28499-pj277,0.0,6.0
ph-application-1508364558011-28507-pbzbf,0.0,1.0
ph-application-1508364558011-28520-4t447,0.0,241.0
ph-application-1508364558011-28529-w87x4,0.0,241.0
ph-application-1508364558011-28545-8flsc,1498.0,1499.0
ph-application-1508364558011-28575-hbcbp,1500.0,1551.0
ph-application-1508364558011-28580-tdjkq,13.0,19.0
ph-application-1508364558011-28614-nrk7m,15.0,21.0
ph-application-1508364558011-28621-jk5w8,13.0,19.0
ph-application-1508364558011-28654-26xf7,11.0,18.0
ph-application-1508364558011-28672-772rb,1544.0,1550.0
ph-application-1508364558011-28695-rmbz2,1551.0,1703.0
ph-application-1508364558011-28711-l87m5,5.0,12.0
ph-application-1508364558011-28753-pmdtx,1701.0,1708.0
ph-application-1508364558011-28806-5sj9b,6.0,7.0
ph-application-1508364558011-28841-8zjh7,10.0,21.0
ph-application-1508364558011-28939-kksjg,8.0,65.0
ph-application-1508364558011-29004-9d8n4,6.0,13.0
ph-application-1508364558011-29010-5wffb,200.0,207.0
ph-application-1508364558011-29174-n296l,1699.0,1820.0
ph-application-1508364558011-29183-7qx7m,0.0,7.0
ph-application-1508364558011-29239-xqw2d,204.0,236.0
ph-application-1508364558011-29284-spqkb,0.0,6.0
ph-application-1508364558011-29493-qfnq6,5.0,41.0
ph-application-1508364558011-29537-cqccp,3.0,9.0
ph-application-1508364558011-29567-m76ld,6.0,12.0
ph-application-1508364558011-29647-ms4rh,4.0,10.0
ph-application-1508364558011-29741-hkp4b,7.0,23.0
ph-application-1508364558011-29743-xgp99,9.0,15.0
ph-application-1508364558011-29797-dvg7q,8.0,19.0
ph-application-1508364558011-29807-cqgwh,15.0,31.0
ph-application-1508364558011-29900-gv5cd,19.0,36.0
ph-application-1508364558011-29911-c2n57,17.0,79.0
ph-application-1508364558011-29965-7ltsw,25.0,41.0
ph-application-1508364558011-30067-jg8sx,27.0,33.0
ph-application-1508364558011-30131-2999h,1790.0,1797.0
ph-application-1508364558011-30135-cg7zw,30.0,32.0
ph-application-1508364558011-30180-strsw,35.0,41.0
ph-application-1508364558011-30208-npdqx,206.0,207.0
ph-application-1508364558011-30245-76trl,25.0,31.0
ph-application-1508364558011-30299-xnr66,34.0,40.0
ph-application-1508364558011-30319-kds4w,32.0,68.0
ph-application-1508364558011-30343-z8tv9,35.0,41.0
ph-application-1508364558011-30383-4w6bc,33.0,39.0
ph-application-1508364558011-30444-bz8hw,37.0,43.0
ph-application-1508364558011-30456-phkwx,40.0,41.0
ph-application-1508364558011-30512-lzbnw,196.0,227.0
ph-application-1508364558011-30525-5r688,36.0,37.0
ph-application-1508364558011-30529-nz7bf,40.0,41.0
ph-application-1508364558011-30539-w7tdn,38.0,40.0
ph-application-1508364558011-30563-97cfq,36.0,108.0
ph-application-1508364558011-30573-8cdgf,41.0,42.0
ph-application-1508364558011-30651-6wv5g,39.0,125.0
ph-application-1508364558011-30661-lctnq,43.0,109.0
ph-application-1508364558011-30697-xl246,41.0,42.0
ph-application-1508364558011-30726-4sjmd,44.0,45.0
ph-application-1508364558011-30763-692w5,42.0,43.0
ph-application-1508364558011-30770-hpz9r,45.0,46.0
ph-application-1508364558011-30782-nhg2h,43.0,44.0
ph-application-1508364558011-30787-ktzxx,46.0,47.0
ph-application-1508364558011-30805-q6rpb,44.0,116.0
ph-application-1508364558011-30844-4lv8l,48.0,64.0
ph-application-1508364558011-30878-25s6v,68.0,74.0
ph-application-1508364558011-30884-bs9qm,66.0,73.0
ph-application-1508364558011-30982-9vw99,74.0,85.0
ph-application-1508364558011-31071-plkfq,72.0,83.0
ph-application-1508364558011-31134-xtt72,81.0,87.0
ph-application-1508364558011-31151-88wcn,86.0,98.0
ph-application-1508364558011-31208-42b4q,84.0,96.0
ph-application-1508364558011-31210-nnghz,83.0,94.0
ph-application-1508364558011-31239-qph6d,107.0,113.0
ph-application-1508364558011-31435-66nxm,83.0,89.0
ph-application-1508364558011-31615-8tzqk,92.0,99.0
ph-application-1508364558011-31714-fgwcb,1724.0,1920.0
ph-application-1508364558011-31847-jsgk8,92.0,93.0
ph-application-1508364558011-31851-qhpgd,102.0,109.0
ph-application-1508364558011-31856-hswxb,101.0,177.0
ph-application-1508364558011-31873-8nqg2,102.0,118.0
ph-application-1508364558011-31888-c79k6,100.0,102.0
ph-application-1508364558011-31895-xlvvg,105.0,111.0
ph-application-1508364558011-31921-4bdb5,103.0,169.0
ph-application-1508364558011-31983-xnldz,112.0,168.0
ph-application-1508364558011-32007-zh7sz,112.0,113.0
ph-application-1508364558011-32064-p8fmw,116.0,122.0
ph-application-1508364558011-32069-mjwx6,125.0,126.0
ph-application-1508364558011-32174-fxpvz,128.0,129.0
ph-application-1508364558011-32219-mbszc,131.0,132.0
ph-application-1508364558011-32241-7w2fp,134.0,191.0
ph-application-1508364558011-32443-k4vqp,147.0,229.0
ph-application-1508364558011-32497-rngj9,145.0,147.0
ph-application-1508364558011-32499-xbr6w,143.0,150.0
ph-application-1508364558011-32589-gptgw,147.0,274.0
ph-application-1508364558011-32646-4vcnf,150.0,157.0
ph-application-1508364558011-32667-flqgx,148.0,210.0
ph-application-1508364558011-32745-xs5z5,147.0,158.0
ph-application-1508364558011-32779-npmvx,145.0,151.0
ph-application-1508364558011-32806-mv8qc,143.0,149.0
ph-application-1508364558011-32851-7jr67,152.0,159.0
ph-application-1508364558011-32889-p7mbj,150.0,182.0
ph-application-1508364558011-32946-xpbzc,149.0,150.0
ph-application-1508364558011-32978-xcdqn,152.0,154.0
