ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T18:52:46.484786+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T18:52:49.638495+00:00,0.0,0.0,8,1,12.5,0,1
2026-06-11T18:52:52.904444+00:00,0.0,0.0,8,2,25.0,1,2
2026-06-11T18:52:56.058628+00:00,0.0,0.0,8,3,37.5,1,3
2026-06-11T18:52:59.263239+00:00,0.0,0.0,8,5,62.5,1,5
2026-06-11T18:53:02.483633+00:00,0.0,0.0,8,5,62.5,1,5
2026-06-11T18:53:05.661936+00:00,0.0,0.0,8,6,75.0,1,5
2026-06-11T18:53:08.883244+00:00,0.0,0.0,8,7,87.5,1,6
2026-06-11T18:53:12.118733+00:00,0.0,0.0,8,6,75.0,1,6
2026-06-11T18:53:15.329166+00:00,0.0,0.0,8,6,75.0,1,6
2026-06-11T18:53:18.597614+00:00,0.0,0.0,8,6,75.0,2,6
2026-06-11T18:53:21.835745+00:00,0.0,0.0,8,5,62.5,1,5
2026-06-11T18:53:25.063210+00:00,0.0,0.0,8,7,87.5,1,6
2026-06-11T18:53:28.329886+00:00,0.0,0.0,8,7,87.5,1,6
2026-06-11T18:53:31.516595+00:00,0.0,0.0,8,6,75.0,1,6
2026-06-11T18:53:34.688530+00:00,0.0,0.0,8,6,75.0,2,6
2026-06-11T18:53:37.862036+00:00,0.0,0.0,8,4,50.0,1,4
2026-06-11T18:53:41.030487+00:00,0.0,0.0,8,4,50.0,1,4
2026-06-11T18:53:44.210830+00:00,0.0,0.0,8,8,100.0,0,5
2026-06-11T18:53:47.409456+00:00,0.0,0.0,8,8,100.0,0,5
2026-06-11T18:53:50.746307+00:00,0.0,0.0,8,8,100.0,0,5
2026-06-11T18:53:53.913485+00:00,0.0,0.0,8,7,87.5,0,4
2026-06-11T18:53:57.134539+00:00,0.0,0.0,8,8,100.0,0,5
2026-06-11T18:54:00.593843+00:00,0.0,0.0,8,4,50.0,4,4
2026-06-11T18:54:03.779265+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:54:06.953323+00:00,0.0,0.0,8,7,87.5,1,7
2026-06-11T18:54:10.448549+00:00,0.0,0.0,8,3,37.5,3,3
2026-06-11T18:54:13.619948+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:54:16.798689+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:54:19.974908+00:00,0.0,0.0,8,6,75.0,0,6
2026-06-11T18:54:23.180781+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:54:26.578461+00:00,0.0,0.0,8,6,75.0,2,6
2026-06-11T18:54:29.763504+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:54:32.970784+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:54:36.326285+00:00,0.0,0.0,8,6,75.0,2,6
2026-06-11T18:54:39.509934+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:54:42.683360+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:54:45.974118+00:00,0.0,0.0,8,7,87.5,1,7
2026-06-11T18:54:49.152825+00:00,0.0,0.0,8,6,75.0,0,6
2026-06-11T18:54:52.464192+00:00,0.0,0.0,8,6,75.0,2,6
2026-06-11T18:54:55.660811+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:54:58.876628+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:55:02.119816+00:00,0.0,0.0,8,7,87.5,1,7
2026-06-11T18:55:05.294924+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:55:08.507915+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:55:11.739124+00:00,0.0,0.0,8,6,75.0,0,6
2026-06-11T18:55:14.920422+00:00,0.0,0.0,8,6,75.0,1,6
2026-06-11T18:55:18.101824+00:00,0.0,0.0,8,6,75.0,0,6
2026-06-11T18:55:21.285378+00:00,0.0,0.0,8,6,75.0,0,5
2026-06-11T18:55:24.599838+00:00,0.0,0.0,8,6,75.0,2,5
2026-06-11T18:55:27.786522+00:00,0.0,0.0,8,6,75.0,0,6
2026-06-11T18:55:30.972718+00:00,0.0,0.0,8,8,100.0,0,8
2026-06-11T18:55:34.170710+00:00,0.0,0.0,8,7,87.5,0,7
2026-06-11T18:55:37.400420+00:00,0.0,0.0,8,6,75.0,0,6
2026-06-11T18:55:40.638889+00:00,0.0,0.0,8,6,75.0,2,6
